"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",22.2155737704918,"Down",1409557000,-868431000,541126000,-383200000,157926000,-32052000,-30772000,-1280000,125874000,125874000,-6711000,119163000,119163000,119163000,119163000,319169000,319169000,680417000,680417000,1814602000,103679000,103679000,2917867000,650462000,650462000,2029261000,700515000,834315000,445179000,2679723000,5597590000,672972000,672972000,370604000,460333000,460333000,1503909000,2232712000,585078000,222812000,2817790000,4321699000,281486000,1389338000,-394933000,1275891000,1275891000,5597590000,119163000,28153000,28112000,138733000,314161000,-25450000,-25450000.0000001,-171730000,3312000,-253422000,35289000,35289000,-715000,34574000,186079000,2603316000,306073000,0.3839,0.11204,0.08454,0.0934,0.02129,2.56852,1.94019,3.3872,0.46508,0.30353,0.301,3.59039,3.24992,0.77962,0.03556,0.06856,12.27515,14.4634
"25","2016_Q2",21.25796875,"Down",1219140000,-761884000,457256000,-334851000,122405000,-32215000,-31566000,-649000,90190000,90190000,-9921000,80269000,80269000,80269000,80269000,332422000,332422000,722103000,722103000,1969872000,93283000,93283000,3117680000,652126000,652126000,2052255000,711950000,838984000,452709000,2704381000,5822061000,530436000,530436000,377562000,460514000,460514000,1368512000,2963424000,538084000,215498000,3501508000,4870020000,279712000,1057046000,-384717000,952041000,952041000,5822061000,80269000,22820000,926000,-388821000,-284806000,-12573000,-19635000,682212000,55056000,314684000,10243000,10243000,3010000,13253000,145225000,3340986000,-246248000,0.37506,0.1004,0.06584,0.08431,0.01379,-3.06778,2.27815,5.11535,0.57385,0.20763,0.20632,3.15351,2.46261,-0.63696,0.02545,-0.05097,20.71657,24.57877
"26","2016_Q3",20.64078125,"Down",1472731000,-915440000,557291000,-336081000,221210000,-84865000,-36540000,-48325000,136345000,136345000,-8202000,128143000,128143000,128143000,128143000,660997000,660997000,857562000,857562000,2006867000,108066000,108066000,3633492000,672807000,672807000,2308351000,838149000,947955000,461359000,2981158000,6614650000,664186000,664186000,361277000,525451000,525451000,1550914000,3466525000,547519000,227992000,4014044000,5564958000,278985000,1149236000,-378529000,1049692000,1049692000,6614650000,128143000,24007000,53362000,-49784000,155728000,-14464000,-200798000,441116000,-23568000,375997000,330927000,330927000,-2352000,328575000,245217000,3827802000,189171000,0.37841,0.1502,0.08701,0.12208,0.01937,1.47625,2.34281,5.30152,0.57869,0.3379,0.335,3.88345,2.76793,0.49883,0.03128,0.03487,12.9143,14.31583
"27","2016_Q4",18.7904761904762,"Down",1761019000,-1111653000,649366000,-421014000,228352000,-44992000,-43433000,-1559000,183360000,183360000,-10570000,172790000,173858000,173858000,173858000,450213000,450213000,961659000,961659000,2004997000,145258000,120792000,3562127000,718999000,718999000,3023208000,1347536000,1142523000,471010000,3742207000,7304334000,757720000,757720000,444082000,671078000,662673000,1872880000,3684408000,560521000,243170000,4244929000,6117809000,286711000,1281056000,-381242000,1186525000,1186525000,7304334000,173858000,26888000,-3242000,139865000,337369000,30299000,-739432000,151447000,79361000,189244000,-212819000,-212819000,2035000,-210784000,255240000,4128490000,435974000,0.36874,0.12967,0.09873,0.14653,0.0238,2.50764,1.90195,5.15607,0.56521,0.45828,0.45446,4.64198,3.12764,1.14921,0.03666,0.0742,14.41105,16.10793
"28","2017_Q1",16.7782258064516,"Down",1575309000,-963174000,612135000,-394051000,218084000,-56780000,-41153000,-15627000,161304000,161304000,-5579000,155725000,157112000,157112000,157112000,460245000,460245000,836924000,836924000,1840565000,183432000,137535000,3321166000,692464000,692464000,2916850000,1285458000,1098540000,464872000,3609314000,6930480000,761647000,761647000,234760000,629261000,619795000,1625668000,3507685000,573213000,201601000,4080898000,5706566000,263789000,1396116000,-435991000,1223914000,1223914000,6930480000,157112000,29460000,15636000,195108000,397316000,-5828000,-6775999.99999988,-355969000,28675000,-368871000,21669000,21669000,-11637000,10032000.0000001,247544000,3742445000,442403000,0.38858,0.13844,0.09973,0.12837,0.02267,2.81584,2.04295,4.66255,0.54,0.41136,0.40898,4.12461,3.20456,1.15834,0.03587,0.07986,13.25906,15.05016
"29","2017_Q2",17.1968253968254,"Up",1380355000,-840824000,539531000,-413102000,126429000,-48682000,-42137000,-6545000,77747000,77747000,-4665000,73082000,70617000,70617000,70617000,463623000,463623000,800467000,800467000,1998501000,196216000,196216000,3458807000,620393000,620393000,2976728000,1318904000,1118509000,467993000,3597121000,7055928000,756176000,756176000,376824000,629494000,629494000,1762494000,3763119000,572255000,197219000,4335374000,6097868000,257284000,1120541000,-419765000,958060000,958060000,7055928000,70617000,28765000,13160000,-135340000,-22798000,-11446000,25464000,161985000,198320000,4511000,7177000,7177000,-3799000,3378000,155194000,4139943000,13073000,0.39086,0.09159,0.05116,0.07371,0.01001,0.18513,1.96245,6.36481,0.58673,0.18921,0.18819,3.69852,2.56703,0.03503,0.02231,0.00230999999999999,23.68854,29.07814
"30","2017_Q3",19.2468253968254,"Up",1646610000,-1000708000,645902000,-412197000,233705000,-50552000,-44130000,-6422000,183153000,183153000,-10989000,172164000,172532000,172532000,172532000,449415000,449415000,935548000,935548000,2000436000,192603000,192603000,3578002000,619883000,619883000,3039086000,1346369000,1132981000,480001000,3658969000,7236971000,784960000,784960000,428485000,565143000,565143000,1778588000,3797245000,582812000,205097000,4380057000,6158645000,271651000,1238368000,-431693000,1078326000,1078326000,7236971000,172532000,29330000,4767000,-149581000,57048000,-15014000,-12163000,18868000.0000001,-23936000.0000001,-59722000,-14837000,-14837000,628999.999999999,-14208000,263035000,4225730000,109429000,0.39226,0.14193,0.10478,0.16,0.02384,0.63425,2.01171,5.7113,0.58391,0.47151,0.46885,4.50003,2.94696,0.29906,0.03859,0.01859,14.3567,16.15847
"31","2017_Q4",17.2460317460317,"Down",1799270000,-1120813000,678457000,-419991000,258466000,-50960000,-43917000,-7043000,207506000,207506000,-4150000,203356000,203356000,203356000,203356000,400045000,400045000,1009188000,1009188000,1953918000,196875000,196875000,3560026000,624602000,624602000,3096095000,1371007000,1141942000,504059000,3720697000,7280723000,852671000,852671000,429359000,614599000,614599000,1896629000,3566547000,586380000,207807000,4152927000,6049556000,271321000,1386488000,-426642000,1231167000,1231167000,7280723000,203356000,31667000,-14224000,76041000,296840000,-29560000,-29560000,-335080000,77375000,-312387000,-45107000,-45107000,-4263000,-49370000,290133000,3995906000,340764000,0.37707,0.14365,0.11302,0.16517,0.02793,1.6757,1.87703,4.91368,0.54883,0.55549,0.55236,4.91492,3.36308,0.93084,0.04439,0.05862,12.39384,13.91232
"32","2018_Q1",16.792131147541,"Down",1645175000,-1018514000,626661000,-500911000,125750000,-56886000,-44251000,-12635000,68864000,68864000,-453475000,-384611000,-384611000,-384611000,-384611000,421566000,421566000,903318000,903318000,1874990000,186496000,186496000,3386370000,623991000,623991000,2884414000,1402857000,1167007000,234932000,3508405000,6894775000,867649000,867649000,261462000,649634000,649634000,1778745000,3702054000,727774000,322536000,4429828000,6208573000,275063000,850345000,-439206000,686202000,686202000,6894775000,-384611000,32725000,302689000,373825000,324628000,-26529000,-88254000,-74267000,10887000,-218170000,18204000,18204000,3317000,21521000,158475000,3963516000,959246000,0.38091,0.07644,-0.23378,-0.56049,-0.05578,-2.49407,1.9038,9.04773,0.57486,-1.05226,-1.04999,4.50106,1.87739,2.62442,-0.06135,0.17838,22.35021,28.1666
"33","2018_Q2",15.4809375,"Down",1471504000,-892583000,578921000,-432863000,146058000,-51524000,-45763000,-5761000,94534000,94534000,-15125000,79409000,79409000,79409000,79409000,373662000,373662000,874684000,874684000,2044680000,106800000,106800000,3399826000,630669000,630669000,3297280000,1668876000,1282504000,233279000,3927949000,7327775000,813981000,813981000,340613000,523166000,523166000,1677760000,4185252000,759068000,350281000,4944320000,6622080000,281359000,875035000,-450699000,705695000,705695000,7327775000,79409000,31925000,4294000,-243771000,-128143000,-18298000,-353213000,441152000,71985000,459084000,-22272000,-22272000,1186000,-21086000,177983000,4525865000,-68961000,0.39342,0.09926,0.05396,0.11253,0.01084,-0.86843,2.02641,9.38377,0.61763,0.21943,0.21858,4.06625,1.95007,-0.19056,0.02228,-0.01151,23.32921,28.42845
