"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.34,"Up",183587000,-88609000,94978000,-90579000,-10724000,4399000,-702000,-741000,39000,3697000,-3731000,-34000,5459000,5425000,6245000,6245000,6245000,276802686.060637,276802686.060637,50055863.2154146,40765360.8420484,-6090656.78145097,377316147.962676,301525698.356634,18094433.2148115,-227830279.671793,-21574581.4236857,-196240505.141364,-8312100.62066326,91789851.8996525,469105999.862329,136930671.570552,61935711.0300333,74994960.5405188,-11950376.6663955,64340884.0984612,30444086.3014324,33896797.7970288,174425963.54322,-155558118.860588,43165760.5055971,43165760.5013636,-288275943.28962,-113849979.7464,552780458.130011,78302453.2034953,-51010746.7084033,580072164.625103,582955979.608728,469105999.862329,5425000,10724000,-949000,41299000,60254000,-3688000,23000,-7895000,-11845000,0,-2078000,-1371000,47038000,47038000,47038000,15123000,0,47275000,0.51735,0.02396,0.03402,-1.90237711383337e-05,0.00409324737319284,7.57006,1.83014341039483,-0.28414581061947,-0.369055975105203,0.10984,0.10957,3.22893,11.1993475871183,0.83147,0.00506678926182009,0.172165163214151,-90.1714721794812,733.412291611872
"2","2011_Q1",8.79661290322581,"Up",220238000,-83586000,136652000,-98513000,-10974000,38139000,-7249000,-1232000,-6017000,30890000,-2367000,28523000,-4861000,23662000,25534000,25637000,25637000,204924000,204924000,115568000,34228000,10718000,362579000,389650000,10652000,64661000,0,23107000,10710000,464963000,827542000,78382000,34091000,44291000,0,60102000,26072000,34030000,138484000,0,97526000,97526000,97526000,236010000,558808000,111641000,-81547000,588902000,591532000,827542000,23662000,10974000,818000,-19143000,16493000,-6943000,-1673000,25172000,16776000,0,-1575000,2167000,35436000,35436000,35436000,49113000,0,27888000,0.62047,0.17317,0.11641,0.04334,0.03098,1.0878,2.6182,0.39898,0,0.4509,0.44979,3.87354,10.3576,0.49049,0.0363,0.04047,-4.1725,-5.37308
"3","2011_Q2",8.32031746031746,"Down",180358000,-90035000,90323000,-97120000,-10420000,-6797000,-2654000,-393000,-2261000,-9451000,-2130000,-11581000,2686000,-8895000,-8895000,-8895000,-8895000,169914854.646454,169914854.646454,122031962.261528,43571796.3859839,18080052.2604837,342603534.012441,399342600.547789,9298688.92839615,117290176.557264,14374298.8542114,63505418.3804545,15330866.8735544,525931466.033449,868535000.04589,51936276.1431493,21493262.9899889,30443013.1531604,7965225.99983729,59593538.6338463,25166554.5661892,34426984.0676571,116503345.485593,102344871.316353,108014163.164801,108014163.166212,169469731.09654,285973076.582133,552902013.956663,113936848.932168,-86859834.4305322,579979028.458299,582561923.463757,868535000.04589,-8895000,10420000,1941000,-11248000,-7782000,-1256000,2550000,-7510000,-6216000,108935905.943728,-3777000,-9331000,-23329000,-23329000,-23329000,3623000,0,-11567000,0.5008,-0.03769,-0.04932,0.0313038412570461,0.0215105842089357,1.30039,2.97873052986839,0.506644436873157,0.068408658368401,-0.15156,-0.15156,3.07311,9.83073830429389,-0.19709,0.0251677369127266,-0.0122367210713837,8.83147655982708,-211.442994703957
"4","2011_Q3",7.39921875,"Down",183034000,-86152000,96882000,-95503000,-10029000,1379000.00000001,-2026000,-412000,-1614000,-646999.999999996,-2027000,-2674000,462000.000000002,-2212000,-2212000,-2212000,-2212000,156974000,156974000,101735000,58719000,19446000,324379000,371216000,12080000,60998000,22977865.1389486,22473000,12907000,444294000,768673000,46447000,18515000,27932000,12740301.3331164,60651000,26101000,34550000,107098000,162076495.08847,98606000,98606000,98605999.9999999,205704000,540433000,100535000,-80629000,560339000,562969000,768673000,-2212000,10029000,6262000,-18288000,-4209000,-2775000,-1524000,0,-4299000,240800767.883288,-42000,-16113000,-24621000,-24621000,-24621000,11408000,-1.86264514923096e-09,-10117000,0.52931,0.00752999999999995,-0.01209,-0.00393,-0.00288,4.57369,3.02881,0.36539,0,-0.03768,-0.03768,3.11775,9.54467,-0.17233,-0.00334000000000001,-0.01529,-13.75999,-113.83176
"5","2011_Q4",7.26952380952381,"Down",167871000,-82038000,85833000,-90480000,-10052000,-4647000,-2410000,-362000,-2048000,-7057000,-11138000,-18195000,7473000,-10722000,-10722000,-10722000,-10722000,147474000,147474000,96538000,65500000,18340000,316496000,354889000,17411000,59920000,27240248.8542114,22154000,12455000,432220000,748716000,50464000,19075000,31389000,15120225.9998373,60135000,27020000,33115000,110599000,189794871.316353,99418000,99418000,99418000,210017000,526275000,89813000,-80019000,536069000,538699000,748716000,-10722000,10052000,1.3e+07,4162000,16492000,-2118000,-5448000,0,-7566000,305265245.881204,-2755000,-18426000,-9500000,-9500000,-9500000,5405000,0,-24000,0.5113,-0.02768,-0.06387,-0.0199,-0.01432,0.00224,2.86165,0.38986,0,-0.18865,-0.18865,2.95371,9.43219,-0.00042,-0.0168,-4e-05,-27.28474,31.73531
"6","2012_Q1",8.29338709677419,"Up",197397000,-89953000,107444000,-91019000,-9568000,16425000,-3360000,-473000,-2887000,13065000,-6303000,6762000.00000001,-620000.000000001,6142000,6142000,6292000,6292000,127889000,127889000,135537000,55201000,18188000,325410000,387972000,23214000,233932000,28591000,151858000,20778000,645118000,970528000,52942000,17697000,35245000,15900000,56206000,26373000,29833000,125048000,196100000,132379000,132379000,328479000,453527000,515964000,96105000,-97548000,514521000,517001000,970528000,6142000,9568000,10981000,-16405000,10286000,-6034000,-4623000,4388000,-222412000,2.12e+08,-7886000,192541000,-19585000,-19585000,-19585000,25993000,2.12e+08,4174000,0.5443,0.08321,0.03187,0.01217,0.00648,0.66338,2.60228,0.87723,0.21844,0.11516,0.11516,3.61282,9.41691,0.07639,0.0073,0.00485,3.23591,5.12091000000002
"7","2012_Q2",8.42460317460317,"Up",207127000,-100711000,106416000,-101338000,-12306000,5078000,-5227000,-3154000,-2073000,-149000,-7295000,-7444000,3029000,-4415000,-4415000,-4415000,-4415000,139979000,139979000,121724000,62296000,18983000,330680000,378389000,23270000,230879000,28591000,150082000,20702000,632538000,963218000,50292000,16222000,34070000,15900000,59676000,26075000,33601000,125868000,192125000,132511000,132511000,324636000,450504000,515477000,91690000,-96933000,510234000,512714000,963218000,-4415000,12306000,8840000,3878000,20609000,-1137000,-725000,477000,-1385000,-3975000,-2042000,-7134000,12090000,12090000,12090000,17384000,208025000,17096000,0.51377,0.02452,-0.02132,-0.00861,-0.00458,-3.87225,2.6272,0.87867,0.21597,-0.0806,-0.0806,3.78141,9.31509,0.31211,-0.00517,0.02004,3.91429,13.40016
"8","2012_Q3",9.26111111111111,"Up",216934000,-97152000,119782000,-101029000,-12603000,18753000,-6465000,-3211000,-3254000,12288000,-2567000,9721000,-4305000,5416000,5416000,5416000,5416000,167106000,167106000,128043000,33850000,16710000,335339000,372310000,22925000,226975000,28591000,148284000,19831000,622210000,957549000,49439000,14477000,34962000,15900000,63267000,26851000,36416000,128606000,188150000,130241000,130241000,318391000,446997000,508104000,97106000,-97138000,508072000,510552000,957549000,5416000,12603000,3930000,25380000,47329000,-4949000,-547000,9000.00000000047,-5487000.00000003,-3975000,-54999.9999999995,-14715000,27127000,27127000,27127000,31356000,204050000,56092000,0.55216,0.08645,0.02497,0.01061,0.00566,10.35672,2.60749,0.87552,0.2131,0.09821,0.09761,3.93381,9.21322,1.01715,0.00641,0.06639,1.17821,1.97003
"9","2012_Q4",9.61,"Up",219644000,-96366000,123278000,-100526000,-12136000,22752000,-6168000,-3288000,-2880000,16584000,-2434000,14150000,-2148000,12002000,12002000,12002000,12002000,209668000,209668000,119444000,34761000,17741000,370357000,369909000,25546000,218397000,27966000,146535000,18461000,613852000,984209000,61364000,19215000,42149000,15900000,69792000,31064000,38728000,147056000,184175000,127121000,127121000,311296000,458352000,511188000,109108000,-96919000,523377000,525857000,984209000,12002000,12136000,4815000,27387000,56340000,-8080000,-3394000,-250000,-11724000,-3975000,1108000,-2054000,42562000,42562000,42562000,34888000,200075000,56343000,0.56126,0.10359,0.05464,0.02282,0.01219,4.69447,2.51848,0.87163,0.20329,0.21967,0.21738,4.02006,9.57917,1.03122,0.01407,0.06605,-0.27497,-0.42163
"10","2013_Q1",10.3011666666667,"Up",259753000,-102012000,157741000,-106169000,-12287000,51572000,-7753000,-2593000,-5160000,43819000,-3339000,40480000,-13561000,26919000,26919000,27185000,27185000,242642000,242642000,125639000,27982000,17846000,402700000,374931000,21115000,232022000,27966000,144783000,23178000,628068000,1030768000,60447000,23329000,37118000,15900000,69686000,26240000,43446000,146033000,180200000,164625000,164625000,344825000,490858000,518243000,136293000,-116840000,537696000,539910000,1030768000,26919000,12287000,5149000,3949000,48304000,-15533000,-4e+05,2371000,-13828000,-3975000,-3167000,-1502000,32974000,32974000,32974000,63859000,196100000,65836000,0.60727,0.19854,0.10466,0.05035,0.02637,2.42178,2.7576,0.90915,0.19025,0.49364,0.485,4.71678,9.76386,1.1955,0.03018,0.0731,-0.72882,-0.902470000000001
