"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",16.641875,"Up",27338000,-18477000,8861000,-7543000,-7543000,1318000,-230000,-245000,15000,1088000,1088000,-166000,922000,922000,922000,922000,2205577.59655808,2205577.59655808,-4743602.42630686,27829095.0335524,-919344.163291392,24371726.0405122,11304944.2709677,2342827.64628436,1150053.22769959,13647771.917252,38019497.9577643,22151818.1165476,10420228.716299,7834320.97630105,9547049.92156976,30630812.6927059,-5016453.03560836,25614359.6570975,19424216.9375107,-6968108.83038485,-1299696.78873076,11156411.3183951,12405138.3006667,38019497.9577643,922000,337000,18000,-1742000,-465000,-1463000,-1463000,2650000,2650000,722000,722000,67000,789000,1655000,0,-1384000,0.32413,0.04821,0.03373,-0.118538052273106,-0.0283449050668552,-1.50108,0.586852646024479,2.17739605617576,0.130328523420931,0.88808,0.8537,26.33211,10.2079633511225,-1.33308,-0.0592849447748467,1.23425077481535,5.14319048239834,24.4701548545623
"2","2011_Q1",18.8177419354839,"Up",25347000,-18013000,7334000,-7040000,-7040000,294000,572000,-304000,876000,866000,6e+05,-295000,305000,305000,305000,305000,3065000,3065000,5030000,16593000,519000,25207000,11747000,2910000,1761000,14657000,39864000,9299000,4468000,4771000,4396000,23876000,3841000,27717000,19740000,-9258000,-274000,10208000,12147000,39864000,305000,340000,-61000,-299000,285000,-2581000,-2612000,1113000,1392000,-935000.000000001,-935000.000000001,55000,-880000,634000,6897000,-1951000,0.28934,0.0116,0.01203,0.02511,0.00765,-6.39672,1.05575,2.2818,0.17301,0.27753,0.26457,23.06369,9.28844,-1.77525,0.01496,-0.09571,6.04416,13.03401
"3","2011_Q2",21.7734920634921,"Up",29926000,-20937000,8989000,-7461000,-7461000,1528000,-347000,-318000,-29000,1181000,1181000,-444000,737000,737000,737000,737000,3872140.80114731,3872140.80114731,9091950.80876895,14048551.6554825,1424281.3877638,28436924.6531626,12153518.5763441,3086474.11790521,1814398.92410014,15239992.6942493,43676917.3474119,7849143.96115081,3845840.42790032,4372059.67456632,1872566.69281008,22532562.4357647,7750817.67853612,30283380.1143008,19900261.0208298,-8614880.38987171,-17851.0704230798,11267529.560535,13393537.2331111,43676917.3474119,737000,365000,38000,1106000,2246000,-923000,-571000,-30000,-598000,1077000,1077000,67000,1144000,1893000,0,2520000,0.30037,0.05106,0.02463,0.108491850757702,0.0325008016889517,3.41927,1.27671328465851,2.24549381460808,0.185093825526356,0.67085,0.63876,27.24012,10.2450072162925,2.29383,0.0633849815916156,-0.353672758271784,4.22724650586722,4.7311792151459
"4","2011_Q3",21.85671875,"Up",32891000,-23244000,9647000,-7394000,-7394000,2253000,-329000,-284000,-45000,1924000,1924000,152000,2076000,2076000,2076000,2076000,4477000,4477000,9435000,16353000,1873000,32138000,12470000,2990000,1564000,15460000,47598000,11889000,5794000,5267000,1089000,23738000,8566000,32304000,19989000,-6556000,-189000,13244000,15294000,47598000,2076000,302000,-933000,-3328000,-1883000,-384000,-35000,2238000,2173000,255000,255000,13000,268000,2555000,8559000,-1309000,0.2933,0.0685,0.06312,0.13574,0.04362,-0.630539999999997,1.35386,2.1122,0.17982,1.88968,1.78351,29.93901,12.05534,-1.19152,0.08321,-0.0524699999999998,1.59765,1.81181
"5","2011_Q4",25.8720634920635,"Up",35857000,-25766000,10091000,-7163000,-7163000,2928000,-222000,-278000,56000,2706000,2706000,-1e+06,1706000,1706000,1706000,1706000,4700000,4700000,8243000,19033000,1899000,33875000,12612000,2712000,1288000,15324000,49199000,14002000,6788000,5709000,1082000,23919000,8385000,32304000,20109000,-4800000,-414000,14895000,16895000,49199000,1706000,314000,47000,812000,2879000,-214000,-214000,-2216000,-2216000,449000,449000,-226000,223000,3242000,8493000,4840000,0.28142,0.08166,0.04758,0.10098,0.03468,2.83705,1.41624,1.91204,0.17263,1.55289,1.46538,32.63881,13.55816,4.40561,0.06471,0.1836,1.16996,1.29542
"6","2012_Q1",25.6841935483871,"Down",27995000,-19987000,8008000,-7473000,-7473000,535000,-257000,-253000,-3999.99999999999,278000,278000,-75000,203000,203000,203000,203000,4401000,4401000,7445000,18456000,1593000,31895000,12535000,2379000,1232000,14914000,46809000,8776000,4323000,4453000,989000,20450000,8979000,29429000,20338000,-4797000,-361000,15180000,17380000,46809000,203000,322000,1629000,-4020000,-1866000,-225000,-225000,1597000,1731000,-360000,-360000,61000,-299000,857000,8240000,-3313000,0.28605,0.01911,0.00725,0.01168,0.00434,-16.3202,1.55966,1.69327,0.17603,0.18424,0.1728,25.40842,13.77746,-3.0069,0.00742,-0.12114,4.47958,7.1757
"7","2012_Q2",21.1952380952381,"Down",29444000,-21500000,7944000,-7860000,-7860000,84000,-238000,-254000,16000,-154000,-154000,77000,-77000,-77000,-77000,-77000,4036000,4036000,6144000,20263000,1824000,32267000,12604000,2347000,1199000,14951000,47218000,11188000,5985000,5203000,968000,21116000,8621000,29737000,20456000,-4863000,-301000,15292000,17481000,47218000,-77000,303000,-34000,1635000,1827000,-350000,-350000,-1982000,-1900000,-423000,-423000,58000,-365000,387000,7983000,1595000,0.2698,0.00285,-0.00262,-0.0044,-0.00163,-20.71429,1.52808,1.7011,0.16907,-0.06953,-0.06953,26.58841,13.80892,1.44031,-0.00284,0.05892,10.19897,46.9881
"8","2012_Q3",18.548253968254,"Down",29543000,-21606000,7937000,-8130000,-8130000,-193000,-304000,-279000,-25000,-497000,-497000,-54000,-551000,-551000,-551000,-551000,3734000,3734000,6181000,21112000,2654000,33681000,12614000,2274000,1127000,14888000,48569000,10502000,5566000,4936000,955000,23360000,8314000,31674000,20492000,-5504000,-372000,14616000,16895000,48569000,-551000,306000,-8000,-2407000,-2660000,-275000,-275000,2697000,2701000,-234000,-234000,-68000,-302000,113000,7785000,-2515000,0.26866,-0.00653,-0.01865,-0.03261,-0.01134,4.56443,1.44182,1.87476,0.16029,-0.49595,-0.49595,26.59136,13.15572,-2.26373,-0.02106,-0.09612,35.84956,-20.98964
"9","2012_Q4",9.62209677419355,"Down",28728000,-21634000,7094000,-7828000,-7828000,-734000,-312000,-299000,-13000,-1046000,-1046000,-113000,-1159000,-1159000,-1159000,-1159000,2777000,2777000,7305000,20516000,2330000,32928000,12469000,2210000,1062000,14679000,47607000,10203000,5335000,4868000,2800000,25460000,6229000,31689000,20554000,-6586000,-252000,13716000,15918000,47607000,-1159000,298000,102000,-502000,-1261000,-117000,-117000,309000,309000,-1069000,-1069000,112000,-957000,-436000,7554000,-942000,0.24694,-0.02555,-0.04034,-0.07281,-0.02435,0.81277,1.29332,1.99077,0.15867,-1.04302,-1.04302,25.85313,12.34341,-0.84773,-0.04646,-0.03776,-10.95642,-6.50817
"10","2013_Q1",7.00033333333333,"Down",26520000,-20175000,6345000,-7642000,-7642000,-1297000,-297000,-307000,10000,-1594000,-2676000,7000,-2669000,-2669000,-2669000,-2669000,3174000,3174000,6256000,17274000,1854000,28558000,12248000,998000,973000,13246000,41804000,9267000,4957000,4310000,955000,20781000,7789000,28570000,20577000,-8649000,-290000,11638000,13234000,41804000,-2669000,314000,1289000,3711000,2645000,-76000,-76000,-2140000,-2140000,429000,429000,-32000,397000,-983000,7312000,2645000,0.23925,-0.04891,-0.10064,-0.20168,-0.06385,-0.99101,1.37424,2.15883,0.17491,-2.40191,-2.40191,23.86609,10.47336,2.38031,-0.12144,0.12035,-4.20956,-3.19044
