"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",32.1985714285714,"Up",86399000,-62698000,23701000,-13902000,-8412000,-6422000,-1990000,-5490000,9799000,-3436000,-3436000,6363000,6363000,-398000,5965000,5965000,5965000,5965000,135204000,135204000,-120467370.405026,45093000,45093000,64522000,28887000,25312000,273706000,11903000,17056588.4459976,380000,-10350896.5531826,380000,12283000,285989000,88661000,36233000,52428000,14776000,1098000,13678000,103437000,32022000,6995000,25027000,32022000,135459000,280044000,-129251000,-263000,150530000,150530000,285989000,-13076463.5926772,375851.709856862,-4222215.44616448,-9320844.74391182,-26243672.0728967,6759169.60524686,6759169.60529187,10121553.8474392,314209200.254416,-14721355.0094266,102746690.696632,-5931917.84039989,-5931917.84039989,-6786477.21737502,69716541.40636,69716541.40636,70953211.836238,-6063703.48116235,0,-18018779.6532107,0.27432,0.11342,0.06904,0.03963,0.02086,-0.732620453654417,2.64611,0.89988,0,2.11308,0.84025,30.60654,53.32473,-0.445928037777797,0.03268,-0.0575276310732003,-20.9976327846721,-13.79773
"2","2015_Q4",21.46390625,"Down",115054000,-81527000,33527000,-18653000,-11662000,-8244000,-3418000,-6991000,14874000,-72000,-72000,14802000,14802000,-370000,14432000,14432000,14432000,14432000,146729000,146729000,-8305456.80167544,47366000,47366000,79907000,24321000,20733000,298323000,17272000,30215862.8153325,1380000,1882367.81560581,601000,18652000,316975000,75639000,67180000,8459000,20660000,2175000,18485000,96299000,37451000,9760000,27691000,37451000,133750000,289008000,-105558000,-225000,183225000,183225000,316975000,14432000,759000,1833000,-11078000,5946000,-4092000,-4092000,-3292000,53747733.4181387,124000,-3968000,17000,17000,17000,1995000,1995000,1995000,15633000,0,833000,0.2914,0.12928,0.12544,0.07877,0.04553,0.05772,3.09788,0.72998,0,0.36721,0.32464,2.92746,4.66202,0.0212,0.0654,0.00377,-9.38585,-9.8648
"3","2016_Q2",22.53,"Down",125205000,-84471000,40734000,-20995000,-12286000,-8826000,-3460000,-8709000,19739000,2029000,2029000,21768000,21768000,-969000,20799000,20799000,20799000,20799000,128129000,84070000,44059000,56145000,56145000,85514000,19557000,18613000,289345000,26213000,43151000,7663000,6486000,440000,77027000,366372000,52935000,45138000,7797000,28510000,2642000,25868000,81445000,48680000,13266000,35414000,48680000,130125000,296484000,-60654000,417000,236247000,236247000,366372000,20799000,993000,2708000,-9158000,15342000,-5909000,-5909000,-5909000,-35023000,2459000,-38473000,1167000,1167000,1167000,-21964000,-21964000,-22080000,20732000,0,6634000,0.32534,0.15765,0.16612,0.08804,0.05677,0.31896,3.55264,0.5508,0,0.51531,0.46658,3.10204,5.85319,0.16436,0.073,0.02328,-6.18025,-6.49116
"4","2016_Q3",17.62953125,"Down",124752000,-85639000,39113000,-21229000,-11997000,-8930000,-3067000,-9232000,17884000,-527000,-527000,17357000,17357000,-84000,17273000,17273000,17273000,17273000,133195000,74032000,59163000,72737000,72737000,81550000,22268000,21340000,309750000,28547000,52446000,6695000,6296000,399000,87688000,397438000,59206000,48481000,10725000,28065000,3859000,24206000,87271000,54059000,14684000,39375000,54059000,141330000,299218000,-43381000,271000,256108000,256108000,397438000,17273000,1183000,2970000,-3391000,18035000,-4145000,-4145000,-4145000,-24278000,96000,-28327000,334000,334000,140000,-10152000,-10152000,-10036000,19067000,-3.5527136788005e-15,11615000,0.31353,0.14336,0.13846,0.06744,0.04346,0.67244,3.54929,0.55184,-6.61744490042422e-24,0.42361,0.38848,3.05944,6.28084,0.28485,0.05569,0.03745,-6.98563,-7.44772
"5","2016_Q4",13.8846031746032,"Down",128484000,-86609000,41875000,-23635000,-13700000,-10036000,-3664000,-9935000,18240000,390000,390000,18630000,18630000,-3014000,15616000,15616000,15616000,15616000,151800000,90014000,61786000,84898000,84898000,68434000,18222000,17276000,323354000,30377000,53955000,5259000,4127000,437000,89591000,412945000,49001000,40282000,8719000,29499000,2421000,27078000,78500000,59499000,16059000,43440000,59499000,137999000,302591000,-27765000,120000,274946000,274946000,412945000,15616000,1292000,5612000,1849000,24369000,-3815000,-3815000,-3815000,-4624000,-47000,-8486000,273000,273000,273000,16156000,16156000,16156000,19532000,0,20580000,0.32592,0.14196,0.12154,0.0568,0.03782,1.31788,4.11916,0.50191,0,0.38147,0.35487,3.13865,6.71648,0.50274,0.04669,0.06153,-7.77186,-8.32237
"6","2017_Q1",13.9193548387097,"Up",111402000,-81168000,30234000,-14338000,-8983000,-7041000,-1942000,-5355000,15896000,-1421000,-1421000,14475000,14475000,8446000,22921000,22921000,22921000,22921000,179148000,104683000,74465000,71041000,71041000,67363000,22244000,21347000,339796000,36122000,44262000,4563000,2815000,489000,84947000,424743000,42649000,34001000,8648000,27836000,1202000,26634000,70485000,65480000,18660000,46820000,65480000,135965000,307102000,-1.8e+07,-324000,288778000,288778000,424743000,22921000,379000,-1838000,-26678000,-5216000,-2621000,-2621000,-1821000,-48236000,-2508000,-53365000,1199000,1199000,1199000,-57382000,-57382000,-57469000,16275000,-5.6843418860808e-14,-21470000,0.2714,0.14269,0.20575,0.07937,0.05396,-0.9367,4.82083,0.47083,-5.29395592033938e-23,0.55868,0.52284,2.71534,7.03874,-0.52331,0.0647,-0.06061,-11.00756,-11.27001
"7","2017_Q2",17.715873015873,"Up",115054000,-76378000,38676000,-26672000,-15214000,-10775000,-4439000,-11458000,12004000,1410000,1410000,13414000,13414000,761000,14175000,14175000,14175000,14175000,201733000,119933000,81800000,79268000,79268000,60913000,27552000,26561000,369466000,37933000,44893000,4678000,4084000,594000,87504000,456970000,52929000,43740000,9189000,25687000,1025000,24662000,78616000,71119000,20902000,50217000,71119000,149735000,311085000,-3825000,-25000,307235000,307235000,456970000,14175000,1520000,2662000,7309000,25666000,-1872000,-1872000,-1872000,-8405000,-65999.9999999995,-10343000,371000,371000,371000,15694000,15694000,15344000,13524000,0,18200000,0.33616,0.10433,0.1232,0.04614,0.03102,1.28395,4.69963,0.48736,0,0.34282,0.32335,2.78256,7.43043,0.44016,0.03746,0.0481,-14.91667,-16.80548
"8","2017_Q3",25.2071428571429,"Up",136099000,-89033000,47066000,-27951000,-15226000,-11961000,-3265000,-12725000,19115000,3595000,3595000,22710000,22710000,-186000,22524000,22524000,22524000,22524000,193677000,113452000,80225000,79851000,79851000,56205000,35206000,34109000,364939000,41991000,79954000,5538000,4898000,640000,127483000,492422000,48871000,36029000,12842000,29825000,3038000,26787000,78696000,78523000,23771000,54752000,78523000,157219000,316871000,18699000,-367000,335203000,335203000,492422000,22524000,1610000,3670000,3693000,31497000,-5739000,-5739000,-5739000,-34027000,66000,-39700000,1752000,1752000,1752000,-6451000,-6451000,-6375000,20725000,-9.09494701772928e-13,18865000,0.34582,0.14045,0.1655,0.0672,0.04574,0.83755,4.63733,0.46903,8.470329472543e-22,0.54011,0.50239,3.26358,8.03799,0.45237,0.05444,0.0456,-9.34509,-10.1322
"9","2017_Q4",34.4330158730159,"Up",166552000,-108498000,58054000,-32658000,-18295000,-13217000,-5078000,-14363000,25396000,2666000,2666000,28062000,28062000,-91000,27971000,27971000,27971000,27971000,230936000,149448000,81488000,91694000,91694000,62356000,39601000,38201000,424587000,45714000,72351000,6554000,5822000,732000,124619000,549206000,59107000,42700000,16407000,33325000,2743000,30582000,92432000,87321000,26858000,60463000,87321000,179753000,323080000,46670000,-297000,369453000,369453000,549206000,27971000,1802000,4098000,-204000,33667000,-5592000,-5592000,-5592000,6476000,-1002582.52580105,884000,1672000,1672000,1672000,36223000,36223000,36299000,27198000,0,21493000,0.34856,0.15248,0.16794,0.07571,0.05093,0.7684,4.59351,0.48654,0,0.65917,0.60633,3.925,8.7066,0.50651,0.06124,0.04705,-8.49092,-9.0934
"10","2018_Q1",43.8383606557377,"Up",189340000,-118370000,70970000,-36399000,-19979000,-14079000,-5900000,-16420000,34571000,1487000,1487000,36058000,36058000,-16556000,19502000,19502000,19502000,19502000,240427000,163163000,77264000,109528000,109528000,82992000,43739000,42223000,476686000,51182000,103120000,10317000,8340000,862000,164619000,641305000,89866000,69488000,20378000,39888000,2559000,37329000,129754000,114084000,31453000,82631000,114084000,243838000,331906000,66172000,-611000,397467000,397467000,641305000,19502000,2223000,2746000,21364000,45835000,-8179000,-8179000,-8179000,-27450000,-619000,-36248000,3445000,3445000,3445000,13032000,13032000,13212000,36794000,-1.45519152283669e-11,66535000,0.37483,0.18259,0.103,0.04907,0.03041,3.4117,3.67377,0.61348,0,0.44984,0.41583,4.36743,9.16821,1.53474,0.03812,0.13007,-6.53441,-6.95459
