"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2017_Q2",18.68,"Down",330600000,-191900000,138700000,-110500000,-63900000,-46600000,28200000,-28100000,-28100000,0,1e+05,-2200000,-2100000,3700000,9e+05,2500000,2500000,2500000,2500000,26300000,26300000,181900000,181900000,103300000,18100000,85200000,311500000,658400000,2686600000,534800000,2089700000,62100000,3.345e+09,3656500000,161600000,50500000,111100000,49100000,33100000,1.6e+07,210700000,2142500000,1.18e+08,6700000,111300000,2260500000,2471200000,1.95e+09,-747400000,-17400000,1185200000,1185300000,3656500000,2500000,46600000,-4400000,-12500000,32200000,-16500000,-9e+05,-17400000,-50200000,8300000,-13200000,-53900000,-39100000,-39100000,2e+05,-38900000,74800000,2142500000,42100000,0.41954,0.0853,0.00756,0.00211,0.00068,16.84,1.47841,2.08487,0.58594,0.01808,0.018,2.39046,8.56978,0.30441,0.36298,0.01529,0.01222,20.08,28.29144,75.04255
"14","2017_Q3",17.6288888888889,"Down",396200000,-213300000,182900000,-114900000,-66400000,-48500000,6.8e+07,-28500000,-28600000,1e+05,39500000,-3e+06,36500000,-900000.000000002,1500000,37100000,37100000,37100000,37100000,23100000,23100000,237700000,237700000,89400000,13700000,75700000,350200000,677100000,2773400000,572900000,2135700000,64800000,3450500000,3800700000,166700000,55600000,111100000,45700000,27700000,1.8e+07,297400000,2143600000,133100000,20500000,112600000,2276700000,2574100000,1955300000,-760300000,-13100000,1181900000,1226600000,3800700000,37100000,48500000,-4900000,-33800000,46900000,-25600000,-56900000,-82500000,-50200000,8.5e+07,-2600000,32200000,-3399999.99999999,-3399999.99999999,2e+05,-3200000,116500000,2228600000,5.8e+07,0.46164,0.17163,0.09364,0.03025,0.00976,1.56334,1.17754,2.09857,0.58637,0.26768,0.26633,2.85859,8.52742,0.41847,0.36219,0.02433,0.01616,1.3531,18.93133,32.43382
"15","2017_Q4",19.0307936507937,"Up",392400000,-212600000,179800000,-1.12e+08,-64200000,-47800000,67800000,-2.9e+07,-29200000,2e+05,38800000,12500000,51300000,-2e+06,1400000,50700000,50700000,50700000,50700000,4.2e+07,4.2e+07,240600000,240600000,78200000,21900000,56300000,360800000,671200000,2781900000,575100000,2139200000,67600000,3453100000,3813900000,172200000,44400000,127800000,48600000,28800000,19800000,293800000,2144700000,134900000,21100000,113800000,2279600000,2573400000,1960100000,-760300000,-4800000,1.195e+09,1240500000,3813900000,50700000,47800000,-15100000,20100000,103500000,-14900000,-5e+06,-19900000,-50600000,-1.2e+07,-2300000,-64900000,18700000,18700000,2e+05,18900000,115600000,2217700000,122800000,0.45821,0.17278,0.1292,0.04087,0.01329,2.42209,1.22805,2.07449,0.58148,0.3658,0.35983,2.83117,8.62193,0.886,0.36508,0.02819,0.03418,0.99803,18.82093,32.08997
"16","2018_Q1",17.1277049180328,"Down",401300000,-217400000,183900000,-114100000,-67200000,-46900000,69800000,-3.1e+07,-3.1e+07,0,38800000,6e+05,39400000,-4900000,1e+06,35500000,35500000,35500000,35500000,48300000,48300000,231100000,231100000,96600000,13500000,83100000,3.76e+08,662100000,2770100000,580900000,2.128e+09,61200000,3432200000,3808200000,179600000,56100000,123500000,4e+07,21300000,18700000,299600000,2145300000,136700000,19600000,117100000,2.282e+09,2581600000,1964400000,-775600000,-7700000,1181100000,1226600000,3808200000,35500000,46900000,1800000,-17500000,66700000,-8200000,-6400000,-15500000,-50800000,6999999.99999999,-1100000,-44900000,6300000,6300000,2.91038304567337e-11,6300000,116700000,2225300000,95900000,0.45826,0.17393,0.08846,0.02894,0.00932,2.70141,1.25501,2.10468,0.58434,0.25632,0.26007,2.89747,8.5278,0.69242,0.36679,0.02405,0.02672,1.43099,18.65467,31.18911
"17","2018_Q2",16.00921875,"Down",337900000,-197100000,140800000,-108200000,-64600000,-43600000,32600000,-30100000,-3e+07,-1e+05,2500000,-9e+05,1600000,6700000,8e+05,9100000,9100000,9100000,9100000,52500000,52500000,188800000,188800000,113100000,16500000,96600000,354400000,660600000,2755700000,568500000,2126300000,60900000,3416300000,3770700000,159100000,51200000,107900000,53600000,34900000,18700000,304700000,2156400000,132200000,16900000,115300000,2288600000,2593300000,1.962e+09,-817400000,-12800000,1131800000,1177400000,3770700000,9100000,43600000,-9400000,18800000,62100000,-16600000,-4100000,-22100000,-51100000,2.2e+07,-6500000,-35600000,4400000,4400000,-2e+05,4200000,76200000,2248400000,71700000,0.41669,0.09648,0.02693,0.00773,0.00241,7.87912,1.16311,2.20256,0.59628,0.06556,0.06542,2.43444,8.15418,0.51657,0.36816,0.01692,0.02015,5.61538,28.81759,67.3589
"18","2018_Q3",17.0374603174603,"Up",401700000,-2.12e+08,189700000,-116400000,-70100000,-46300000,73300000,-31200000,-3.1e+07,-2e+05,42100000,-40400000,1700000,-8100000,1200000,-5200000,-5200000,-5200000,-5200000,41700000,41700000,239900000,239900000,105900000,17800000,88100000,387500000,663300000,2724300000,557200000,2081600000,85500000,3387600000,3775100000,156300000,5.5e+07,101300000,47100000,28800000,18300000,303400000,2216500000,134700000,19200000,115500000,2351200000,2654600000,1966900000,-873500000,-18600000,1074800000,1120500000,3775100000,-5200000,46300000,40400000,-75400000,6100000,-26400000,-2e+05,-31300000,-50900000,6.7e+07,-1700000,14400000,-10800000,-10800000,2.91038304567337e-11,-10800000,119600000,2316500000,25900000,0.47224,0.18247,-0.01294,-0.00464,-0.00138,-4.98077,1.27719,2.36912,0.61363,-0.03736,-0.03736,2.88578,7.72126,0.18606,0.36566,0.0128,0.00725,-9.78846,19.02007,31.03411
"19","2018_Q4",16.5730158730159,"Down",414200000,-215300000,198900000,-121200000,-74400000,-46800000,77700000,-31800000,-3.2e+07,2e+05,45900000,1200000,47100000,-1e+06,7e+05,46800000,46800000,46800000,46800000,56700000,56700000,260800000,260800000,112500000,18200000,94300000,4.3e+08,657500000,2728500000,5.48e+08,2082600000,97900000,3.386e+09,3.816e+09,175800000,47700000,128100000,47600000,30100000,17500000,398400000,2158500000,135400000,19800000,115600000,2293900000,2692300000,1975900000,-877600000,-16900000,1081400000,1123700000,3.816e+09,46800000,46800000,-3400000,-2.1e+07,69200000,-13100000,-1300000,-17700000,-50900000,1.6e+07,-2e+05,-35100000,16400000,16400000,0,16400000,124500000,2333500000,91400000,0.4802,0.18759,0.11299,0.04165,0.01226,1.95299,1.07932,2.39592,0.6115,0.33597,0.33074,2.97344,7.7631,0.65614,0.3654,0.02719,0.02544,1.08761,18.28755,29.30245
"20","2019_Q1",18.6090163934426,"Up",452400000,-235500000,216900000,-126200000,-121100000,-5100000,90700000,-3.3e+07,-32700000,-3e+05,57700000,6e+05,58300000,-2500000,1399999,57199999,57199999,57199999,57199999,52700000,52700000,264900000,264900000,111900000,13900000,9.8e+07,429500000,652900000,2746300000,537200000,2079700000,129400000,3399200000,3828700000,198100000,56500000,141600000,44500000,29800000,14700000,402600000,2149600000,131200000,1.7e+07,114200000,2280800000,2683400000,1996400000,-871600000,-2.2e+07,1102800000,1145300000,3828700000,57200000,5100000,38500001,-23900000,76900001,-18300000,-1400000,-19300000,-5.1e+07,-9700000,-7e+05,-61400000,-3799999,-3799999,-2e+05,-3999999,95800000,2309600000,56100000,0.47944,0.20049,0.12644,0.04994,0.01494,0.980770000000002,1.06682,2.34297,0.60323,0.40886,0.4127,3.23374,7.88277,0.401,0.36455,0.03017,0.01564,0.891610000000002,23.55846,24.88313
"21","2019_Q2",21.9584126984127,"Up",371700000,-216900000,154800000,-119100000,-73300000,-45800000,35700000,-32600000,-32700000,1e+05,3100000,1200000,4300000,1e+06,8e+05,6100000,6100000,6100000,6100000,52700000,52700000,229100000,229100000,69900000,15300000,54600000,351700000,654700000,4070600000,5.32e+08,2080700000,1457900000,4725300000,5.077e+09,177300000,53300000,1.24e+08,206200000,37300000,168900000,538500000,2185700000,1260900000,17500000,1243400000,3446600000,3985100000,2013400000,-941900000,-20200000,1051300000,1091900000,5.077e+09,6100000,45800000,-7400000,-3100000,41400000,-15900000,-7500000,-28700000,-51800000,3e+07,-7600000,-12800000,-1e+05,-1e+05,1e+05,0,81500000,2340700000,61500000,0.41646,0.09605,0.01641,0.00559,0.0012,10.08197,0.65311,3.64969,0.46104,0.04335,0.04323,2.64179,7.47193,0.4371,0.36816,0.01234,0.0131,8.4918,28.07362,64.08964
"22","2019_Q3",24.3590625,"Up",459900000,-240300000,219600000,-130500000,-81500000,-4.9e+07,89100000,-33900000,-33900000,0,55200000,-4e+05,54800000,-6200000,1700000,50300000,50300000,50300000,50300000,474800000,474800000,277900000,277900000,94100000,24600000,69500000,846800000,660400000,4157800000,551200000,2082400000,1524200000,4818200000,5.665e+09,201800000,60300000,141500000,211100000,30900000,180200000,959300000,2245900000,1324900000,19100000,1305800000,3570800000,4530100000,2059300000,-943900000,-17700000,1097700000,1134900000,5.665e+09,50300000,4.9e+07,3299999.99999999,-60500000,42100000,-21500000,-26900000,-53800000,-52100000,4.6e+08,-8700000,433500000,421800000,421800000,3e+05,422100000,138100000,2792300000,62300000,0.4775,0.19374,0.10937,0.04432,0.00888,1.23857,0.88273,3.99163,0.4929,0.35348,0.35199,3.2319,7.71398,0.43781,0.36613,0.0195,0.01186,1.03579,16.78132,26.0101
