"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",53.8625396825397,"Up",1.5216e+10,-1.2144e+10,3.072e+09,-1.953e+09,-9.53e+08,-1e+09,1.119e+09,-6.5e+07,-1.22e+08,5.9e+07,-2e+06,1.054e+09,-4e+06,1.05e+09,-5.31e+08,5.19e+08,5.19e+08,5.19e+08,5.19e+08,1.0362e+10,4.517e+09,5.845e+09,6.359e+09,6.359e+09,1.8773e+10,1.304e+09,2.74e+08,3.6798e+10,8.693e+09,1.03e+09,1.6449e+10,2.878e+09,4.317e+09,2.754e+09,6.479e+09,2.6172e+10,6.297e+10,1.9736e+10,7.469e+09,1.2267e+10,1.479e+09,1.2269e+10,3.3484e+10,1.1464e+10,1.4983e+10,1.3435e+10,6.392e+09,7.043e+09,8.96e+08,6.52e+08,2.6447e+10,5.9931e+10,7.168e+09,5.061e+09,4.264e+09,-1.5744e+10,2.3265e+10,-1.1747e+10,2.942e+09,9.7e+07,3.039e+09,6.297e+10,5.19e+08,3.5e+08,1.79e+08,6.6e+07,1.13e+08,-1.333e+09,-5.72e+08,-1.833e+09,2.25e+08,8.47e+08,-2.85e+08,-1.83e+08,-1.86e+08,-1.86e+08,-3.834e+09,9.1e+08,-4.041e+09,-4.5e+07,-4.5e+07,-6.4e+07,1.9e+07,2.3e+07,2.3e+07,-7e+06,-3.47e+08,-4.673e+09,-4.673e+09,-2.5e+07,-4.698e+09,1.469e+09,1.2943e+10,4.84e+08,0.20189,0.07354,0.03411,0.17078,0.00824,0.93256,1.09897,19.72063,0.20554,0.70631,0.70126,20.70768,4.00381,0.65868,-47.6274825697033,0.02703,0.01563,1.75698,2.30652
"2","2010_Q3",51.180625,"Down",1.5573e+10,-1.254e+10,3.033e+09,-1.779e+09,-7.78e+08,-1.001e+09,1.254e+09,-4.3e+07,-1.32e+08,5.4e+07,3.5e+07,1.211e+09,-1e+06,1.21e+09,-4.21e+08,7.89e+08,7.87e+08,7.87e+08,7.87e+08,1.0026e+10,4.468e+09,5.558e+09,6.565e+09,6.565e+09,2.0368e+10,1.368e+09,3.16e+08,3.8327e+10,8.584e+09,1.008e+09,1.5836e+10,2.821e+09,4.302e+09,2.379e+09,6.307e+09,2.5428e+10,6.3755e+10,1.9859e+10,6.96e+09,1.2899e+10,1.507e+09,1.2722e+10,3.4088e+10,1.1439e+10,1.5055e+10,1.3534e+10,6.466e+09,7.068e+09,8.6e+08,6.61e+08,2.6494e+10,6.0582e+10,6.994e+09,5.061e+09,3.832e+09,-1.5582e+10,2.3409e+10,-1.1744e+10,3.077e+09,9.6e+07,3.173e+09,6.3755e+10,7.87e+08,3.93e+08,1.35e+08,6.4e+07,7.1e+07,-1.049e+09,-2.55e+08,-1.592e+09,-3.54e+08,1.152e+09,2.66e+08,-2.38e+08,-2.57e+08,-2.57e+08,2.9e+08,2.647e+09,1.49e+08,-1.54e+08,-1.54e+08,-1.61e+08,7e+06,3.8e+07,3.8e+07,4e+06,-4.31e+08,-1.6e+07,-1.6e+07,-3.3e+07,-49000000.000001,1.647e+09,1.2946e+10,7.81e+08,0.19476,0.08052,0.05054,0.24803,0.01234,0.99238,1.12435,19.09297,0.20306,1.06755,1.05822,21.12453,4.1739,1.05941,-20.1346573705084,0.03548,0.02505,1.77292,2.32855
"3","2010_Q4",53.3365625,"Up",1.6967e+10,-1.3746e+10,3.221e+09,-1.922e+09,-9.36e+08,-9.86e+08,1.299e+09,-6.9e+07,-1.3e+08,7.4e+07,-1.3e+07,1.23e+09,1.4e+07,1.244e+09,-4.07e+08,8.37e+08,8.37e+08,8.37e+08,8.37e+08,9.966e+09,2.864e+09,7.102e+09,6.445e+09,6.445e+09,2.1692e+10,1.351e+09,2.85e+08,3.9454e+10,8.671e+09,1.035e+09,1.6062e+10,3.027e+09,4.871e+09,2.223e+09,5.908e+09,2.5768e+10,6.5222e+10,2.0323e+10,7.563e+09,1.276e+10,9.53e+08,1.2962e+10,3.4238e+10,1.1466e+10,1.4966e+10,1.3584e+10,6.522e+09,7.062e+09,8.38e+08,5.44e+08,2.6432e+10,6.067e+10,8.887e+09,5.061e+09,3.826e+09,-1.7302e+10,2.4244e+10,-1.1375e+10,4.454e+09,9.8e+07,4.552e+09,6.5222e+10,8.37e+08,3.58e+08,2.73e+08,4.2e+07,2.31e+08,3.87e+08,1.26e+08,-1.261e+09,3.64e+08,1.158e+09,1.855e+09,-2.59e+08,-2.84e+08,-2.82e+08,-1.544e+09,4.1e+09,-2.588e+09,-5.63e+08,-5.63e+08,-5.67e+08,4e+06,1e+07,1e+07,-6e+06,-8.67e+08,-1.6e+09,-1.6e+09,-4e+06,-1.604e+09,1.657e+09,1.2419e+10,2.192e+09,0.18984,0.07656,0.04933,0.18388,0.01283,2.61888,1.15235,13.32821,0.19041,1.13261,1.12319,22.9594,6.02706,2.96617,-3.42549651394065,0.03585,0.06864,1.48039,1.88838
"4","2011_Q1",56.8604838709677,"Up",1.655e+10,-1.3413e+10,3.137e+09,-2.111e+09,-9.77e+08,-1.134e+09,1.026e+09,-2e+07,-1.32e+08,8e+07,3.2e+07,1.006e+09,-3e+06,1.003e+09,1.63e+08,1.166e+09,1.164e+09,1.164e+09,1.164e+09,1.0517e+10,5.359e+09,5.158e+09,5.422e+09,5.422e+09,2.4317e+10,3.16e+08,2.85e+08,4.0572e+10,8.931e+09,1.111e+09,1.7951e+10,2.979e+09,4.937e+09,4.031e+09,6.004e+09,2.7993e+10,6.8565e+10,2.1517e+10,7.715e+09,1.3802e+10,9.48e+08,1.293e+10,3.5395e+10,1.1473e+10,1.8835e+10,1.7825e+10,9.8e+09,8.025e+09,4.18e+08,5.92e+08,3.0308e+10,6.5703e+10,8.927e+09,5.061e+09,3.866e+09,-1.7187e+10,2.4784e+10,-1.3758e+10,2.766e+09,9.6e+07,2.862e+09,6.8565e+10,1.164e+09,6.45e+08,3.46e+08,4.3e+07,3.03e+08,-1.039e+09,7.09e+08,-2.701e+09,78000000.0000001,8.75e+08,1.116e+09,-3.84e+08,-4e+08,-4e+08,1.965e+09,4.768e+09,1.649e+09,-2.3e+07,-2.3e+07,-34000000.0000001,1.1e+07,1.6e+07,1.6e+07,-2e+06,-3.17e+08,2.448e+09,2.448e+09,4.7e+07,2.495e+09,1.671e+09,1.2421e+10,8.5e+07,0.18955,0.06199,0.07033,0.40671,0.01698,0.0730200000000001,1.14626,22.95702,0.18116,1.57,1.58195,22.32263,3.73078,0.11465,5,0.04314,0.00248999999999999,1.13944,1.85575
"5","2011_Q2",60.6196825396825,"Up",1.491e+10,-1.2049e+10,2.861e+09,-1.923e+09,-8.66e+08,-1.057e+09,9.38e+08,-5.5e+07,-1.3e+08,6.2e+07,1.3e+07,8.83e+08,8774017.58387168,8.83e+08,-2.95e+08,5.88e+08,5.86e+08,5.86e+08,5.86e+08,7.772e+09,5.67e+09,2.102e+09,6.036e+09,6.036e+09,2.6912e+10,2.89e+08,2.52e+08,4.1009e+10,8.973e+09,1.091e+09,1.7687e+10,2.933e+09,4.944e+09,3.862e+09,5.944e+09,2.7751e+10,6.876e+10,2.1139e+10,8.304e+09,1.2835e+10,9.66e+08,1.3152e+10,3.5257e+10,1.0723e+10,1.8773e+10,1.8013e+10,9.979e+09,8.034e+09,4.27e+08,3.33e+08,2.9496e+10,6.4753e+10,8.964e+09,5.061e+09,3.903e+09,-1.7021e+10,2.537e+10,-1.3401e+10,3.912e+09,9.5e+07,4.007e+09,6.876e+10,5.86e+08,3.84e+08,1.4e+08,5.1e+07,8.9e+07,-2.063e+09,-6.33e+08,-2.622e+09,9.69e+08,2.23e+08,-9.53e+08,-4.03e+08,-4.17e+08,-4.17e+08,3.057e+09,4.701e+09,2.707e+09,-1.19e+09,-1.19e+09,-1.204e+09,1.4e+07,2.4e+07,2.4e+07,7e+06,-1.468e+09,2.86e+08,2.86e+08,2.5e+07,3.11e+08,1.322e+09,1.1689e+10,-8.49e+08,0.19188,0.06291,0.0393,0.14624,0.00852,-1.44881,1.16314,16.15997,0.17,0.7888,0.78238,20.07,5.26585,-1.14282,7.64183217131355,0.02597,-0.02463,2.96293,4.17591
"6","2011_Q3",53.115,"Down",1.6543e+10,-1.32e+10,3.343e+09,-1.917e+09,-8.7e+08,-1.047e+09,1.426e+09,-2.1e+07,-1.23e+08,8.8e+07,1.4e+07,1.405e+09,2e+07,1.425e+09,-4.83e+08,9.42e+08,9.41e+08,9.41e+08,9.41e+08,8.802e+09,5.05e+09,3.752e+09,6.162e+09,6.162e+09,2.9094e+10,2.95e+08,2.6e+08,4.4353e+10,9.044e+09,1.117e+09,1.7605e+10,3.141e+09,4.949e+09,3.697e+09,5.813e+09,2.7766e+10,7.2119e+10,2.1832e+10,8.262e+09,1.357e+10,1.304e+09,1.4234e+10,3.737e+10,1.0324e+10,1.9601e+10,1.8191e+10,1.0155e+10,8.036e+09,3.83e+08,1.027e+09,2.9925e+10,6.7295e+10,9.006e+09,5.061e+09,3.945e+09,-1.6859e+10,2.5681e+10,-1.3095e+10,4.733e+09,9.1e+07,4.824e+09,7.2119e+10,9.41e+08,4.32e+08,8.2e+07,4.5e+07,3.7e+07,1.41e+08,-1.14e+08,-2.267e+09,1.65e+08,2.357e+09,1.596e+09,-3.4e+08,-3.45e+08,-3.45e+08,-1.609e+09,1.201e+09,-1.949e+09,-3.1e+07,-3.1e+07,-5.3e+07,2.2e+07,5.6e+07,5.6e+07,7e+06,-2.79e+08,-6.32e+08,-6.32e+08,1.2e+07,-6.2e+08,1.858e+09,1.1628e+10,2.142e+09,0.20208,0.0862,0.05688,0.19507,0.01305,2.2763,1.18686,13.95004,0.16123,1.26224,1.25033,22.19048,6.34876,2.87324,7,0.03473,0.05941,1.52099,1.98177
"7","2011_Q4",54.6365079365079,"Up",1.7727e+10,-1.4357e+10,3.37e+09,-1.709e+09,-8.08e+08,-9.01e+08,1.661e+09,-2e+07,-1.21e+08,5.2e+07,4.9e+07,1.641e+09,0,1.641e+09,-5.47e+08,1.094e+09,1.098e+09,1.098e+09,1.098e+09,9.233e+09,5.954e+09,3.279e+09,6.296e+09,6.296e+09,3.0493e+10,3.25e+08,2.94e+08,4.6347e+10,9.19e+09,1.109e+09,1.7517e+10,3.095e+09,4.939e+09,3.709e+09,5.768e+09,2.7816e+10,7.4163e+10,1.9715e+10,8.502e+09,1.1213e+10,1.603e+09,1.6275e+10,3.7593e+10,1.0777e+10,1.9732e+10,1.8183e+10,9.848e+09,8.335e+09,3.9e+08,1.159e+09,3.0509e+10,6.8102e+10,9.049e+09,5.061e+09,3.988e+09,-1.6715e+10,2.6779e+10,-1.3146e+10,5.967e+09,9.4e+07,6.061e+09,7.4163e+10,1.098e+09,4.21e+08,5.1e+07,4.5e+07,6e+06,-1.121e+09,-1.64e+08,-3.356e+09,3.13e+08,2.086e+09,4.49e+08,-3.45e+08,-3.8e+08,-3.8e+08,4.69e+08,2.104e+09,9.8e+07,6.79e+08,6.79e+08,-7.4e+07,7.53e+08,2.6e+07,2.6e+07,0,3.93e+08,9.4e+08,9.4e+08,-3.6e+07,9.04e+08,2.082e+09,1.238e+10,1.163e+09,0.19011,0.0937,0.06194,0.18116,0.01481,1.0592,1.23286,11.2361,0.16693,1.46772,1.45643,23.69603,7.97621,1.5546,6,0.03694,0.03047,1.51153,1.89464
"8","2012_Q1",61.4414516129032,"Up",1.9555e+10,-1.6282e+10,3.273e+09,-1.777e+09,-8.64e+08,-9.13e+08,1.496e+09,-5.6e+07,-1.03e+08,7.6e+07,-2.9e+07,1.44e+09,4e+06,1.444e+09,-56999999.9999999,1.387e+09,1.393e+09,1.393e+09,1.393e+09,1.1272e+10,1.0049e+10,1.223e+09,5.793e+09,5.793e+09,3.224e+10,5.05e+08,4.76e+08,4.981e+10,9.313e+09,1.043e+09,1.982e+10,3.044e+09,4.945e+09,5.892e+09,5.939e+09,3.0176e+10,7.9986e+10,2.0645e+10,8.406e+09,1.2239e+10,2.353e+09,1.8276e+10,4.1274e+10,1.0018e+10,2.5086e+10,2.4057e+10,1.6537e+10,7.52e+09,1.22e+08,9.07e+08,3.5104e+10,7.6378e+10,9.094e+09,5.061e+09,4.033e+09,-1.6603e+10,2.7524e+10,-1.65e+10,3.515e+09,9.3e+07,3.608e+09,7.9986e+10,1.393e+09,4.38e+08,1.92e+08,4.5e+07,1.47e+08,9.08e+08,6.19e+08,-1.767e+09,-2.83e+08,2.339e+09,2.931e+09,-5.31e+08,-5.71e+08,-5.71e+08,2.044e+09,2.751e+09,1.513e+09,-4e+07,-4e+07,-49999999.9999999,10000000.0000001,8e+06,8e+06,-2e+06,-3.46e+08,4.098e+09,4.098e+09,-2999999.99999999,4.095e+09,1.934e+09,1.2371e+10,2.368e+09,0.16737,0.0765,0.07123,0.38609,0.01742,1.69993,1.20681,21.16907,0.15466,1.85758,1.86504,26.07681,4.68729,3.15775,7,0.04152,0.05766,0.56825,0.73463
"9","2012_Q2",59.89,"Down",1.9383e+10,-1.6074e+10,3.309e+09,-1.79e+09,-9.55e+08,-8.35e+08,1.519e+09,-5.6e+07,-1.14e+08,4.6e+07,1.2e+07,1.463e+09,0,1.463e+09,-5.39e+08,9.24e+08,9.23e+08,9.23e+08,9.23e+08,1.0516e+10,6.718e+09,3.798e+09,6.475e+09,6.475e+09,3.2738e+10,4.02e+08,3.72e+08,5.0131e+10,9.399e+09,1.037e+09,1.9638e+10,2.993e+09,4.95e+09,5.791e+09,5.904e+09,3.0074e+10,8.0205e+10,1.9984e+10,9.041e+09,1.0943e+10,2.807e+09,1.8514e+10,4.1305e+10,8.817e+09,2.4963e+10,2.4228e+10,1.673e+10,7.498e+09,1.92e+08,5.43e+08,3.378e+10,7.5085e+10,9.038e+09,5.061e+09,3.977e+09,-1.6364e+10,2.8447e+10,-1.6094e+10,5.027e+09,9.3e+07,5.12e+09,8.0205e+10,9.23e+08,4.26e+08,1.98e+08,5e+07,1.48e+08,-7.1e+08,-7.29e+08,-4.97e+08,5.06e+08,1e+07,8.37e+08,-4.2e+08,-4.24e+08,-4.24e+08,-2.583e+09,1.135e+09,-3.003e+09,-8.63e+08,-8.63e+08,-8.83e+08,2e+07,2.8e+07,2.8e+07,-2.4e+07,-1.187e+09,-3.353e+09,-3.353e+09,2.2e+07,-3.331e+09,1.945e+09,1.1624e+10,1.354e+09,0.17072,0.07837,0.04762,0.18027,0.01151,1.46696,1.21368,14.66504,0.14493,1.22658,1.2188,25.75814,6.6804,1.79934,6,0.02999,0.03246,0.56967,0.72943
"10","2012_Q3",60.1204761904762,"Up",2.0005e+10,-1.6746e+10,3.259e+09,-1.76e+09,-9.03e+08,-8.57e+08,1.499e+09,-5.1e+07,-1.06e+08,4.5e+07,1e+07,1.448e+09,-2e+06,1.446e+09,-4.79e+08,9.67e+08,9.67e+08,9.67e+08,9.67e+08,1.0307e+10,6.305e+09,4.002e+09,5.894e+09,5.894e+09,3.5033e+10,3.74e+08,3.44e+08,5.1608e+10,9.453e+09,1.004e+09,1.953e+10,2.98e+09,4.955e+09,5.781e+09,5.814e+09,2.9987e+10,8.1595e+10,2.0972e+10,9.273e+09,1.1699e+10,2.466e+09,1.9012e+10,4.245e+10,8.735e+09,2.4518e+10,2.3642e+10,1.6164e+10,7.478e+09,2.26e+08,6.5e+08,3.3253e+10,7.5703e+10,9.079e+09,5.061e+09,4.018e+09,-1.6202e+10,2.8743e+10,-1.5816e+10,5.804e+09,8.8e+07,5.892e+09,8.1595e+10,9.67e+08,4.22e+08,2.71e+08,4.9e+07,2.22e+08,-7.52e+08,4.19e+08,-2.24e+09,2.36e+08,8.33e+08,9.08e+08,-3.5e+08,-3.62e+08,-3.56e+08,-2.17e+08,2.461e+09,-5.85e+08,-4.18e+08,-4.18e+08,-4.22e+08,4000000.00000003,4.3e+07,4.3e+07,-5e+06,-7.1e+08,-387000000.000001,-387000000.000001,-2.6e+07,-412999999.999999,1.921e+09,1.1201e+10,1.298e+09,0.16291,0.07493,0.04834,0.16412,0.01185,1.3423,1.21574,12.84844,0.13728,1.27927,1.27304,26.46514,7.67826,1.71716,5,0.03117,0.03119,0.46538,0.5964
