"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.83142857142857,"Up",3.622e+09,-1.349e+09,2.273e+09,-1.334e+09,-4.14e+08,-9.2e+08,9.39e+08,-2.08e+08,-2.2e+08,7e+06,5e+06,7.31e+08,3.9e+07,7.7e+08,-2.14e+08,5.56e+08,5.56e+08,5.56e+08,5.56e+08,1.215e+09,1.215e+09,1.174e+09,1.174e+09,8.52e+08,2.316e+09,2.316e+09,5.557e+09,3.6854e+10,9.7e+08,7.561e+09,1.204e+09,6.357e+09,4.5385e+10,5.0942e+10,1.398e+09,9.37e+08,4.61e+08,5908322524.38755,3.494e+09,2.517e+09,9.77e+08,2.89e+09,7.72e+08,2.118e+09,7.782e+09,1.6601e+10,1.3223e+10,5.083e+09,3.69e+08,7.756e+09,2.9824e+10,3.7606e+10,5.088e+09,4e+06,5.084e+09,8.091e+09,1.57e+08,1.3336e+10,1.3336e+10,5.0942e+10,5.56e+08,5.56e+08,4.14e+08,-2.12e+08,1.38e+08,8.96e+08,-8.09e+08,-8.09e+08,-8.09e+08,-5.43e+08,-1.361e+09,-2.04e+08,1.614e+09,1.2e+07,2e+07,1.442e+09,9.77e+08,9.77e+08,9.77e+08,1.353e+09,2.0095e+10,8.96e+08,0.62755,0.25925,0.15351,0.04169,0.01091,1.61151,0.71408,2.81989,0.39447,0.3411,0.33894,2.22209,8.1816,0.54969,0.12515,-108.136011652332,0.01629,0.01921,0.36691,13.95418,20.1065
"2","2010_Q3",9.4246875,"Up",3.591e+09,-1.455e+09,2.136e+09,-1.427e+09,-3.86e+08,-1.041e+09,7.09e+08,-2.24e+08,-2.18e+08,1.6e+07,-2.2e+07,4.85e+08,9e+06,4.94e+08,-77000000.0000001,4.17e+08,4.17e+08,4.17e+08,4.17e+08,8.29e+08,8.29e+08,1.485e+09,1.485e+09,8.26e+08,2.159e+09,2.159e+09,5.299e+09,3.7578e+10,9.43e+08,7.389e+09,1.212e+09,6.177e+09,4.591e+10,5.1209e+10,1.922e+09,1.316e+09,6.06e+08,2849661262.19378,2.772e+09,1.716e+09,1.056e+09,2.432e+09,5.16e+08,1.916e+09,7.126e+09,1.7171e+10,1.3383e+10,5.242e+09,3.2e+08,7.806e+09,3.0554e+10,3.768e+10,5.177e+09,4e+06,5.173e+09,8.303e+09,4.9e+07,1.3529e+10,1.3529e+10,5.1209e+10,4.17e+08,4.17e+08,3.86e+08,49000000.0000001,0,8.52e+08,-6.82e+08,-6.82e+08,-6.82e+08,-2.6e+08,-9.22e+08,-2.06e+08,-3.52e+08,5.7e+07,1.85e+08,-3.16e+08,-3.86e+08,-3.86e+08,-3.86e+08,1.095e+09,1.9943e+10,4.9e+08,0.59482,0.19744,0.11612,0.03082,0.00814,1.17506,0.74361,2.78513,0.38944,0.25495,0.2534,2.19552,8.27158,0.29958,0.12595,-48.0725395479105,0.0133,0.01046,0.494,17.45571,26.9591
"3","2010_Q4",9.5134375,"Up",4.691e+09,-1.991e+09,2.7e+09,-1.575e+09,-5.3e+08,-1.045e+09,1.125e+09,-1.6e+08,-2.25e+08,3.3e+07,3.2e+07,9.65e+08,-3e+06,9.62e+08,-2.41e+08,7.21e+08,7.21e+08,7.21e+08,7.21e+08,7.91e+08,7.91e+08,1.595e+09,1.595e+09,8.95e+08,2.495e+09,2.495e+09,5.776e+09,3.8301e+10,1.028e+09,7.629e+09,1.232e+09,6.397e+09,4.6958e+10,5.2734e+10,1.811e+09,1.099e+09,7.12e+08,1119887087.39793,2.788e+09,1.085e+09,1.703e+09,2.588e+09,8.18e+08,1.77e+09,7.187e+09,1.768e+10,1.3716e+10,5.149e+09,4.49e+08,8.118e+09,3.1396e+10,3.8583e+10,5.287e+09,4e+06,5.283e+09,8.817e+09,4.7e+07,1.4151e+10,1.4151e+10,5.2734e+10,7.21e+08,7.21e+08,5.3e+08,-1.78e+08,-5.2e+07,1.021e+09,-6.04e+08,-6.04e+08,-6.04e+08,-6.6e+08,-1.273e+09,-2.06e+08,2.5e+08,1.15e+08,5.5e+07,2.14e+08,-3.8e+07,-3.8e+07,-3.8e+07,1.655e+09,2.0468e+10,1.24e+09,0.57557,0.23982,0.1537,0.05095,0.01367,1.71983,0.80367,2.72652,0.38814,0.43867,0.43612,2.8541,8.60976,0.75444,0.12533,-12.2772023304664,0.01918,0.02565,0.28571,11.88943,17.49067
"4","2011_Q1",9.78935483870968,"Up",3.413e+09,-1.447e+09,1.966e+09,-1.493e+09,-4.58e+08,-1.035e+09,4.73e+08,-1.97e+08,-2.25e+08,2e+06,2.6e+07,2.76e+08,-1.3e+07,2.63e+08,0,2.63e+08,2.63e+08,2.63e+08,2.63e+08,3.02e+08,3.02e+08,1.509e+09,1.509e+09,8.57e+08,2.59e+09,2.59e+09,5.258e+09,3.9075e+10,9.71e+08,7.69e+09,1.259e+09,5.842e+09,4.7736e+10,5.2994e+10,1.957e+09,1.124e+09,4.62e+08,3.71e+08,2.809e+09,8.89e+08,1.92e+09,2.138e+09,5.36e+08,1.602e+09,6.904e+09,1.8013e+10,1.3616e+10,5.109e+09,2.43e+08,8.264e+09,3.1629e+10,3.8533e+10,5.422e+09,4e+06,5.418e+09,8.873e+09,1.66e+08,1.4461e+10,1.4461e+10,5.2994e+10,2.63e+08,2.63e+08,4.58e+08,1.9e+08,1.54e+08,1.065e+09,-5.78e+08,-5.78e+08,-5.78e+08,-1.155e+09,-1.728e+09,-2.07e+08,3.13e+08,1.24e+08,-5.6e+07,1.74e+08,-4.89e+08,-4.89e+08,-4.89e+08,9.31e+08,2.0822e+10,5.07e+08,0.57603,0.13859,0.07706,0.01819,0.00496,1.92776,0.76159,2.66462,0.39291,0.15885,0.1576,2.06149,8.7346,0.30623,0.12503,5,0.00961,0.01037,0.78707,22.04082,43.38266
"5","2011_Q2",10.3257142857143,"Up",3.134e+09,-1.404e+09,1.73e+09,-1.302e+09,-3.31e+08,-9.71e+08,4.28e+08,-2.09e+08,-2.33e+08,1e+07,1.4e+07,2.19e+08,1.7e+07,2.36e+08,3.2e+07,2.68e+08,2.68e+08,2.68e+08,2.68e+08,4.25e+08,4.25e+08,1.285e+09,1.285e+09,8.75e+08,1.934e+09,1.934e+09,4.519e+09,3.9937e+10,9.31e+08,7.87e+09,1.278e+09,6.592e+09,4.8738e+10,5.3257e+10,1.817e+09,1.075e+09,4.87e+08,2.55e+08,2.966e+09,1.378e+09,1.588e+09,1.956e+09,4.67e+08,1.489e+09,6.739e+09,1.8288e+10,1.3631e+10,5.157e+09,2.26e+08,8.248e+09,3.1919e+10,3.8658e+10,5.485e+09,4e+06,5.481e+09,8.912e+09,2.02e+08,1.4599e+10,1.4599e+10,5.3257e+10,2.68e+08,2.68e+08,3.31e+08,4.26e+08,-4.2e+07,9.83e+08,-7.64e+08,-7.64e+08,-7.64e+08,-2.9e+08,-1.077e+09,-2.29e+08,4.37e+08,1.8e+07,-9e+06,2.17e+08,1.23e+08,1.23e+08,1.23e+08,7.59e+08,2.1254e+10,-7.9e+07,0.55201,0.13657,0.08551,0.01836,0.00503,-0.29478,0.67057,2.64799,0.39908,0.16114,0.16013,1.88432,8.77766,-0.0475,0.13769,9.50906744348881,0.01004,-0.0016,0.85448,27.44269,48.66589
"6","2011_Q3",10.1759375,"Down",3.96e+09,-1.558e+09,2.402e+09,-1.444e+09,-4.09e+08,-1.035e+09,9.58e+08,-2.05e+08,-2.4e+08,1.9e+07,1.6e+07,7.53e+08,-2.6e+07,7.27e+08,-1.47e+08,5.8e+08,5.8e+08,5.8e+08,5.8e+08,2.87e+08,2.87e+08,1.633e+09,1.633e+09,1.072e+09,1.821e+09,1.821e+09,4.813e+09,4.0854e+10,9.54e+08,7.936e+09,1.298e+09,6.176e+09,4.9744e+10,5.4557e+10,2.29e+09,1.28e+09,6.22e+08,3.88e+08,2.218e+09,1.05e+09,1.168e+09,1.881e+09,3.89e+08,1.492e+09,6.389e+09,1.9235e+10,1.4027e+10,5.281e+09,2.35e+08,8.511e+09,3.3262e+10,3.9651e+10,5.529e+09,4e+06,5.525e+09,9.262e+09,1.15e+08,1.4906e+10,1.4906e+10,5.4557e+10,5.8e+08,5.8e+08,4.09e+08,2.05e+08,-1.86e+08,1.008e+09,-8.63e+08,-8.63e+08,-8.63e+08,-4.18e+08,-1.282e+09,-2.3e+08,1.85e+08,1.5e+07,1.66e+08,1.36e+08,-1.38e+08,-1.38e+08,-1.38e+08,1.367e+09,2.1453e+10,4.65e+08,0.60657,0.24192,0.14646,0.03891,0.01063,0.80172,0.75333,2.66007,0.39322,0.34772,0.34573,2.3741,8.93645,0.27878,0.13789,7,0.01608,0.00923,0.39655,15.48354,22.09395
"7","2011_Q4",10.4453968253968,"Up",4.382e+09,-1.91e+09,2.472e+09,-1.709e+09,-4.96e+08,-1.213e+09,7.63e+08,-2e+08,-2.44e+08,2.8e+07,1.6e+07,5.63e+08,3e+06,5.66e+08,-1.58e+08,4.08e+08,4.08e+08,4.08e+08,4.08e+08,6.4e+08,6.4e+08,1.689e+09,1.689e+09,1.045e+09,2.878e+09,1.786e+09,6.252e+09,4.1117e+10,9.31e+08,8.285e+09,1.317e+09,6.469e+09,5.0333e+10,5.6585e+10,2.441e+09,1.336e+09,6.83e+08,4.22e+08,2.432e+09,1.835e+09,5.97e+08,2.546e+09,5.71e+08,1.975e+09,7.419e+09,2.0039e+10,1.424e+10,5.357e+09,4.54e+08,8.429e+09,3.4279e+10,4.1698e+10,5.562e+09,4e+06,5.558e+09,9.439e+09,-1.14e+08,1.4887e+10,1.4887e+10,5.6585e+10,4.08e+08,4.08e+08,4.96e+08,6.45e+08,-4.23e+08,1.126e+09,-7.05e+08,-7.05e+08,-7.05e+08,-1.35e+09,-2.063e+09,-2.3e+08,1.553e+09,6e+06,-3.9e+07,1.29e+09,3.53e+08,3.53e+08,3.53e+08,1.259e+09,2.2471e+10,2.89e+08,0.56413,0.17412,0.09311,0.02741,0.00721,0.70833,0.8427,2.80097,0.39712,0.24443,0.24315,2.62521,8.91864,0.17314,0.13779,4,0.01236,0.0056,0.56373,17.33995,28.61206
"8","2012_Q1",11.2698387096774,"Up",3.865e+09,-1.384e+09,2.481e+09,-1.469e+09,-3.31e+08,-1.138e+09,1.012e+09,-9.3e+07,-2.39e+08,-2e+06,1.48e+08,9.19e+08,4e+06,9.23e+08,-2.56e+08,6.67e+08,6.67e+08,6.67e+08,6.67e+08,3.77e+08,3.77e+08,1.372e+09,1.372e+09,1.074e+09,2.049e+09,2.039e+09,4.872e+09,4.249e+10,9.07e+08,8.919e+09,1.021e+09,6.925e+09,5.2316e+10,5.7188e+10,2.173e+09,1.191e+09,4.64e+08,5.18e+08,2.157e+09,1.349e+09,8.08e+08,2.389e+09,1.09e+09,1.299e+09,6.719e+09,2.081e+10,1.4716e+10,5.681e+09,5.41e+08,8.494e+09,3.5526e+10,4.2245e+10,5.221e+09,4e+06,5.217e+09,9.876e+09,-1.54e+08,1.4943e+10,1.4943e+10,5.7188e+10,6.67e+08,6.67e+08,3.31e+08,-1.78e+08,1.37e+08,9.57e+08,47000000.0000001,47000000.0000001,47000000.0000001,-9.36e+08,-8.57e+08,-2.31e+08,1.04e+08,-3.66e+08,1.3e+08,-3.63e+08,-2.63e+08,-2.63e+08,-2.63e+08,1.343e+09,2.2967e+10,1.783e+09,0.64191,0.26184,0.17257,0.04464,0.01166,2.67316,0.72511,2.82708,0.40161,0.40055,0.39826,2.32104,8.9737,1.07074,0.13872,6,0.01706,0.03388,0.34633,16.82055,22.32213
"9","2012_Q2",12.3236507936508,"Up",3.371e+09,-1.182e+09,2.189e+09,-1.386e+09,-3.2e+08,-1.066e+09,8.03e+08,-1.85e+08,-2.45e+08,-15996339.2648544,6e+07,6.18e+08,0,6.18e+08,-1.57e+08,4.61e+08,4.61e+08,4.61e+08,4.61e+08,2.75e+08,2.75e+08,1.262e+09,1.262e+09,1.092e+09,2.465e+09,2.465e+09,5.094e+09,4.3968e+10,9.37e+08,9.208e+09,1.041e+09,7.1e+09,5.4113e+10,5.9207e+10,2.058e+09,1.073e+09,5.01e+08,4.84e+08,3.197e+09,1.739e+09,1.458e+09,2.75e+09,1.347e+09,1.403e+09,8.005e+09,2.0582e+10,1.5397e+10,5.813e+09,6.9e+08,8.894e+09,3.5979e+10,4.3984e+10,5.228e+09,4e+06,5.224e+09,1.0089e+10,-9.4e+07,1.5223e+10,1.5223e+10,5.9207e+10,4.61e+08,4.61e+08,3.2e+08,1.81e+08,-1.27e+08,8.35e+08,-1.23e+09,-1.23e+09,-1.23e+09,-7.69e+08,-1.995e+09,-2.48e+08,1.014e+09,-7e+06,2.99e+08,1.058e+09,-1.02e+08,-1.02e+08,-1.02e+08,1.123e+09,2.3779e+10,-7.7e+07,0.64936,0.23821,0.13675,0.03028,0.00779,-0.16703,0.63635,2.88931,0.40162,0.27953,0.27791,2.04402,9.23054,-0.04669,0.15038,6,0.01303,-0.00142,0.53796,20.92965,29.27024
"10","2012_Q3",13.2031746031746,"Up",3.667e+09,-1.236e+09,2.431e+09,-1.431e+09,-3.35e+08,-1.096e+09,1e+09,-2.18e+08,-2.49e+08,-8073355.8704406,3.1e+07,7.82e+08,6.7e+07,8.49e+08,-2.42e+08,6.07e+08,6.07e+08,6.07e+08,6.07e+08,2.95e+08,2.95e+08,1.466e+09,1.466e+09,1.082e+09,2.011e+09,2.011e+09,4.854e+09,4.5495e+10,9.57e+08,9.084e+09,1.06e+09,6.866e+09,5.5536e+10,6.039e+10,2.256e+09,1.134e+09,6.25e+08,4.97e+08,3.082e+09,1.327e+09,1.755e+09,2.305e+09,8.82e+08,1.423e+09,7.643e+09,2.158e+10,1.5379e+10,5.987e+09,6.33e+08,8.759e+09,3.6959e+10,4.4602e+10,5.534e+09,4e+06,5.53e+09,1.0444e+10,-1.9e+08,1.5788e+10,1.5788e+10,6.039e+10,6.07e+08,6.07e+08,3.35e+08,3.62e+08,-2.11e+08,1.093e+09,-1.187e+09,-1.187e+09,-1.187e+09,-8.06e+08,-2.026e+09,-2.52e+08,8.4e+08,3.6e+08,5e+06,9.53e+08,2e+07,2e+07,2e+07,1.335e+09,2.4662e+10,1.79e+08,0.66294,0.2727,0.16553,0.03845,0.01005,0.29489,0.63509,2.82506,0.40838,0.36566,0.36373,2.20904,9.51084,0.10783,0.15181,5,0.01539,0.00321,0.41516,18.25243,24.367
