"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",9.53875,"Down",-4286000,-1348000,-2938000,-4286000,4000,4000,-4282000,-4282000,-4282000,-4282000,-4282000,-4282000,55465000,55465000,852000,808000,56317000,4000,4000,56321000,4202000,3935000,267000,4215000,4215000,60838000,-8732000,52106000,52106000,56321000,-4282000,-41813.1524186751,1514000,1756000,-1012000,56512000,56512000,55590000,54578000,54578000,54578000,-4520789.30285603,0,-0.08218,-0.07603,13.36109,0.08089,0,-0.37377,-0.37377,4.54823,-0.08218,24.9302684443683,12.94097
"2","2018_Q3",9.27984126984127,"Down",-3244000,-1463000,-1781000,-3244000,218000,218000,-3026000,-3026000,-3026000,-3026000,-3026000,-3026000,50349000,50349000,739000,669000,51088000,122000,122000,51210000,1389000,889000,5e+05,1389000,1389000,61579000,-11758000,49821000,49821000,51210000,-3026000,2000,-121000,-1825000,-4970000,-7.45058059692383e-09,-7.45058059692383e-09,-26000,-5116000,-5116000,-5116000,-3242000,0,-0.06074,-0.05909,36.78042,0.02788,0,-0.19448,-0.19448,3.20203,-0.06074,15.53023,15.52065
"3","2018_Q4",5.27079365079365,"Down",-5119000,-1298000,-3821000,-5119000,232000,232000,-4887000,-4887000,-4887000,-4887000,-4887000,-4887000,47122000,47122000,516000,467000,47638000,177000,228000,47866000,2043000,1213000,830000,2043000,2043000,62468000,-16645000,45823000,45823000,47866000,-4887000,7000,1041000,653000,-3186000,0,0,21000,-3227000,-3227000,-3227000,-5112000,0,-0.10665,-0.1021,23.31767,0.04458,0,-0.31189,-0.31189,2.92443,-0.10665,9.21792,9.20531
"4","2019_Q1",7.70540983606557,"Up",-7313000,-1295000,-6018000,-7313000,238000,238000,-7075000,-7075000,-7075000,-7075000,-7075000,-7075000,42565000,42565000,606000,491000,43171000,327000,378000,43549000,4660000,1604000,3056000,4660000,4660000,62609000,-23720000,38889000,38889000,43549000,-7075000,8000,109000,2617000,-4341000,8000,8000,-58000.0000000009,-4557000,-4557000,-4557000,-7305000,0,-0.18193,-0.16246,9.26416,0.11983,0,-0.45348,-0.45348,2.49262,-0.18193,5.82683,5.82046
"5","2019_Q2",10.5871428571429,"Up",-7419000,-1745000,-5674000,-7419000,215000,215000,-7204000,-7204000,-7204000,-7204000,-7204000,-7204000,36296000,36296000,1783000,1783000,38079000,905000,2249000,40328000,5476000,2128000,3348000,6807000,7960000,63292000,-30924000,32368000,32368000,40328000,-7204000,37000,-110000,1607000,-5670000,1000,1000,1000,-6269000,-6269000,-6269000,-7382000,0,-0.22257,-0.17864,5.59409,0.24592,0,-0.45991,-0.45991,2.06642,-0.21491,4.91682,4.8923
"6","2019_Q3",9.85796875,"Down",-8635000,-2129000,-6506000,-8635000,164000,164000,-8471000,-8471000,-8471000,-8471000,-8471000,-8471000,29965000,29965000,1546000,1500000,31511000,1092000,2767000,34278000,7350000,3979000,3371000,8009000,9121000,64552000,-39395000,25157000,25157000,34278000,-8471000,85000,813000,1546000,-6027000,229999.999999999,229999.999999999,-79000,-6331000,-6331000,-6331000,-8550000,-4.44089209850063e-16,-0.33673,-0.24713,3.93445,0.36256,0,-0.54064,-0.54064,1.60557,-0.32247,3.50468,3.47018
"7","2019_Q4",6.28328125,"Down",-9134000,-2012000,-7122000,-9134000,116000,116000,-9018000,-9018000,-9018000,-9018000,-9018000,-9018000,40252000,40252000,1109000,1109000,41361000,1086000,2336000,43697000,7625000,4238000,3387000,8206000,9277000,82833000,-48413000,34420000,34420000,43697000,-9018000,96000,1167000,270000,-7485000,17506000,17506000,17815000,10287000,10287000,10287000,-9038000,0,-0.262,-0.20638,5.04034,0.26952,0,-0.57245,-0.57245,2.18492,-0.25409,4.45364,4.40683
"8","2020_Q1",22.4653225806452,"Up",-8413000,-1918000,-6495000,-8413000,138000,138000,-8275000,-8275000,-8275000,-8275000,-8275000,-8275000,32426000,32426000,1681000,1681000,34107000,1041000,2285000,36392000,8073000,4953000,3120000,8468000,9497000,83583000,-56688000,26895000,26895000,36392000,-8275000,-62000,1272000,-854000,-7919000,94999.9999999925,94999.9999999925,95000,-7826000,-7826000,-7826000,-8475000,7.105427357601e-15,-0.30768,-0.22739,4.02775,0.35311,0,-0.45792,-0.45792,1.4883,-0.29634,3.82608,3.85427
"9","2020_Q2",40.7577777777778,"Up",-14996000,-2625000,-12371000,-14996000,85000,85000,-14911000,-14911000,-14911000,-14911000,-14911000,-14911000,80079000,80079000,3519000,3519000,83598000,1010000,2214000,85812000,10333000,6733000,3600000,12265000,13226000,144185000,-71599000,72586000,72586000,85812000,-14911000,47000,776000,1931000,-12157000,68850000,68850000,59826000,47653000,47653000,47653000,-14949000,0,-0.20543,-0.17376,6.81598,0.18221,0,-0.78611,-0.78611,3.82674,-0.20274,5.35681,5.34002
"10","2020_Q3",46.92609375,"Up",-21435000,-3529000,-17906000,-21435000,16000,16000,-21419000,-21419000,-21419000,-21419000,-21419000,-21419000,65495000,65495000,2818000,2818000,68313000,997000,2149000,70462000,14961000,10434000,4527000,16161000,17068000,146412000,-93018000,53394000,53394000,70462000,-21419000,48000,1956000,4595000,-14820000,270999.999999985,270999.999999985,270999.999999985,-14584000,-14584000,-14584000,-21387000,-1.13686837721616e-13,-0.40115,-0.30398,4.22703,0.31966,4.2351647362715e-22,-1.05667,-1.05667,2.63411,-0.39445,3.06237,3.05552
