"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",8.430625,"Down",109659000,-94400000,15259000,-4623000,-4623000,10636000,-3072000,-3087000,15000,7564000,2865000,2865000,2865000,2873000,2873000,76668000,76668000,37650000,37650000,22552000,4338000,3340000,141208000,323590000,96238000,85615000,5510000,419828000,561036000,21926000,6595000,13413000,3109000,30635000,174403000,1131000,1131000,175534000,206169000,351850000,351850000,354867000,561036000,2865000,8237000,5261000,-4124000,12239000,-1169000,-1170000,2881000,46329000,49210000,60279000,60279000,60279000,18873000,177512000,0.13915,0.09699,0.0262,0.0081,0.00512,4.60937,0.58098,0.3164,0.12024,0.1189,4.58959,14.72607,0.00539,5.34329,9.48138
"2","2015_Q4",9.03140625,"Up",116588000,-100005000,16583000,-4954000,-4954000,11629000,-2836000,-2909000,73000,8793000,8793000,8793000,8793000,8807000,8807000,75157000,75157000,44464000,44464000,25366000,3460000,2808000,148447000,321639000,94344000,85615000,5224000,415983000,564430000,25374000,8975000,16399000,3072000,34480000,173767000,1176000,1176000,174943000,209423000,352004000,352004000,355007000,564430000,8793000,7579000,409000,-5755000,11026000,-2544000,-2544000,85865000,-93310000,-7445000.00000001,1036999.99999999,1036999.99999999,1036999.99999999,19208000,176839000,0.14224,0.09974,0.07554,0.02481,0.0156,4.30531,0.58991,0.31331,0.3686,0.36448,4.87959,14.73252,0.01652,5.29373,8.74383
"3","2016_Q1",11.487868852459,"Up",116813000,-100770000,16043000,-10575000,-10575000,5468000,-2118000,-2998000,880000,3350000,3350000,3394000,3394000,6223000,6223000,2128000,2128000,38684000,38684000,24245000,2300000,2124000,67357000,494465000,96077000,85615000,7063000,590542000,657899000,40786000,14277000,26509000,6673000,59827000,186294000,16001000,16001000,202295000,262122000,394779000,394779000,395777000,657899000,3394000,6652000,6657000,4191000,20894000,-94932000,-94932000,-51474000,46216000,-5258000,-79296000,-79296000,-79296000,12120000,192967000,0.13734,0.04681,0.05327,0.01572,0.00946,1.12586,0.6623,0.29331,0.26045,0.25754,4.88901,16.52279,0.01029,15.74579,34.90106
"4","2016_Q2",13.92875,"Up",107252000,-91497000,15755000,-6950000,-6950000,8805000,-3259000,-3391000,132000,5546000,5546000,5546000,5546000,6539000,6539000,3636000,3636000,37853000,37853000,27799000,8457000,8074000,77745000,401214000,88743000,85615000,502000.000000001,489957000,567702000,25432000,12602000,12830000,6652000,43078000,185872000,16093000,16093000,201965000,245043000,319683000,319683000,322659000,567702000,5546000,6893000,1789000,5163000,19391000,-12254000,-12254000,-829000,-4799999.99999999,-5629000,1508000.00000001,1508000.00000001,1508000.00000001,15698000,192524000,0.1469,0.0821,0.06097,0.02027,0.01152,1.80475,0.75945,0.33913,0.27368,0.27062,4.48885,13.37978,0.01231,12.03262,21.45236
"5","2016_Q3",15.4634375,"Up",119709000,-100253000,19456000,-6367000,-6367000,13089000,-3200000,-3340000,140000,9889000,9889000,9889000,9889000,10997000,10997000,19806000,19806000,47556000,47556000,21262000,2390000,1928000,91014000,398139000,88209000,85615000,429000,486348000,577362000,30854000,9789000,21065000,6836000,53333000,199903000,1715000,1715000,201618000,254951000,319468000,319468000,322411000,577362000,9889000,7120000,1995000,12455000,31459000,-18608000,-18608000,-795000,4114000,3319000,16170000,16170000,16170000,20209000,206739000,0.16253,0.10934,0.09186,0.03411,0.01905,1.70652,0.79076,0.35808,0.46026,0.45512,5.01021,13.37078,0.02072,9.24999,14.28169
"6","2016_Q4",17.7055555555556,"Up",110794000,-88377000,22417000,-8708000,-8708000,13709000,-3363000,-3365000,2000.00000000006,10346000,10346000,10346000,10346000,11712000,11712000,21396000,21396000,31452000,31452000,29114000,2666000,1518000,84628000,394243000,87777000,85615000,695000,482020000,566648000,20329000,1726000,18603000,7792000,37625000,198898000,1866000,1866000,200764000,238389000,325442000,325337000,328259000,566648000,10346000,6439000,3346000,-15870000,4261000,-21612000,-21690000,-836000.000000007,19855000,19019000,1590000,1590000,1590000,20148000,206690000,0.20233,0.12373,0.10571,0.03568,0.02067,2.24925,0.72622,0.36476,0.49019,0.48471,4.63709,13.61641,0.02182,9.19664,13.51623
"7","2017_Q1",18.3912903225806,"Up",126521000,-107377000,19144000,-11073000,-11073000,8071000,-5960000,-6125000,165000,2111000,-12318000,-12318000,-12318000,-9981000,-9981000,466000,466000,77868000,77868000,29936000,13079000,1979000,121349000,590916000,89111000,85615000,2125000,680027000,801376000,58938000,9993000,44531000,4165000,74957000,346915000,2642000,2642000,349557000,424514000,338258000,338853000,376862000,801376000,-12318000,7283000,19501000,-13773000,693000,-58650000,-58572000,147744000,-110795000,36949000,-20930000,-20930000,-20930000,15354000,351080000,0.15131,0.06379,-0.07889,-0.02648,-0.01245,1.61891,1.12644,0.4381,-0.41774,-0.41307,5.29532,14.1821,-0.01366,22.83535,43.44121
"8","2017_Q2",19.008253968254,"Up",122443000,-106075000,16368000,-8763000,-8763000,7605000,-7650000,-7707000,57000,-45000,-45000.0000000037,-45000,-45000,1274000,1274000,12851000,12851000,49676000,49676000,30844000,12645000,5854000,106016000,587680000,89479000,85615000,3864000,677159000,783175000,62449000,3379000,59070000,2053241.51730221,71241000,340625000,3465000,3465000,344090000,415331000,331561527.9802,367844000,367844000,783175000,-45000.0000000037,9362000,2557000,25770000,37644000,-9344000,-9344000,-7158000,-8757000.00000003,-15915000,12385000,12385000,12385000,16967000,340625000,0.13368,0.06211,0.0104,0.00346000000000001,0.00163,1.48813,1.1291,0.43493,0.0533200000000001,0.05273,5.12464,15.39547,0.00179,19.31832,43.0998
"9","2017_Q3",19.9206349206349,"Up",127547000,-111216000,16331000,-6870000,-6870000,9461000,-7964000,-7710000,-254000,1497000,1497000,1497000,1497000,2693000,2693000,1081000,1081000,53111000,53111000,28511000,14354000,4908000,97057000,580876000,88701000,85615000,3086000,669577000,766634000,53851000,5653000,48198000,2498138.00189349,65906000,339463000,4397000,4397000,343860000,409766000,302676947.558265,356868000,356868000,766634000,1497000,10044000,2982000,-6009000,8514000,-6568000,-6568000,-1778000,-11938000,-13716000,-11770000,-11770000,-11770000,19505000,339463000,0.12804,0.07418,0.02111,0.00755,0.00351,1.47266,1.14823,0.4428,0.11271,0.11145,5.33826,14.93609,0.00384,17.34847,35.76599
"10","2017_Q4",20.2628571428571,"Up",132223000,-111841000,20382000,-7704000,-7704000,12678000,-7655000,-7653000,-2000,5023000,5023000,5023000,5023000,5688000,5688000,9453000,9453000,49855000,49855000,34573000,13298000,4582000,107179000,570851000,87847000,85615000,2232000,658698000,765877000,52859000,3310000,49549000,4281715.48553803,72192000,338302000,5756000,5756000,344058000,416250000,260370643.357198,349627000,349627000,765877000,5023000,9709000,3873000,9268000,27873000,-6004000,-6004000,-992000.000000007,-12505000,-13497000,8372000,8372000,8372000,22387000,338302000,0.15415,0.09588,0.04302,0.01627,0.00743,1.48464,1.19055,0.44172,0.23806,0.2354,5.53396,14.63303,0.0082,14.68928,25.93855
"11","2018_Q1",19.7495081967213,"Down",161008000,-135287000,25721000,-6770000,-6770000,18951000,-10226000,-8674000,-1552000,8725000,7898000,7898000,7898000,7858000,7858000,524000,524000,79185000,79185000,23536000,6418000,1006000,109663000,562330000,88118000,85615000,2503000,650448000,760111000,41946000,7554000,29363000,6186000,74530000,394831000,80381000,80381000,475212000,549742000,213409000,210369000,210369000,760111000,7898000,11246000,3989000,-10069000,13064000,-6685000,-6685000,58926000,-74234000,-15308000,-8929000,-8929000,-8929000,30197000,401017000,0.15975,0.1177,0.04881,0.03735,0.01034,1.47139,2.61323,0.52758,0.32888,0.32521,6.73871,8.80463,0.01136,13.26268,21.13308
"12","2018_Q2",21.2984375,"Up",125801000,-130342000,-4541000,-6804000,-6804000,-11345000,-7990000,-8645000,655000,-19335000,-19335000,-19335000,-19335000,-19335000,-19335000,5057000,5057000,48042000,48042000,34306000,4974000,1361000,92379000,553093000,88377000,85615000,2762000,641470000,733849000,61034000,4363000,44098000,7105000,88836000,393686000,82068000,82068000,475754000,564590000,173626000,169259000,169259000,733849000,-19335000,9408000,12458000,26785000,29316000,-1999000,-1999000,-1172000.00000001,-21612000,-22784000,4533000,4533000,4533000,-1937000,400791000,-0.0361,-0.09018,-0.1537,-0.11423,-0.02635,1.03988,3.33566,0.54615,-0.80923,-0.80019,5.26518,7.08404,-0.02965,-204.30253,-34.8818
