"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.3696825396825,"Up",342687000,-171892000,170795000,-155845000,-77636000,-78209000,14950000,7842000,-13457000,21299000,22792000,22792000,-2387000,20405000,20405000,20405000,20405000,2836885824.54424,1496867333.44697,1340018491.09727,-220165735.741769,-220165735.741769,-292676710.988708,-723507344.153355,-723507344.153355,1600536033.66041,78898523.2577671,1866755062.7587,177047112.9034,326142351.940148,1315194178.09293,48371419.8222185,1945653586.01647,3546189619.67687,-1094237281.20814,-1094237281.20814,2181672713.12465,770416715.074878,1087435432.16415,745358542.704428,133051960.437665,7320667.13098411,878410503.142092,1965845935.30624,443380498.614221,1484781411.99625,-347818226.239848,1580343684.37063,1580343684.37063,3546189619.67687,20405000,23134000,10950000,18760000,73249000,-3635000,-36486000,-40121000,-25606000,2917000,57806243.5346733,-1833000,-24522000,8606000,8606000,7266000,15872000,38084000,0,55596000,0.4984,0.04363,0.05954,-0.0263284784005742,-0.0197664197587856,2.72463,0.802404138709006,1.06440119365516,0.199747649251723,0.11954,0.11814,2.00756,6.93416853186519,0.3257,0.15001,-0.111964848573485,0.41206152259627,1.25489,-29.5096968498693,-34.9423899392469
"2","2010_Q3",17.9309375,"Down",440355000,-207286000,233069000,-185974000,-102673000,-83301000,47095000,-9079000,-13542000,4463000,38016000,38016000,-16222000,21794000,21794000,21794000,21794000,2146296912.27212,944839666.723484,1201457245.54864,111682132.129115,111682132.129115,56973644.5056459,-228757172.076677,-228757172.076677,2086195516.8302,160066261.628884,1477955531.37935,148948556.4517,327104175.970074,757030089.046466,244872709.911109,1638021793.00823,3724217309.83844,-428925640.604071,-428925640.604071,1356614356.56233,611117857.537439,927688716.082076,745484271.352214,133414980.218832,67824333.5654921,878899251.571046,1806587967.65312,693621749.307111,1404066205.99813,-180058613.119924,1917629342.18531,1917629342.18531,3724217309.83844,21794000,23240000,29705000,88862000,163601000,-4857000,-151751000,-156608000,-25686000,20545000,0,-10371000,-15512000,-8518999.99999999,-8518999.99999999,-876000,-9395000,70335000,0,170562000,0.52928,0.10695,0.04949,0.00433576079971292,6.67901206072019e-05,7.8261,2.0595120693545,0.900385596827579,0.196513824625861,0.12715,0.12535,2.56905,10.1734042659326,0.99506,0.14985,-0.0367424242867423,0.193025761298135,1.17858,-16.3835784249346,-19.2464499696234
"3","2010_Q4",22.1075,"Up",478299000,-208565000,269734000,-178455000,-93714000,-84741000,91279000,-11008000,-14092000,3084000,80271000,80271000,-23255000,57016000,57016000,57016000,57016000,1727580970.75737,643963222.241161,1083617748.51621,321228710.709705,321228710.709705,277208214.835215,33298275.9744409,33298275.9744409,2359316172.27673,210165753.876295,1259857843.79312,129863852.150567,327695391.990025,451629029.682155,350669569.97037,1470023597.66941,3829339769.94615,-54656546.8680236,-54656546.8680236,879131452.187442,495346619.179146,824474905.360692,745614090.450738,136690660.072944,103870111.188497,882304750.523682,1706779655.88437,843918249.769037,1359061401.99938,-80419537.7066414,2122560114.06177,2122560114.06177,3829339769.94615,57016000,21420000,20654000,28582000,127672000,-10041000,-20670000,-32211000,-25731000,-54279000,-54630000,-709000,-80719000,14742000,14742000,-2681000,12061000,112699000,0,154495000,0.56394,0.19084,0.11921,0.029861920266571,0.0162122633735357,2.70968,2.8337673564515,0.79729853227586,0.193907941541954,0.33245,0.32889,2.78892,12.1548714219775,0.90085,0.15003,0.0135291919044192,0.0827919204327116,0.45129,-8.41476614164488,-9.72773665654115
"4","2011_Q1",26.9795161290323,"Up",559419000,-227919000,331500000,-170658000,-87349000,-83309000,160842000,-10740000,-13426000,2686000,150102000,150102000,-37017000,113085000,113085000,113085000,113085000,1534044000,529918000,1004126000,440125000,440125000,401730000,131044000,131044000,2506943000,236752000,1163361000,117336000,328006000,328522000,389497000,1400113000,3907056000,107938000,107938000,663849000,422059000,771787000,745747000,142911000,122557000,888658000,1660445000,921460000,1356454000,-31303000,2246611000,2246611000,3907056000,113085000,19554000,3875000,-53236000,83278000,-5791000,6767000,976000,-25386000,-69591000,-81645000,-601000,-95578000,-11324000,-11324000,-2263000,-13587000,180396000,745747000,158386000,0.59258,0.28752,0.20215,0.05034,0.02894,1.40059,3.24823,0.73909,0.19087,0.66913,0.65673,3.31013,13.2934,0.93718,0.15021,0.04417,0.05052,0.22449,-4.36981,-4.90106
"5","2011_Q2",25.2947619047619,"Down",682342000,-263969000,418373000,-182757000,-88037000,-94720000,235616000,-12304000,-13529000,1225000,223312000,223312000,-69116000,154196000,154196000,154196000,154196000,1518992000,538384000,980608000,500022000,500022000,464242000,132865000,132865000,2616121000,247380000,1139364000,108908000,328126000,317240000,385090000,1386744000,4002865000,138226000,138226000,625392000,390211000,763618000,745882000,152108000,130984000,897990000,1661608000,953437000,1402931000,-15111000,2341257000,2341257000,4002865000,154196000,20783000,23166000,-102617000,95528000,-11163000,25318000,14155000,-41785000,-59203000,-62156000,-9517000,-110505000,-822000,-822000,9288000,8466000,256399000,745882000,211735000,0.61314,0.3453,0.22598,0.06586,0.03852,1.37315,3.42596,0.70971,0.18634,0.9223,0.9079,4.08131,14.00382,1.26646,0.24993,0.0605,0.06537,0.27099,-3.01526,-3.28123
"6","2011_Q3",23.20421875,"Down",766327000,-311398000,454929000,-186063000,-91166000,-94897000,268866000,-17675000,-13493000,-4182000,251191000,251191000,-65699000,185492000,185492000,185492000,185492000,1636400000,596104000,1040296000,531453000,531453000,504697000,120351000,120351000,2792901000,249468000,1126092000,101900000,328147000,333410000,362635000,1375560000,4168461000,123166000,123166000,670771000,396084000,793937000,746018000,162272000,133889000,908290000,1702227000,972870000,1506747000,-13383000,2466234000,2466234000,4168461000,185492000,21653000,24429000,-37649000,193925000,6633000,-64176000,-57543000,-41809000,-28247000,-57017000,-10734000,-80790000,55592000,55592000,2128000,57720000,290519000,746018000,325202000,0.59365,0.35085,0.24205,0.07521,0.0445,1.75319,3.51779,0.69021,0.17897,1.11128,1.09426,4.59107,14.77521,1.94829,0.25048,0.06736,0.09637,0.2254,-3.0648,-3.31162
"7","2011_Q4",27.7795238095238,"Up",834059000,-327696000,506363000,-194584000,-98967000,-95617000,311779000,-10259000,-13409000,3150000,301520000,301520000,-91737000,209783000,209783000,209783000,209783000,1839574000,638758000,1200816000,566069000,566069000,556798000,161887000,161887000,3124328000,250571000,1074444000,93855000,328159000,306563000,345867000,1325015000,4449343000,142126000,142126000,714611000,438634000,856737000,746154000,173435000,138371000,919589000,1776326000,1006949000,1674589000,-8521000,2673017000,2673017000,4449343000,209783000,21075000,19010000,-5957000,243911000,-13829000,-163427000,-177256000,-41942000,17228000,-57697000,-1824000,-26538000,40117000,40117000,2537000,42654000,332854000,746154000,404805000,0.60711,0.37381,0.25152,0.07848,0.04715,1.92964,3.64678,0.66454,0.1677,1.25747,1.22989,4.99945,16.0224,2.42645,0.25141,0.07007,0.11268,0.19993,-3.28498,-3.50704
"8","2012_Q1",30.8170967741935,"Up",892439000,-356180000,536259000,-192190000,-91261000,-100929000,344069000,-10026000,-13897000,3871000,334043000,334043000,-89026000,245017000,245017000,245017000,245017000,2038535000,711329000,1327206000,583270000,583270000,575730000,147078000,147078000,3344613000,257358000,1073550000,85902000,328156000,331397000,328095000,1330908000,4675521000,142945000,142945000,735916000,499314000,878861000,746290000,189477000,154572000,935767000,1814628000,1010659000,1852633000,-2399000,2860893000,2860893000,4675521000,245017000,22533000,86207000,-63955000,289802000,-14607000,-124259000,-138866000,-41862000,-40049000,-57974000,-411000,-82322000,68614000,68614000,3957000,72571000,366602000,746290000,377066000,0.60089,0.38554,0.27455,0.08564,0.0524,1.53894,3.80562,0.63429,0.15962,1.45748,1.42879,5.30866,17.01798,2.24297,0.24902,0.07556,0.09932,0.17085,-3.52493,-3.75577
"9","2012_Q2",30.6377777777778,"Down",796476000,-340349000,456127000,-201838000,-94076000,-107762000,254289000,-7027000,-13893000,6866000,247262000,247262000,-55267000,191995000,191995000,191995000,191995000,2100151000,745947000,1354204000,461640000,461640000,612603000,132153000,132153000,3306547000,264279000,994491000,77949000,327971000,290372000,298199000,1258770000,4565317000,114575000,114575000,619644000,436211000,734219000,746425000,150078000,111221000,896503000,1630722000,1031157000,1910403000,-6965000,2934595000,2934595000,4565317000,191995000,23184000,19834000,-16028000,218985000,-12128000,-36580000,-48708000,-58460000,-56690000,-66392000,-17930000,-133080000,37197000,37197000,-2579000,34618000,277473000,746425000,304584000,0.57268,0.31927,0.24106,0.06542,0.04206,1.58642,4.50349,0.55569,0.1635,1.15185,1.13048,4.77836,17.60574,1.82731,0.35072,0.06537,0.0795,0.30449,-4.87877,-5.32357
"10","2012_Q3",31.3168253968254,"Up",642482000,-272855000,369627000,-210164000,-93801000,-116363000,159463000,-12556000,-13296000,740000,146907000,146907000,-36110000,110797000,110797000,110797000,110797000,2176645000,824986000,1351659000,544098000,544098000,639641000,92469000,92469000,3452853000,267629000,980506000,70218000,327813000,296206000,286269000,1248135000,4700988000,129064000,129064000,700916000,462033000,829980000,746561000,155975000,119094000,902536000,1732516000,1050788000,1928396000,-10712000,2968472000,2968472000,4700988000,110797000,23267000,21130000,32038000,187232000,-12690000,750000,-11940000,-58101000,-24184000,-63580000,-11544000,-93829000,81463000,81463000,-2424000,79039000,182730000,746561000,238188000,0.57531,0.2482,0.17245,0.03732,0.02357,2.14977,4.16016,0.58364,0.15881,0.66608,0.6552,3.86239,17.84549,1.43191,0.34928,0.04363,0.06153,0.52439,-7.82621,-8.96812
