"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.88484375,"Up",41298000,-30446000,10852000,-7910000,-6534000,-1376000,2942000,-1094000,-667000,-433000,1848000,1848000,-540000,1308000,1308000,1325000,1325000,-14325370.4173435,-14325370.4173435,13779225.6669098,13779225.6669098,15522670.4546475,3480794.22926303,2227414.52097843,18457319.9334769,34438748.2702563,58540494.3389661,-24101746.0687098,70155333.3179773,38317086.16965,599051.380570289,104594081.588234,123051401.521711,-8269730.70141454,-10477901.6013782,-2980986.69776141,4663868.11094944,-218099.006732282,-155468.316193561,13159725.8680768,10969648.4543203,10415356.6960916,554291.75822869,3955165.79713393,17114891.6652107,52144924.1104063,91397764.8200823,-37829408.1744152,105713280.756074,105936509.8565,123051401.521711,1308000,2880000,949000,-4578000,559000,-864000,-874000,2421000,0,1252000,937000,937000,366000,1303000,5822000,0,920000,0.26277,0.07124,0.03208,0.00354228251877939,0.00505625436917849,0.69434,0.965270663211605,0.25859719588454,0.127995604275919,0.10241,0.10231,3.19192,8.33537423390248,0.07111,0.00719152681805436,0.029047801672076,9.21425532328373,32.9691300103615
"2","2011_Q1",21.2564516129032,"Up",44826000,-34970000,9856000,-8340000,-6923000,-1417000,1516000,30999.9999999998,-573000,614000,1547000,1547000,-242000,1305000,1305000,1315000,1315000,4572000,4572000,27567000,27567000,35880000,4716000,3659000,72735000,39806000,66734000,-26928000,88852000,48490000,941000,128658000,201393000,24355000,16109000,477000,7240000,1548000,1531000,38392000,13183000,12083000,1100000,27917000,66309000,53112000,88210000,-6398000,134924000,135084000,201393000,1305000,2892000,341000,1901000,6439000,-1218000,-1212000,-10945000,118000,-11317000,-6090000,-6090000,-435000,-6525000,4408000,27223000,5333000,0.21987,0.03382,0.02934,0.00973,0.00653,4.05551,1.89454,0.49087,0.13517,0.10073,0.10065,3.43358,10.3349,0.4085,0.0105,0.03039,5.13861,14.94129
"3","2011_Q2",22.0395238095238,"Up",45574000,-35272000,10302000,-8806000,-7401000,-1405000,1496000,-610000,-410000,-203000,886000,886000,-148000,738000,738000,750000,750000,9884290.13911449,9884290.13911449,33546841.4443634,33546841.4443634,46018776.5151175,5598151.92357899,4431611.82634052,95048060.0221744,41295750.5765812,69819001.8870113,-28523251.3104301,94708305.5606742,51140304.6101167,937149.539809904,136004056.137255,231052116.15943,34849326.9004715,24535800.5337927,1679412.23258714,8102710.62968352,2586033.00224409,2561906.10539785,51139591.3773077,13661450.5152266,12375214.4346361,1286236.08059044,32321944.7342887,83461536.1115964,53957441.9631979,88827328.3933059,4679302.72480507,147464073.081309,147590580.047833,231052116.15943,738000,2761000,259000,-2441000,1317000,-1087000,-1051000,387000,5000,-223000,43000,43000,145000,188000,4257000,0,877000,0.22605,0.03283,0.01646,0.0182650724937402,0.0114137485436072,1.16933,2.0068106122628,0.56431260137182,0.13978396524136,0.05749,0.05745,3.49344,11.2420402553658,0.06723,0.0165728243939819,0.0193832327759747,3.30202155890542,6.46833832987951
"4","2011_Q3",18.3903125,"Down",54166000,-38692000,15474000,-9577000,-8106000,-1471000,5897000,-622000,-486000,-136000,5275000,5275000,-1417000,3858000,3858000,3869000,3869000,7613000,7613000,34798000,34798000,48903000,6153000,4752000,97467000,40832000,70277000,-29445000,92565000,49260000,768000,133397000,230864000,32221000,22020000,1536000,8132000,3039000,3038000,53382000,13091000,11848000,1243000,27813000,81195000,54765000,91762000,3032000,149559000,149669000,230864000,3858000,2743000,295000,-7458000,-562000,-1199000,-1199000,4854000,94000,4434000,2673000,2673000,180000,2853000,8640000,32844000,1400000,0.28568,0.10887,0.07143,0.02585,0.01676,0.36185,1.82584,0.5425,0.14227,0.29593,0.2957,4.14304,11.43945,0.10708,0.0225,0.00716,2.92025,4.27862
"5","2011_Q4",19.3830158730159,"Up",54890000,-40059000,14831000,-9165000,-7717000,-1448000,5666000,-334000,-326000,-9000,5332000,5332000,-1072000,4260000,4260000,4273000,4273000,4116000,4116000,34751000,34751000,46917000,6385000,4825000,92169000,40212000,70468000,-30256000,86210000,45158000,664000,126422000,218591000,26402000,16425000,930000,8513000,2759000,2756000,45239000,12111000,10917000,1194000,26326000,71565000,55637000,95501000,-4212000,146926000,147026000,218591000,4260000,3003000,407000,-6167000,1503000,-2078000,-2094000,-2108000,0,-2642000,-3233000,-3233000,-264000,-3497000,8669000,30293000,1496000,0.27019,0.10322,0.07785,0.02906,0.01955,0.35011,2.03738,0.48675,0.13858,0.32717,0.32694,4.20276,11.24968,0.11454,0.02538,0.0079,3.01961,4.62001
"6","2012_Q1",20.6816129032258,"Up",54261000,-39422000,14839000,-9679000,-8296000,-1383000,5160000,157000,-723000,876000,5317000,5317000,-1732000,3585000,3585000,3599000,3599000,5276000,5276000,36368000,36368000,43218000,6327000,4858000,91189000,41402000,72914000,-31512000,80835000,42054000,789000,122237000,213426000,26092000,14753000,780000,10024000,1986000,1918000,29310000,11423000,10185000,1238000,38073000,67383000,56651000,98565000,-9256000,145960000,146043000,213426000,3585000,2692000,1533000,-342000,7468000,-3362000,-3387000,-2147000,-99000,-2964000,1117000,1117000,43000.0000000001,1160000,7852000,27882000,5880000,0.27347,0.0951,0.06633,0.02464,0.01686,1.63379,3.11119,0.46139,0.13064,0.27309,0.27292,4.11731,11.07542,0.44617,0.0223,0.03172,2.87901,4.38101
"7","2012_Q2",16.9063492063492,"Down",50212000,-35835000,14377000,-10239000,-8695000,-1544000,4138000,-405000,-211000,-2e+05,3733000,3733000,-1342000,2391000,2391000,2428000,2428000,7533000,7533000,36415000,36415000,46646000,6263000,4892000,96857000,45493000,78591000,-33098000,87687000,47168000,656000,133180000,230037000,24830000,13713000,1424000,9154000,3564000,3494000,29829000,12093000,10889000,1204000,47496000,77325000,57639000,100454000,-5429000,152664000,152712000,230037000,2391000,2911000,699000,732000,6733000,-2633000,-12811000,8689000,390.894955416414,8173000,2095000,2095000,162000,2257000,7049000,36838000,6490000,0.28633,0.08241,0.04835,0.0159,0.01055,2.67298,3.24707,0.50635,0.16014,0.18418,0.18408,3.80884,11.58037,0.4923,0.01469,0.03219,4.15733,7.08192
"8","2012_Q3",15.501746031746,"Down",48687000,-34748000,13939000,-10290000,-8770000,-1520000,3649000,215000,-196000,409000,3864000,3864000,-1167000,2697000,2697000,2651000,2651000,5215000,5215000,35273000,35273000,48850000,5999000,4509000,95337000,45910000,79662000,-33752000,80790000,43369000,627000,126700000,222037000,24303000,14590000,604000,8569000,2155000,2036000,27144000,10425000,9285000,1140000,46074000,73218000,58673000,102564000,-12508000,148729000,148819000,222037000,2697000,2882000,841000,-5078000,1342000,-2962000,-2952000,57000,98000,-414000,-2024000,-2024000,-294000,-2318000,6531000,36335000,-341999.999999999,0.2863,0.07495,0.05445,0.01781,0.01194,-0.12901,3.51227,0.49199,0.16364,0.20047,0.20045,3.68182,11.24722,-0.02586,0.01631,-0.00175,4.76497,8.52836
"9","2012_Q4",12.9451612903226,"Down",50149000,-34800000,15349000,-10200000,-8680000,-1520000,5149000,-17000,-215000,181000,5132000,5132000,-1373000,3759000,3759000,3755000,3755000,11381000,11381000,37719000,37719000,49961000,5854000,4239000,104915000,49993000,85198000,-35205000,80925000,42701000,610000,130918000,235833000,23983000,12281000,557000,10605000,1462000,1355000,25556000,10622000,9410000,1212000,54283000,79839000,59582000,105779000,-9463000,155898000,155994000,235833000,3759000,2912000,599000,-2868000,4402000,-4931000,-4905000,7131000,0,6597000,6094000,6094000,72000,6166000,8061000,43772000,1635000,0.30607,0.10267,0.07488,0.02407,0.01592,0.43542,4.1053,0.51181,0.18561,0.28435,0.28426,3.79754,11.80541,0.12381,0.02041,0.00777,4.01824,6.29074
"10","2013_Q1",15.8295,"Up",43689000,-29702000,13987000,-10924000,-9298000,-1626000,3063000,-644000,-210000,-422000,2419000,2419000,-1434000,985000,1928000,1943000,1943000,8200000,8200000,36981000,36981000,48320000,6543000,4469000,100044000,53976000,90621000,-36645000,81411000,41958000,1218000,135387000,235431000,21768000,11281000,406000,9541000,1512000,1363000,24378000,48423000,9211000,39212000,48497000,72875000,60834000,108101000,-6463000,162472000,162556000,235431000,985000,2523000,1958000,1521000,8079000,-4607000,-5497000,-4945000,-98000,-5839000,-3257000,-3257000,52000,-3205000,5586000,1171999.99999999,3934000,0.32015,0.07011,0.04447,0.01195,0.00825,2.0247,4.10386,0.44831,0.00497999999999998,0.1445,0.14446,3.24915,12.08304,0.29257,0.01171,0.01854,-1.25815,-2.29448
