"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","fed_funds_sold_repos","other_interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","property_plant_equipment_net","other_assets","total_assets","total_deposits","short_term_debt","securities_sold_under_repo","trading_account_liabilities","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","deferred_income_taxes","change_in_working_capital","trading_assets_liabilities","net_change_in_operating_loans","accrued_interest_receivable","other_operating_assets_liabilities","net_cash_from_operating_activities","net_change_in_investments","decrease_in_investments","increase_in_investments","net_change_in_loans_interbank","net_change_in_interbank_assets","net_change_in_other_loans","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","net_change_in_interbank_transfers","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",29.9103174603175,"Down",2.7671e+10,1.371e+10,1.6845e+10,-3.135e+09,1.3961e+10,4.548e+09,6.1e+08,7.03e+09,1.773e+09,-7.01e+09,2.0661e+10,-1.6124e+10,-1.6124e+10,4.537e+09,4.537e+09,4.537e+09,-1.211e+09,3.326e+09,3.326e+09,3.326e+09,-3.52e+08,2.974e+09,3.1422e+10,2.89137e+11,2.30123e+11,5.9014e+10,8.97245e+11,4.26128e+11,3.44376e+11,1.26741e+11,6.75613e+11,-3.8186e+10,7.13799e+11,1.1123e+10,1.1123e+10,2.26873e+11,2.135796e+12,9.25303e+11,4.86694e+11,2.95171e+11,1.40969e+11,2.62857e+11,2.96221e+11,1.971075e+12,8.152e+09,1.00555e+11,4.105e+09,9.645e+10,-5.722e+09,6.1043e+10,6.93e+08,1.64721e+11,1.64721e+11,2.135796e+12,3.326e+09,1.204e+09,7.01e+09,2.91e+08,-4e+07,5.563e+09,1.949e+09,1.303e+09,1.6645e+10,-1.4334e+10,1.7394e+10,6.23e+08,5.827e+10,-5.7647e+10,-1.4996e+10,-3.0421e+10,1.5425e+10,5.15e+08,-1.3862e+10,-2.53e+08,2.5082e+10,9.102e+09,3.3749e+10,-1.7769e+10,-3.0121e+10,1.2352e+10,11992904957.8528,11993163120.6649,-1.9927e+10,-2.879e+09,2.023e+09,5.555e+09,5.555e+09,-3.39e+08,5.216e+09,5.741e+09,7.49551e+11,0.16396,0.10748,0.01805,0.00139,11.96614,0.35095,0.74902,0.74449,6.96915,39.43307,0.06372,0.00151,0.08507,125.08779,158.28279
"2","2010_Q3",28.2696875,"Down",2.5101e+10,1.2687e+10,1.5719e+10,-3.032e+09,1.2414e+10,2.09e+09,1e+09,7.244e+09,2.08e+09,-3.363e+09,2.1738e+10,-1.4631e+10,-1.4631e+10,7.107e+09,7.107e+09,7.107e+09,-2.312e+09,4.795e+09,4.795e+09,4.795e+09,-4.34e+08,4.361e+09,3.2806e+10,2.38454e+11,1.99024e+11,3.943e+10,8.3181e+11,3.97508e+11,3.12013e+11,1.22289e+11,6.63647e+11,-3.5836e+10,6.99483e+11,1.1267e+10,1.1267e+10,2.31857e+11,2.014019e+12,8.87805e+11,4.13419e+11,2.37455e+11,1.34882e+11,2.48618e+11,2.93057e+11,1.842899e+12,8.152e+09,1.0085e+11,4.105e+09,9.6745e+10,-5.683e+09,6.5465e+10,2.336e+09,1.7112e+11,1.7112e+11,2.014019e+12,4.795e+09,1.208e+09,3.363e+09,-6.94e+08,-5.27e+08,1.9661e+10,3.278e+10,2.812e+09,-7.375e+09,-8.556e+09,2.8333e+10,3.1856e+10,7.65e+10,-4.4644e+10,5.4507e+10,5.0944e+10,3.563e+09,1.175e+09,8.7536e+10,-4.92e+08,-8.7598e+10,-1.0065e+10,-5.7772e+10,-1.9761e+10,-2.8303e+10,8.542e+09,-1.35e+08,-1.35e+08,-2.6252e+10,1.3e+08,-1.14347e+11,1.522e+09,1.522e+09,-1.38e+08,1.384e+09,8.315e+09,6.62037e+11,0.28314,0.17374,0.02549,0.00217,10.76963,0.32871,1.09477,1.0887,6.30124,40.91076,0.12351,0.00241,0.11282,75.6742,88.53679
"3","2010_Q4",28.69453125,"Up",2.3824e+10,1.2502e+10,1.5606e+10,-3.104e+09,1.1322e+10,2.341e+09,1.02e+08,6.934e+09,1.945e+09,-3.223e+09,2.0601e+10,-1.4398e+10,-1.4398e+10,6.203e+09,6.203e+09,6.203e+09,-1.785e+09,4.418e+09,4.418e+09,4.418e+09,-4e+08,4.018e+09,2.396e+10,2.66467e+11,2.3539e+11,3.1077e+10,9.43048e+11,4.75515e+11,3.40168e+11,1.27365e+11,6.5637e+11,-3.4161e+10,6.90531e+11,1.1316e+10,1.1316e+10,2.36452e+11,2.141595e+12,9.03138e+11,5.10593e+11,3.14161e+11,1.57821e+11,2.55589e+11,2.98445e+11,1.967765e+12,7.8e+09,1.01043e+11,4.105e+09,9.6938e+10,-7.572e+09,6.9531e+10,3.028e+09,1.7383e+11,1.7383e+11,2.141595e+12,4.418e+09,1.273e+09,3.223e+09,-5.5e+08,-1.201e+09,-5.8954e+10,-6.2981e+10,3.11e+08,-1.911e+09,5.627e+09,-5.059e+10,-2.1097e+10,2.288e+10,-4.3977e+10,-2.6785e+10,-2.7731e+10,9.46e+08,-4.31e+08,-5.2953e+10,-2.57e+08,7.0396e+10,-1.231e+09,7.6668e+10,-5.041e+09,-2.3233e+10,1.8192e+10,-2.529e+09,-2.529e+09,2.5964e+10,1.77e+08,9.3751e+10,-9.792e+09,-9.792e+09,9.46e+08,-8.846e+09,7.476e+09,7.66182e+11,0.26037,0.16865,0.02311,0.00188,11.32005,0.35776,1.01613,1.01161,6.02499,41.98827,0.06499,0.002,0.06396,99.28063,119.65533
"4","2011_Q1",33.0732258064516,"Up",2.6098e+10,1.2102e+10,1.5612e+10,-3.51e+09,1.3996e+10,1.915e+09,1.253e+09,8.691e+09,2.137e+09,-3.043e+09,2.3055e+10,-1.6043e+10,-1.6043e+10,7.012e+09,7.012e+09,7.012e+09,-2.181e+09,4.831e+09,4.831e+09,4.831e+09,-4.2e+08,4.411e+09,2.7567e+10,2.44227e+11,2.22554e+11,2.1673e+10,9.29815e+11,4.89892e+11,3.16336e+11,1.23587e+11,6.60661e+11,-3.2266e+10,6.92927e+11,1.3355e+10,1.3355e+10,2.37941e+11,2.117605e+12,9.30369e+11,4.58173e+11,2.76644e+11,1.46166e+11,2.70653e+11,2.82304e+11,1.941499e+12,7.8e+09,1.0152e+11,4.105e+09,9.7415e+10,-8.16e+09,7.3998e+10,9.48e+08,1.76106e+11,1.76106e+11,2.117605e+12,4.831e+09,1.28e+09,3.043e+09,2.71e+08,8e+08,-8.314e+09,-2.8412e+10,-1.356e+09,-6.916e+09,2.837e+10,1110999999.99999,2.0478e+10,5.3697e+10,-3.3219e+10,1.444e+10,2.1876e+10,-7.436e+09,-1.373e+09,3.3281e+10,-4.84e+08,-4.3409e+10,-4.675e+09,-3.7443e+10,-1.291e+09,-1.7386e+10,1.6095e+10,-6.87e+08,-6.87e+08,1.0578e+10,3.358e+09,-3.0644e+10,3.748e+09,3.748e+09,-1.41e+08,3.607e+09,8.292e+09,7.28826e+11,0.26868,0.16902,0.02505,0.00208,11.0246,0.34417,1.12612,1.12088,6.66275,42.96809,0.12356,0.00231,0.10973,84.57055,100.00841
"5","2011_Q2",31.7573015873016,"Down",2.5221e+10,1.1905e+10,1.5447e+10,-3.542e+09,1.3316e+10,4.745e+09,1.02e+08,6.458e+09,2.011e+09,-1.169e+09,2.4052e+10,-1.5995e+10,-1.5995e+10,8.057e+09,8.057e+09,8.057e+09,-2.502e+09,5.555e+09,5.555e+09,5.555e+09,-4.19e+08,5.136e+09,2.3469e+10,2.98198e+11,2.17356e+11,8.0842e+10,9.54948e+11,5.01148e+11,3.348e+11,1.19e+11,6.56246e+11,-2.975e+10,6.85996e+11,1.3422e+10,1.3422e+10,2.48021e+11,2.198161e+12,9.95829e+11,4.72859e+11,2.85444e+11,1.41393e+11,2.69616e+11,2.79259e+11,2.017563e+12,7.8e+09,9.8765e+10,4.105e+09,9.466e+10,-4.968e+09,7.8342e+10,6.59e+08,1.80598e+11,1.80598e+11,2.198161e+12,5.555e+09,1.274e+09,1.169e+09,5.14e+08,-2.14e+08,-1.4491e+10,-1.4734e+10,-1.147e+09,-9.051e+09,1.0441e+10,-5.979e+09,-1.4713e+10,2.4966e+10,-3.9679e+10,-5.095e+10,-5.4084e+10,3.134e+09,-1.32e+08,-6.581e+10,-2.46e+08,1.1935e+10,1.3294e+10,8.835e+09,-1.0194e+10,-2.725e+10,1.7056e+10,-9.5e+07,-9.5e+07,5.623e+10,-4.96e+08,6.7328e+10,-4.461e+09,-4.461e+09,3.63e+08,-4.098e+09,9.331e+09,7.42475e+11,0.31946,0.20364,0.02844,0.00234,11.17157,0.33777,1.28993,1.27949,6.33439,43.39914,0.06178,0.00245,0.0479,77.05562,89.23992
"6","2011_Q3",26.85296875,"Down",2.6779e+10,1.1836e+10,1.5632e+10,-3.796e+09,1.4943e+10,3.14e+09,8.37e+08,8.388e+09,2.578e+09,-1.81e+09,2.4969e+10,-1.6842e+10,-1.6842e+10,8.127e+09,8.127e+09,8.127e+09,-2.696e+09,5.431e+09,5.431e+09,5.431e+09,-3.64e+08,5.067e+09,3.0466e+10,3.83242e+11,2.13362e+11,1.6988e+11,9.04956e+11,4.58722e+11,3.24741e+11,1.21493e+11,6.61216e+11,-2.852e+10,6.89736e+11,1.3679e+10,1.3679e+10,2.49526e+11,2.246764e+12,1.048685e+12,4.53817e+11,2.54124e+11,1.48533e+11,2.79228e+11,2.82155e+11,2.063885e+12,7.8e+09,9.9166e+10,4.105e+09,9.5061e+10,-8.284e+09,8.2612e+10,1.585e+09,1.82879e+11,1.82879e+11,2.246764e+12,5.431e+09,1.278e+09,1.81e+09,7.83e+08,8.93e+08,5.5402e+10,4.4136e+10,1.954e+09,-1.1e+09,1.0412e+10,6.4704e+10,1.429e+10,5.7933e+10,-4.3643e+10,-9.4426e+10,-8.4914e+10,-9.512e+09,1.38e+08,-7.9997e+10,-1.319e+09,-2.7042e+10,-624999999.999998,-3.1334e+10,4.917e+09,-1.4882e+10,1.9799e+10,-3.48e+09,-3.48e+09,5.4666e+10,-8.28e+08,2.1997e+10,6.704e+09,6.704e+09,2.93e+08,6.997e+09,9.405e+09,7.33045e+11,0.30348,0.18922,0.02771,0.00226,11.28552,0.32627,1.28006,1.27209,6.76511,44.22974,0.33322,0.00284,0.26031,74.70271,86.44998
"7","2011_Q4",23.974126984127,"Down",2.3763e+10,1.1817e+10,1.516e+10,-3.343e+09,1.1946e+10,1.37e+09,6.07e+08,7.523e+09,2.446e+09,-2.411e+09,2.1352e+10,-1.5534e+10,-1.5534e+10,5.818e+09,5.818e+09,5.818e+09,-1.556e+09,4.262e+09,4.262e+09,4.262e+09,-3.24e+08,3.938e+09,5.6766e+10,3.76919e+11,2.48042e+11,1.28877e+11,9.32441e+11,4.61531e+11,3.39349e+11,1.31561e+11,6.68503e+11,-2.835e+10,6.96853e+11,1.3812e+10,1.3812e+10,2.37403e+11,2.28924e+12,1.092708e+12,4.45499e+11,2.38585e+11,1.55841e+11,2.73688e+11,2.95058e+11,2.106953e+12,7.8e+09,9.9183e+10,4.105e+09,9.5078e+10,-1.2333e+10,8.5726e+10,1.911e+09,1.82287e+11,1.82287e+11,2.28924e+12,4.262e+09,1.265e+09,2.411e+09,-1.231e+09,-1.162e+09,1.086e+09,-6.179e+09,1.127e+09,8.202e+09,-2.064e+09,7.793e+09,-1.8389e+10,3.6762e+10,-5.5151e+10,-5.715e+09,6.634e+09,-1.2349e+10,1.93e+08,-2.386e+10,-1.061e+09,-2.0708e+10,1.176e+09,-1.5595e+10,-6.289e+09,-1.4687e+10,8.398e+09,-4.425e+09,-4.425e+09,6.7167e+10,2.067e+09,4.304e+10,2.6973e+10,2.6973e+10,-6.73e+08,2.63e+10,7.083e+09,7.19187e+11,0.24483,0.16572,0.0216,0.00172,11.55844,0.31416,1.02031,1.01699,6.15686,45.20857,0.2749,0.00218,0.26943,93.52266,113.85717
"8","2012_Q1",29.52,"Up",2.1471e+10,1.2131e+10,1.5054e+10,-2.923e+09,9.34e+09,7.5e+08,4.7e+07,6.815e+09,1.728e+09,-2.184e+09,1.9287e+10,-1.454e+10,-1.454e+10,4.747e+09,4.747e+09,4.747e+09,-1.019e+09,3.728e+09,3.728e+09,3.728e+09,-3.01e+08,3.427e+09,5.9602e+10,3.20593e+11,2.35314e+11,8.5279e+10,9.51218e+11,4.43963e+11,3.64793e+11,1.42462e+11,6.96111e+11,-2.7609e+10,7.2372e+11,1.4041e+10,1.4041e+10,2.2102e+11,2.265792e+12,1.127806e+12,4.06858e+11,2.13532e+11,1.41695e+11,2.56775e+11,2.9078e+11,2.082219e+12,7.8e+09,9.9707e+10,4.105e+09,9.5602e+10,-1.3155e+10,8.8315e+10,9.06e+08,1.83573e+11,1.83573e+11,2.265792e+12,3.728e+09,1.288e+09,2.184e+09,2.709e+09,2.176e+09,1.9505e+10,2.189e+09,-4.03e+08,1.0604e+10,7.115e+09,2.9414e+10,-2.801e+10,3.5826e+10,-6.3836e+10,2.7122e+10,5.6282e+10,-2.916e+10,-2.62e+08,-1.085e+09,-1.269e+09,-4.7305e+10,-6.615e+09,-2.5022e+10,-1.5668e+10,-2.5259e+10,9.591e+09,-8.63e+08,-8.63e+08,2.5357e+10,-5.79e+08,-2.4659e+10,3.67e+09,3.67e+09,-8.34e+08,2.836e+09,6.035e+09,6.63633e+11,0.22109,0.15961,0.01867,0.00151,11.34273,0.29289,0.90137,0.89907,5.64729,46.23172,0.33377,0.00207,0.37029,100.08799,127.24479
"9","2012_Q2",28.8350793650794,"Down",2.6052e+10,1.1666e+10,1.4701e+10,-3.035e+09,1.4386e+10,2.722e+09,5.36e+08,8.3e+09,2.828e+09,-7.26e+08,2.5326e+10,-1.8345e+10,-1.8345e+10,6.981e+09,6.981e+09,6.981e+09,-2.057e+09,4.924e+09,4.924e+09,4.924e+09,-3.47e+08,4.577e+09,5.5383e+10,3.55512e+11,2.40484e+11,1.15028e+11,9.73025e+11,4.55633e+11,3.81742e+11,1.3565e+11,6.95096e+11,-2.5871e+10,7.20967e+11,1.4213e+10,1.4213e+10,2.23906e+11,2.320164e+12,1.128512e+12,4.47356e+11,2.50483e+11,1.46296e+11,2.55831e+11,2.99196e+11,2.130895e+12,7.8e+09,9.8175e+10,4.105e+09,9.407e+10,-1.1201e+10,9.1888e+10,2.607e+09,1.89269e+11,1.89269e+11,2.320164e+12,4.924e+09,1.232e+09,7.26e+08,-1.48e+08,-4.44e+08,-2.468e+09,6.757e+09,-2.392e+09,-3.1e+09,-3.733e+09,4.266e+09,-1.1117e+10,5.2251e+10,-6.3368e+10,-3.3768e+10,-3.4967e+10,1.199e+09,-4.47e+08,-4.5362e+10,-1.024e+09,3.9033e+10,4.266e+09,3.6953e+10,-2.186e+09,-1.6713e+10,1.4527e+10,-2.16e+08,-2.16e+08,-4.354e+09,1.913e+09,3.5352e+10,-5.744e+09,-5.744e+09,1.525e+09,-4.219e+09,8.213e+09,7.03187e+11,0.26796,0.17569,0.02418,0.00197,11.25855,0.30308,1.19854,1.19398,6.82204,47.5199,0.26815,0.00241,0.22373,78.87544,92.7953
"10","2012_Q3",28.2919047619048,"Down",2.218e+10,1.1146e+10,1.4099e+10,-2.953e+09,1.1034e+10,-4.27e+08,1.014e+09,8.529e+09,1.918e+09,-2.14e+08,2.1966e+10,-1.4966e+10,-1.4966e+10,7e+09,7e+09,7e+09,-2.04e+09,4.96e+09,4.96e+09,4.96e+09,-3.27e+08,4.633e+09,4.4866e+10,3.85571e+11,2.55188e+11,1.30383e+11,9.10128e+11,4.17324e+11,3.54595e+11,1.38209e+11,7.0378e+11,-2.3791e+10,7.27571e+11,1.4206e+10,1.4206e+10,2.28782e+11,2.290146e+12,1.115886e+12,4.59281e+11,2.61657e+11,1.47061e+11,2.39539e+11,2.83868e+11,2.098574e+12,7.8e+09,9.8306e+10,4.105e+09,9.4201e+10,-1.2286e+10,9.5518e+10,2.234e+09,1.91572e+11,1.91572e+11,2.290146e+12,4.96e+09,1.217e+09,2.14e+08,1.509e+09,1.914e+09,3.4083e+10,3.5159e+10,4.551e+09,-2.872e+09,-2.755e+09,4.1983e+10,2.4753e+10,6.6551e+10,-4.1798e+10,-4.4578e+10,-2.9883e+10,-1.4695e+10,-8.95e+08,-2.06e+10,-1.469e+09,-1.3003e+10,-5.354e+09,1.1145e+10,-1.8794e+10,-3.1509e+10,1.2715e+10,-1.437e+09,-1.437e+09,-6.811e+09,-7.765e+09,-3.0485e+10,-9.102e+09,-9.102e+09,-1.415e+09,-1.0517e+10,8.217e+09,6.9882e+11,0.3156,0.20888,0.02418,0.00202,10.95449,0.30514,1.21633,1.21267,5.82305,48.24678,0.38567,0.00266,0.31707,79.58549,93.422
