"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",21.69296875,"Up",15248000,-6870000,8378000,-4982000,-2770000,-1803000,-409000,3396000,-29000,-49000,3367000,3258000,-1280000,1978000,1978000,1978000,1978000,290068007.44014,357844521.173901,-10395271.9588465,-10395271.9588465,3192771.14385287,3192771.14385287,284933896.182922,2833157.71277696,-53191751.2689155,-49203069.0839142,4651001.38714992,-8639190.47541764,-50358592.5717632,234575303.611159,2382398.68164263,4148586.71508728,3307.44982860237,2382398.77350408,29474922.9226213,7239268.57129754,22235654.3513238,29474924.1761089,31857322.949613,376912895.443981,-50766502.9529208,202717980.661546,202717980.661546,234575303.611159,1978000,1151000,2171000,13000,5313000,-453000,-1108000,-1561000,34000,34000,51000,3803000,3803000,3803000,4547000,0,5387000,0.54945,0.22272,0.12972,0.0948034443294644,0.00320277623864962,2.72346,62.7757916218184,0.987813698225086,5.02310158858786e-10,0.03685,0.03437,0.28406,5.69399499408622,0.10036,5.0528712776779,0.235846405524972,-71.787022427962,-98.5989760260993
"2","2015_Q1",21.6865573770492,"Down",43001000,-19408000,23593000,-16655000,-10875000,-5370000,-410000,6938000,-222000,-222000,6716000,6090000,-1874000,4216000,4216000,4216000,4216000,13917000,13917000,5705000,5705000,663000,663000,20676000,5072000,29342000,24691000,4651000,0,34414000,55090000,9429000,2368000,7061000,9429000,13987000,5078000,8909000,13987000,23416000,1000,-23170000,31674000,31674000,55090000,4216000,2750000,264000,-4621000,2609000,-486000,-3685000,-4476000,2198000,2198000,91730000,89863000,89863000,89863000,9688000,0,6455000,0.54866,0.16135,0.09804,0.13311,0.07653,1.53107,2.19281,0.73928,0,0.0759,0.06541,0.77418,-0.41713,0.11621,1.19496,0.14137,-1.43652,-2.00591
"3","2015_Q2",26.8463492063492,"Up",20231000,-8772000,11459000,-5971000,-3376000,-2186000,-409000,5488000,-92000,-92000,5396000,4661000,-1943000,2718000,2718000,2718000,2718000,-44134669.1467135,-56693340.3913002,9056673.98628215,9056673.98628215,748076.285382378,748076.285382378,-34308298.7276406,5051114.09574101,46660667.0896385,39597273.0279714,4650999.53761669,2412230.15847255,51711780.8572544,17403482.1296137,9523450.43945246,1102887.76163757,7888064.18339047,9523450.40883197,7226775.69245957,4801577.14290082,2425198.54955875,7226775.27463035,16750225.6834623,-75754048.4813269,-15702915.6823597,653256.44615142,653256.44615142,17403482.1296137,2718000,1251000,1752000,-4258000,1463000,-480000,-1712000,-2192000,251000,251000,802000,73000,73000,73000,6739000,0,3944000,0.56641,0.27127,0.13435,0.108002185223512,0.0785807412537835,1.45107,-9.84155220727281,0.470813767258305,-1.67436719619595e-10,0.04936,0.04705,0.36742,-1.60519999802874,0.07163,-0.103936259225966,0.109884531491676,12.5654999759873,17.3756045086998
"4","2015_Q3",31.42640625,"Up",20891000,-9122000,11769000,-6698000,-3987000,-2302000,-409000,5071000,-39000,-39000,5032000,5032000,-2004000,3028000,3028000,3028000,3028000,20886000,20886000.0000001,6287000,6287000,2029000,2029000,29571000.0000001,4093000,32105000,26054000,4651000,1400000,36198000,65769000,6568000,463000,5761000,6568000,5845000,5389000,456000,5845000,12413000,20301999.9999999,-17768000,53356000,53356000,65769000,3028000,1392000,1298000,-1861000,3857000,-567000,-1804000,-2371000,2132000,2132000,5410000,6896000,6896000,6896000,6463000,0,6039000,0.56335,0.24274,0.14494,0.05675,0.04604,1.99439,4.50228,0.23264,0,0.05338,0.05138,0.36825,0.0446700000000002,0.10645,0.0511499999999998,0.10201,-3.23162999999998,-4.11870999999999
"5","2015_Q4",30.72421875,"Down",21862000,-9630000,12232000,-7938000,-4718000,-2811000,-409000,4294000,-145000,-145000,4149000,4149000,-1100000,3049000,3049000,3049000,3049000,107854000,107854000,6054000,6054000,2787000,2787000,117451000,4080000,31206000,26250000,4651000,305000,35286000,152737000,6336000,908000,5428000,6336000,5897000,5416000,481000,5897000,12233000,154879000,-14375000,140504000,140504000,152737000,3049000,1544000,504000,162000,5259000,-430000,-1335000,-2070000,14000,14000,83779000,86968000,86968000,86968000,5838000,0,6670000,0.55951,0.19641,0.13947,0.0217,0.01996,2.1876,18.53709,0.08707,0,0.05316,0.05145,0.38118,2.44981,0.1163,0.36472,0.04556,-18.47448,-25.11737
"6","2016_Q1",21.4355737704918,"Down",63802000,-26664000,37138000,-25848000,-15334000,-9533000,-981000,11290000,-313000,-313000,10977000,11712000,-3894000,7818000,7818000,7818000,7818000,123775000,83641000,14308000,14308000,1703000,1703000,140406000,6148000,73241000,66840000,4651000,1750000,79389000,219795000,12106000,2431000,9675000,12106000,4232000,3996000,236000,4232000,16338000,199946000,3609000,203457000,203457000,219795000,7818000,4414000,198000,3532000,15962000,-41388000,-2045000,-83919000,23010000,23010000,-53344000,-121301000,-121301000,-121301000,15704000,-4.44089209850063e-16,-18258000,0.58208,0.17695,0.12254,0.03843,0.03557,-2.33538,11.59805,0.0803,1.03397576569128e-25,0.13542,0.13142,1.10518,3.52429,-0.31627,-0.20477,-0.08791,-7.88175,-10.96324
"7","2016_Q2",26.2578125,"Up",44013000,-16332000,27681000,-14431000,-8757000,-4625000,-1049000,13250000,-641000,-641000,12609000,12609000,-4536000,8073000,8073000,8073000,8073000,114901000,74861000,10479000,10479000,2761000,2761000,128808000,4543000,31931000,26618000,4651000,662000,36474000,165282000,5184000,990000,4194000,5184000,5530000,5053000,477000,5530000,10714000,162617000,-8027000,154568000,154568000,165282000,8073000,2947000,1874000,-10782000,2112000,-321000,-2003000,-2410000,145000,145000,9423000,9125000,9125000,9125000,16197000,0,9630000,0.62893,0.30105,0.18342,0.05223,0.04884,1.19287,24.84722,0.06932,0,0.13962,0.13591,0.76121,2.67326,0.16655,0.05043,0.06015,-7.09397,-8.67177
"8","2016_Q3",31.68015625,"Up",44185000,-15631000,28554000,-15815000,-9740000,-4993000,-1082000,12739000,-37000.0000000001,-37000,12702000,12702000,-4469000,8233000,8233000,8233000,8233000,148934000,108851000,10855000,10855000,5634000,5634000,166013000,5125000,31778000,26598000,4651000,529000,36903000,202916000,7205000,1032000,6173000,7205000,4550000,4405000,145000,4550000,11755000,194800000,-3606000,191161000,191161000,202916000,8233000,3178000,1755000,260000,13426000,-929000,-1957000,-2977000,983000,983000,5953999.99999999,16403000,16403000,16403000,15917000,7.105427357601e-15,19717000,0.64624,0.28831,0.18633,0.04307,0.04057,2.39487,23.04136,0.06149,1.65436122510606e-24,0.14135,0.13802,0.75859,3.28196,0.33851,0.0420700000000001,0.10075,-9.35691,-11.69118
"9","2016_Q4",38.648253968254,"Up",43358000,-17467000,25891000,-16849000,-9557000,-6209000,-1083000,9042000,-256000,-256000,8786000,8786000,-2778000,6008000,6008000,6008000,6008000,125114000,85009000,9922000,9922000,3332000,3332000,139183000,5649000,67131000,61036000,4651000,1444000,72780000,211963000,9363000,2412000,6951000,9363000,4275000,4080000,195000,4275000,13638000,197911000,481000,198325000,198325000,211963000,6008000,3418000,943000,5122000,15491000,-1455000,-2839000,-4392000,3418000,3418000,5078000,16177000,16177000,16177000,12460000,0,18905000,0.59714,0.20854,0.13857,0.03029,0.02834,3.14664,14.86521,0.06877,0,0.10194,0.10001,0.73565,3.36498,0.32076,0.02965,0.09331,-10.04125,-13.83698
"10","2017_Q1",44.2506451612903,"Up",46814000,-22585000,24229000,-18048000,-10417000,-6548000,-1083000,6181000,-158000,-158000,6023000,6023000,-1961000,4062000,4062000,4062000,4062000,180359000,139954000,17001000,17001000,2867000,2867000,200819000,5170000,73147000,65020000,4651000,1861000,78317000,279136000,15703000,3221000,12482000,15703000,1493000,37000.0000000005,1456000,1493000,17196000,232120000,29985000,261940000,261940000,279136000,4062000,3643000,1038000,5819000,14562000,-940000,-2231000,-3275000,2596000,2596000,3321000,14608000,14608000,14608000,9824000,-5.6843418860808e-14,16664000,0.51756,0.13203,0.08677,0.01551,0.01455,4.10241,12.78858,0.06565,0,0.06832,0.06719,0.78737,4.40561,0.28027,0.01542,0.06326,-18.35902,-29.17958
