"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",6.561875,"Down",30312000,-25867000,4445000,-9851000,-7319000,-2532000,-5406000,-3088000,-5161000,2073000,-8494000,-8494000,-15000,-8509000,-8509000,-8509000,-8509000,78366000,59069000,19297000,8598000,8598000,1386000,1386000,88350000,6355000,944000,4863000,4863000,0,12162000,100512000,5160000,1641000,3519000,16124000,9291000,6751000,21284000,1683000,1542000,141000,16583000,37867000,118153000,-2601000,-52904000,-3000,62645000,62645000,100512000,-8509000,505000,4514000,225000,-3265000,-1745000,-5227000,2700000,-4272000,-16803000,115000,115000,74037000,57349000,49812000,49812000,-31000,49781000,-4901000,14900000,-6406000,0.14664,-0.17835,-0.28071,-0.13583,-0.08466,0.75285,4.15101,0.60447,0.14824,-0.40797,-0.40797,1.45332,3.00353,-0.30714,-0.1074,-0.08086,12.9496,11.73992
"2","2015_Q1",7.59934426229508,"Up",31868000,-26345000,5523000,-9681000,-7067000,-2614000,-4158000,-161000,-103000.000000001,-58000,-4319000,-4319000,43000.0000000001,-4276000,-4276000,-4276000,-4276000,75469000,53098000,22371000,7887000,7887000,1299000,1299000,84655000,7862000,942000,4847000,4847000,0,13651000,98306000,6569000,1962000,4607000,15975000,9345000,6506000,22544000,1587000,1495000,92000,16487000,39031000,119045000,-2601000,-57180000,11000,59275000,59275000,98306000,-4276000,440000,891000,1844000,-1101000,-1620000,-3077000,-3e+06,-7697000,103000.000000007,50000.0000000001,50000.0000000001,-294000,-141000,-8939000.00000001,-8939000.00000001,-32000.0000000001,-8971000,-3718000,14900000,-3537000,0.17331,-0.13048,-0.13418,-0.07214,-0.0435,0.82717,3.7551,0.65847,0.15157,-0.15374,-0.15374,1.14577,2.13115,-0.12717,-0.05644,-0.04669,16.29075,14.56686
"3","2015_Q2",8.19809523809524,"Up",33310000,-27728000,5582000,-10146000,-7348000,-2798000,-4564000,-264000,-245000,-19000,-4828000,-4828000,-108000,-4936000,-4936000,-4936000,-4936000,53824000,32494000,21330000,7786000,7786000,1448000,1448000,63058000,8618000,934000,4847000,4831000,16000,14399000,77457000,4998000,1438000,3560000,15945000,9677000,6268000,20943000,1597000,1495000,102000,1597000,22540000,119760000,-2601000,-62116000,-126000,54917000,54917000,77457000,-4936000,566000,703000,-1241000,-4908000,-1590000,1039000,0,-551000,-14900000,367000,367000,-384000,-14917000,-20376000,-20376000,-228000,-20604000,-3998000,0,-6721000,0.16758,-0.13702,-0.14818,-0.08988,-0.06373,1.36163,3.01093,0.41044,0,-0.18056,-0.18056,1.21848,2.00887,-0.24585,-0.08734,-0.11893,13.46273,11.79316
"4","2015_Q3",7.8890625,"Down",35587000,-29801000,5786000,-10408000,-7529000,-2879000,-4622000,-25000,-39999.9999999999,15000,-4647000,-4647000,22000,-4625000,-4625000,-4625000,-4625000,47704000,26157000,21547000,8778000,8778000,1677000,1677000,58159000,9131000,2520000,4838000,4815000,23000,16489000,74648000,4938000,1218000,3720000,16435000,10115000,6320000,21373000,1607000,1495000,112000,1607000,22980000,121114000,-2601000,-66741000,-104000,51668000,51668000,74648000,-4625000,563000,784000,-710000,-3988000,-1054000,-1839000,4.65661287307739e-10,-2893000,0,434000,434000,9.31322574615479e-10,434000.000000002,-6447000,-6447000,110000,-6337000,-4059000,0,-5845000,0.16259,-0.12988,-0.12996,-0.08951,-0.06196,1.26378,2.72114,0.44476,0,-0.16759,-0.16759,1.28949,1.87218,-0.21179,-0.08681,-0.10971,11.75265,10.32107
"5","2015_Q4",7.89828125,"Up",37865000,-31274000,6591000,-11201000,-8195000,-3006000,-4610000,-17000,-13000,-4000,-4627000,-4627000,-16000,-4643000,-4643000,-4643000,-4643000,44891000,21688000,23203000,8344000,8344000,2157000,2157000,55392000,9614000,2720000,4828000,4799000,29000,17162000,72554000,5778000,1451000,4327000,17460000,10604000,6856000,23238000,1907000,1495000,412000,1907000,25145000,121741000,-2601000,-71383000,-348000,47409000,47409000,72554000,-4643000,671000,776000,2324000,-872000,-1172000,-1702000,0,-3174000,0,113000,113000,-259000,-146000,-4192000,-4192000,-277000,-4469000,-3939000,0,-2771000,0.17407,-0.12175,-0.12262,-0.09793,-0.06399,0.59681,2.38368,0.53038,0,-0.16728,-0.16728,1.36424,1.70811,-0.09984,-0.09415,-0.05619,11.39655,9.73774
"6","2016_Q1",8.9555737704918,"Up",40201000,-32931000,7270000,-10249000,-7717000,-2532000,-2979000,-10000,-27000,17000,-2989000,-2989000,-12000,-3001000,-3001000,-3001000,-3001000,43244000,17956000,25288000,8196000,8196000,2193000,2193000,53633000,9719000,2688000,4877000,4854000,23000,17284000,70917000,5478000,1289000,4189000,18139000,11042000,6928000,23617000,1944000,1433000,511000,1944000,25561000,122844000,-2601000,-74385000,-502000,45356000,45356000,70917000,-3001000,742000,671000,931000,-657000,-1078000,-2118000,-409000,-3305000,-4.65661287307739e-10,421000,421000,0,421000,-3541000,-3541000,-191000,-3732000,-2237000,0,-2372000,0.18084,-0.0741,-0.07465,-0.06617,-0.04232,0.7904,2.27095,0.56356,0,-0.1077,-0.1077,1.44279,1.6278,-0.08513,-0.06345,-0.05015,19.33125,14.51628
"7","2016_Q2",13.04625,"Up",42699000,-35395000,7304000,-9849000,-7562000,-2287000,-2545000,-13000,-30000,17000,-2558000,-2558000,-14000,-2572000,-2572000,-2572000,-2572000,43093000,17526000,25567000,8464000,8464000,2038000,2038000,53595000,9587000,2785000,4903000,4865000,38000,17275000,70870000,4015000,1027000,2988000,19617000,11785000,7663000,23632000,1962000,1431000,531000,2930000,26562000,124077000,-2601000,-76957000,-211000,44308000,44308000,70870000,-2572000,785000,705000,-216000,-1298000,-653000,-259000,-34000,-946000,987000,486000,486000,-181815.848702779,1473000,-771000,-771000,341000,-430000,-1760000,968000,-2615000,0.17106,-0.0596,-0.06024,-0.05805,-0.03629,1.01672,2.2679,0.59949,0.01366,-0.09186,-0.09186,1.52501,1.58247,-0.0934,-0.05445,-0.05536,23.93466,16.55206
"8","2016_Q3",15.30671875,"Up",45832000,-37566000,8266000,-9223000,-7059000,-2164000,-957000,-3000,-41000,38000,-960000,-960000,-4000,-964000,-964000,-964000,-964000,45399000,18207000,27192000,9278000,9278000,1717000,1717000,56394000,9733000,2811000,4944000,4882000,62000,17488000,73882000,4233000,865000,3368000,21017000,12396000,8452000,25250000,2174000,1433000,741000,3160000,28410000,126188000,-2601000,-77921000,-194000,45472000,45472000,73882000,-964000,739000,773000,1010000,1558000,-437000,-1626000,-35000,-2098000,-74000,1299000,1299000,-541949.29426324,1225000,685000,685000,-4000.00000000012,681000,-218000,986000,359000,0.18035,-0.02088,-0.02103,-0.0212,-0.01305,-0.37241,2.23343,0.62478,0.01335,-0.03401,-0.03401,1.61674,1.60404,0.01266,-0.01982,0.00737999999999999,203.72936,46.40857
"9","2016_Q4",16.0866666666667,"Up",48359000,-39859000,8500000,-10042000,-7703000,-2339000,-1542000,-82000,-66000,-16000,-1624000,-1624000,-13000,-1637000,-1637000,-1637000,-1637000,49346000,20626000,28720000,10286000,10286000,1919000,1919000,61551000,9188000,2789000,4983000,4894000,89000,16960000,78511000,4773000,1284000,3489000,22689000,13171000,9349000,27462000,2291000,1433000,858000,6260000,33722000,127213000,-2601000,-79558000,-265000,44789000,44789000,78511000,-1637000,1093000,955000,897000,1308000,-456000,-1530000,-61000,-2047000,2965000,951000,951000,-662000,3254000,2515000,2515000,-96000,2419000,-449000,3969000,5000,0.17577,-0.03189,-0.03385,-0.03655,-0.02085,-0.00305,2.24132,0.75291,0.05055,-0.05697,-0.05697,1.68308,1.55883,0.00017,-0.03207,1e-04,101.06236,29.42737
"10","2017_Q1",15.2585483870968,"Down",51340000,-42122000,9218000,-10872000,-8128000,-2744000,-1654000,-62000,-81000,19000,-1716000,-1716000,-7000,-1723000,-1723000,-1723000,-1723000,53207000,23637000,29570000,10118000,10118000,2062000,2062000,65387000,8464000,2850000,5644000,4910000,734000,16958000,82345000,7422000,2006000,5416000,22984000,13463000,9521000,30406000,2457000,1623000,834000,7224000,37630000,129574000,-3201000,-81281000,-377000,44715000,44715000,82345000,-1723000,1229000,617000,3315000,3438000,-395000,-954000,-68000.0000000001,-1417000,1110000,1009000,1009000,-399000,1720000,3741000,3741000,-130000,3611000,-425000,4767000,2502000,0.17955,-0.03222,-0.03356,-0.03853,-0.02092,-1.45212,2.15046,0.84155,0.05789,-0.05935,-0.05935,1.76849,1.54028,0.08619,-0.03317,0.04817,113.97647,29.28658
"11","2017_Q2",18.0415873015873,"Up",54729000,-45574000,9155000,-10504000,-8101000,-2403000,-1349000,-109000,-137000,28000,-1458000,-1458000,-24000,-1482000,-1482000,-1482000,-1482000,52730000,21937000,30793000,13513000,13513000,2243000,2243000,68486000,7990000,2921000,8336000,4946000,3390000,19247000,87733000,5811000,2020000,3791000,29589000,17690000,11899000,35400000,2460000,1623000,837000,7248000,42648000,131421000,-3201000,-82763000,-372000,45085000,45085000,87733000,-1482000,1036000,878000,1425000,1857000,-462000,-1301000,-2710000,-4473000,0,1037000,1037000,-142000,895000,-1721000,-1721000,21000,-1700000,-313000,4788000,674000,0.16728,-0.02465,-0.02708,-0.03287,-0.01689,-0.45479,1.93463,0.94595,0.05457,-0.05066,-0.05066,1.87078,1.54112,0.02304,-0.02832,0.01288,153.16933,35.53892
"12","2017_Q3",22.9579365079365,"Up",58275000,-47924000,10351000,-10939000,-8617000,-2322000,-588000,1003000,-109000,1112000,415000,415000,-4000.00000000001,411000,411000,411000,411000,57169000,24604000,32565000,17098000,17098000,2294000,2294000,76561000,7988000,2829000,8273000,4950000,3323000,19090000,95651000,8361000,1779000,6582000,31262000,20442000,10820000,39623000,2567000,1623000,944000,8876000,48499000,132950000,-3201000,-82352000,-245000,47152000,47152000,95651000,411000,1077000,-189000,525000,1824000,-802000,-1882000,-43000,-1325000,1459000,610000,610000,-61000,2008000,2507000,2507000,160000,2667000,489000,6309000,216000,0.17762,-0.01009,0.00705,0.00871999999999999,0.0043,0.52555,1.93224,1.02857,0.06596,0.01393,0.01256,1.97469,1.59778,0.00732,0.00734,0.00386,-104.00818,86.4966
"13","2017_Q4",29.4079365079365,"Up",63118000,-51311000,11807000,-11350000,-8879000,-2471000,457000,-25000,-124000,99000,432000,432000,-26000,406000,406000,406000,406000,59280000,25249000,34031000,20315000,20315000,2987000,2987000,82582000,7958000,3084000,8304000,4965000,3339000,19346000,101928000,10140000,2327000,7813000,33911000,22656000,11255000,44051000,2626000,1623000,1003000,9925000,53976000,133150000,-3201000,-81946000,-51000,47952000,47952000,101928000,406000,1095000,1082000,425000,3008000,-983000,-1643000,-9000,-2635000,961000,435000,435000,-1379000,17000,390000,390000,255000,645000,1552000,7299000,1020000,0.18706,0.00724,0.00643,0.00847,0.00398,2.51232,1.87469,1.12563,0.07161,0.01352,0.01226,2.10132,1.59642,0.03396,0.00701,0.01762,-33.49291,-113.74398
"14","2018_Q1",32.0385245901639,"Up",66545000,-54808000,11737000,-12899000,-10327000,-2572000,-1162000,-158000,-163000,5000.00000000012,-1320000,-1320000,482000,-838000,-838000,-838000,-838000,63296000,25706000,37590000,20367000,20367000,2895000,2895000,86558000,7868000,3237000,8196000,4972000,3224000,19301000,105859000,10376000,2716000,7660000,35490000,22734000,12756000,45866000,2235000,1002000,1233000,11559000,57425000,134511000,-3201000,-82784000,-92000,48434000,48434000,105859000,-838000,1024000,229000,2562000,2977000,-884000,-3722000,-17000,-4623000,1980000,463000,463000,-282000,2161000,515000,515000,-58000,457000,-138000,9324000,1058000,0.17638,-0.01746,-0.01259,-0.0173,-0.00792,-1.26253,1.88719,1.18563,0.08808,-0.02836,-0.03604,2.25191,1.63903,0.0358,-0.01397,0.01764,391.10145,46.4475
"15","2018_Q2",31.07265625,"Down",69760000,-58696000,11064000,-12560000,-10396000,-2164000,-1496000,-79000,-219000,140000,-1575000,-1575000,95000,-1480000,-1480000,-1480000,-1480000,70146000,30786000,39360000,24317000,24317000,3046000,3046000,97509000,8275000,3238000,8196000,5e+06,3196000,19709000,117218000,11690000,3343000,8347000,40207000,26757000,13450000,51897000,2223000,1002000,1221000,17074000,68971000,139009000,-6201000,-84264000,-297000,48247000,48247000,117218000,-1480000,927000,991000,1639000,2077000,-992000,-1840000,0,-2832000,5500000,481000,481000,-216000.000000004,5765000,5010000,5010000,70000,5080000,-569000,14851000,-17000,0.1586,-0.02144,-0.02122,-0.03068,-0.01263,0.01149,1.87889,1.42954,0.1267,-0.04893,-0.04893,2.30638,1.59512,-0.00056,-0.02266,-0.00026,97.17926,36.9619
"16","2018_Q3",38.5968253968254,"Up",73392000,-61039000,12353000,-12610000,-10312000,-2298000,-257000,-29000,-332000,303000,-286000,-286000,-91000,-377000,-377000,-377000,-377000,138226000,95424000,42802000,28552000,28552000,6890000,6890000,173668000,8208000,3311000,9112000,5158000,3954000,20631000,194299000,12797000,2373000,10424000,44335000,30339000,13996000,57132000,2287000,1002000,1285000,20915000,78047000,207505000,-6201000,-84641000,-411000,116252000,116252000,194299000,-377000,964000,1301000,-2354000,-466000,-1378000,-3531000,113000,-4796000,4050000,1175000,1175000,65746000,70971000,65709000,65709000,-271000,65438000,707000,18628000,-2934000,0.16832,-0.0035,-0.00514,-0.00324,-0.00194,7.78249,3.03977,0.67136,0.09587,-0.01227,-0.01227,2.38898,3.78412,-0.0955,-0.00275,-0.02139,-169.16266,465.36187
"17","2018_Q4",26.9015873015873,"Down",78164000,-64420000,13744000,-12838000,-10539000,-2299000,906000,292000,-336000,628000,1198000,1198000,7000,1205000,1205000,1205000,1205000,74099000,34677000,39422000,31985000,31985000,4184000,4184000,110268000,69998000,3545000,16064000,8084000,7980000,89607000,199875000,14169000,2163000,12006000,47064000,32848000,14216000,61233000,2176000,1002000,1174000,10780000,72013000,217833000,-6201000,-83436000,-334000,127862000,127862000,199875000,1205000,1136000,1024000,4040000,7405000,-56445000,209000,-965000,-57201000,-10061000,1216000,1216000,-2214000,-11059000,-60855000,-60855000,108000,-60747000,2042000,8604000,-50370000,0.17584,0.01159,0.01542,0.00942,0.00603,-41.80083,1.80079,0.56321,0.04305,0.03637,0.03312,2.35935,3.85947,-1.5204,0.00869,-0.36331,-32.07395,-72.29029
