"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.92015625,"Up",31602131,31602131,-21115832,10486299,-8648958,-3886065,-4762893,1837341,396060,392052,4008,2233401,-594550,1638851,-180000,1271788,1271788,88924,1360712,1360712,138969649.373449,95824662.0704331,43144987.3030157,11725532.7695075,11725532.553699,24393105.6990525,-12414967.2255496,978556.438962185,162673320.616459,24513062.6299036,-15237873.5283814,-1044963.49746688,9275189.10152222,171948509.717981,15424808.8908034,13562621.1855137,1862187.70528962,3583292.04247063,3585990.84854135,19008100.933274,415040.357454869,415040.357454872,415040.357454869,19423141.2907289,314029066.862111,-25666470.1262998,-127908443.247523,-13040798.0722551,147413355.416033,5112013.01121927,152525368.427252,171948509.717981,1271788,1368568,1221044,803211,4664611,-5375961,9990702,4739185,-5390566,4013230,4013230,149778,4163008,3205909,0,-1186841,0.33182,0.05814,0.04306,0.046845853187454,0.041340527951175,-0.87222,8.12998724438467,0.125325224597366,0,0.02058,0.02038,0.47799,2.27912055237256,-0.01795,0.0466832349689349,0.0991856247370928,-121.415008952199,1718.36421246439
"2","2011_Q1",4.18806451612903,"Up",-29103641,-29103641,22736044,-6367597,2367629,-578009.000000001,2945638,-3999968,576824,729329,-152505,-3423144,534049,-2889095,327000,-2792745,4506972,63869,4570841,4570841,110947390,49834547,61112843,14539664,14539664,21462871,5674837,2725153,152624762,32613961,6857675,6857675,39471636,192096398,17315511,11317865,5997646,3210895,3210895,20526406,944617,944617,944617,21471023,314037597,-26580823,-127606200,5985345,165835919,4789456,170625375,192096398,4506972,1499334,494366,1630397,8131069,-6156994,1904436,-4208957,-1721707,2200405,2200405,299920,2500325,-2500634,0,-7354231,0.21879,0.13744,-0.15705,0.02679,0.02379,-1.60894,7.43553,0.12584,0,0.07059,0.06989,-0.44947,2.56112,-0.11358,0.02664,-0.04286,44.3677,27.73707
"3","2011_Q2",4.73095238095238,"Up",34934492,34934492,-21946612,12987880,-10829895,-4445146,-6384749,2157985,230135,263692,-33557,2388120,-135301,2252819,-98000,2044180,2044180,21527,2065707,2065707,99800265.2088504,32519240.643189,67281024.5656614,15331715.4934975,15331715.5654337,19720816.3503158,10624077.2418499,3151997.4370126,145476874.294514,35807391.4566988,14868078.3427938,7832442.66582229,50675469.7994926,196152344.094006,16459311.8697322,9268500.02149542,7190811.84823679,2875031.98584312,2874132.38381955,19334343.8555753,1202962.46418171,1202962.46418171,1202962.46418171,20537306.319757,314643844.545963,-27504167.4579001,-126283950.500826,10019253.1074184,170874979.694656,4740058.07959358,175615037.774249,196152344.094006,2044180,1927031,986124,-4458141,499194,-1182116,-150767,-11726591,-615563,-11842960,-11842960,2052,-11840908,4085016,0,-1457241,0.37178,0.06177,0.05913,0.013187215604182,0.011794824016275,-0.70544,7.63303175187178,0.117196591800878,0,0.03191,0.03146,0.53965,2.64189981587581,-0.02251,0.0130855883436884,-0.0537793749123643,37.1784013173997,-436.052916654798
"4","2011_Q3",3.9390625,"Down",31430957,31430957,-19115190,12315767,-11837207,-4697648,-7139559,478560.000000001,398927,365611,33316,877487,21564,899051,-97500.0000000001,757952,757952,43872,801824,801824,99327344,33170411,66156933,15034313,15034313,19114320,7971645,2781233,141447622,35810203,14757134,5575816,50567337,192014959,14905511,8092099,6813412,2604774,2604774,17510285,1284354,1284354,1284354,18794639,315517497,-28488147,-124738669,6062264,168352945,4867375,173220320,192014959,757952,1885967,674619,-286514.000000001,3032024,-2683089,-4705784,-6706931,-1282385,-4957292,-4957292,134064,-4823228,2364527,0,-507576,0.39184,0.01523,0.02551,0.00463,0.00418,-0.63303,8.07797,0.1085,0,0.01243,0.01201,0.48708,2.60895,-0.00787,0.00459,-0.00291000000000004,-42.00728,-207.55463
"5","2011_Q4",3.81380952380952,"Down",29566450,29566450,-19752188,9814262,-10732885,-4351795,-6381090,-918623,548038,357585,190453,-370585,861911,491326,-97500,344230,344230,-184260,159970,159970,103259506,40163342,63096164,15183533,15183533,19354884,3752070,2220007,141549993,34061023,13140929,4456197,47201952,188751945,15494668,8959881,6534787,2462981,2462981,17957649,1283926,1283926,1283926,19241575,316214488,-29640979,-123941614,1852620,164484515,5025855,169510370,188751945,344230,2183920,366461,4690102,7584713,-1865544,2753195,940225,-1162137,7362801,7362801,-369870,6992931,1265297,0,4187355,0.33194,-0.03107,0.00541,0.00094,0.00085,26.17588,7.88243,0.11351,0,0.00249,0.00244,0.45988,2.5584,0.06513,0.00094,0.02452,-81.60891,112.40684
"6","2012_Q1",3.76290322580645,"Down",-31273296,-31273296,22813895,-8459401,-808424,-2496292,6687380,-9267825,257439,304703,-47264,-9010386,-364847,-9375233,293000,-9174850,538209,-486346,51863,51863,105418550,43095163,62323387,16510851,16510851,20468512,3339031,1962128,145736944,32369441,15765831,7946087,48135272,193872216,20012329,12384870,7627459,2467461,2467461,22479790,1295670,1295670,1295670,23775460,316442423,-30995449,-124631665,4146024,164961333,5135423,170096756,193872216,538209,2601754,2724477,2271730,8136170,-1401622,489773.999999998,-2908470,-2311663,2916037,2916037,15784,2931821,-6666071,0,-6088963,0.2705,0.29635,-0.00166,3e-04,0.00027,-117.40476,6.48302,0.13978,0,0.000810000000000002,0.00082,-0.48814,2.57486,-0.09504,3e-04,-0.03553,15.8142,11.37468
"7","2012_Q2",3.43111111111111,"Down",10866030,10866030,-7148508,3717522,-7211604,-4209389,-3002215,-3494082,291525,232363,59162,-3202557,744061,-2458496,-97400,-2712191,-2466491,-111236,-2577727,-2577727,101960025,43391619,58568406,12828022,12828022,23012921,3989137,1501600,141790105,33786477,17411907,9902139,51198384,192988489,18659388,11501836,7157552,2445827,2445827,21105215,1316828,1316828,1316828,22422043,317413367,-32267486,-126217486,6143114,165071509,5494937,170566446,192988489,-2466491,2526918,1064340,-1753770,-629003,-1775988,4005819,2042307,-1272037,141267,141267,155389,296656,-967164,0,-4399522,0.34212,-0.32156,-0.23723,-0.01511,-0.01336,1.70674,6.71825,0.13146,0,-0.04014,-0.04014,0.16919,2.57021,-0.0685,-0.015,-0.0256,105.42165,29.18078
"8","2012_Q3",3.57761904761905,"Up",7011578,7011578,-4960588,2050990,-8750761,-4118296,-2927695,-6699771,328878,290206,38672,-6370893,64850,-6306043,84600,-6455350,-5126389,-72739,-5199128,-5199128,96327069,31160196,65166873,12417196,12417196,19913736,4392947,1898487,133050948,32962113,15924922,10471571,48887035,181937983,16398178,8800613,7597565,2417461,2417461,18815639,1182374,1182374,1182374,19998013,318283891,-34450978,-132408520,5178857,156603250,5336720,161939970,181937983,-5126389,2605872,3058324,1324745,1862552,-3972462,-6702199,-11713211,-2280409,-12131068,-12131068,-100555,-12231623,-4093899,0,-6826216,0.29251,-0.95553,-0.74151,-0.03211,-0.02858,1.31295,7.0713,0.12349,0,-0.08242,-0.08242,0.11116,2.48269,-0.10822,-0.03187,-0.04185,23.52942,14.37767
"9","2012_Q4",3.40983870967742,"Down",8189769,8189769,-4860603,3329166,-9435175,-4695218,-4739957,-6106009,400398,295394,105004,-5705611,-935660,-6641271,-9999,-6853548,-7067896,344275,-6723621,-6723621,94537235,25263239,69273996,12293195,12293195,19684989,4591215,1930671,131106634,33710208,15729861,9287486,49440069,180546703,18480257,9503243,8977014,2214889,2214889,20695146,1144773,1144773,1144773,21839919,319247933,-34450978,-139132141,6380602,152045416,6661368,158706784,180546703,-7067896,2501385,3034146,1794149,261784,-2715626,-3695104,-6312664,-3759,-6054639,-6054639,157682,-5896957,-3604624,0,-4516102,0.4065,-0.74557,-0.82098,-0.04237,-0.03724,0.67168,6.33514,0.13761,0,-0.10603,-0.10603,0.12915,2.39763,-0.07122,-0.04206,-0.02825,26.22666,15.48266
"10","2013_Q1",3.41266666666667,"Up",8574483,8574483,-7250726,1323757,-5594789,-4142967,-1451822,-4271032,279372,308381,-29009,-3991660,-607263,-4598923,-1076201,-5762231,-4333496,472042,-3861454,-3861454,92485349,27135387,65349962,5254549,5254549,5789753,23437418,1600873,126967069,8486406,40755327,37753614,49241733,176208802,10548633,5121324,5427309,9627803,8323290,20176436,946456,946456,946456,21122892,319665461,-34450978,-142993595,6512792,148733680,6352230,155085910,176208802,-4333496,1477768,2800530,2348066,2292868,-1367891,3843518,52995.9999999991,-527958,1817906,1817906,54242.0000000001,1872148,-2793264,0,-736888,0.15438,-0.49811,-0.45034,-0.0249,-0.02191,0.19083,6.29284,0.1362,0,-0.06057,-0.06057,0.1345,2.33298,-0.01156,-0.02475,-0.00472,33.11014,21.6541
