"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.8925396825397,"Up",101880000,-44833000,57047000,-44059000,-26351000,-15303000,-2405000,12988000,197000,-882178.526891791,197000,13185000,13185000,-2383000,10802000,10802000,10802000,10802000,203741849.484586,-97933055.0732311,-7703510.35260262,-7703510.35260262,28604774.5821631,4690551.79245561,-12119265.896154,229333665.506602,45286458.1310421,234683576.346762,129047590.236517,81515144.1313407,-16770079.4461844,32638577.1095288,238030942.233947,467364607.74055,24091569.7309503,-3216912.08495653,38603760.2802134,31438031.0284279,17531624.597895,-4268836.71221792,21800461.3101129,16810636.956397,48248667.9848249,348234877.039723,-303230437.66673,373615452.48405,496047.898681488,419115939.755725,419115939.755725,467364607.74055,10802000,3870000,8878000,-15350000,8200000,-4484000,24835000,20351000,-59732000,4693000,5069000,-376000,257000,-54782000,-26231000,-26231000,-26231000,16858000,0,-593000,0.55994,0.12748,0.10603,0.139208799796925,0.113129297435536,-0.0549,3.8159695153354,0.12811445836149,-0.00065736145052345,0.17587,0.17097,1.65874,6.71651375315788,-0.00965,0.130246036145035,0.0807466415245373,4.25768547065963,9.34406948494804
"2","2010_Q3",17.545,"Down",113227000,-45795000,67432000,-44724000,-24915000,-17404000,-2405000,22708000,308000,-470495.214342289,308000,23016000,23016000,-3354000,19662000,19662000,19662000,19662000,162543000,105918000,49009000,49009000,36809000,19220000,7412000,267581000,45860000,231452000,129651000,79532000,5462000,16807000,307966000,575547000,76948000,32946000,41393000,82216000,37447000,16505000,20942000,37447000,119663000,353876000,-264003000,365166000,845000,455884000,455884000,575547000,19662000,3985000,8030000,-4849000,26828000,-5807000,-58462000,-64269000,59732000,1284000,2310000,-1026000,-24000,60992000,23551000,23551000,23551000,26693000,0,19391000,0.59555,0.20055,0.17365,0.04313,0.03416,0.98622,3.25461,0.26249,0,0.31747,0.30938,1.82822,7.36092,0.3131,0.03986,0.03931,-6.08935,-7.15796
"3","2010_Q4",22.3965625,"Up",123125000,-49304000,73821000,-56307000,-35501000,-18400000,-2406000,17514000,3000,-176435.705378358,3000,17517000,17517000,-1412000,16105000,16105000,16105000,16105000,184895000,142209000,58911000,58911000,43203000,23733000,11925000,310742000,50568000,226539000,129651000,77127000,4896000,14865000,320917000,631659000,94364000,36273000,55482000,100906000,40132000,16505000,23627000,40132000,141038000,353993000,-245500000,381273000,855000,490621000,490621000,631659000,16105000,4412000,7714000,1347000,29578000,-7649000,-30214000,-37863000,43893271.8180609,13527000,14839000,-1312000,48000,13575000,5290000,5290000,5291000,21926000,0,17036000,0.59956,0.14225,0.1308,0.03283,0.0255,1.05781,3.07952,0.28747,0,0.25771,0.24948,1.97022,7.85082,0.27261,0.03034,0.0321,-8.43268,-10.55698
"4","2011_Q1",23.1914516129032,"Up",116270000,-46264000,70006000,-44458000,-23637000,-18517000,-2304000,25548000,66000,0,66000,25614000,25614000,389000,26003000,26003000,26003000,26003000,231256000,119019000,50610000,50610000,47719000,24113000,10744000,353698000,56778000,222381000,129651000,74823000,-10369985.3412137,17907000,306245000,659943000,85471000,29629000,55842000,93825000,37503000,11120000,26383000,37503000,131328000,352863000,-232267000,407276000,743000,528615000,528615000,659943000,26003000,4181000,6750000,-7739000,29195000,-7521000,6026000,-1495000,0,7500000,7605000,-105000,610000,8110000,35810000,35810000,35810000,29729000,-5.82076609134674e-11,14080000,0.6021,0.21973,0.22364,0.04919,0.0394,0.54148,3.76976,0.24844,0,0.40943,0.38924,1.83074,8.32333,0.2217,0.04593,0.02487,-7.7788,-9.05182
"5","2011_Q2",26.6950793650794,"Up",122371000,-48517000,73854000,-47332000,-26705000,-18525000,-2102000,26522000,-440000,58811.9017927861,-440000,26082000,26082000,-3500000,22582000,22582000,22582000,22582000,264425000,134605000,50402000,50402000,50084000,25391000,12022000,390302000,62175000,220594000,129651000,72721000,-29727999.784502,18222000,294643000,684945000,61793000,33488000,24114000,70039000,40045000,13897000,26148000,40045000,110084000,354729000,-210432000,429858000,706000,574861000,574861000,684945000,22582000,4271000,9205000,-29717000,6341000,-7464000,-2417000,-9881000,0,18051000,18501000,-450000,1075000,19126000,15586000,15586000,15586000,30793000,0,-2888000,0.60353,0.21673,0.18454,0.03928,0.03297,-0.12789,5.57264,0.1915,-2.16840434497101e-19,0.34983,0.33643,1.8957,8.90539,-0.04474,0.03672,-0.0047,-8.58718,-9.97002
"6","2011_Q3",23.01421875,"Down",130254000,-51534000,78720000,-46812000,-22481000,-22228000,-2103000,31908000,-117000,0,-117000,31791000,31791000,-4653000,27138000,27138000,27138000,27138000,282526000,140589000,51303000,51303000,49203000,23896000,10527000,406928000,68096000,223783000,129651000,70618000,-41942621.5571834,23514000,322961000,729889000,61391000,34088000,27303000,70427000,41331000,15262000,26069000,41331000,111758000,359256000,-198763000,456996000,642000,618131000,618131000,729889000,27138000,4540000,7430000,-4863000,34245000,-7790000,-31409000,-39199000,0,10294000,10395000,-101000.000000001,644000,10938000,5984000,5984000,5984000,36448000,9.31322574615479e-10,28448000,0.60436,0.24497,0.20835,0.0439,0.03718,1.04827,5.77801,0.1808,0,0.41402,0.398,1.98718,9.43035,0.43401,0.04115,0.04314,-7.75148,-8.85439
"7","2011_Q4",23.4196825396825,"Up",123944000,-50537000,73407000,-50172000,-25110000,-20489000,-4573000,23235000,729000,0,729000,23964000,23964000,3015000,26979000,26979000,26979000,26979000,292146000,183140000,59614000,59614000,47152000,27459000,14090000,426371000,68512000,220515000,129651000,68945000,-35778428.8865765,21919000,314341000,740712000,62754000,36599000,26155000,70711000,44617000,18889000,25728000,44617000,115328000,357604000,-216772000,483975000,577000,625384000,625384000,740712000,26979000,7273000,3390000,-4660000,32982000,-5735000,38617000,32882000,0,-23919000,6109000,-30028000,608000,-23311000,42553000,42553000,42551000,30508000,0,17098000,0.59226,0.18746,0.21767,0.04314,0.03642,0.63375,6.02977,0.18441,-1.73472347597681e-18,0.41227,0.40079,1.89401,9.5566,0.26128,0.04027,0.02552,-9.57605,-12.57353
"8","2012_Q1",28.0872580645161,"Up",104032000,-44368000,59664000,-45273000,-26333000,-19335000,394999.999999999,14391000,421000,0,421000,14812000,12342000,46000.0000000019,12388000,12388000,12388000,12388000,310143000,227022000,49644000,49644000,46995000,20530000,5611000,427312000,69713000,211774000,129651000,66720000,0,15403000,299009000,726321000,59088000,26699000,32389000,66982000,29151000,1e+06,28151000,29151000,96133000,359112000,-225822000,496363000,535000,630188000,630188000,726321000,12388000,4929000,715000,8232000,26264000,-3529000,33627000,30098000,0,-12430000,7656000,-20086000,-48000.0000000002,-12478000,43884000,43884000,43882000,19320000,0,23977000,0.57352,0.13833,0.11908,0.01966,0.01706,1.9355,6.3795,0.15255,0,0.191,0.18551,1.60402,9.71658,0.36969,0.01879,0.03637,-16.05295,-21.55118
"9","2012_Q2",25.2406349206349,"Down",116642000,-61305000,55337000,-74479000,-44818000,-24083000,-5578000,-19142000,-1629000,-1843000,214000,-20771000,-20771000,22980000,2209000,2209000,2209000,2209000,147512000,138901000,64423000,64423000,95960000,44987000,31161000,352882000,97338000,708722000,398723000,236766000,50902000,22331000,819582000,1172464000,80827000,42654000,38173000,111911000,94358000,58575000,35783000,419609000,531520000,357981000,-216499000,498571000,891000,640944000,640944000,1172464000,2209000,6867000,-1871000,-18939000,-11734000,-4630000,78486000,-417861000,3.47e+08,1424000,1606000,-182000,-7120000,341304000,-88291000,-88291000,-88121000,-12275000,347076000,-58824000,0.47442,-0.16411,0.01894,0.00345,0.00188,-26.62924,3.15324,0.82928,0.29602,0.03384,0.03286,1.78674,9.81808,-0.90108,0.00204,-0.05435,-16.25776,-10.42545
"10","2012_Q3",24.7090476190476,"Down",150704000,-76179000,74525000,-71810000,-31220000,-32613000,-7977000,2715000,-4032000,-3112000,-920000,-1317000,-1317000,11339000,10022000,10022000,10022000,10022000,165858000,165858000,77284000,77284000,75951000,60939000,19217000,380032000,98174000,683574000,390079000,223914000,47411000,22170000,789266000,1169298000,77829000,44052000,33777000,110107000,82137000,53196000,28941000,401925000,512032000,362164000,-213925000,508594000,433000,657266000,657266000,1169298000,10022000,15678000,26544000,-28639000,23605000,-6085000,14607000,8522000,-5625000,720000,806999.999999999,-87000,-29000,-4934000,27193000,27193000,26957000,18393000,341623000,-27670000,0.49451,0.01802,0.0665,0.01525,0.00857,-2.76093,3.45148,0.77903,0.29216,0.1528,0.14921,2.29777,10.02128,-0.42188,0.00927,-0.0256,9.55608,64.73849
