"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.18203125,"Up",8708000,-4819000,3889000,-4902000,-4902000,784054.162853803,-1013000,-185000,-2311066.33562268,-1198000,-1198000,-1198000,-1198000,-1198000,-1198000,-1111450.89332621,-1111450.89332621,2486289.60697562,2486289.60697562,487698.653282301,1782864.92018592,1303452.17527883,3645402.28711763,4473976.36971087,478028.21932092,162275.161231196,4952004.58903179,8597406.87614942,-265424.171219866,160989.404210245,-426413.57543011,1849487.33588745,1584063.16466758,7520781.56470105,-81.0800187974332,-0.0995764522850068,7520775.36157369,9104838.52624126,19892073.5036451,-20399505.1537369,-507431.650091838,-507431.650091838,8597406.87614942,-1198000,459000,745000,-931000,-925000,-313000,-314000,617000,617000,-622000,-622000,-622000,-554000,0,0.4466,-0.11633,-0.13757,-0.199108913456426,-0.0340697653412858,1.88272622418452,5.35282718774477,0.793420404579935,-0.02871,-0.02871,0.20865,-0.00879400256692446,-0.045570117310405,-202.368483580206,825.095028689555
"2","2011_Q1",1.41387096774194,"Up",8755000,-4851000,3904000,-4467000,-4467000,150018.054284601,-563000,186000,-710000,-377000,-377000,-377000,-377000,-377000,-377000,1097000,1097000,5236000,5236000,887000,1518000,1018000,8738000,4839000,74000,74000,4913000,13651000,3731000,1933000,1798000,1995000,5726000,4790000,0,0,4790000,10516000,24594000,-21459000,3135000,3135000,13651000,-377000,484000,626000,-372000,361000,-103000,-249000,-569999.999999999,-570000,-458000,-458000,-458000,-79000,6785000,0.44592,-0.06431,-0.04306,-0.12026,-0.02762,1.52602,3.35439,0.49703,-0.00903,-0.00903,0.20978,0.07512,-0.038,-72,-10.10302
"3","2011_Q2",1.40174603174603,"Down",8805000,-4940000,3865000,-4576000,-4457000,-119000,-711000,-182000,-182000,-893000,-893000,-893000,-893000,-893000,-893000,2229233.63110874,2229233.63110874,6588236.79767479,6588236.79767479,1048683.78223923,1295211.69327136,788349.274907057,11161365.9042941,4705257.87676304,-50759.4064403067,54491.6129229347,4654498.47032274,15815864.3746169,4831808.05707329,2521003.53192992,2310804.52514337,1952670.88803752,6784478.94511081,4248406.14509965,48.6480112784599,0.0597458713710041,4248408.21280877,11032887.1579196,26989225.498785,-22206248.2820877,4782977.21669728,4782977.21669728,15815864.3746169,-893000,488000,731000,-1870000,-1544000,-71000,-71000,3051000,3051000,1436000,1436000,1436000,-223000,0,0.43896,-0.08075,-0.10142,-0.0789103621811912,-0.0229917448862381,1.62359959193849,2.40374593741841,0.398808198473355,-0.0214,-0.0214,0.21098,0.112625500855641,-0.031773294229865,-7.80469463993145,-197.907704563185
"4","2011_Q3",1.23953125,"Down",10466000,-5810000,4656000,-4770000,-4598000,-172000,-114000,-179000,-179000,-293000,-293000,-293000,-293000,-293000,-293000,2632000,2632000,7155000,7155000,1079000,1157000,657000,12023000,4559000,75999.9999999999,76000,4635000,16658000,4437000,2463000,1974000,1856000,6293000,5076000,64.8640150379465,0.0796611618280055,5076000,11369000,27934000,-22645000,5289000,5289000,16658000,-293000,475000,648000,-340000,490000,-54000,-54000,-337000,-336999.999999999,99000.0000000005,99000.0000000005,99000.0000000002,361000,6932000,0.44487,-0.01089,-0.028,-0.0554,-0.01759,1.91054,2.14956,0.41614,-0.00684,-0.00684,0.24421,0.12341,-0.02398,11.91136,-37.7193000000001
"5","2011_Q4",1.31269841269841,"Up",11320000,-6246000,5074000,-5033000,-4908000,-125000,41000,-184000,-184000,-143000,-143000,-143000,-143000,-143000,-143000,2649000,2649000,7366000,7366000,1096000,1202000,702000,12313000,5062000,110000,110000,5172000,17485000,4201000,2285000,1916000,1866000,6067000,6058000,48.6480112784599,0.0597458713710041,6058000,12125000,28148000,-22788000,5360000,5360000,17485000,-143000,521000,769000,-1263000,-116000,-213000,-213000,346000,346000,17000,17000,17000,562000,7924000,0.44823,0.00362,-0.01263,-0.02668,-0.00818,2.0295,2.26213,0.45319,-0.00332,-0.00332,0.26262,0.12435,-0.01076,9.38612,128.65854
"6","2012_Q1",1.64806451612903,"Up",12893000,-7060000,5833000,-5458000,-5331000,-127000,375000,-223000,-223000,152000,152000,152000,152000,152000,152000,2628000,2628000,7894000,7894000,1202000,1454000,954000,13178000,6642000,129000,129000,6771000,19949000,5439000,2529000,2910000,2107000,7546000,6506000,0,0,6506000,14052000,28533000,-22636000,5897000,5897000,19949000,152000,601000,917000,-431000,1239000,-559000,-559000,-701000,-701000,-21000,-21000,-21000,976000,8613000,0.45242,0.02909,0.01179,0.02578,0.00762,1.74636,2.38291,0.43175,0.00351,0.00351,0.29751,0.13607,0.01048,6.13217,15.96
"7","2012_Q2",1.66873015873016,"Up",15160000,-8016000,7144000,-6283000,-5786000,-497000,861000,-258000,-258000,603000,603000,603000,603000,603000,603000,2756000,2756000,10683000,10683000,1312000,1237000,937000,15988000,7355000,3097000,129000,10452000,26440000,5751000,3316000,2435000,2312000,8063000,9707000,0,0,9707000,17770000,30704000,-22034000,8670000,8670000,26440000,603000,763000,999000,-3430000,-1065000,-1314000,-1314000,2307000,2507000,128000,128000,128000,1624000,12019000,0.47124,0.05679,0.03978,0.06955,0.02281,1.98288,2.0496,0.45458,0.01349,0.01272,0.33917,0.19397,0.02915,5.70382,10.75842
"8","2012_Q3",2.33587301587302,"Up",15611000,-8245000,7366000,-6527000,-5999000,-528000,839000,-288000,-288000,551000,551000,551000,551000,551000,551000,2566000,2566000,11327000,11327000,1526000,1137000,837000,16556000,8410000,3035000,123000,11445000,28001000,6139000,3134000,3005000,2564000,8703000,9579000,-2.8421709430404e-14,2.77555756156289e-17,9579000,18282000,31202000,-21483000,9719000,9719000,28001000,551000,912000,1097000,-1479000,1081000,-736000,-736000,-535000,-535000,-190000,-190000,-190000,1751000,12143000,0.47185,0.05374,0.0353,0.05669,0.01968,1.90233,1.88106,0.43366,0.01226,0.01156,0.34727,0.2162,0.0252,5.46945,11.41478
"9","2012_Q4",2.76806451612903,"Up",14202000,-8310000,5892000,-6577000,-5769000,-808000,-685000,-291000,-291000,-976000,-976000,-976000,-976000,-976000,-976000,2038000,2038000,12013000,12013000,1906000,1164000,864000,17121000,9234000,2947000,91000,12181000,29302000,6122000,3238000,2884000,2513000,8635000,11445000,0,0,11445000,20080000,31680000,-22458000,9222000,9222000,29302000,-976000,1e+06,1066000,-1599000,-509000,-1250000,-1250000,1231000,1231000,-528000,-528000,-528000,315000,13958000,0.41487,-0.04823,-0.06872,-0.10583,-0.03331,1.98274,2.1774,0.47635,-0.0216,-0.0216,0.31438,0.20414,-0.04211,37.84127,-17.40146
"10","2013_Q1",3.14,"Up",14894000,-8460000,6434000,-6238000,-5790000,-448000,196000,-309000,837000,-113000,-113000,-113000,-113000,-113000,-113000,1868000,1868000,14034000,14034000,1859000,820000,820000,18581000,8607000,2883000,83000,11490000,30071000,7088000,3611000,3477000,2212000,9300000,11555000,-4.54747350886464e-13,-8.88178419700125e-16,11555000,20855000,31787000,-22571000,9216000,9216000,30071000,-113000,1143000,727000,-1756000,1000,-352000,-352000,-630000,181000,-170000,-170000,-170000,1339000,13767000,0.43199,0.01316,-0.00759,-0.01226,-0.00375999999999999,1.99796,2.26291,0.45782,-0.0025,-0.00207,0.32892,0.20352,-0.00492,8.88647999999999,60.70918
