"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",8.74640625,"Down",786398,-971669,-740068,-69369,-162232,-185271,-288536,-288536,-473807,-67861,-541668,-541668,-541668,183385,-358283,-380783,5429723,5429723,17135,17135,534597,534597,5981455,70445429,71003586,-558157,70965622,76947077,1251059,625725,625334,30754000,34834559,34834559,28634886,-779783,27855103,42112518,76947077,-541668,69369,264517,2579907,559474,2020433,2372125,-32489467,-32489467,947351.788242444,-11305137,-2658086,35511777,5394435,5394435,5394435,-115902,30754000,-0.23559,-0.48421,-0.00904,-0.00495,0.17171,0.82718,0.39968,-0.24174,-0.24174,0.49925,17.68385,-0.0581486394154546,-0.00523,548.042660232292,-218.49733,-136.68775
"2","2014_Q4",7.8525,"Down",1262054,-905369,-652900,-100208,-152261,356685,-286216,-286216,70469,-35664,34804.9999999999,34805,34805,-7154,27651,5151,63747769,63747769,79613,79613,251761,251761,64079143,74066425,74724789,-658364,75305142,139384285,1463587,1050086,413501,51454000,54670997,54670997,68864537,-1563966,67300571,84713288,139384285,34805,100208,273241,-976536,-78427,-898109,-568282.000000001,-4448316.99999997,-4448317,-625725,20700000,-884610,63334645,58318046,58318046,58318046,456893,51454000,0.28262,0.00408000000000014,5.99999999999993e-05,3.99999999999992e-05,1.17209,0.64537,0.36915,0.000809999999999977,0.000809999999999977,0.19856,10.5884,0.09845,0.00463,121.47641,-26.9073299999999,-34.46674
"3","2015_Q1",8.24016393442623,"Up",1483897,-1374475,-808737,-119528,-446210,109422,-318674,-462674,-209252,-89475,-298727,-298727,-298727,61359,-237368,-262368,33736166,33736166,336919,336919,403017.725726555,403017.725726545,34073085,165715487,166492956,-777469,166585229,200658314,2254330,1361437,892893,113513407,117132474,117132474,66925394,-568192,66357202,83525840,200658314,-298727,119528,274134,21981,-284408,306389,116916,-89358216,-89358216,-1016275,60400237,-154646,59229336,-30011964,-30011964,-30011964,228950,113513407,0.07374,-0.17681,-0.00314,-0.00131,0.29089,1.40235,0.5657,-0.03473,-0.03473,0.19645,8.78486,0.13454,0.00383,-3.87347000000001,348.44831,729.07862
"4","2015_Q2",8.7568253968254,"Up",2103000,-1516000,-875000,-173000,-468000,587000,-773000,-773000,-186000,-11000,-197000,-197000,-197000,40000,-157000,-182000,18183960,18183960,113009,113009,407844,407844,18704813,179267819,180218218,-950399,180775023,199479836,2639524,1625757,1013767,107776000,116328707,116328707,66897964,-724633,66173331,83151129,199479836,-197000,173000,299000,4675000,157000,4518000,4950000,-13235000,-13235000,-897000,-6102000.00000001,-268000,-7266999.99999999,-15552000,-15552000,-15552000,760000,107776000,0.27913,-0.08654,-0.00219,-0.00091,0.16079,1.399,0.54029,-0.02417,-0.02417,0.27928,8.78774,0.11912,0.00374,-4.92857,117.88426,152.62698
"5","2015_Q3",8.25734375,"Down",2884000,-1614000,-989000,-203000,-422000,1270000,-1068000,-1068000,202000,-57000,145000,145000,145000,-37000,108000,-23000,20819778,20819778,188318,188318,386477,386477,21578162,290375819,291529428,-1153609,291408124,312986286,3793120,2190672,1602448,183453059,197405833,197405833,76826878,-617556,76209322,115580453,312986286,145000,203000,340000,3900000,-51000,3951000,4588000,-76541000,-76541000,-904000,76149000,-656000,74589000,2636000,2636000,2636000,1473000,183453059,0.44036,-0.00798,-2e-04,-7e-05,0.10931,1.70795,0.58614,-0.00291,-0.00291,0.36531,9.65322,0.11451,0.00295,-39.30435,110.40956,128.0577
"6","2015_Q4",8.37484375,"Up",4170000,-1904000,-1112000,-237000,-555000,2266000,-1293000,-1391000,973000,-111000,862000,858000,858000,-234000,624000,492000,42504514,42504514,744240,744240,2091454,2091454,45539572,305494997,306885694,-1390697,306550819,352090391,5420175,3517192,1902983,190060807,202864168,202864168,109252511,6311,109258822,149226223,352090391,858000,237000,77000,-2056000,-620000,-1436000,-884000,-15482000,-17260000,-1099000,6600000.00000001,-764000,39828000,21684000,21684000,21684000,2503000,190060807,0.54341,0.11799,0.0033,0.0014,0.22448,1.35944,0.53981,0.04411,0.04409,0.37385,9.79537,0.09853,0.00469,2.23374,58.95178,65.11752
"7","2016_Q1",8.34032786885246,"Down",4599000,-2245000,-1216000,-280000,-749000,2354000,-1384000,-1384000,970000,-81000,889000,883000,883000,-129000,754000,522000,23514000,23514000,703000,703000,3079000,3079000,27545000,316237000,317908000,-1671000,317409000,344954000,4798000,2741000,2057000,187074000,196726000,196726000,114901000,-6529000,108372000,148228000,344954000,883000,280000,184000,-2306000,437000,-2743000,-959000,-11625000,-12654000,-1528000,-3e+06,-849000,-5377000,-18990000,-18990000,-18990000,2634000,187074000,0.51185,0.1135,0.00352,0.00151,0.14002,1.32719,0.54232,0.04411,0.04411,0.38863,9.15768,0.12912,0.00611,2.92720000000001,62.09567,69.48173
"8","2016_Q2",8.76421875,"Up",4692000,-2739000,-1526000,-317000,-896000,1953000,-3826000,-3854000,-1873000,-57000,-1930000,-1930000,-1930000,576000,-1354000,-1780000,35732000,35732000,1721000,1721000,3027000,3027000,40705000,555928000,557916000,-1988000,557133000,597838000,6227000,3943000,2284000,289604000,307876000,307876000,109561000,-694999.999999999,108866000,289962000,597838000,-1930000,317000,397000,6996000,-1018000,8014000,5780000,-93885000,-93835000,-1527000,1.03e+08,-1200000,100273000,12218000,12218000,12218000,2270000,289604000,0.41624,-0.37937,-0.00614,-0.00298,0.13221,1.06178,0.48442,-0.15041,-0.15041,0.39648,9.19943,0.12903,-0.000439999999999999,-0.85787,111.83789,129.99078
"9","2016_Q3",9.1903125,"Up",6031000,-2749000,-1657000,-366000,-726000,3282000,-1916000,-1950000,1366000,-48000,1318000,1318000,1318000,-445000,873000,-37000,32464000,32464000,1949000,1949000,3053000,3053000,37856000,570095000,572448000,-2353000,572148000,610004000,7225000,3976000,3249000,297289000,313309000,313309000,119798000,178000,119976000,296695000,610004000,1318000,366000,414000,-2915000,-230000,-2685000,-817000,-15391000,-15391000,-1594000,7935000,-1082000,12940000,-3268000,-3268000,-3268000,3648000,297289000,0.54419,-0.00613,-0.00012,-6e-05,0.12083,1.056,0.48736,-0.00297,-0.00297,0.48411,9.63044,0.12795,0.00262,-43.08108,72.59457,80.69013
"10","2016_Q4",8.88666666666667,"Down",6946000,-3043000,-1587000,-419000,-1037000,3903000,-1994000,-2065000,1909000,-1713000,196000,99000,99000,-30000,69000.0000000002,-837000,17189000,17189000,2131000,2131000,3120000,3120000,22818000,588398000,591171000,-2773000,589647000,612465000,8105000,4141000,3964000,302393000,316218000,316218000,125449000,247000,125696000,296247000,612465000,98999.9999999995,419000,231000,-2098000,-179000,-1919000,-1349000,-18123000,-18123000,-1688000,5102000,-874000,4197000.00000001,-15275000,-15275000,-15275000,4322000,302393000,0.56191,-0.1205,-0.00283,-0.00137,0.07216,1.06741,0.49373,-0.06117,-0.06117,0.50764,9.18629,0.12336,0.00142,-2.01673,65.98889,73.07302
