"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2010_Q4",8.52984375,"Up",56978000,-46624000,10354000,-6789000,-6227000,3565000,1467000,-125000,5032000,5032000,-30000,5002000,5002000,5002000,5002000,53713442.6839106,53713442.6839106,165606619.174879,1629175.62266537,6726430.62500854,277834138.297155,219071143.99568,22906163.5476145,22906163.5476145,262184886.232424,540019024.529578,119985889.714691,106348119.982588,13637769.3475526,2402778.71062967,13762433.6063922,29665937.6814431,89056963.9511509,70096977.7921902,16774552.4659222,118722901.632594,132485335.238986,4000,96745430.8611624,247388647.717604,63395610.711826,407533689.290592,407533689.290592,540019024.529578,5002000,2007000,-16000,-13587000,-6594000,-961000,-961000,1343000,1343000,-6212000,-6212000,-6212000,5572000,0,-8946000,0.18172,0.06257,0.08779,0.765367739567518,0.282348449089768,-1.78848,8.8315206026409,-2.81773286976529,-0.276071476088145,0.29997,0.29997,3.41692,24.0848874612592,-0.53648,0.35564342457413,0.296647628445829
"2","2011_Q2",7.37380952380952,"Down",64188000,-57669000,6519000,-5690000,-5690000,829000,35000,-92000,864000,864000,-163000,701000,701000,701000,701000,33142480.8946369,33142480.8946369,57103206.3916264,2225725.20755512,2775476.87500285,117159046.099052,107028381.331893,7389054.51587151,7389054.51587151,130595962.077475,247755008.176526,55251629.9048971,48615039.9941959,6636589.78251754,1923926.23687656,26087144.5354641,13134312.560481,36550987.983717,22535659.2640634,8786184.15530739,49685300.544198,75772445.0796621,4000,30955143.6203875,121679549.239201,19343870.2372753,171982563.096864,171982563.096864,247755008.176526,700999.999999998,2395000,-512000.000000001,-3133000,-549000,-5010000,-5010000,5736000,5800000,241000,241000,241000,3224000,0,-4756000,0.10156,0.01292,0.01092,0.0828559131891728,0.0042194830299227,-6.78459,3.75864686754697,-0.328427623255095,-0.0307504920293818,0.0420400000000001,0.04204,3.8493,10.2282891537531,-0.28521,0.00351114152471009,0.12030587614861
"3","2011_Q3",6.265625,"Down",68798000,-71586000,-2788000,-5305000,-4880000,-8093000,-2294000,0,-10387000,-10387000,129000,-10258000,-10258000,-10258000,-10258000,27844000,27844000,17079000,7092000,1201000,59618000,63250000,1040000,1040000,76865000,136483000,28617000,24218000,4399000,1705000,33174000,12360000,15751000,3740000,5513000,28111000,61285000,4000,5985000,69224000,-15000,75198000,75198000,136483000,-10258000,2365000,2755000,9810000,4672000,-4101000,-4101000,5820000,6319000,6890000,6890000,6890000,-5728000,14065000,-148000,-0.04052,-0.11763,-0.1491,-0.13641,-0.07516,0.01443,1.79713,0.81498,0.10305,-0.61516,-0.61516,4.12575,4.50932,-0.00888,-0.09768,-0.00141
"4","2011_Q4",4.81809523809524,"Down",76138000,-73347000,2791000,-5368000,-5074000,-2577000,-2898000,-114000,-5475000,-5475000,-34000,-5509000,-5509000,-5509000,-5509000,31013000,31013000,18987000,12759000,1106000,63745000,61889000,414000,414000,72021000,135766000,25565000,20649000,4916000,1657000,35916000,20146000,14349000,2575000,5157000,34495000,70411000,4000,6077000,62809000,-3535000,65355000,65355000,135766000,-5509000,2387000,-4134000,-6692000,-13948000,-323000,-323000,7738000,7654000,-6617000,-6617000,-6617000,-190000,21803000,-7171000,0.03666,-0.03385,-0.07236,-0.08429,-0.04058,1.30169,1.77484,1.07736,0.16059,-0.32832,-0.32832,4.53762,3.89474,-0.42737,-0.05427,-0.07065
"5","2012_Q2",3.69619047619048,"Down",86344000,-80765000,5579000,-7822000,-7748000,-2243000,182000,-255000,-2061000,1994000,-120000,1874000,1874000,1874000,1874000,35788000,35788000,34318000,14766000,1367000,84872000,74893000,1774000,1774000,84716000,169588000,31598000,25757000,5841000,1684000,36447000,28217000,19006000,6802000,5789000,47223000,83670000,4000,13993000,72783000,-862000,85918000,85918000,169588000,1876000,2935000,-2637000,-13145000,-10971000,1748000,10351000,237000,237000,-383000,-383000,-383000,692000,29901000,-10585000,0.06461,-0.02598,0.0217,0.02181,0.01105,-5.64835,2.32864,0.97384,0.17632,0.11078,0.11076,5.10419,5.07877,-0.62573,0.0139,-0.07851
"6","2012_Q3",3.15428571428571,"Down",85534000,-79618000,5916000,-6461000,-6285000,-545000,-371000,-228000,-916000,-915999.999999999,68000,-848000,-848000,-848000,-848000.000000001,35364000,35364000,36525000,9644000,1087000,81533000,76415000,1675000,1675000,85979000,167512000,32199000,27034000,5165000,1697000,35660000,29376000,17414000,5286000,5611000,46790000,82450000,4000,13975000,71933000,-850000,85062000,85062000,167512000,-850000,2908000,3603000,-2158000,3503000,-3761000,-3761000,1172000,258000,-9.31322574615479e-10,-9.31322574615479e-10,-9.31322574615479e-10,2363000,31073000,-3624000,0.06917,-0.00636999999999999,-0.00991,-0.00997,-0.00506000000000001,4.27358,2.2864,0.96929,0.1855,-0.05013,-0.0501300000000001,5.05631,5.02817,-0.21423,0.000490000000000001,-0.02714
"7","2012_Q4",3.25790322580645,"Up",76107000,-69999000,6108000,-6075000,-6037000,33000,-356000,-226000,-323000,518000,-1e+05,418000,418000,418000,418000,30294000,30294000,34505000,7649000,1737000,72448000,76716000,1715000,1715000,86193000,158641000,23084000,17666000,5418000,1710000,24942000,31932000,15253000,4763000,5207000,47185000,72127000,4000,14184000,72351000,-25000,86514000,86514000,158641000,418000,2837000,2078000,-5160000,173000,-2484000,-2642000,2569000,2469000,0,0,0,2870000,33642000,-4674000,0.08026,0.00043,0.00549,0.00483,0.00263,-11.18182,2.90466,0.8337,0.21206,0.02462,0.02463,4.48308,5.09587,-0.27532,0.00309,-0.03452
"8","2013_Q1",3.687,"Up",86350000,-78930000,7420000,-5609000,-6466000,1811000,-624000,-159000,1187000,346000,-166000,180000,180000,180000,180000,35325000,35325000,36532000,6234000,697000,78091000,75391000,2388000,2388000,85080000,163171000,28088000,22868000,5220000,1683000,29771000,31061000,15512000,5283000,5133000,46573000,76344000,4000,14525000,72531000,-233000,86827000,86827000,163171000,180000,2888000,932000,-1731000,2269000,-1469000,-743000,-898000,-1526000,5.82076609134674e-11,5.82076609134674e-11,5.82076609134674e-11,4699000,32744000,1665000,0.08593,0.02097,0.00208,0.00207,0.0011,9.25,2.62306,0.87927,0.20067,0.01059,0.01059,5.08073,5.10857,0.0979700000000001,0.00133,0.01233
"9","2013_Q2",4.598125,"Up",86404000,-79175000,7229000,-5933000,-5875000,1296000,-1225000,-283000,71000,71000,0,71000,1477000,1477000,1477000,34345000,34345000,38998000,6675000,1351000,80018000,72537000,2312000,2312000,81196000,161214000,30375000,23698000,6677000,1642000,32017000,26549000,15071000,5044000,5042000,41620000,73637000,4000,14863000,73092000,-382000,87577000,87577000,161214000,1477000,2968000,-146000,-1745000,2554000,-798000,1999000,-4553000,-4553000,0,0,0,4264000,28191000,1721000,0.08367,0.015,0.01709,0.01687,0.00916,1.1652,2.49923,0.84083,0.17487,0.08689,0.08689,5.08284,5.15161,0.10124,0.01129,0.01315
"10","2013_Q3",5.11609375,"Up",79395000,-74114000,5281000,-4770000,-4770000,511000,-206000,-277000,305000,305000,-25000,280000,280000,280000,280000,31157000,31157000,41034000,6992000,1814000,79183000,70650000,2263000,2263000,79337000,158520000,25369000,18653000,6716000,1601000,26970000,29058000,14801000,4943000,4945000,43859000,70829000,4000,14838000,73372000,-523000,87691000,87691000,158520000,280000,2983000,339000,-4195000,-593000,-959000,-959000,2468000,1552000,2.91038304567337e-11,2.91038304567337e-11,2.91038304567337e-11,3494000,30659000,-1635000,0.06652,0.00644,0.00353,0.00319,0.00177,-5.83929,2.93597,0.80771,0.19341,0.01646,0.01646,4.66838,5.15595,-0.09614,0.00898,-0.01228
