"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.503125,"Up",13152000,-4892000,8260000,-9451000,-8142000,-4552000,-3590000,-1309000,-1191000,389000,-145000,445000,89000,-802000,-802000,-356000,-1158000,-1158000,-1158000,-1158000,17784900.2368533,17784900.2368533,83218.3340189904,83218.3340189904,13782878.9231631,175584.10478573,95247.9160973695,31826581.5988211,4377896.06515238,7732395.26581713,4270339.86540755,1786000,286283.476955694,1389771.92345389,12110291.3309695,43936872.9297906,3339900.86189487,3339900.86189487,4094266.79838625,7001913.40500744,6922364.87089346,14436081.0652886,-45652.340532037,3271923.45255351,7992962.84423009,3226271.11202148,17662352.17731,156164590.379527,-133654455.345452,3764385.71840621,26274520.7524805,26274520.7524805,43936872.9297906,-1158000,578000,305000,744000,469000,-45000,-45000,-45000,19000,-114000,38000,526000,526000,66000,592000,-613000,0,442000,0.62804,-0.09056,-0.08805,-0.241111820149787,-0.140538087534084,-0.38169,2.22002113786653,0.746468648881273,0.0931977174405164,-0.03325,-0.03325,0.37761,0.756841671965611,0.01269,-0.183901453235835,-0.126282858455243,146.671248800758,-7.89024194604543
"2","2011_Q1",5.69403225806452,"Up",14389000,-5081000,9308000,-9996000,-9190000,-4659000,-4531000,-1506000,-688000,-134000,-92000,-93000,51000,-822000,-822000,131000,-691000,-691000,-691000,-691000,9376000,9376000,8219000,8219000,10543000,1848000,1715000,29986000,3732000,6867000,3672000,1786000,202000,1207000,10599000,40585000,3717000,3717000,2891000,6839000,6513000,13447000,1403000,3308000,2820000,4711000,18158000,152365000,-132038000,2100000,22427000,22427000,40585000,-691000,608000,692000,-396000,213000,-44000,-73000,-73000,-26000,-187000,645000,832000,832000,56000.0000000001,888000,-80000,4294000,-651000,0.64688,-0.04781,-0.04802,-0.03081,-0.01703,0.94211,2.22994,0.80965,0.1058,-0.01978,-0.01978,0.41194,0.64206,-0.01864,-0.02301,-0.02168,63.525,7.38663
"3","2011_Q2",5.34555555555556,"Down",14849000,-5220000,9629000,-9421000,-7856000,-4459000,-3397000,-1432000,208000,395000,-140000,372000,163000,603000,603000,-303000,3e+05,3e+05,3e+05,3e+05,9086866.58771558,9086866.58771558,9792093.88866034,9792093.88866034,9525207.02561231,2203805.29840476,2052250.69463421,30607972.800393,3431701.31161587,6520951.57806096,3397970.04486415,1786000,186405.507681435,1150576.02551537,9952652.88967683,40560625.6900698,3663533.04603504,3663533.04603504,2620744.40053792,6451945.53166419,6080295.04303551,12736222.9782371,1690634.11351068,3300525.5158155,1740845.71858997,4991159.62932617,17727382.6075633,152352969.873491,-131203681.551516,1683954.76053126,22833243.0825065,22833243.0825065,40560625.6900698,3e+05,504000,261000,-515000,550000,-18000,-44000,-44000,30000,-131000,475000,1055000,1055000,-219000,836000,712000,0,482000,0.64846,0.01401,0.0202,0.0422847733832623,0.0256101958446946,1.60667,2.40576712071116,0.762472117039576,0.105854094186495,0.00853,0.00824,0.42199,0.648396109344796,0.0137,0.0327596510786118,0.0461301194850811,16.1146820664139,5.10506564868181
"4","2011_Q3",6.65546875,"Up",16269000,-5408000,10861000,-9691000,-8106000,-4200000,-3906000,-1393000,1170000,160000,-148000,72000,236000,1330000,1330000,-469000,861000,861000,861000,861000,1.3e+07,1.3e+07,8015000,8015000,9861000,1899000,1754000,32775000,3419000,6450000,3296000,1786000,202000,1166000,9869000,42644000,3452000,3452000,2873000,6063000,5737000,12388000,1341000,3367000,2761000,4708000,17096000,154463000,-130877000,1962000,25548000,25548000,42644000,861000,488000,498000,514000,2361000,-163000,-163000,-163000,-164000,-97000,513000,2710000,2710000,78000,2788000,1658000,4214000,2478000,0.66759,0.07192,0.05292,0.0337,0.02019,2.87805,2.64571,0.66917,0.09882,0.02429,0.02363,0.45902,0.72082,0.06992,0.02599,0.0748,-5.29915999999999,-7.5094
"5","2011_Q4",9.50349206349206,"Up",15267000,-4817000,10450000,-9713000,-8121000,-4439000,-3682000,-1454000,737000,-446000,-128000,-277000,-41000,291000,291000,-213000,78000,78000,78000,78000,16755000,16755000,6786000,6786000,10612000,1634000,1498000,35787000,3710000,6400000,3210000,1786000,202000,1202000,10110000,45897000,3586000,3586000,3190000,6048000,5722000,12824000,990000,3706000,3068000,4696000,17520000,156788000,-130799000,2388000,28377000,28377000,45897000,78000,493000,755000,1173000,2499000,-515000,-515000,-515000,-514000,-184000,1583000,3568000,3568000,187000,3755000,1230000,4180000,2101000,0.68448,0.04827,0.00511,0.00275,0.0017,26.9359,2.79063,0.6174,0.09107,0.00219,0.00211,0.42958,0.79847,0.05912,0.00215,0.05794,-10.22358,-17.06242
"6","2012_Q1",10.688064516129,"Up",16380000,-4951000,11429000,-10761000,-8575000,-4628000,-3947000,-1589000,668000,-188000,-75000,-80999.9999999999,-32000,480000,480000,-371000,109000,109000,109000,109000,16582000,16582000,9089000,9089000,10933000,2050000,1921000,38654000,4222000,6130000,2989000,1786000,152000,1203000,10352000,49006000,4261000,4261000,3177000,6578000,6106000,14016000,1124000,4408000,940000,5532000,19548000,157743000,-130690000,2405000,29458000,29458000,49006000,109000,781000,834000,-1788000,-64000,-240000,-240000,-240000,-241000,-163000,197000,-108000,-108000,-65000,-173000,1449000,4301000,-208000,0.69774,0.04078,0.00665,0.0037,0.00222,-1.90826,2.75785,0.66359,0.08776,0.00306,0.00289,0.46055,0.82826,-0.00585,0.00286,-0.00545,-8.4755,-18.38473
"7","2012_Q2",9.58444444444445,"Down",15509000,-4607000,10902000,-10624000,-8523000,-4663000,-3860000,-1546000,278000,186000,-95000,67000,214000,464000,464000,-232000,232000,232000,232000,232000,16445000,16445000,8331000,8331000,11145000,2583000,2583000,38504000,4171000,5745000,2673000,1786000,151000,1135000,9916000,48420000,3082000,3082000,3289000,6133000,5661000,12504000,736000,4457000,3691000,5193000,17697000,159306000,-130458000,1875000,30723000,30723000,48420000,232000,492000,870000,-2031000,-437000,-287000,-287000,-287000,-158000,-195000,642000,47000,47000,-184000,-137000,770000,4025000,-1316000,0.70295,0.01793,0.01496,0.00755,0.00479,-5.67241,3.07933,0.57602,0.08313,0.00643,0.00604,0.42996,0.85174,-0.03648,0.00592,-0.03357,-16.12987,-44.67626
"8","2012_Q3",6.95968253968254,"Down",15942000,-4897000,11045000,-11209000,-8999000,-5366000,-3633000,-1513000,-164000,-2.91038304567337e-11,-60000,-249000,309000,-164000,-164000,-327000,-491000,-491000,-491000,-491000,17544000,17544000,8628000,8628000,11258000,2059000,2059000,39489000,4651000,5705000,2585000,1786000,150000,1184000,10356000,49845000,3139000,3139000,3392000,6713000,6241000,13244000,712000,4402000,719000,5114000,18358000,160243000,-130949000,2193000,31487000,31487000,49845000,-491000,485000,724000,947000,1665000,-546000,-546000,-546000,-546000,-243000,-130000,989000,989000,110000,1099000,321000,4104000,1049000,0.69282,-0.01029,-0.0308,-0.01559,-0.00985,-2.13646,2.98165,0.58303,0.08234,-0.01354,-0.01354,0.43969,0.86844,0.02893,-0.01228,0.02623,-41.86916,81.95122
"9","2012_Q4",5.99290322580645,"Down",15865000,-4690000,11175000,-11265000,-8956000,-5507000,-3449000,-1581000,-90000,220000,-58000,191000,87000,130000,130000,-220000,-90000,-90000,-90000,-90000,19753000,19753000,8142000,8142000,11793000,1840000,1840000,41528000,4698000,5603000,2458000,1786000,149000,1210000,10301000,51829000,3818000,3818000,3513000,6820000,6348000,14151000,534000,4529000,723000,5063000,19214000,161273000,-131039000,2381000,32615000,32615000,51829000,-90000,537000,894000,1137000,2478000,-328000,-328000,-328000,-328000,-181000,-29000,2121000,2121000,88000,2209000,447000,4047000,1476000,0.70438,-0.00567,-0.00567,-0.00276,-0.00174,-16.4,2.93463,0.58912,0.07808,-0.00248,-0.00248,0.43715,0.89868,0.04067,-0.00218,0.03583,-35.13647,174.51111
"10","2013_Q1",5.59383333333333,"Down",16467000,-5298000,11169000,-12413000,-9953000,-5745000,-4208000,-1804000,-1244000,295000,-19000,102000,212000,-949000,-949000,-465000,-1414000,-1414000,-1414000,-1414000,21675000,21675000,8543000,8543000,11673000,2183000,2183000,44074000,5439000,5246000,2142000,1786000,187000,1131000,10685000,54759000,5129000,5129000,6679000,6141000,5702000,17949000,488000,4580000,707000,5068000,23017000,162615000,-132453000,1580000,31742000,31742000,54759000,-1414000,447000,941000,-463000,-489000,-1110000,-1110000,-1110000,-1114000,3388000,3800000,2197000,2197000,-275000,1922000,-797000,7167000,-1905000,0.67827,-0.07555,-0.08587,-0.04455,-0.02582,1.34724,2.45551,0.72513,0.13088,-0.03885,-0.04154,0.45249,0.87222,-0.05235,-0.03251,-0.0438,18.20326,11.66238
