"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",26.966393442623,"Up",1.087e+09,-723100000,363900000,-2.78e+08,-244800000,-12700000,-20500000,85900000,-101100000,-51200000,-49900000,-15200000,-15200000,16100000,9e+05,9e+05,-3100000,-2200000,-2200000,382100000,382100000,820400000,538300000,132100000,62900000,4700000,1872900000,1514100000,2783700000,1.3e+09,1001100000,482600000,4297800000,6170700000,899300000,494500000,404800000,40100000,946700000,3574200000,537800000,306400000,208200000,23200000,4.112e+09,5058700000,1374500000,-226500000,-103300000,1044700000,67300000,1.112e+09,6170700000,9e+05,79600000,10900000,100600000,1.92e+08,-32900000,8100000,-24800000,-2200000,-2400000,1900000,-2700000,164500000,164500000,-1.1e+07,153500000,165500000,3614300000,217100000,0.33477,0.07902,-0.00202,-0.00198,-0.00036,-98.68182,1.97835,4.54919,0.58572,-0.00959,-0.00943,4.73638,4.55207,0.94597,-0.00042,0.04124,19.52991,37.62747
"2","2015_Q2",33.0184126984127,"Up",997500000,-649800000,347700000,-245900000,-2.13e+08,-12900000,-2e+07,101800000,-53900000,-5e+07,-3900000,47900000,47900000,-1200000,46700000,46700000,-1600000,45100000,45100000,222900000,222900000,8.33e+08,541300000,153600000,82600000,2800000,1750800000,1411700000,2735900000,1246800000,916800000,572300000,4147600000,5898400000,7.5e+08,458300000,291700000,41600000,7.98e+08,3566700000,485500000,272600000,190600000,22300000,4052200000,4850200000,1375700000,-181400000,-215400000,978900000,69300000,1048200000,5898400000,46700000,72600000,-5499999.99999997,-212500000,-98700000,-31500000,4500000,-30200000,-1.6e+07,0,-3700000,-19700000,-148600000,-148600000,-10600000,-159200000,174400000,3608300000,-68400000.0000001,0.34857,0.10206,0.04521,0.04303,0.00765,-1.51663000000001,2.19398,4.62717,0.61174,0.19626,0.1903,4.34073,4.25979,-0.29765,0.00877,-0.0133,19.4117,33.2554
"3","2015_Q3",29.71421875,"Down",1101100000,-679700000,421400000,-278400000,-245500000,-12800000,-20100000,1.43e+08,-137800000,-49200000,-88600000,5200000,5200000,-29500000,-24300000,-24300000,-8e+05,-25100000,-25100000,307800000,307800000,869500000,5.55e+08,131500000,7.8e+07,2800000,1863800000,1425100000,2641900000,1233200000,9.44e+08,464700000,4.067e+09,5930800000,780100000,445500000,334600000,50700000,837100000,3508600000,472900000,272100000,179400000,21400000,3981500000,4818600000,1439100000,-206500000,-190100000,1042500000,69700000,1112200000,5930800000,-24300000,77500000,123500000,-7.3e+07,103700000,-25100000,-1700000,-26700000,-8200000,51900000,-6e+05,43100000,120100000,120100000,-35200000,84900000,220500000,3559300000,151900000,0.38271,0.12987,-0.0228,-0.02257,-0.00423,-6.05179,2.2265,4.33249,0.60014,-0.10805,-0.10805,4.73999,4.48773,0.6539,-0.00488,0.02953,14.74603,22.73776
"4","2015_Q4",27.92921875,"Down",1005100000,-628600000,376500000,-252600000,-219200000,-1.3e+07,-20400000,123900000,-69700000,-50800000,-18900000,54200000,54200000,-17800000,36400000,36400000,-1300000,35100000,35100000,411600000,411600000,833300000,540700000,129600000,75800000,2900000,1915200000,1374600000,2609100000,1214400000,944500000,450200000,3983700000,5898900000,774400000,443900000,330500000,48800000,829900000,3504700000,4.6e+08,265700000,167900000,26400000,3964700000,4794600000,1.463e+09,-171400000,-255900000,1035700000,68600000,1104300000,5898900000,36400000,75400000,44500000,2500000,158800000,-37200000,-2e+05,-54200000,-8900000,15900000,-3e+05,6700000,111300000,111300000,-7500000,103800000,199300000,3553500000,182400000,0.37459,0.12327,0.03492,0.03178,0.00595,5.19658,2.30775,4.34175,0.6024,0.14879,0.1457,4.2607,4.39042,0.77321,0.00686,0.03564,15.76468,25.35835
"5","2016_Q1",25.4273770491803,"Down",1006300000,-639200000,367100000,-270200000,-237100000,-12900000,-20200000,96900000,-46300000,-46500000,2e+05,50600000,50600000,-13600000,3.7e+07,3.7e+07,-5e+05,36500000,36500000,4.85e+08,4.85e+08,765800000,530700000,66300000,63600000,2700000,1847800000,1382900000,2599400000,1191600000,928200000,479600000,3982300000,5830100000,824900000,454700000,370200000,50100000,8.75e+08,3391400000,422500000,252300000,1.48e+08,22200000,3813900000,4688900000,1475800000,-132800000,-269300000,1073700000,67500000,1141200000,5830100000,3.7e+07,82200000,21400000,105400000,2.46e+08,-44300000,-1100000,-55100000,-109100000,-5400000,-3e+05,-114800000,76100000,76100000,-4700000,71400000,179100000,3441500000,253800000,0.3648,0.09629,0.03627,0.03198,0.00626,6.95342,2.11177,4.10875,0.5903,0.15388,0.14682,4.24241,4.52656,1.06998,0.00729,0.05071,16.50754,30.51084
"6","2016_Q2",28.3209375,"Up",961600000,-606400000,355200000,-251900000,-219100000,-12600000,-20200000,103300000,-58100000,-50100000,-8e+06,45200000,45200000,-13400000,31800000,31800000,-9e+05,30900000,30900000,419500000,419500000,792700000,543400000,122400000,64700000,2800000,1.878e+09,1377500000,2577600000,1177200000,942100000,458300000,3955100000,5833100000,720400000,419800000,300600000,53700000,781200000,3405100000,445800000,252200000,166800000,26800000,3850900000,4632100000,1492700000,-103100000,-255500000,1134100000,66900000,1.201e+09,5833100000,31800000,7.6e+07,16600000,-137700000,-13300000,-40300000,-2900000,-43200000,-7199999.99999999,2e+06,-1800000,-7e+06,-63500000,-63500000,-1900000,-65400000,179300000,3458800000,14700000.0000001,0.36938,0.10743,0.03213,0.02573,0.0053,0.47573,2.40399,3.85687,0.59296,0.13032,0.12695,4.05567,4.78321,0.0619999999999998,0.00605,0.00288,16.95092,29.42207
"7","2016_Q3",27.99921875,"Down",1072200000,-6.49e+08,423200000,-272100000,-237700000,-14100000,-20300000,151100000,-80600000,-47800000,-32800000,70500000,70500000,-17200000,53300000,53300000,-1600000,51700000,51700000,480100000,480100000,838600000,519700000,123400000,62100000,3100000,1961800000,1358500000,2515500000,1152800000,931100000,431600000,3.874e+09,5835800000,788200000,438200000,3.5e+08,55100000,850100000,3298100000,432800000,243400000,160900000,28500000,3730900000,4.581e+09,1.51e+09,-54600000,-268900000,1186500000,68300000,1254800000,5835800000,53300000,78600000,43800000,23600000,199300000,-24500000,5e+05,-2.4e+07,-1.12e+08,3900000,1e+05,-1.08e+08,67300000,67300000,-6400000,60900000,229700000,3353200000,2.46e+08,0.3947,0.14093,0.04822,0.0412,0.00886,4.75822,2.30773,3.65078,0.57459,0.2175,0.21163,4.51073,4.99159,1.03492,0.01026,0.0488,12.50805,19.01456
"8","2016_Q4",26.3206349206349,"Down",1026300000,-630400000,395900000,-278500000,-242300000,-14900000,-21300000,117400000,-130300000,-42900000,-87400000,-12900000,-12900000,7500000,-5400000,-5400000,-1200000,-6600000.00000001,-6600000.00000001,528300000,528300000,871300000,545600000,127400000,58900000,2800000,2072600000,1372300000,2697600000,1239900000,1015900000,441800000,4069900000,6142500000,855400000,469200000,386200000,54200000,916100000,3428100000,467500000,243300000,192300000,31900000,3895600000,4811700000,1528700000,-65300000,-252900000,1210500000,120300000,1330800000,6142500000,-5400000,81200000,85700000,-16200000,145300000,-30500000,-3900000,-137900000,114100000,7900000,-79800000,42200000,49600000,49600000,-1700000,47900000,198600000,3482300000,144400000,0.38575,0.11439,-0.00643,-0.00495999999999999,-0.00107,-21.87879,2.26242,3.61564,0.56692,-0.02767,-0.02767,4.30314,5.07547,0.60545,-0.00125,0.02735,14.87412,25.16184
"9","2017_Q1",29.7012903225806,"Up",1032600000,-6.43e+08,389600000,-298400000,-260700000,-16100000,-21600000,91200000,-53400000,-37400000,-1.6e+07,37800000,-20100000,-1.5e+07,-35100000,-35100000,-2100000,-37200000,-37200000,535400000,535400000,801900000,529700000,5.3e+07,50300000,2700000,1.92e+09,1315700000,2630500000,1130300000,964100000,536100000,3946200000,5866200000,914200000,474200000,4.4e+08,27900000,942100000,3.236e+09,441500000,249100000,160200000,32200000,3677500000,4619600000,1533600000,-58100000,-350400000,1125100000,121500000,1246600000,5866200000,-35100000,86300000,96500000,80300000,2.28e+08,-40900000,3e+05,-51900000,-154900000,2900000,-7800000,-159800000,16300000,16300000,-9300000,7e+06,177500000,3263900000,231900000,0.3773,0.08832,-0.03603,-0.02984,-0.00634,-6.23387,2.038,3.70576,0.55639,-0.15558,-0.14797,4.3187,4.70556,0.96989,-0.00751,0.04683,15.37183,29.91776
"10","2017_Q2",31.9385714285714,"Up",1013700000,-641400000,372300000,-261900000,-224600000,-15600000,-21700000,110400000,-34600000,-35800000,1200000.00000001,75800000,75800000,-9900000,65900000,65900000,-1800000,64100000,64100000,439100000,439100000,872200000,559100000,6.5e+07,62100000,2900000,1935400000,1334400000,2690600000,1151500000,1016100000,5.23e+08,4.025e+09,5960400000,822500000,456700000,365800000,2.9e+07,851500000,3278300000,446800000,2.52e+08,161900000,32900000,3725100000,4576600000,1552800000,1.7e+07,-309800000,1.26e+09,123800000,1383800000,5960400000,65900000,82400000,8500000.00000001,-161500000,-4700000,-32300000,-2e+05,-89400000,-7300000,8800000,-6100000,-4600000,-98700000,-98700000,2600000,-96100000,192800000,3307300000,8900000,0.36727,0.10891,0.06323,0.04632,0.01075,0.13885,2.27293,3.30727,0.55488,0.26731,0.26046,4.22727,5.25438,0.0371100000000001,0.01248,0.00173000000000002,14.87656,25.98007
