"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.05359375,"Down",5216000,-1565000,3651000,-4524000,-2194000,-2081000,-873000,164000,-709000,-709000,-29000,-738000,-738000,-742000,-746000,752219.803287035,752219.803287035,-225107.610158129,-2305660.25829616,-2305660.25829616,-1842145.22532349,279320.817970179,2542018.35314145,275419.276915437,2821339.17111163,979193.945788137,4911824.37068697,3656615.89806958,649641.559632906,-4421450.49699817,-5134943.73136536,713493.234367195,490373.873688804,228592.42290587,228592.514995481,2.24627784797903,228592.42290587,718966.296594674,80416426.1861205,-78779473.6712533,-1309794.58178083,451160.516067593,260227.649193463,979193.945788137,-738000,249000,38000,332000,-119000,-3000,-78000,-62000,-259000,-259000,-126000,-385000,-624000,0,-266000,0.69996,-0.16737,-0.14302,-4.02469154862476,0.571055299870965,0.35657,0.216913982419813,-7.80097278112029,0,-0.0708,-0.0708,0.49506,0.0221704230178851,-0.02525,-5.14286983985258,-3.90999428752354,18.5898881175461,16.6742457186319
"2","2011_Q1",0.0838709677419355,"Up",6192000,-1894000,4298000,-4820000,-2216000,-2358000,-522000,97000,-425000,-425000,39000,-386000,-386000,-368000,-372000,648000,648000,751000,1061000,1061000,2565000,203000,2595000,631000,2798000,5363000,5960000,3115000,2515000,2046000,1029000,1017000,8006000,178000,178000,1.12313892398951,178000,8184000,80425000,-83643000,366000,-2728000,-2821000,5363000,-386000,246000,30000,212000,102000,-3000,-84000,3999.99999999994,22000,22000,-75000,-53000,-276000,0,-106000,0.69412,-0.0843,-0.06008,0.13187,-0.06936,0.28495,0.32038,-2.9011,0,-0.0354,-0.0354,0.58932,-0.27144,-0.01009,0.14075,0.04011,2.34783,1.24138
"3","2011_Q2",0.179206349206349,"Up",5175000,-1529000,3646000,-4024000,-2030000,-1762000,-378000,-95000,-473000,-473000,-7000,-480000,-480000,-472000,-476000,958843.398904321,958843.398904321,1154202.53671938,2085720.08609872,2085720.08609872,4348965.07510783,170809.727343274,2496827.21561952,683693.574361521,2667636.94296279,7016602.01807062,5962141.87643768,2802711.36731014,2852536.14678903,4303733.49899939,3107314.57712179,1196418.9218776,10265875.3754371,168135.859031377,168135.82833484,0.374379641329838,168135.859031377,10434011.2344684,80440274.6046265,-84653258.7762489,760681.527260278,-3328303.50535586,-3417409.21639782,7016602.01807062,-480000,232000,13000,287000,52000,-2000,-70000,233000,215000,215000,95000,310000,-146000,0,146000,0.70454,-0.07304,-0.09198,0.871284682874922,-0.129385099956988,-0.30672,0.407755339193396,-1.56780573962657,0,-0.04476,-0.04476,0.4866,-0.324953474339295,0.01373,1.16883077995086,0.90343059584118,-2.87273103918203,-3.35472857287731
"4","2011_Q3",0.2434375,"Up",7208000,-1977000,5231000,-4576000,-1836000,-2714000,655000,26000,681000,681000,-13000,668000,668000,669000,665000,1437000,1437000,1193000,1735000,1735000,4498000,158000,2337000,573000,2495000,6993000,5419000,2614000,2429000,3952000,2696000,1256000,9371000,177000,177000,0,177000,9548000,80460000,-83446000,427000,-2435000,-2555000,6993000,668000,26000,21000,-184000,531000,-7000,-11000,0,520000,520000,-41000,479000,681000,0,503000,0.72572,0.09087,0.09226,-0.26027,0.0950999999999999,0.75639,0.47999,-3.73699,0,0.0623,0.06211,0.67522,-0.23972,0.04712,-0.279649999999999,-0.211519999999999,-2.11013,-2.19389
"5","2011_Q4",0.36952380952381,"Up",10562000,-2536000,8026000,-6802000,-2613000,-4166000,1224000,425000,1649000,1649000,-16000,1633000,1633000,1633000,1629000,1727000,1727000,1105000,1072000,1072000,3995000,131000,2218000,454000,2349000,6344000,4894000,2452000,2117000,2627000,1458000,1169000,7521000,177000,177000,0,177000,7698000,80482000,-81813000,-39000,-1246000,-1354000,6344000,1633000,23000,22000,-824000,854000,2000,-112000,0,742000,742000,-452000,290000,1247000,0,441000,0.75989,0.11589,0.15423,-1.2031,0.25678,0.27072,0.53118,-5.68538,0,0.15179,0.14948,0.98416,-0.12766,0.04109,-1.38403,-0.37468,-1.38492,-1.41095
"6","2012_Q1",0.556129032258065,"Up",8217000,-2130000,6087000,-5805000,-2573000,-3215000,282000,-12000,270000,270000,334000,604000,604000,475000,471000,1617000,1617000,1089000,1031000,1031000,3830000,68000,2225000,461000,2293000,6123000,4867000,2208000,2648000,1917000,967000,950000,6784000,148000,148000,0,148000,6932000,80504000,-81338000,-99000.0000000001,-809000,-809000,6123000,604000,17000,-25000,-570000,26000,0,-123000,-57000,-154000,-154000,44000,-110000,299000,0,-605000,0.74078,0.03432,0.05732,-0.5822,0.07692,-1.2845,0.56456,-8.5686,0,0.04372,0.04258,0.76267,-0.0866,-0.05615,-0.71256,0.91528,-5.40803,-5.73404
"7","2012_Q2",0.663809523809524,"Up",9090000,-2399000,6691000,-6140000,-2437000,-3691000,551000,-63000,488000,488000,19000,507000,507000,507000,503000,2758000,2758000,1008000,894000,894000,4998000,76000,2230000,466000,2306000,7304000,5078000,1997000,3059000,2309000,1335000,974000,7387000,148000,148000,-1.11022302462516e-16,148000,7535000,80524000,-80831000,-48000,-231000,-231000,7304000,507000,12000,20000,321000,860000,-18000,229000,-90061.9191334306,1089000,1089000,52000,1141000,563000,0,847000,0.73608,0.06062,0.05534,-2.17749,0.06887,1.6839,0.67659,-32.61905,0,0.0463,0.04499,0.83679,-0.03268,0.07797,-6.06024,-10.20482,-4.89876,-5.00544
"8","2012_Q3",0.652222222222222,"Down",10980000,-2884000,8096000,-7207000,-2313000,-4886000,889000,2000.00000000001,891000,891000,-45000,846000,846000,846000,842000,4637000,4637000,1258000,627000,627000,6725000,114000,2232000,468000,2346000,9071000,5808000,2480000,3262000,2530000,1627000,903000,8338000,148000,148000,0,148000,8486000,80544000,-79985000,-98000,585000,585000,9071000,846000,8000,20000,852000,1726000,-47000,2e+05,-68633.1399651962,1926000,1926000,-47000,1879000,897000,0,1747000,0.73734,0.08097,0.07668,1.43932,0.09282,2.07482,0.80655,14.50598,0,0.07711,0.07505,1.00559,0.04222,0.16,1.1487,2.38336,-5.16945,-5.21597
"9","2012_Q4",0.543870967741935,"Down",9333000,-2384000,6949000,-6160000,-2255000,-3897000,789000,-27000,762000,762000,-15000,747000,747000,747000,743000,3651000,3651000,1261000,446000,446000,5524000,129000,2247000,483000,2376000,7900000,4698000,1795000,2824000,1664000,768000,896000,6362000,148000,148000,-1.77635683940025e-15,148000,6510000,80564000,-79238000,-60000,1390000,1390000,7900000,747000,8000,20000,-1766000,-991000,-23000,-24000,-27887.7908143636,-1015000,-1015000,29000,-986000,797000,0,-977000,0.74456,0.08454,0.07961,0.53453,0.09405,-1.31494,0.86828,4.68345,0,0.06773,0.06615,0.85077,0.11541,-0.08906,0.48309,-0.63524,-4.58093,-4.62738
"10","2013_Q1",0.5685,"Up",8111000,-2018000,6093000,-5677000,-2410000,-3250000,416000,49000,465000,465000,65000,530000,530000,530000,525000,4207000,4207000,867000,641000,641000,5837000,121000,2261000,497000,2382000,8219000,4391000,1385000,2996000,1827000,836000,991000,6218000,92000,92000,0,92000,6310000,80595000,-78708000,-102000,1909000,1909000,8219000,530000,17000,-22000,94000.0000000005,619000,-8000,-8000.00000000001,-3000,608000,608000,-52000,556000,433000,0,454000,0.7512,0.05129,0.06473,0.27501,0.06388,0.86476,0.93873,3.3054,0,0.04762,0.04644,0.73576,0.16192,0.04118,0.26237,0.22689,-9.71594,-10.11298
