"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.01285714285714,"Up",101740000,-58734000,43006000,-50891000,-41078000,-4799000,-5014000,-7885000,-1161000,-1161000,-9046000,-9046000,4098000,-4948000,-5124000,-5124000,-5124000,1053475214.55765,1053475214.55765,30570761.414805,30570761.414805,-1158133739.15494,-36939527.2269348,-93397654.1047604,-111027290.409424,51150859.7907373,-86658284.0579157,106158581.394497,31275577.1582803,-75953321.4585435,-35507424.2671783,-146534714.676602,962788393.608467,458289783.942661,-1756359895.28341,-783693055.167906,-4960299.05923991,-7177371.88269307,35143855.8087916,-748549199.359115,602014484.682513,-146534714.676602,-5124000,5014000,-2945000,-39821000,-42876000,-2435000,-2414000,26520000,-1168272.28141395,-907744.650894263,26503000,-18787000,-18787000,-18787000,-2871000,0,-49225000,0.4227,-0.0775,-0.05036,4.29260093894742,2.40947613811576,9.60675,8.79005661374698,-7.89607202385176,-5.74560679716477,-0.08052,-0.08052,1.59881,-0.77355,3.38972405524689,29.7774353386633,1291.64492676256,337.014945566813
"2","2011_Q3",2.70765625,"Down",228873000,-131779000,97094000,-72829000,-62919000,-4721000,-5189000,24265000,-1306000,-1306000,22959000,22959000,-9887000,13072000,13530000,13530000,13530000,475647107.278824,475647107.278824,6037880.70740252,6037880.70740252,-493617869.577471,-5817763.61346741,-36232827.0523802,-17750645.2047118,50673929.8953687,26446357.9710421,75929290.6972485,36168788.5791401,-30059160.7292717,77120287.8664108,59369642.6616991,452840696.804234,200591391.97133,-774586947.641706,-316195527.583953,-2649.52961995499,-1111185.94134653,36549427.9043958,-279646099.679557,339015742.341256,59369642.6616991,13530000,5189000,10137000,18569000,47425000,-5124000,-5193000,-33482000,-98000,-98000,-33580000,8652000.00000001,8652000.00000001,8652000.00000001,29454000,0,52786000,0.42423,0.10602,0.05912,1.81867546947371,1.02052806905788,3.90140000000005,4.51391830687349,-3.09015601192588,-2.44683839858238,0.21152,0.20879,3.57804,0.82522,1.43526202762344,12.9821226693317,581.561613381282,196.832927783407
"3","2011_Q4",2.44253968253968,"Down",158839000,-95728000,63111000,-66360000,-56172000,-5119000,-5069000,-3249000,-854000,-854000,-4103000,-4103000,1859000,-2244000,-2676000,-2676000,-2676000,154862369.092941,154862369.092941,2790626.9024675,2790626.9024675,-115591289.859157,10830078.7955109,-4508942.3507934,52891784.9317627,50278643.2984562,86116452.657014,56625096.8990828,39595929.52638,-4948386.90975725,136395095.95547,189286880.887233,176010232.268078,75803130.6571102,-221672982.547235,-43001509.194651,2363116.82346002,1920938.01955116,35297142.6347986,-7704366.55985244,196991247.447085,189286880.887233,-2676000,5069000,-116000,4977000,7254000,-3355000,-4697000,-3487000,46000,-3000,-3441000,-884000,-884000,-884000,1820000,0,1583000,0.39733,-0.02045,-0.01685,0.497845156491237,0.279186023019294,-0.59155,2.1592294356245,-0.365825337308626,-0.602489466194128,-0.04181,-0.04181,2.4819,0.02473,0.392410675874481,3.77931422311056,179.514081127094,93.6038325944689
"4","2012_Q1",2.8,"Up",171937000,-100055000,71882000,-70927000,-60492000,-5470000,-4965000,954999.999999998,-672000,-672000,283000.000000004,283000,26999.9999999991,309999.999999998,-8000.00000000186,-7999.99999999814,-7999.99999999814,21442000,21442000,11916000,11916000,51185000,17082000,8631000,101625000,49908000,107542000,45972000,41748000,5204000,157450000,259075000,66878000,42692000,16488000,84322000,2992000,2883000,32242000,116564000,142511000,259075000,-8000.00000000186,4965000,1477000,12051000,18485000,-5976000,-9191000,-4341000,-353000,-353000,-4676000,4618000,4618000,4618000,5920000,45738000,11968000,0.41807,0.00555,-5.00000000000049e-05,-6e-05,-3e-05,-1496,1.2052,0.81793,0.17654,-0.000119999999999995,-0.000120000000000023,2.68647,0.187,-4e-05,0.06258,4.10405,25.44084
"5","2012_Q2",3.04444444444444,"Up",117198000,-70636000,46562000,-54295000,-44641000,-4752000,-4902000,-7733000,-822000,-822000,-8555000,-8555000,3422000,-5133000,-740000,-740000,-740000,5707000,5707000,24501000,24501000,81950000,17016000,10044000,129174000,49505000,105913000,41696000,42816000,6223000,155418000,284592000,60025000,60025000,54002000,114208000,2739000,2739000,28239000,142447000,142145000,284592000,-740000,4902000,-5117000,-51551000,-52506000,-3792000,3019000,33752000,-958447.081641877,-946325.204126125,33752000,-15735000,-15735000,-15735000,-2831000,79502000,-61596000,0.39729,-0.06598,-0.00631,-0.00521000000000002,-0.00259999999999999,83.23784,1.13104,1.00212,0.27935,-0.01152,-0.01152,1.825,-0.95917,-0.00330000000000001,-0.27451,-26.06676,-9.54287
"6","2012_Q3",3.70333333333333,"Up",239845000,-139519000,100326000,-75735000,-65952000,-4854000,-4929000,24591000,-849000,-849000,23742000,27531000,-10955000,16576000,16638000,16638000,16638000,30078000,30078000,30659000,30659000,59600000,14508000,7073000,134845000,48821000,97699000,40695000,43051000,4325000,146520000,281365000,82445000,82445000,15504000,97949000,2738000,2738000,24488000,122437000,158928000,281365000,16638000,4929000,6341000,44438000,72346000,-4897000,-4628000,-42236000,-1111000,-1111000,-43347000,24371000,24371000,24371000,29520000,37254000,80016000,0.4183,0.10253,0.06937,0.10469,0.05913,4.8092300000003,1.37669,0.77039,0.1324,0.2566,0.2519,3.69897,1.23403,0.08364,0.40225,0.24309,0.29181
"7","2012_Q4",3.41064516129032,"Down",179659000,-106620000,73039000,-72884000,-62364000,-5646000,-4874000,155000,-319000,-319000,-164000,-164000,215000,51000,-84000,-84000,-84000,24876000,24876000,21477000,21477000,59374000,13636000,6575000,119363000,47799000,98090000,40695000,42644000,5335000,145889000,265252000,68719000,68719000,15100000,83978000,3844000,3844000,21844000,105822000,159430000,265252000,-84000,4874000,2439000,-4182000,3047000,-3297000,-3269000,-4166000,-814000,-814000,-4980000,-5202000,-5202000,-5202000,5029000,33100000,-2665000,0.40654,0.00086,-0.00047,-0.000529999999999989,-0.000319999999999994,31.72619,1.42136,0.66375,0.12479,-0.00129,-0.00127,2.76449,-0.04101,-0.00043,-0.0135700000000001,1.63532,53.05806
"8","2013_Q1",4.249,"Up",170815000,-98165000,72650000,-69725000,-59716000,-5174000,-4835000,2925000,-645000,-645000,2280000,2280000,-453000,1827000,1832000,1832000,1832000,28854000,28854000,11887000,11887000,53933000,18432000,8286000,113106000,48550000,100557000,47485000,41576000,7875000,149107000,262213000,66430000,48811000,15756000,83385000,3580000,3580000,17080000,100465000,161748000,262213000,1832000,4834000,2824000,7402000.00000001,16892000,-5194000,-8003000,-3832000,-1352000,-1352000,-4910999.99999999,3977999.99999999,3977999.99999999,3977999.99999999,7759000,29256000,10420000,0.42531,0.01712,0.01073,0.01133,0.00699,5.68777,1.35643,0.62112,0.11157,0.0283,0.02679,2.63844,0.16095,0.00941,0.05355,0.05181,0.13744
"9","2013_Q2",5.80734375,"Up",119592000,-70167000,49425000,-55627000,-45784000,-5396000,-4447000,-6202000,-286000,-286000,-6488000,-6488000,2045000,-4443000,-4606000,-4606000,-4606000,5829000,5829000,26751000,26751000,85182000,19606000,12345000,137368000,49140000,101635000,47901000,41357000,9555000,150775000,288143000,64409000,46075000,53503000,118022000,3931000,3931000,12931000,130953000,157190000,288143000,-4606000,4447000,-1470000,-47980000,-49609000,-4427000,-5722000,33247000,-941000,-953000,32306000,-23025000,-23025000,-23025000,-1755000,62503000,-56207000,0.41328,-0.05186,-0.03851,-0.0293,-0.01599,12.203,1.16392,0.83309,0.21692,-0.07141,-0.07141,1.854,-0.87136,-0.0206,-0.25135,-32.29288,-9.13802
"10","2013_Q3",6.1246875,"Up",251360000,-146879000,104481000,-77721000,-67837000,-5363000,-4521000,26760000,-538000,-538000,26222000,26222000,-9715000,16507000,16011000,16011000,16011000,26964000,26964000,36407000,36407000,58435000,13164000,7262000,134970000,49757000,100418000,47901000,40412000,9283000,150175000,285145000,89577000,63442000,17250000,106886000,3368000,3368000,7868000,114754000,170391000,285145000,16011000,4521000,3515000,46701000,70748000,-4664000,-4693000,-40747000,-4125000,-4196000,-44920000,21135000,21135000,21135000,31281000,21750000,83033000,0.41566,0.10646,0.0637,0.09397,0.05615,5.186,1.26275,0.67347,0.07628,0.24699,0.24056,3.87758,1.2809,0.08189,0.4247,-0.16668,-0.19484
"11","2013_Q4",5.08328125,"Down",191582000,-111125000,80457000,-75647000,-65196000,-5613000,-4838000,4810000,-2e+05,-2e+05,4610000,4610000,-1491000,3119000,2638000,2638000,2638000,17004000,17004000,24706000,24706000,59877000,12553000,6221000,114140000,51365000,104020000,47901000,43944000,9353000,155385000,269525000,75949000,55412000,1.8e+07,93949000,5242000,5242000,5242000,99191000,170334000,269525000,2638000,4871000,1323000,-3236000,5596000,-6027000,-8018000,-3798000,-3788000,-3772000,-7538000,-9960000,-9960000,-9960000,9681000,1.8e+07,1909000,0.41996,0.02511,0.01377,0.01549,0.00979,0.72365,1.21491,0.58233,0.06678,0.04105,0.0399,2.98154,0.02971,0.01363,0.00986000000000009,0.102879999999998,0.207070000000001
"12","2014_Q1",5.29852459016393,"Up",172963000,-102134000,70829000,-70411000,-60091000,-5328000,-4992000,418000,33000,33000,451000,451000,88000,539000,-1722000,-1722000,-1722000,154000,154000,14957000,14957000,55756000,21782000,9941000,92649000,52943000,104481000,47943000,43276000,10086000,157424000,250073000,71279000,45044000,65477426.4792344,75763000,5039000,5039000,5039000,80802000,169271000,250073000,-1722000,4959000,3522000,1150999.99999999,7910000.00000001,-4926000,-6097000,-17952000,-210000,-678000,-18663000,-16850000,-16850000,-16850000,5377000.00000001,0,1513999.99999999,0.4095,0.00241999999999998,-0.00996000000000001,-0.01017,-0.00689,-0.87921,1.22288,0.47735,0,-0.02695,-0.0246,2.70716,0.0237000000000002,-0.00988,0.00869,-0.02864,-0.36842
"13","2014_Q2",5.61047619047619,"Up",123048000,-71751000,51297000,-58378000,-48291000,-5398000,-4689000,-7081000,-292000,-292000,-7373000,-7373000,2816000,-4557000,-4639000,-4639000,-4639000,3642000,3642000,30072000,30072000,91548000,19559000,8530000,144821000,52749000,104109000,47943000,42932000,10069000,156858000,301679000,57358000,40257000,7.1e+07,132186000,5484000,5484000,5484000,137670000,164009000,301679000,-4639000,4689000,1800000,-63554000,-61704000,-4131000,-4123000,7.1e+07,-1689000,-1696000,69315000,3488000,3488000,3488000,-2392000,7.1e+07,-72893000,0.41689,-0.05755,-0.0377,-0.02829,-0.01538,15.71308,1.09559,0.83941,0.23535,-0.07271,-0.07271,1.92868,-1.14254,-0.01929,-0.3031,-28.1597,-9.5125
"14","2014_Q3",5.81828125,"Up",266337000,-155360000,110977000,-82278000,-71923000,-5319000,-5036000,28699000,-418000,-418000,28281000,28281000,-10798000,17483000,17986000,18027000,18027000,3260000,3260000,38043000,38043000,57913000,18025000,7133000,117241000,55747000,110725000,54105000,45585000,8257000,166472000,283713000,90292000,72405000,388000,92761000,6080000,6080000,9080000,101841000,181872000,283713000,17986000,5036000,165000,56347000,79534000,-5701000,-7085000,-68007000,-4824000,-4834000,-72831000,-382000.000000002,-382000.000000002,-382000.000000002,33735000,3388000,95179000,0.41668,0.10775,0.06768,0.09912,0.06354,5.2798,1.2639,0.55996,0.01194,0.2816,0.27274,4.16048,1.4868,0.09421,0.49743,0.00379,0.00446
"15","2014_Q4",8.10953125,"Up",179591000,-106048000,73543000,-76423000,-65446000,-6045000,-4932000,-2880000,-249000,-249000,-3129000,-3129000,1392000,-1737000,-1724000,-1424000,-1424000,1314000,1314000,17092000,17092000,61441000,14787000,5874000,94634000,55886000,110465000,54008000,45176000,8264000,166351000,260985000,73276000,54941000,394000,74610000,5565000,5565000,5565000,80175000,180810000,260985000,-1724000,4932000,1893000,641000,5742000,-4626000,-4117000,-2995000,-576000,-893000,-3571000,-1946000,-1946000,-1946000,2052000,394000,-3325000,0.4095,-0.01604,-0.00793,-0.00788000000000001,-0.00546000000000002,2.33497,1.26838,0.44342,0.00151,-0.02218,-0.02218,2.79676,-0.05178,-0.00762,-0.0177999999999999,-0.44834,0.31944
"16","2015_Q1",10.1886885245902,"Up",187369000,-107513000,79856000,-74888000,-63941000,-5756000,-5191000,4968000,-398000,-346000,4570000,4570000,-1813000,2757000,3052000,3408000,3408000,5203000,5203000,13339000,13339000,58520000,14756000,9600000,91818000,60147000,115604000,60166000,44616000,8820000,175751000,267569000,73964000,49517000,343000,74307000,7144000,6495000,7144000,81451000,186118000,267569000,3052000,5191000,3427000,7297999.99999999,18968000,-8527000,-16163000,-50000,-701000,-894000,1084999.99999999,3890000,3890000,3890000,10159000,342999.999999996,10743000,0.4262,0.02651,0.01819,0.01831,0.01274,3.15229,1.23566,0.43763,0.00128,0.0531599999999999,0.04751,2.92257,0.16757,0.0176,0.05549,-0.47839,-0.97826
"17","2015_Q2",10.3569841269841,"Up",126703000,-73390000,53313000,-59941000,-49240000,-5600000,-5101000,-6628000,-753000,-320000,-7381000,-7381000,2803000,-4578000,-4578000,-4250000,-4250000,2158000,2158000,24861000,24861000,95957000,16388000,10730000,139364000,60046000,115036000,60164000,44178000,8692000,175082000,314446000,63708000,42948000,62290000,125998000,6721000,6072000,6720999.99999999,132719000,181727000,314446000,-4578000,5101000,1271000,-61324000,-59530000,-4473000,-4321000,61947000,-1141000,-1141000,60806000,-3045000,-3045000,-3045000,-1527000,62290000,-70127000,0.42077,-0.05231,-0.03354,-0.02339,-0.01352,16.50047,1.10608,0.73032,0.19809,-0.06646,-0.06646,1.98134,-1.09663,-0.01695,-0.27968,-39.37917,-9.07242
"18","2015_Q3",9.4671875,"Down",534275000,-293850000,240425000,-165592000,-147584000,-9329000,-8679000,74833000,-2638000,-2489000,72195000,72195000,-26655000,45540000,45540000,45771000,45771000,101220000,101220000,59442000,59442000,70808000,37426000,16224000,268896000,153370000,171826000,99690000,59058000,13078000,325196000,594092000,199305000,144528000,14944000,214249000,28868000,7664000,153556000,367805000,226287000,594092000,45540000,8679000,45456000,138057000,237732000,-10454000,-143082000,11944000,-2082000,-3870000,4412000,99062000,99062000,99062000,83512000,139632000,237770000,0.45,0.14006,0.08567,0.20227,0.07704,5.19477,1.25506,1.62539,0.23503,0.71026,0.68253,8.29066,3.68962,0.11594,0.60227,0.45996,0.5133
"19","2015_Q4",8.6134375,"Down",232237000,-136915000,95322000,-111560000,-93346000,-10389000,-7825000,-16238000,-1631000,-1513000,-17869000,-17869000,7056000,-10813000,-10813000,-10495000,-10495000,52721000,52721000,31493000,31493000,82350000,23328000,14953000,189892000,152081000,171184000,99690000,58489000,13005000,323265000,513157000,127791000,94546000,14509000,142300000,29746000,8542000,150871000,293171000,219986000,513157000,-10813000,7825000,-12952000,-25300000,-41240000,-6019000,-6018000,-3958000,2796000,-719000,-1241000,-48499000,-48499000,-48499000,-8413000,135634000,-46788000,0.41045,-0.06992,-0.04519,-0.04771,-0.02045,4.45812,1.33445,1.33268,0.26431,-0.16169,-0.16169,3.57789,-0.72082,-0.02723,-0.12141,-9.85534,-5.10611
"20","2016_Q1",7.49131147540984,"Down",228291000,-130156000,98135000,-112485000,-95539000,-9427000,-7519000,-14350000,-2281000,-1431000,-16631000,-16631000,5866000,-10765000,-10765000,-10739000,-10739000,27940000,27940000,16191000,16191000,93163000,17801000,14822000,155095000,170100000,171878000,77097000,82125000,12656000,341978000,497073000,109064000,73639000,14543000,123607000,45647000,7840000,163210000,286817000,210256000,497073000,-10765000,7519000,5865000.00000001,-13848000,-11229000,-11626000,-11145000,-3415999.99999999,-2391000,-2630000,-2407000,-24781000,-24781000,-24781000,-6831000.00000001,132106000,-38171000,0.42987,-0.06286,-0.04704,-0.05108,-0.0216,3.55443,1.25474,1.36413,0.26577,-0.16124,-0.14417,3.42759,-0.573100000000001,-0.02768,-0.09838,-15.24901,-7.25895
"21","2016_Q2",7.925625,"Up",156041000,-88532000,67509000,-89780000,-72497000,-9311000,-7972000,-22271000,13647000,-1891000,-8624000,-8624000,3188000,-5436000,-5436000,-4484000,-4484000,1986999.99999999,1986999.99999999,28889000,28889000,188034000,50166000,19683000,269076000,167777000,168298000,76957000,80877000,10464000,336075000,605151000,95683000,58867000,143324000,239007000,50363000,7813000,164363000,403370000,201781000,605151000,-5436000,7972000,-14177000,-128590000,-140231000,-6224000,-6224000,125218000,-4716000,-4717000,120502000,-25953000,-25953000,-25953000,-14299000,257324000,-152301000,0.43264,-0.14273,-0.02874,-0.02222,-0.00740999999999999,33.96543,1.12581,1.99905,0.42522,-0.06917,-0.06917,2.40711,-2.34942,-0.0088,-0.29894,-17.85698,-11.465
