"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","long_term_borrowings","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",59.9230158730159,"Up",397447000,-140770000,256677000,-94794000,-10077000,-84717000,161883000,-32221000,-7339000,-34843000,9961000,-366355120.060201,129662000,129384000,129384000,129917000,-5956000,123961000,-89223000,34738000,815173000,719982000,1342416000,7487539000,10304231000,-2816692000,914516000,37364000,601104000,101414000,8402055000,9744471000,201416000,201416000,406782000,516132000,516132000,516132000,922914000,3399777000,5504023000,-202998000,-24779000,8676023000,145534000,8821557000,9744471000,129917000,84886000,37826000,37826000,233122000,-8734000,-127170879.986094,-9666000,-106203000,-1965000,11822000,11822000,-179718000,-169861000,-42942000,-42942000,-865000,-43807000,246769000,516132000,0.64581,0.40731,0.0874,0.00394,0.00356,3.30009,0.10462,0.05297,0.20619,0.20517,2.35906,31.31731,-81.2571180957208,0.00372,-1.21183,-1.84727
"2","2010_Q3",63.6184375,"Up",407645000,-137233000,270412000,-94960000,-10081000,-84879000,175452000,-47694000,-7278000,-49204000,8788000,-165150733.366778,127758000,126766000,126766000,131176000,-6138000,125038000,-64201000,60837000,569224000,474336000,1046255000,7618396000,10508327000,-2889931000,904862000,50062000,586936000,93230000,8523258000,9569513000,231759000,231759000,231759000,593275000,593275000,593275000,825034000,3389777000,5516349000,-272485000,-35251000,8598390000,146089000,8744479000,9569513000,131176000,85205000,49271000,49271000,292490000,-92264000,-66378000,-35707000,-78700000,-53216000,154609000,154609000,-405474000,-459081000,-245291000,-245291000,-355000,-245646000,260657000,593275000,0.66335,0.4304,0.14924,0.00696,0.00636,4.51441,0.09435,0.062,0.3604,0.35865,2.41489,30.8558,-36.7371296510511,0.02311,0.0922700000000001,0.13708
"3","2010_Q4",65.28890625,"Up",422039000,-134385000,287654000,-101449000,-8910000,-92539000,186205000,56660000,-7838000,55455000,9043000,-38372293.3467113,242865000,242865000,242865000,245811000,-6457000,239354000,-57148000,182206000,615610000,513479000,1130989000,7592060000,10567165000,-2975105000,928361000,45804000,607057000,100866000,8520421000,9651410000,243629000,243629000,243629000,589518000,589518000,589518000,833147000,3379777000,5530522000,-226343000,-11880000,8672076000,146187000,8818263000,9651410000,245811000,92648000,-54849000,-54849000,296102000,-57707000,-27282000,-35114000,-55139000,-2394000,10387000,10387000,-199571000,-200778000,40185000,40185000,-1042000,39143000,278853000,589518000,0.68158,0.4412,0.43173,0.02066,0.01888,4.64226,0.09448,0.06108,1.07804,1.07193,2.49704,31.31241,-9.65142361914416,0.02035,-0.09357,-0.14013
"4","2011_Q1",71.0593548387097,"Up",386646000,-116016000,270630000,-100529000,-9419000,-91110000,170101000,18135000,-7770000,-13672000,10560000,29017000,188236000,189339000,189339000,189210000,-5525000,183685000,-62288000,121397000,558531000,456252000,1053760000,7532816000,10594275000,-3061459000,908757000,216725000,601569000,90463000,8441573000,9495333000,205769000,205769000,205769000,568417000,568417000,568417000,774186000,3396027000,5532754000,-236410000,-15773000,8676598000,44549000,8721147000,9495333000,189210000,91647000,15858000,15858000,271507000,-28289000,-14285000,-13772000,-26563000,-19517000,125593000,125593000,-300315000,-302989000,-58045000,-58045000,818000,-57227000,261748000,568417000,0.69994,0.43994,0.31397,0.01392,0.01278,5.12108,0.08877,0.05986,0.71743,0.71339,2.28501,31.2072,4,0.02477,0.03777,0.05812
"5","2011_Q2",75.4866666666667,"Up",419691000,-144241000,275450000,-102746000,-14235000,-88511000,172704000,37984000,-6984000,31252000,13716000,52053946.6733556,210688000,210886000,210886000,210568000,-4460000,206108000,-58049000,148059000,145105000,145105000,1016882000,7493647000,10635951000,-3142304000,924992000,35866000,617026000,97466000,8418639000,9435521000,210769000,210769000,210769000,461882000,461882000,461882000,672651000,3396027000,5546176000,-223960000,-678000,8717565000,45305000,8762870000,9435521000,210568000,88553000,-32017000,-32017000,264819000,-41706000,-26196000,-15961000,-284527000,-105535000,11373000,11373000,-197362000,-291524000,-311232000,-311232000,85000,-311147000,261257000,461882000,0.65632,0.4115,0.35278,0.0169,0.01569,4.82463,0.07676,0.04895,0.87446,0.86898,2.47876,31.42981,8.21714120638139,0.01605,1.21251,1.83422
"6","2011_Q3",79.10890625,"Up",434129000,-139144000,294985000,-101626000,-12593000,-89033000,193359000,17333000,-5933000,10496000,12770000,45775346.6733556,210692000,210622000,210622000,210941000,-4497000,206444000,-74929000,131515000,144487000,144487000,775093000,7464019000,10691823000,-3227804000,1033224000,33958000,733054000,91578000,8497243000,9272336000,227869000,227869000,227869000,449519000,449519000,449519000,677388000,3253527000,5535690000,-237689000,1666000,8553194000,41754000,8594948000,9272336000,210941000,89186000,-6713999.99999999,-6713999.99999999,317645000,-47078000,-8165000,-38862000,90269000,-21278000,365264000,365264000,-235425000,-408939000,-1025000,-1025000,407000,-618000.00000006,282545000,449519000,0.67949,0.4454,0.30294,0.0153,0.01418,3.40149,0.07881,0.04848,0.77593,0.77179,2.56134,31.26776,7,0.07176,1.07959,1.57754
"7","2011_Q4",83.6969841269841,"Up",426750000,-138365000,288385000,-104826000,-14116000,-90710000,183559000,6372000,-5862000,-28253000,15269000,25218000,189931000,192728000,192728000,194513000,-3374000,191139000,-73189000,117950000,160733000,160733000,627082000,7437313000,10750284000,-3312971000,1021148000,211425000,716587000,93136000,8458461000,9085543000,244462000,244462000,244462000,418851000,418851000,418851000,663313000,3216271000,5449935000,-265226000,-15218000,8385762000,36468000,8422230000,9085543000,194513000,90956000,21720000,21720000,326329000,-41120000,-26527000,-18946000,91999000,-27598000,474718000,474718000,-323813000,-401449000,16879000,16879000,-633000,16246000,274515000,418851000,0.67577,0.43013,0.27639,0.014,0.01298,2.56515,0.07876,0.0461,0.69494,0.69045,2.51432,30.4575,5,0.0727,0.94027,1.40619
"8","2012_Q1",92.2993548387097,"Up",455318000,-138759000,316559000,-101181000,-11466000,-89715000,215378000,-2161000,-5443000,-20782000,16949000,7115000,213217000,218907000,218907000,220437000,-286000,220151000,-55928000,164223000,139008000,139008000,541701000,7379197000,10777576000,-3398379000,1011664000,209833000,714627000,87204000,8390861000,8932562000,210966000,210966000,210966000,398314000,398314000,398314000,609280000,3111271000,5459530000,-259578000,-23014000,8288209000,35073000,8323282000,8932562000,220437000,89830000,7749000,7749000,294659000,-22830000,-16340000,-15172000,20904000,-19944000,10688000,10688000,-222378000,-336634000,-21071000,-21071000,-654000,-21725000,305208000,398314000,0.69525,0.47303,0.36068,0.01973,0.01838,2.56772,0.0732,0.04459,0.9655,0.95821,2.67689,30.43611,6,0.03087,0.8496,1.20396
"9","2012_Q2",94.3507936507936,"Up",439835000,-151711000,288124000,-103229000,-16405000,-86824000,184895000,21593000,-5334000,12157000,9115000,5655000,206488000,206488000,206488000,206722000,-870000,205852000,-80509000,125343000,620079000,620079000,1034912000,7349109000,10832176000,-3483067000,1022291000,211278000,723528000,87485000,8371400000,9406312000,212766000,212766000,689400000,372979000,372979000,372979000,1062379000,3200450000,5430196000,-296969000,-11950000,8321727000,22206000,8343933000,9406312000,206722000,86938000,-10200000,-10200000,279490000,-57245000,-41970000,-15275000,-54295000,-24884000,902892000,902892000,-265204000,256117000,481312000,481312000,-241000,481071000,271833000,372979000,0.65507,0.42037,0.28498,0.01502,0.01333,1.50118,0.12732,0.03965,0.73597,0.73123,2.58257,30.0705,5,0.0553,-0.90901,-1.33643
"10","2012_Q3",100.10380952381,"Up",455793000,-142883000,312910000,-100888000,-12414000,-88474000,212022000,-14588000,-5067000,-23657000,8596000,5540000,197434000,198697000,198697000,198931000,-788000,198143000,-65800000,132343000,438475000,438475000,829621000,7343775000,10912029000,-3568254000,1005551000,212419000,703458000,89674000,8349326000,9178947000,226825000,226825000,642450000,368728000,368728000,368728000,1011178000,3072325000,5431736000,-339020000,-27433000,8137608000,30161000,8167769000,9178947000,198931000,88588000,24830000,24830000,326287000,-72742000,-46097000,-26645000,-70351000,-3904000,284201000,284201000,-241882000,-438219000,-182283000,-182283000,679000,-181604000,300610000,368728000,0.68652,0.46517,0.29036,0.0162,0.01442,1.29134,0.1238,0.04017,0.77623,0.77141,2.67335,29.70928,7,0.07134,-0.23202,-0.32896
