"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",43.4787301587302,"Down",1.7299e+10,-1.5081e+10,2.218e+09,-1.788e+09,-1.777e+09,-1.1e+07,4.3e+08,-6e+06,-2.4e+07,1.8e+07,4.24e+08,4.22e+08,-1.52e+08,2.7e+08,2.7e+08,-4e+06,2.66e+08,2.66e+08,4.189e+09,3.617e+09,5.72e+08,8.49e+08,8.49e+08,6.223e+09,3.66e+08,1.1627e+10,1.1115e+10,1.5708e+10,7.36e+08,1.1851e+10,2.3478e+10,8.093e+09,6.317e+09,1.45e+09,2.112e+09,2.112e+09,1.0285e+10,2.135e+09,2.135e+09,6.27e+08,6.27e+08,2.762e+09,1.3047e+10,3.907e+09,2e+06,3.905e+09,6.288e+09,1.5e+08,1.0345e+10,8.6e+07,1.0431e+10,2.3478e+10,2.7e+08,1.84e+08,3.4e+07,5.2e+07,-2e+06,-1.6e+07,2.63e+08,-7.95e+08,8.71e+08,1.87e+08,7.51e+08,-3.12e+08,-3.13e+08,-3.13e+08,1.6e+07,-2.96e+08,-7.9e+07,-2.2e+07,0,0,9.6e+07,-5e+06,4.5e+08,4.5e+08,1e+07,4.6e+08,6.14e+08,2.215e+09,7.17e+08,0.12822,0.02486,0.01538,0.0255,0.01133,2.69549,1.13048,1.25079,0.09434,0.60845,0.59796,39.57015,23.6634,1.64008,0.18071,0.02599,0.05402,0.29699,-3.21498,-4.5907
"2","2010_Q3",43.04328125,"Down",1.8742e+10,-1.6396e+10,2.346e+09,-1.876e+09,-1.873e+09,-3e+06,4.7e+08,4e+06,-2.6e+07,3e+07,4.74e+08,4.74e+08,-1.69e+08,3.05e+08,3.05e+08,-6e+06,2.99e+08,2.99e+08,4.719e+09,4.134e+09,5.85e+08,9.51e+08,9.51e+08,5.365e+09,4.66e+08,1.1501e+10,1.1105e+10,1.5857e+10,7.6e+08,1.1865e+10,2.3366e+10,7.512e+09,5.598e+09,1.569e+09,2.262e+09,2.262e+09,9.865e+09,2.134e+09,2.134e+09,6.24e+08,6.24e+08,2.758e+09,1.2623e+10,4.011e+09,2e+06,4.009e+09,6.495e+09,1.45e+08,1.0651e+10,9.2e+07,1.0743e+10,2.3366e+10,3.05e+08,1.85e+08,2.9e+07,4.8e+07,-1e+06,-1.8e+07,9e+07,8.58e+08,-7.67e+08,-1e+06,6.09e+08,-1.92e+08,-1.93e+08,-1.93e+08,-1.8e+07,-2.1e+08,0,1.2e+07,-6e+06,-6000000.00000001,1.1e+08,1.16e+08,5.15e+08,5.15e+08,2e+06,5.17e+08,6.55e+08,2.225e+09,7.22e+08,0.12517,0.02508,0.01595,0.02783,0.0128,2.41472,1.16584,1.175,0.09522,0.67988,0.66903,42.61618,24.2186,1.64171,-2.77555756156289e-17,0.022,0.05312,0,-3.80763,-5.30638
"3","2010_Q4",50.20171875,"Up",1.778e+10,-1.5494e+10,2.286e+09,-1.792e+09,-1.789e+09,-3e+06,4.94e+08,-1.7e+07,-2.7e+07,1e+07,4.77e+08,4.74e+08,-1.63e+08,3.11e+08,3.11e+08,-5e+06,3.06e+08,3.06e+08,5.267e+09,4.413e+09,8.54e+08,8.18e+08,8.18e+08,5.546e+09,4.26e+08,1.2057e+10,1.1058e+10,1.597e+10,7.84e+08,1.1842e+10,2.3899e+10,7.761e+09,5.975e+09,1.437e+09,2.398e+09,2.398e+09,1.0189e+10,2.132e+09,2.132e+09,6.06e+08,6.06e+08,2.738e+09,1.2927e+10,4.109e+09,2e+06,4.107e+09,6.614e+09,1.51e+08,1.0874e+10,9.8e+07,1.0972e+10,2.3899e+10,3.11e+08,1.8e+08,3.2e+07,3.9e+07,3e+06,-1e+07,2.86e+08,-1.83e+08,3.28e+08,1.41e+08,8.09e+08,-1.37e+08,-1.38e+08,-1.38e+08,-2.69e+08,-4.06e+08,-7.9e+07,-5.9e+07,-1.1e+08,-1.1e+08,1.25e+08,-1.23e+08,2.8e+08,2.8e+08,-1e+06,2.79e+08,6.74e+08,2.162e+09,9.86e+08,0.12857,0.02778,0.01721,0.02789,0.0128,3.22222,1.18333,1.17818,0.09046,0.69392,0.68244,40.31993,24.65911,2.23596,0.17915,0.02802,0.07176,0.25817,-4.60682,-6.28543
"4","2011_Q1",54.6090322580645,"Up",2.4125e+10,-2.1024e+10,3.101e+09,-2.418e+09,-2.409e+09,-9e+06,6.83e+08,-4e+06,-3.4e+07,3e+07,6.79e+08,6.84e+08,-2.47e+08,4.37e+08,4.37e+08,-5e+06,4.32e+08,4.32e+08,4.749e+09,3.214e+09,1.535e+09,8.84e+08,8.84e+08,5.638e+09,4.37e+08,1.1708e+10,1.1314e+10,1.636e+10,7.93e+08,1.2107e+10,2.3815e+10,7.84e+09,5.947e+09,1.571e+09,2.197e+09,2.197e+09,1.0063e+10,2.141e+09,2.141e+09,6.81e+08,6.81e+08,2.822e+09,1.2885e+10,4.117e+09,2e+06,4.115e+09,6.59e+09,1.22e+08,1.0829e+10,1.01e+08,1.093e+10,2.3815e+10,4.37e+08,2.46e+08,5.2e+07,5.1e+07,7e+06,-6e+06,-1.24e+08,-93000000.0000001,12999999.9999999,-4.4e+07,6.11e+08,-4.1e+08,-4.11e+08,-4.11e+08,-6.93e+08,-1.103e+09,-1.8e+08,-7000000.00000001,-2e+08,-4.35e+08,-3.2e+08,-7.07e+08,-1.199e+09,-1.199e+09,0,-1.199e+09,9.29e+08,2.167e+09,6.42e+08,0.12854,0.02831,0.01791,0.03952,0.01814,1.48611,1.16347,1.17887,0.09099,0.98966,0.97358,55.26767,24.80802,1.47075,0.41236,0.04442,0.0466,0.41667,-2.77933,-3.78038
"5","2011_Q2",59.9985714285714,"Up",1.9239e+10,-1.6757e+10,2.482e+09,-1.953e+09,-1.941e+09,-1.2e+07,5.29e+08,-2.1e+07,-2.6e+07,5e+06,5.08e+08,5.04e+08,-1.72e+08,3.32e+08,3.32e+08,-2e+07,3.12e+08,3.12e+08,5.284e+09,3.739e+09,1.545e+09,9.85e+08,9.85e+08,6.852e+09,4.37e+08,1.3558e+10,1.2019e+10,1.7449e+10,4.66e+08,1.2485e+10,2.6043e+10,9.123e+09,7.205e+09,1.575e+09,2.355e+09,2.355e+09,1.1502e+10,2.143e+09,2.143e+09,6.91e+08,6.91e+08,2.834e+09,1.4336e+10,4.244e+09,2e+06,4.242e+09,6.685e+09,2.7e+08,1.1199e+10,5.08e+08,1.1707e+10,2.6043e+10,3.32e+08,1.91e+08,4e+07,5.7e+07,-5e+06,-1.2e+07,1.57e+08,-9.12e+08,9.61e+08,1.08e+08,7.2e+08,-2.99e+08,-3.06e+08,-3.06e+08,1.62e+08,-1.37e+08,-8.9e+07,-2e+06,-3.3e+07,-1.45e+08,3.7e+07,-8.7e+07,4.96e+08,4.96e+08,2.9e+07,5.25e+08,7.2e+08,2.167e+09,7.5e+08,0.12901,0.0275,0.01622,0.02665,0.01198,2.40385,1.17875,1.22457,0.08321,0.71873,0.70691,44.31938,25.79826,1.72772,0.20502,0.02753,0.05149,0.28526,-4.32917,-5.89225
"6","2011_Q3",59.9471875,"Down",2.0875e+10,-1.8235e+10,2.64e+09,-2.042e+09,-2.038e+09,-4e+06,5.98e+08,-2.3e+07,-2.7e+07,4e+06,5.75e+08,5.73e+08,-2.04e+08,3.69e+08,3.69e+08,-2.1e+07,3.48e+08,3.48e+08,5.379e+09,3.355e+09,2.024e+09,1.116e+09,1.116e+09,6.127e+09,5.16e+08,1.3138e+10,1.2102e+10,1.7722e+10,4.76e+08,1.2578e+10,2.5716e+10,8.079e+09,5.97e+09,1.746e+09,2.666e+09,2.666e+09,1.0746e+10,2.144e+09,2.144e+09,7.02e+08,7.02e+08,2.846e+09,1.3592e+10,4.38e+09,2e+06,4.378e+09,6.863e+09,3.4e+08,1.1583e+10,5.41e+08,1.2124e+10,2.5716e+10,3.69e+08,1.95e+08,4.4e+07,5.2e+07,-1e+06,-7e+06,1.18e+08,7.61e+08,-8.61e+08,2.18e+08,7.26e+08,-2.33e+08,-2.34e+08,-2.34e+08,-4.91e+08,-7.24e+08,1.49011611938477e-08,-2.3e+07,-1.3e+07,-9.4e+07,-3.8e+08,-4.16e+08,-4.14e+08,-4.14e+08,3e+07,-3.84e+08,7.93e+08,2.145e+09,8.82e+08,0.12647,0.02865,0.01667,0.0287,0.01353,2.53448,1.22259,1.12108,0.08341,0.79692,0.78522,47.80366,26.52502,2.01978,-2.77555756156289e-17,0.02324,0.05891,-5.55111512312578e-17,-4.07818,-5.40803
"7","2011_Q4",63.2887301587302,"Up",2.0623e+10,-1.8067e+10,2.556e+09,-1.999e+09,-1.991e+09,-8e+06,5.57e+08,-2.2e+07,-2.7e+07,5e+06,5.35e+08,5.34e+08,-1.93e+08,3.41e+08,3.41e+08,-1.7e+07,3.24e+08,3.24e+08,6.215e+09,4.082e+09,2.133e+09,9.48e+08,9.48e+08,6.396e+09,5.1e+08,1.4069e+10,1.23e+10,1.8147e+10,6.05e+08,1.2905e+10,2.6974e+10,8.781e+09,6.8e+09,1.605e+09,2.812e+09,2.812e+09,1.2494e+10,1.247e+09,1.247e+09,6.92e+08,6.92e+08,1.939e+09,1.4433e+10,4.485e+09,2e+06,4.483e+09,6.994e+09,4.84e+08,1.1963e+10,5.78e+08,1.2541e+10,2.6974e+10,3.41e+08,1.96e+08,1.9e+07,4.3e+07,-1.6e+07,-8e+06,2.55e+08,-2.06e+08,4.18e+08,4.3e+07,8.11e+08,-2.77e+08,-2.78e+08,-2.78e+08,-1e+08,-3.77e+08,-9e+07,0,-2.8e+07,-1.08e+08,3.59e+08,2.41e+08,6.75e+08,6.75e+08,5.2e+07,7.27e+08,7.53e+08,2.148e+09,9.24e+08,0.12394,0.02701,0.01571,0.02584,0.01201,2.85185,1.12606,1.15087,0.07963,0.74146,0.73044,47.1947,27.37673,2.11453,0.20596,0.02692,0.06007,0.27778,-5.40106,-7.30162
"8","2012_Q1",64.9454838709677,"Up",2.8178e+10,-2.468e+10,3.498e+09,-2.743e+09,-2.721e+09,-2.2e+07,7.55e+08,1e+07,-3.6e+07,4.6e+07,7.65e+08,7.72e+08,-2.72e+08,5e+08,5e+08,-2.2e+07,4.78e+08,4.78e+08,5.613e+09,4.009e+09,1.604e+09,9.65e+08,9.65e+08,6.638e+09,4.9e+08,1.3706e+10,1.2432e+10,1.8368e+10,6.23e+08,1.3055e+10,2.6761e+10,8.637e+09,6.544e+09,1.758e+09,2.513e+09,2.513e+09,1.205e+10,1.253e+09,1.253e+09,8.85e+08,8.85e+08,2.138e+09,1.4188e+10,4.518e+09,2e+06,4.516e+09,7.111e+09,3.73e+08,1.2002e+10,5.71e+08,1.2573e+10,2.6761e+10,5e+08,2.73e+08,1.66e+08,5.5e+07,1.06e+08,5e+06,2000000.00000003,-2.85e+08,2.86e+08,1e+06,9.41e+08,-4.81e+08,-4.72e+08,-4.72e+08,5.39e+08,58000000.0000001,-2.1e+08,-999999.999999996,-2.65e+08,-2.77e+08,-5.39e+08,-1.015e+09,-1.6e+07,-1.6e+07,-5.7e+07,-7.3e+07,1.028e+09,2.153e+09,8.21e+08,0.12414,0.02679,0.01696,0.03802,0.01786,1.71757,1.13743,1.12845,0.08045,1.09453,1.07595,64.52219,27.48227,1.87993,0.48086,0.04407,0.05259,0.43933,-3.36576,-4.58278
"9","2012_Q2",66.6077777777778,"Up",2.1628e+10,-1.8931e+10,2.697e+09,-2.154e+09,-2.144e+09,-1e+07,5.43e+08,1e+07,-2.7e+07,3.7e+07,5.53e+08,5.53e+08,-2.25e+08,3.28e+08,3.28e+08,-8e+06,3.2e+08,3.2e+08,5.915e+09,4.319e+09,1.596e+09,9.82e+08,9.82e+08,7.618e+09,4.78e+08,1.4993e+10,1.2381e+10,1.8439e+10,6.3e+08,1.3011e+10,2.8004e+10,9.678e+09,7.576e+09,1.749e+09,2.699e+09,2.699e+09,1.3311e+10,1.33e+09,1.33e+09,9.16e+08,9.16e+08,2.246e+09,1.5557e+10,4.529e+09,2e+06,4.527e+09,7.175e+09,2.05e+08,1.1909e+10,5.38e+08,1.2447e+10,2.8004e+10,3.28e+08,2.05e+08,3.4e+07,7.6e+07,-1.4e+07,-2.8e+07,9.7e+07,-1.062e+09,9.91e+08,1.68e+08,6.64e+08,-3.36e+08,-3.43e+08,-3.43e+08,-1.6e+07,-3.52e+08,-156365502.784219,1.12e+08,-1.38e+08,-1.63e+08,9.3e+07,6.7e+07,3.79e+08,3.79e+08,-6.9e+07,3.1e+08,7.48e+08,2.264e+09,7.34e+08,0.1247,0.02511,0.0148,0.02571,0.01143,2.29375,1.12636,1.24986,0.08085,0.73695,0.72626,49.80862,27.42606,1.69038,0.358743008195821,0.02048,0.04697,0.318119241258463,-4.88102,-6.72376
"10","2012_Q3",74.421746031746,"Up",2.2967e+10,-2.0139e+10,2.828e+09,-2.184e+09,-2.178e+09,-6e+06,6.44e+08,-1.7e+07,-2.7e+07,1e+07,6.27e+08,6.27e+08,-2.15e+08,4.12e+08,4.12e+08,-1.8e+07,3.94e+08,3.94e+08,5.785e+09,4.389e+09,1.396e+09,1.092e+09,1.092e+09,6.934e+09,5.49e+08,1.436e+10,1.2519e+10,1.8787e+10,6.32e+08,1.3151e+10,2.7511e+10,8.598e+09,6.334e+09,1.891e+09,2.911e+09,2.911e+09,1.2409e+10,1.38e+09,1.38e+09,9.03e+08,9.03e+08,2.283e+09,1.4692e+10,4.587e+09,2e+06,4.585e+09,7.339e+09,3.06e+08,1.2232e+10,5.87e+08,1.2819e+10,2.7511e+10,4.12e+08,2.09e+08,7.2e+07,5.8e+07,7e+06,7e+06,-1.13e+08,7.35e+08,-1.066e+09,2.18e+08,5.8e+08,-2.96e+08,-2.89e+08,-2.89e+08,1.96e+08,-1e+08,-1.05e+08,1.7e+07,-1.35e+08,-1.49e+08,-2.36e+08,-4.59e+08,2.1e+07,2.1e+07,4.9e+07,70000000.0000001,8.53e+08,2.28e+09,6.59e+08,0.12313,0.02804,0.01716,0.03074,0.01432,1.67259,1.15722,1.14611,0.08288,0.90672,0.89654,52.8542,28.14963,1.51656,0.24164,0.03118,0.04118,0.2665,-4.10903,-5.44255
