"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",9.93698412698413,"Down",29926000,-31987000,-2061000,-2819000,-2819000,-4880000,-3768000,-3237000,955000,-8648000,-9658000,-402849.670941853,-9658000,-9658000,-9658000,-9658000,567045659.757831,-233833235.490923,800878895.248754,6586797.34049908,28794011.9601878,28794011.9601878,602426469.058518,41237244.2237333,32685100.3493039,14859604.3657718,17825495.9835321,73922344.5730371,676348813.631555,71810882.3224752,23337006.0716711,48473899.4425728,6701804.98951522,69643687.996534,69643687.996534,148156375.308524,157587169.470923,92080348.0990579,92080348.0990579,249667517.569981,397823892.878505,992288151.766096,-713685089.792834,-78141.2202124409,278524920.75305,278524920.75305,676348813.631555,-21691000,-1378000,-11525000,-11009000,-516000,16795000,14958000,1031000,1031000,68000,-6665000,-6665000,-6665000,0,-0.06887,-0.16307,-0.32273,-0.224822389133589,-0.0955620170460188,3.73303110018974,1.44361076818424,0.240137772849476,-0.09754,-0.09754,0.30224,2.82139177254515,-0.116238381970888,-93.9340691713816
"2","2010_Q3",8.76125,"Down",23503000,-39124000,-15621000,-3050000,-3050000,-18671000,-6344000,-3261000,859000,-25015000,-25151000,-2000,-25153000,-25153000,-25153000,-25153000,522028000,46038000,475990000,2794000,12063000,12063000,536885000,36071000,33395000,16152000,17243000,69466000,606351000,22969000,5355000,17614000,4977000,77268000,77268000,105214000,144674000,94234000,94234000,238908000,344122000,991535000,-730247000,941000,262229000,262229000,606351000,5030000,-2824000,-2824000,-885000,-1939000,-56912999.9999999,-59935999.9999999,251000,251000,2354000,-52552000,-52552000,-52552000,149651000,-0.66464,-0.79441,-1.0702,-0.09592,-0.04148,5.10279,1.3123,0.24681,-0.25384,-0.25384,0.23719,2.64635,-0.0497,19.94414
"3","2010_Q4",9.473125,"Up",28624000,-34716000,-6092000,-2855000,-2855000,-8947000,-3491000,-3337000,776000,-12438000,-12454000,0,-12454000,-12454000,-12454000,-12454000,497904000,100122000,397782000,1996000,7650000,7650000,507550000,35549000,32759000,16208000,16551000,68308000,575858000,18510000,3392000,15118000,5138000,77268000,77268000,100916000,145333000,75900000,75900000,221233000,322149000,995248000,-742701000,1162000,253709000,253709000,575858000,-21429000,-1821000,-1821000,-846000,-975000,77735000,75914000,754000,754000,-401000,54084000,54084000,54084000,150471000,-0.21283,-0.31257,-0.43509,-0.04909,-0.02163,5.02943,1.26976,0.2613,-0.12555,-0.12555,0.28856,2.55765,-0.02594,38.83235
"4","2011_Q1",9.17790322580645,"Down",26420000,-39333000,-12913000,-2945000,-2945000,-15858000,-3138000,-3397000,780000,-18996000,-13896000,-90000,-13986000,-13986000,-13986000,-13986000,472353000,70052000,402301000,2484000,8300000,8300000,483137000,35703000,31637000,15821000,15816000,67340000,550477000,25743000,6523000,19220000,5645000,74502000,74502000,105890000,148762000,51283000,51283000,200045000,305935000,1000280000,-756687000,949000,244542000,244542000,550477000,-25503000,-1201000,-1386000,-497000,-889000,-6448999.99999999,-7242000,2320000,2320000,2675000,-30070000,-30070000,-30070000,154407000,-0.48876,-0.60023,-0.52937,-0.05719,-0.02541,4.56263,1.25105,0.2805,-0.14089,-0.14089,0.26614,2.46335,-0.03106,20.04956
"5","2011_Q2",8.92634920634921,"Down",21147000,-34245000,-13098000,-3010000,-3010000,-16108000,-3566000,-3415000,705000,-19674000,-19992000,-2000,-19994000,-19994000,-19994000,-19994000,426822000,86200000,340622000,2606000,7967000,7967000,437395000,37680000,30867000,15773000,15094000,68547000,505942000,15862000,4652000,11210000,5145000,73392000,73392000,94399000,150049000,33791000,33791000,183840000,278239000,1003695000,-776681000,689000,227703000,227703000,505942000,-39842000,-3087000,-3087000,-2576000,-511000,60164000,56718000,683000,683000,-728000,16148000,16148000,16148000,155194000,-0.61938,-0.76172,-0.94548,-0.08781,-0.03952,4.63347,1.22194,0.30674,-0.20081,-0.20081,0.21239,2.28689,-0.04798,16.86293
"6","2011_Q3",7.72390625,"Down",24823000,-36009000,-11186000,-2874000,-2874000,-14060000,-3853000,-3436000,616000,-17913000,-17880000,-9000,-17889000,-17889000,-17889000,-17889000,395184000,85022000,310162000,2249000,13287000,13287000,410720000,88010000,30842000,16444000,14398000,118852000,529572000,18350000,3071000,15279000,4911000,68719000,68719000,91980000,201260000,24115000,24115000,225375000,317355000,1006388000,-794570000,399000,212217000,212217000,529572000,-26177000,-4650000,-4650000,-3406000,-1244000,29290000,24640000,193000,193000,359000,-1178000,-1178000,-1178000,206171000,-0.45063,-0.56641,-0.72066,-0.0843,-0.03378,4.46532,1.49543,0.38932,-0.1796,-0.1796,0.24922,2.13065,-0.04043,13.44331
"7","2011_Q4",7.2668253968254,"Down",20713000,-39924000,-19211000,-3105000,-3105000,-22316000,-4584000,-4773000,575000,-26900000,-26882000,0,-26882000,-26882000,-26882000,-26882000,364763000,55263000,309500000,2915000,9411000,9411000,377089000,98019000,30677000,16994000,13683000,128696000,505785000,26957000,6653000,20304000,4157000,52428000,52428000,83542000,212858000,22560000,22560000,235418000,318960000,1009430000,-821452000,-1153000,186825000,186825000,505785000,-23169000,-3741000,-3741000,-2952000,-789000,-1961000,-5702000,678000,678000,-888000,-29759000,-29759000,-29759000,217015000,-0.92749,-1.07739,-1.29783,-0.14389,-0.05315,4.51377,1.70727,0.42907,-0.26966,-0.26966,0.20778,1.87412,-0.06304,6.62072
"8","2012_Q1",8.3341935483871,"Up",32403000,-47219000,-14816000,-3800000,-3800000,-18616000,-5869000,-5108000,518000,-24485000,-20036000,0,-20036000,-20036000,-20036000,-20036000,343664000,65477000,278187000,4139000,12336000,12336000,360139000,96615000,28140000,16259000,11881000,124755000,484894000,36138000,8300000,27838000,3390000,36584000,36584000,76112000,215450000,21898000,21898000,237348000,313460000,1013692000,-841488000,-770000,171434000,171434000,484894000,-22741000,-2392000,-2392000,-1269000,-1123000,30317000,32370000,2013000,2013000,585000.000000001,10214000,10214000,10214000,218840000,-0.45724,-0.57451,-0.61834,-0.11687,-0.04132,4.7317,1.82846,0.45132,-0.20083,-0.20083,0.32479,1.71836,-0.04861,6.7052
"9","2012_Q2",9.27650793650794,"Up",23235000,-38714000,-15479000,-2976000,-2976000,-18455000,-5555000,-5179000,6e+05,-24010000,-23993000,-2000.00000000001,-23995000,-23995000,-23995000,-23995000,333944000,56391000,277553000,4873000,8796000,8796000,347613000,95132000,28062000,17071000,10991000,123194000,470807000,24446000,5344000,19102000,2941000,34320000,34320000,61707000,217359000,40869000,40869000,258228000,319935000,1016597000,-865483000,-242000,150872000,150872000,470807000,-6711000,-462000,-462000,-113000,-349000,-60000,-522000,638000,638000,-1853000,-9086000,-9086000,-9086000,220300000,-0.66619,-0.79428,-1.03271,-0.15904,-0.05097,5.63328,2.12057,0.46792,-0.23957,-0.23957,0.23199,1.50636,-0.05823,6.1579
"10","2012_Q3",13.5733333333333,"Up",47340000,-40435000,6905000,-3209000,-3209000,3696000,-4905000,-5219000,477000,-1209000,-1207000,0,-1207000,-1207000,-1207000,-1207000,336029000,85645000,250384000,7108000,7282000,7282000,350419000,94008000,27967000,17701000,10266000,121975000,472394000,26752000,6194000,20558000,5313000,22998000,22998000,55063000,225739000,37278000,37278000,263017000,318080000,1020036000,-866690000,968000,154314000,154314000,472394000,-2577000,-1994000,-1994000,-751000,-1243000,26088000,24094000,979000,979000,7737000,29254000,29254000,29254000,231052000,0.14586,0.07807,-0.0254999999999999,-0.00782,-0.00256,6.36396,2.06125,0.48911,-0.01204,-0.01204,0.47239,1.53986,-0.00286,-28.40287
