"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_short_term_liabilities","long_term_debt","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.9207936507936,"Up",3665900000,3501100000,129800000,3.5e+07,30800000,33900000,4200000,-2423400000,-2423400000,-759600000,-8800000,474100000,-35200000,-35200000,438900000,438900000,-143300000,295600000,295600000,295600000,295600000,15564300000,13062400000,1310500000,155100000,2722900000,956300000,428900000,1221400000,21048900000,11177100000,6724500000,4452600000,1482600000,2177700000,14837400000,1620400000,670500000,949900000,3942500000,648600000,6211500000,6211500000,21048900000,295600000,21400000,170500000,133700000,36800000,182500000,6.7e+08,-16800000,2e+05,-557700000,-1263500000,705800000,45500000,-5.29e+08,-108200000,204944062.84249,204944062.84249,-38600000,-42600000,-146600000,-5600000,-5600000,-5600000,495500000,2177700000,804500000,0.12933,0.08064,0.04759,0.01404,2.72158,2.3887,0.10346,0.44693,0.44358,5.54264,9.39144,1.21636,0.16359,0.02064,0.04112,0.36604,4.08194,4.26619
"2","2010_Q3",13.03390625,"Up",3686300000,3590200000,130600000,-34500000,-39500000,-30900000,5e+06,-2543200000,-2543200000,-7.85e+08,-10100000,3.48e+08,-35100000,-35100000,312900000,312900000,-1.01e+08,211900000,211900000,211900000,211900000,1.583e+10,13534200000,1145800000,153800000,2766200000,947700000,443100000,1355800000,21496600000,11457700000,6885600000,4572100000,1556200000,2178100000,1.5192e+10,1632100000,667600000,964500000,4097900000,574600000,6304600000,6304600000,21496600000,211900000,20500000,5500000.00000006,-101900000,107400000,296600000,534500000,-12600000,300000.000000002,-419600000,-1.462e+09,1042400000,-45400000,-477600000,0,68314687.6141633,68314687.6141633,-60500000,-64700000,-5.8e+07,-1100000,-1100000,-1300000,368500000,2178100000,753500000,0.0944,0.05748,0.03361,0.00986,3.55592,2.40967,0.10132,0.32087,0.31826,5.58192,9.54664,1.14098,-5.55111512312578e-17,0.01063,0.03779,1.11022302462516e-16,5.49335,5.81695
"3","2010_Q4",13.66109375,"Up",3769500000,3599900000,131500000,38100000,26900000,2.9e+07,11200000,-2543400000,-2543400000,-801500000,-5500000,419100000,-31900000,-31900000,387200000,387200000,-125600000,261600000,261600000,261600000,261600000,1.6376e+10,13901300000,1189400000,1.55e+08,2858600000,9.32e+08,450500000,1252500000,22024600000,11664400000,6953400000,4.711e+09,1689200000,1957800000,15311400000,1640400000,663400000,9.77e+08,4273600000,799200000,6713200000,6713200000,22024600000,261600000,20500000,70500000,32400000,38100000,120800000,473400000,-2500000,7100000,-214400000,-1243900000,1029500000,47100000,-169800000,0,0,0,-9.2e+07,-98200000,-3.03e+08,6e+05,6e+05,1200000,439600000,1957800000,683500000,0.11118,0.0694,0.03897,0.01188,2.61277,2.28079,0.08889,0.3989,0.39576,5.74794,10.23666,1.04224,0,0.01286,0.03361,0,4.101,4.3016
"4","2011_Q1",14.0741935483871,"Up",4093800000,3623600000,128200000,3.42e+08,77900000,7.8e+07,11900000,-2621300000,-2621300000,-1006100000,-8900000,457500000,-31300000,-31300000,426200000,426200000,-1.27e+08,299200000,299200000,299200000,299200000,15523400000,12940800000,1157600000,158900000,2738400000,932600000,417200000,1379800000,21150300000,11424800000,7.071e+09,4353800000,1718400000,1958200000,15101400000,1669500000,662400000,1007100000,3595700000,783700000,6048900000,6048900000,21150300000,299200000,20700000,-23500000,-16100000,-7399999.99999999,-2.95e+08,1400000,-24800000,4e+05,815900000,-1033700000,1849600000,-101200000,689900000,-655500000,0,0,-40300000,-53100000,-687800000,3500000,3500000,3900000,478200000,1958200000,285400000,0.11175,0.07309,0.04946,0.01415,0.95388,2.49655,0.09258,0.45749,0.45333,6.25963,9.24908,0.43639,1.00229,0.04913,0.01469,2.19084,3.76265,3.9329
"5","2011_Q2",14.7646031746032,"Up",3893500000,3665300000,123300000,104900000,99700000,101100000,5200000,-2508100000,-2508100000,-801400000,-7100000,576900000,-31500000,-31500000,545400000,545400000,-182500000,362900000,362900000,362900000,362900000,15777500000,13018700000,1099900000,155500000,2928500000,927400000,437700000,1299500000,21526100000,11660700000,7073600000,4587100000,1586100000,1958700000,15205500000,1668700000,655700000,1.013e+09,3839200000,812700000,6320600000,6320600000,21526100000,362900000,2.1e+07,138800000,165600000,-26800000,150800000,673500000,-1.7e+07,5e+05,-189700000,-3323600000,3133900000,-73200000,-279900000,-263600000,0,0,-135100000,-1.38e+08,-397200000,-3600000,-3600000,-3400000,597900000,1958700000,914200000,0.14817,0.09321,0.05742,0.01686,2.51915,2.40571,0.09099,0.55677,0.55337,5.97346,9.69715,1.40258,0.40442,0.03142,0.04585,0.72637,3.01589,3.12567
"6","2011_Q3",13.22359375,"Down",3872700000,3719900000,120800000,3.2e+07,2.6e+07,28200000,6e+06,-2660900000,-2660900000,-814300000,-8300000,389200000,-31500000,-31500000,357700000,357700000,-112500000,245200000,245200000,245200000,245200000,16029600000,1.3132e+10,1029700000,149700000,2982600000,917100000,451600000,1.277e+09,21807600000,11846900000,7142600000,4704300000,1652100000,1959100000,15458100000,1650400000,642700000,1007700000,3835600000,863500000,6349500000,6349500000,21807600000,245200000,21600000,-82200000,-131500000,49300000,1.73e+08,357600000,-17400000,7e+05,-179100000,-1339800000,1160700000,112400000,-84100000,-2.98023223876953e-08,1.49011611938477e-08,1.49011611938477e-08,-280400000,-282900000,-279500000,-6e+06,-6e+06,-5800000,410800000,1959100000,678900000,0.1005,0.06331,0.03862,0.01124,2.76876,2.43454,0.08984,0.3811,0.37863,6.01912,9.86867,1.05518,0,0.01217,0.03368,2.22044604925031e-16,4.40458,4.64902
"7","2011_Q4",13.0014285714286,"Down",3.811e+09,3740700000,117400000,-47100000,-52600000,-51200000,5500000,-2749300000,-2749300000,-810700000,-9100000,241900000,-33400000,-33400000,208500000,208500000,-57800000,150700000,150700000,150700000,150700000,15987800000,13515300000,8.73e+08,170300000,3.086e+09,910900000,458100000,1531200000,22144300000,12086900000,7256800000,4830100000,1797200000,2443900000,1.6328e+10,1607300000,620600000,986700000,3632400000,576600000,5816300000,5816300000,22144300000,150700000,22700000,90200000,-33200000,123400000,200600000,464200000,-1.7e+07,7e+05,-442600000,-968600000,5.26e+08,-53400000,-5.13e+08,0,491900000,491900000,-409800000,-411200000,69700000,20900000,20900000,20600000,264600000,2443900000,5.06e+08,0.06347,0.03954,0.02591,0.00681,3.35766,2.80728,0.11036,0.24062,0.23883,6.08494,9.28676,0.80792,0,0.00741,0.02487,0,8.59259,9.39893
"8","2012_Q1",15.106935483871,"Up",4197400000,3776900000,118500000,3.02e+08,29500000,3e+07,6e+06,-2716500000,-2716500000,-1060800000,-8400000,411700000,-36300000,-36300000,375400000,375400000,-118700000,256700000,256700000,256700000,256700000,1.5963e+10,13311100000,806300000,155700000,2929800000,911300000,433600000,1451400000,21844800000,11825200000,7245800000,4579400000,1770800000,2442100000,16038100000,1619200000,6.13e+08,1006200000,3.495e+09,692500000,5806700000,5806700000,21844800000,256700000,23200000,71300000,27500000,43800000,-348600000,2599999.99999988,-24500000,1100000,1.43e+08,-982400000,1125400000,13600000,132100000,-1.49011611938477e-08,0,0,-150100000,-165700000,-148700000,-1.4e+07,-1.4e+07,-14600000,434900000,2442100000,180500000,0.09808,0.06116,0.04421,0.01175,0.70316,2.762,0.11179,0.42241,0.41862,6.90703,9.55521,0.29702,-2.77555756156289e-17,0.01279,0.00899,-5.55111512312578e-17,5.2573,5.55356
"9","2012_Q2",15.4303174603175,"Up",4126400000,3861500000,114700000,150200000,77500000,78400000,7500000,-2762400000,-2762400000,-935600000,-12400000,4.16e+08,-31900000,-31900000,384100000,384100000,-126500000,257600000,257600000,257600000,257600000,16401700000,13472800000,832400000,1.56e+08,3167500000,916400000,441700000,1266600000,22349900000,1.2218e+10,7337400000,4880600000,1801500000,2.08e+09,16099500000,1640600000,611200000,1029400000,3.715e+09,894800000,6250400000,6250400000,22349900000,257600000,22300000,102100000,110400000,-8300000,326400000,708400000,-28500000,8e+05,-106900000,-1708800000,1601900000,74300000,-61100000,-2.51e+08,-3.5e+08,-3.5e+08,-37200000,-37700000,-647400000,-1e+05,-1e+05,3e+05,438300000,2.08e+09,862700000,0.10081,0.06243,0.04121,0.01153,3.34899,2.57576,0.09307,0.42494,0.4223,6.80699,10.31079,1.42313,0.41405,0.02475,0.04198,0.97438,4.38969,4.625
"10","2012_Q3",14.2806349206349,"Down",4.183e+09,3996100000,112500000,74400000,-4699999.99999999,699999.999999985,9200000,-3043700000,-3043700000,-927200000,-13700000,198400000,-30700000,-30700000,167700000,167700000,-49100000,118600000,118600000,118600000,118600000,16609500000,13755100000,799300000,165500000,3222100000,914300000,452400000,1355200000,2.2719e+10,12587800000,7573200000,5014600000,1781800000,2062800000,16432400000,1649600000,609200000,1040400000,3794300000,842700000,6286600000,6286600000,2.2719e+10,118600000,23200000,-6.1e+07,-131500000,70500000,345900000,426700000,-23500000,7e+05,-317700000,-999300000,681600000,-11900000,-353100000,0,0,0,-45300000,-45300000,-63900000,9700000,9700000,9500000,221600000,2062800000,593100000,0.04743,0.02835,0.01887,0.00522,5.00084,2.61388,0.0908,0.1961,0.19475,6.91634,10.39451,0.98065,-5.55111512312578e-17,0.00566,0.02833,-2.22044604925031e-16,8.56182,9.563
