"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",6.76640625,"Up",23076000,-11044000,12032000,-9792000,-7458000,-4868000,-2590000,-2209000,2240000,457000,293000,164000,2697000,2748000,-608000,2140000,2140000,203000,203000,52128000,33292000,18836000,22087000,3192000,18895000,74215000,13195000,13550000,12601000,118000,32261000,106476000,3186000,506000,2680000,22802000,19752000,3050000,25988000,1068000,1068000,-9.09494701772928e-13,1068000,27056000,101378000,-24277000,2319000,79420000,79420000,106476000,2140000,1033000,3774000,-2276000,4671000,-861000,-586000,-10584000,196000,7e+05,-10350000,-6265000,-6265000,-6265000,3273000,0,744000,0.52141,0.09707,0.0088,0.00256,0.00191,3.66502,2.85574,0.34067,1.54074395550979e-33,0.00747,0.00735,0.8486,2.9206,0.02736,0.38922,0.13402,0.00924,52.13793,-15.92667,-23.27143
"12","2014_Q1",7.47688524590164,"Up",25214000,-11029000,14185000,-10865000,-8475000,-5203000,-3272000,-2264000,3320000,702000,263000,439000,4022000,4238000,-1160000,3078000,3078000,294000,294000,59766000,41164000,18602000,20082000,3162000,16920000,79848000,13190000,13374000,12601000,86000,33222000,113070000,4168000,1207000,2961000,24260000,21291000,2969000,28428000,1398000,1398000,0,1398000,29826000,102124000,-24278000,5398000,83244000,83244000,113070000,3078000,1035000,3569000,531000,8213000,-961000,-741000,0,377000,378000,399999.999999998,7872000,7872000,7872000,4355000,-8.27180612553028e-25,5085000,0.56258,0.13167,0.01166,0.00353,0.0026,17.29592,2.80878,0.3583,0,0.01078,0.01061,0.92444,3.05203,0.18643,0,0.00347,0.06008,7.105427357601e-15,-13.72354,-18.00181
"13","2014_Q2",7.16984126984127,"Down",23318000,-11163000,12155000,-9772000,-7547000,-4394000,-3153000,-2100000,2383000,44000,251000,-207000,2427000,2427000,-834000,1593000,1593000,150000,150000,63457000,50378000,13079000,16083000,2846000,13237000,79540000,13055000,13230000,12601000,85000,33388000,112928000,3221000,963000,2258000,22830000,19606000,3224000,26051000,1204000,1204000,0,1204000,27255000,102960000,-24278000,6991000,85673000,85673000,112928000,1593000,1029000,8647000,-2018000,9251000,-751000,-551000,4883906.57790184,487000,487000,514000,9214000,9214000,9214000,3412000,0,1477000,0.52127,0.1022,0.00643,0.00175,0.00133,9.84667,3.05324,0.31813,0,0.00548,0.00539,0.85217,3.13098,0.05398,-0.179799908634835,0.00172999999999999,0.017,-25.5353260418116,-18.59818,-26.62904
"14","2014_Q3",6.965,"Down",26931000,-11405000,15526000,-10218000,-8089000,-5018000,-3071000,-2004000,5308000,417000,215000,202000,5725000,5809000,-2116000,3693000,3693000,348000,348000,61765000,49226000,12539000,20716000,3551000,17165000,82481000,13838000,14793000,13819000,129000,37036000,119517000,3414000,455000,2959000,26251000,19361000,6890000,29665000,2419000,1548000,366000,2419000,32084000,103779000,-24278000,7932000,87433000,87433000,119517000,3693000,433000,3473000,-7214000,385000,-1045000,-2211000,1432931.85285388,633000,633000,674000,-1152000,-1152000,-1152000,5741000,-1.32348898008484e-23,-402000,0.57651,0.1971,0.01292,0.00398,0.00291,-1.15517,2.78041,0.36696,0,0.01268,0.01249,0.98113,3.18529,-0.01465,-0.0534573756260389,0.00387,-0.00447,-9.47984391309421,-10.75858,-11.63621
"15","2014_Q4",6.939375,"Down",24427000,-10464000,13963000,-10377000,-7914000,-5032000,-2882000,-2338000,3586000,198000,231000,-33000,3784000,3737000,-1260000,2477000,2477000,229000,229000,65796000,52922000,12874000,21623000,3514000,18109000,87419000,14383000,14618000,13819000,124000,37666000,125085000,4012000,993000,3019000,28159000,21977000,6182000,32171000,2858000,1752000,366000,2858000,35029000,106713000,-24278000,7621000,90056000,90056000,125085000,2477000,435000,2909000,-1026000,4795000,-811000,-861000,-2751000,2232000,2232000,-238000,3696000,3696000,3696000,4021000,0,3444000,0.57162,0.1468,0.00937,0.00254,0.00183,15.0393,2.71732,0.38897,-3.94430452610506e-31,0.00827,0.00811,0.88232,3.25288,0.1244,0.0993700000000003,0.03207,0.03707,12.0131,-16.36309,-18.34802
"16","2015_Q1",7.11311475409836,"Up",25925000,-10683000,15242000,-11994000,-9265000,-5970000,-3295000,-2632000,3248000,713000,238000,475000,3961000,3924000,-1356000,2568000,2568000,234000,234000,70599000,55803000,14796000,22748000,4092000,18656000,93347000,14413000,14485000,13819000,132000,37873000,131220000,4914000,1382000,3532000,29195000,23638000,5557000,34109000,4551000,2354000,1527000,4551000,38660000,109470000,-24278000,7368000,92560000,92560000,131220000,2568000,708000,3455000,-2851000,3880000,-597000,-597000,-2788000,2124000,2124000,-402000,2881000,2881000,2881000,3956000,0,1864000,0.58793,0.12528,0.00903,0.00253,0.00178,7.96581,2.73673,0.41768,0,0.00834,0.0082,0.92434,3.30017,0.06646,0.0994,0.03112,0.01919,11.91453,-17.84606,-21.73615
"17","2015_Q2",7.4631746031746,"Up",24857000,-11512000,13345000,-11140000,-7859000,-4644000,-3215000,-3196000,2205000,306000,280000,26000,2511000,2469000,-935000,1534000,1534000,1392000,1392000,60608000,46209000,14399000,19908000,3168000,16740000,80516000,13501000,22901000,18749000,630000,48233000,128749000,2993000,745000,2248000,29182000,23614000,5568000,32175000,4683000,2073000,2035000,4683000,36858000,110093000,-24278000,6076000,91891000,91891000,128749000,1534000,1382000,3665000,-5456000,1125000,-236000,-8117000,-2826000,183000,183000,-2602000,-9594000,-9594000,-9594000,3587000,0,-1170000,0.53687,0.08871,0.056,0.01515,0.01081,-0.84052,2.50244,0.40111,6.3108872417681e-30,0.0493,0.04866,0.88042,3.25474,-0.04144,0.1001,0.04368,-0.01212,2.03017,-16.89657,-27.48662
"18","2015_Q3",7.28421875,"Down",24577000,-12481000,12096000,-10652000,-7735000,-4574000,-3161000,-2810000,1444000,489000,279000,210000,1933000,1868000,-693000,1175000,1175000,1066000,1066000,56181000,40601000,15580000,21398000,4920000,16478000,77579000,13151000,22630000,18749000,622000,49082000,126661000,2893000,602000,2291000,29147000,23993000,5154000,32040000,4311000,1996000,1835000,4311000,36351000,110942000,-25058000,4426000,90310000,90310000,126661000,1175000,1457000,2549000,-6568000,-1387000,-842000,-870000,-2822000,-366000,414000,-3351000,-5608000,-5608000,-5608000,2901000,0,-3816000,0.49217,0.05875,0.04337,0.0118,0.00842,-3.57974,2.42132,0.40251,0,0.03771,0.03729,0.86934,3.19444,-0.13498,0.09982,0.04109,-0.04033,2.64728,-19.36608,-38.90651
"19","2015_Q4",8.108125,"Up",25839000,-12990000,12849000,-10403000,-7693000,-4540000,-3153000,-2603000,2446000,-80000,326000,-406000,2366000,2295000,546000,2841000,2841000,2581000,2581000,57292000,41023000,16269000,21450000,3985000,17465000,78742000,13560000,22364000,18749000,618000,49628000,128370000,3090000,578000,2512000,31639000,25784000,5855000,34729000,3029000,1776000,868000,3029000,37758000,111548000,-25378000,4442000,90612000,90612000,128370000,2841000,1472000,3108000,-2445000,4976000,-1619000,-1619000,-2824000,-120000,2e+05,-2935000,422000,422000,422000,3918000,0,-692000,0.49727,0.09466,0.09989,0.02848,0.02011,-0.26811,2.26733,0.4167,0,0.0914,0.0904,0.91508,3.20898,-0.02451,0.10001,0.05772,-0.00739,1.09415,-14.62277,-23.42273
"20","2016_Q1",7.4283606557377,"Down",27600000,-13476000,14124000,-10877000,-8303000,-4909000,-3394000,-2479000,3247000,345000,344000,1000,3592000,3770000,-1192000,2578000,2578000,-4298000,-4298000,62239000,44655000,17584000,23351000,3748000,19603000,85590000,13363000,22157000,18749000,660000,48676000,134266000,3968000,920000,3048000,34646000,28511000,6135000,38614000,2726000,1631000,805000,2726000,41340000,114145000,-25378000,4159000,92926000,92926000,134266000,2578000,1522000,3374000,-2164000,5310000,-1078000,-1078000,-2825000,1928000,1928000,-6e+05,3632000,3632000,3632000,4769000,-5.42101086242752e-20,2719000,0.51174,0.11764,-0.15572,-0.04625,-0.03201,-0.632620000000001,2.21655,0.44487,0,-0.15139,-0.14967,0.97214,3.27308,0.09577,0.0995,-0.0154,0.02843,-0.65728,-13.05074,-19.16816
