"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",37.141875,"Up",1462700000,-1263800000,-3.7e+07,-169600000,-1057200000,198900000,-7100000,-29100000,2.2e+07,191800000,26600000,218400000,-10100000,208300000,-1300000,-1300000,2.07e+08,2100000,209100000,106600000,7086583142.26101,7086583142.26101,-4681397781.63455,-4681397781.63455,2306690633.72916,155290267.535997,155290267.535997,4867166261.89162,5944150751.14541,-1842851663.9775,-1881708943.60335,4223946832.45998,9091113094.3516,836086517.663611,836086517.663611,-73000867.6729742,763085649.990636,1367673693.90347,-1655636838.90325,114173607.482581,114173607.482581,22254553.2965966,-1792064999.68243,-260249995.374385,502835654.616252,8245709846.63317,342567593.119388,8588277439.75256,9091113094.36881,208300000,169600000,167800000,3.5e+07,-1e+06,579700000,-30700000,2.3e+07,-53700000,-53700000,24300000,-6400000,-8200000,-6400000,-205100000,368200000,368200000,368200000,368500000,0,382900000,0.13598,0.07288,0.314115496632709,0.193715331709114,3.59193,5.2288472864671,-1.69053106927817,0.132044450985511,0.86526,12.69048,11.87256,94.7279505034682,3.10795,-1.25534034723828,-0.855426896908673,-43.0224523544302,-262.715832905185
"2","2018_Q3",39.0063492063492,"Up",1309400000,-1154500000,-44100000,-163900000,-946500000,154900000,-6100000,-31300000,25200000,148800000,-21400000,127400000,-7400000,1.2e+08,-3600000,-3600000,116400000,-2700000,113700000,113700000,3738641571.13051,3738641571.13051,-1847898890.81728,-1847898890.81728,1153095316.86458,207795133.767998,207795133.767998,3251633130.94581,5620625375.5727,-740375831.988752,-784054471.801677,4941573416.22999,8193206547.1758,941943258.831805,941943258.831805,-11600433.8364871,930342824.995318,1349186846.95174,142831580.548375,370036803.741291,370036803.741291,16077276.6482983,-243282499.841214,1505875002.31281,2436217827.30813,5570904923.31659,186083796.559694,5756988719.87628,8193206547.18441,1.2e+08,163900000,103700000,-49100000,-2800000,335700000,-42300000,29600000,-71900000,-71900000,35300000,-7e+06,-55300000,-20600000,-289200000,39500000,39500000,39500000,318800000,0,234800000,0.1183,0.08683,0.189992748316354,0.111637665854557,2.06508,3.34139864323355,-0.107490534639087,0.161227225492755,0.93044,0.472180000000002,10.71522,57.9976102517341,1.92144,-0.529570173619141,-0.337273448454336,-18.6831811772151,-112.282446452592
"3","2018_Q4",30.5946031746032,"Down",1412600000,-1256100000,-38600000,-169600000,-1047900000,156500000,-10900000,-28100000,17200000,145600000,-47900000,97700000,-13800000,83900000,-4100000,-4100000,79800000,-8300000,71500000,71500000,1832913857.0435,1832913857.0435,-243866296.939092,-243866296.939092,526331772.288193,234798377.922666,234798377.922666,2350177710.31527,5382808458.52423,-71925277.329584,-118818157.267226,5331324472.07666,7681502182.39193,1000881086.27727,1000881086.27727,22966522.0545043,1023847608.33177,1337362282.31725,1151677193.51613,502178934.58043,502178934.58043,11859092.2160994,637639166.719595,2493658334.10427,3517505942.43604,4067601641.10553,96394598.8532313,4163996239.95876,7681502182.3948,83900000,169600000,46800000,64300000,-19200000,345400000,-44500000,16400000,-60900000,-60900000,8e+06,-46500000,-9500000,-24500000,-374400000,-75500000,-75500000,-75500000,326100000,0,359700000,0.11079,0.05062,0.116750916105451,0.0619858886181856,5.03077,2.29222954774452,0.771629821786971,0.177095741830918,0.60338,0.59534,11.92068,38.008356750578,3.03544,-0.12495339120638,-0.0616011494847788,-4.8812970590717,-30.5039754841974
"4","2019_Q1",29.2629508196721,"Down",1397100000,-1234100000,-38400000,-175900000,-1019800000,1.63e+08,-25500000,-29200000,3700000,137500000,83100000,220600000,12900000,233500000,27100000,27100000,260600000,-8e+06,252600000,252600000,981900000,981900000,450400000,450400000,280200000,243100000,243100000,1955600000,5.207e+09,261100000,212600000,5468100000,7423700000,1.022e+09,1.022e+09,36500000,1058500000,1330500000,1583100000,547700000,547700000,9700000,1025700000,2913600000,3972100000,3395600000,5.6e+07,3451600000,7423700000,233500000,175900000,-218100000,41800000,-4200000,228900000,-107100000,7400000,-114500000,-114500000,-350300000,-457400000,-1.2e+07,5600000,-156500000,-3.85e+08,-3.85e+08,-3.85e+08,338900000,1.367e+09,260700000,0.11667,0.1808,0.07318,0.03403,1.03207,1.84752,1.1508,0.18414,2.22948,2.20227,12.33098,29.96999,2.30097,0.0418,0.04072,1.13632,2.36258
"5","2019_Q2",25.7168253968254,"Down",1250600000,-1157600000,-36700000,-172500000,-948400000,9.3e+07,-2.4e+07,-27500000,3500000,6.9e+07,83100000,152100000,-18800000,133300000,-3400000,-3400000,129900000,-5700000,124200000,124200000,798100000,798100000,554600000,554600000,268500000,239500000,239500000,1860700000,5069500000,357300000,308800000,5426800000,7287500000,1014400000,1014400000,34800000,1049200000,1326900000,1649300000,543700000,543700000,9700000,1095900000,2976200000,4025400000,3214700000,47400000,3262100000,7287500000,133300000,172500000,-8.9e+07,-1.6e+07,-3200000,197600000,-24800000,1.1e+07,-35800000,-35800000,-10900000,-38100000,-8300000,-15800000,-337300000,-177800000,-177800000,-177800000,265500000,1361700000,243500000,0.07436,0.09931,0.03807,0.01704,1.96055,1.77345,1.23399,0.18685,1.12398,1.12398,11.31765,29.09231,2.20362,0.05398,0.03882,2.12279,6.06022
"6","2019_Q3",19.181875,"Down",1.149e+09,-1062500000,-38900000,-165400000,-858200000,86500000,-19100000,-28800000,9700000,67400000,-21500000,45900000,-3e+06,42900000,-3400000,-3400000,39500000,-2400000,37100000,37100000,8.53e+08,8.53e+08,395700000,395700000,322100000,2.29e+08,2.29e+08,1799800000,4974800000,346600000,298100000,5321400000,7121200000,963200000,963200000,28500000,991700000,1327100000,1576600000,520900000,520900000,9600000,1046100000,2903700000,3895400000,3176100000,49700000,3225800000,7121200000,42900000,165400000,118800000,-129300000,-18400000,179400000,-56200000,4800000,-6.1e+07,-6.1e+07,30300000,-25900000,-9200000,-11700000,-93000000.0000001,60500000,60500000,60500000,251900000,1355600000,69400000,0.07528,0.03229,0.0115,0.00521,1.87062,1.81486,1.20758,0.19036,0.35367,0.3432,10.95329,30.27741,0.66158,0.00844,0.01127,1.99524,5.8104
"7","2019_Q4",11.4371875,"Down",1106400000,-1078600000,-32200000,-141500000,-904900000,27800000,-49100000,-28400000,-20700000,-21300000,-48800000,-70100000,-4200000,-74300000,-3800000,-3800000,-78100000,-4700000,-82800000,-82800000,759100000,759100000,293400000,293400000,294800000,218400000,218400000,1565700000,4899200000,327600000,279100000,5226800000,6792500000,877500000,877500000,23400000,900900000,1329400000,1577200000,516400000,516400000,9500000,1051300000,2906600000,3807500000,2939600000,45400000,2.985e+09,6792500000,-74300000,141500000,50400000,61600000,-3600000,175600000,-74200000,11800000,-8.6e+07,-8.6e+07,-9400000,-83600000,-6400000,-14500000,-179700000,-87700000,-87700000,-87700000,169300000,1352800000,160900000,0.02513,-0.07484,-0.02774,-0.01219,-1.94324,1.73793,1.27554,0.19916,-0.80938,-0.79923,10.81525,28.73509,1.57283,-0.01153,0.0272,3.50679,21.35612
"8","2020_Q1",6.40145161290323,"Down",1117400000,-1042300000,-37200000,-121600000,-883500000,75100000,-21400000,-32300000,10900000,53700000,-323900000,-270200000,-2e+07,-290200000,13800000,13800000,-276400000,-13400000,-289800000,-289800000,732200000,732200000,329500000,329500000,331500000,220700000,220700000,1613900000,4679100000,110700000,82400000,4928900000,6542800000,9.57e+08,9.57e+08,18300000,975300000,1292500000,1602500000,593400000,593400000,28800000,980300000,2.895e+09,3870300000,2613800000,58700000,2672500000,6542800000,-290200000,121600000,318700000,-22500000,-2800000,124800000,-100200000,2400000,-102600000,-102600000,-12900000,-113700000,-47200000,-2e+05,-91300000,-80200000,-80200000,-80200000,196700000,1310800000,9.4e+07,0.06721,-0.25935,-0.10844,-0.04429,-0.32436,1.65477,1.44819,0.20034,-2.98455,-3.12959,11.50772,26.91864,0.96807,-0.04934,0.01683,2.94154,7.70439
"9","2020_Q2",3.30269841269841,"Down",846200000,-9.28e+08,-24900000,-1.06e+08,-797100000,-81800000,-39100000,-3e+07,-9100000,-120900000,-5400000,-126300000,-3e+06,-129300000,-2200000,-2200000,-131500000,1800000,-129700000,-129700000,682500000,682500000,265200000,265200000,269200000,202300000,202300000,1419200000,4607800000,203400000,198500000,4811200000,6230400000,793400000,793400000,12600000,8.06e+08,1294300000,1596800000,587700000,587700000,25500000,983600000,2891100000,3697100000,2476500000,56800000,2533300000,6230400000,-129300000,1.06e+08,4700000,1.7e+07,-3100000,-4700000,-20800000,10500000,-31300000,-31300000,-16300000,-37100000,-7200000,-7e+05,-7900000,-49700000,-49700000,-49700000,24200000,1306900000,23400000,-0.09667,-0.15327,-0.0511999999999999,-0.02082,-0.18042,1.76079,1.4594,0.20976,-1.33436,-1.33436,8.70576,25.4784,0.24074,-0.02386,0.0043,25.80165,-7.63325
"10","2020_Q3",2.8925,"Down",626700000,-683900000,-25200000,-88300000,-570400000,-57200000,-37900000,-31900000,-6e+06,-95100000,-1450400000,-1545500000,199999.999999998,-1545300000,-2300000,-2300000,-1547600000,3400000,-1544200000,-1544200000,848500000,848500000,191400000,191400000,301600000,241200000,241200000,1582700000,3178400000,187700000,182800000,3366100000,4948800000,788900000,788900000,10900000,799800000,1.597e+09,1562700000,5.83e+08,5.83e+08,28300000,951400000,3159700000,3959500000,939300000,5e+07,989300000,4948800000,-1545300000,88300000,1432900000,-7e+06,-17300000,-48400000,-5.3e+07,1500000,-54500000,-54500000,-25500000,-78500000,297300000,-4400000,292900000,1.66e+08,1.66e+08,1.66e+08,31100000,1607900000,-29100000,-0.09127,-2.46402,-1.5609,-0.31204,0.0188399999999999,1.97887,4.00232,0.32491,-15.78937,-15.78937,6.40798,9.60429,-0.29755,-0.37121,-0.007,24.41801,-13.27622
