"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",10.3157142857143,"Down",-7085000,-4597000,-4597000,-2488000,-7085000,145000,145000,145000,-6940000,-6940000,-6940000,-6940000,-6940000,-6940000,67297000,33209000,449000,414000,67746000,67885000,2792000,2723000,69000,2792000,0,0,0,2792000,97900000,-32807000,65093000,65093000,67885000,-6940000,0,3197000,-1028000,-4771000,-1822000,-15872000,62000,62000,62000,-20581000,-20581000,-20581000,-7085000,0,-0.10662,-0.10223,24.26433,0.04289,0,-0.26502,-0.26502,2.48571,-0.10662,9.49852,9.49852
"2","2018_Q1",11.3581967213115,"Up",-15729000,-3116000,-3116000,-12613000,-15729000,128000,128000,136000,-15601000,-15601000,-15601000,-15601000,-15601000,-15601000,60977000,34975000,384000,278000,61361000,63493000,3611000,3474000,137000,3611000,50000,50000,50000,3661000,108240000,-48408000,59832000,59832000,63493000,-15601000,2000,10840000,-408000,-5167000,-402000,7432999.99999999,-2.91038304567337e-11,-2.91038304567337e-11,0,2266000.00000001,2266000.00000001,2266000.00000001,-15727000,0,-0.26075,-0.24571,16.9928,0.06119,0,-0.59448,-0.59448,2.27992,-0.26053,3.87722,3.87672
"3","2018_Q2",8.42140625,"Down",-6477000,-2110000,-2110000,-4367000,-6427000,146000,146000,146000,-6281000,-6281000,-6281000,-6281000,-6281000,-6281000,54757000,17755000,869000,666000,55626000,61090000,5323000,5007000,316000,5323000,125000,125000,125000,5448000,110331000,-54689000,55642000,55642000,61090000,-6281000,7000,2070000,-1361000,-5565000,-751000,-11751000,0,0,96000,-17220000,-17220000,-17220000,-6420000,0,-0.11288,-0.10282,10.45012,0.09791,0,-0.23803,-0.23803,2.10865,-0.11263,8.52913,8.51984
"4","2018_Q3",6.6652380952381,"Down",-5240000,-1683000,-1683000,-3557000,-5240000,147000,147000,147000,-5093000,-5093000,-5093000,-5093000,-5093000,-5093000,46744000,11744000,1374000,965000,48118000,55675000,3675000,3488000,187000,3675000,395000,395000,395000,4070000,111387000,-59782000,51605000,51605000,55675000,-5093000,115000,971000,651000,-3356000,-4742000,-2740000,-5.82076609134674e-11,-5.82076609134674e-11,85000,-6011000,-6011000,-6011000,-5125000,0,-0.09869,-0.09148,13.09333,0.07887,-8.67361737988404e-19,-0.18802,-0.18802,1.90509,-0.09794,9.12078,8.92061
"5","2018_Q4",4.05285714285714,"Down",-7656000,-1340000,-1340000,-6316000,-7656000,138000,138000,138000,-7518000,-7518000,-7518000,-7518000,-7518000,-7518000,40834000,18296000,991000,872000,41825000,49512000,4052000,3777000,275000,4052000,470000,470000,470000,4522000,112290000,-67300000,44990000,44990000,49512000,-7518000,198000,1903000,1617000,-3800000,-2148000,10352000,0,0,0,6552000,6552000,6552000,-7458000,0,-0.1671,-0.15184,10.32206,0.10051,0,-0.27694,-0.27694,1.65729,-0.16538,5.47519,5.33359
"6","2019_Q1",3.77672131147541,"Down",-11850000,-1626000,-1626000,-10224000,-11900000,130000,130000,138000,-11770000,-11770000,-11770000,-11770000,-11770000,-11770000,34073000,16469000,1052000,1052000,35125000,42754000,5617000,5381000,236000,5617000,741000,741000,741000,6358000,115466000,-79070000,36396000,36396000,42754000,-11770000,310000,3376000,1561000,-6523000,-304000,4696000,-9.31322574615479e-10,-9.31322574615479e-10,0,-1827000,-1827000,-1827000,-11590000,0,-0.32339,-0.2753,6.25334,0.17469,1.38777878078145e-17,-0.43311,-0.43311,1.3393,-0.31693,2.93986,2.86328
"7","2019_Q2",3.80507936507937,"Up",-9754000,-2344000,-2344000,-7410000,-9754000,141000,141000,152000,-9613000,-9613000,-9613000,-9613000,-9613000,-9613000,40644000,35600000,968000,857000,41612000,50485000,7274000,6656000,618000,7373000,1909000,1909000,14634000,22007000,117161000,-88683000,28478000,28478000,50485000,-9613000,288000,1257000,1585000,-6483000,-499000,12001000,40494297.5779914,40494297.5779914,13613000,19131000,19131000,19131000,-9466000,12725000,-0.33756,-0.19041,5.64384,0.77277,0.25206,-0.34399,-0.34399,1.01904,-0.22298,2.9494,2.86231
"8","2019_Q3",3.64765625,"Down",-10212000,-3189000,-3189000,-7023000,-10212000,-187000,-187000,387000,-10399000,-10399000,-10399000,-10399000,-10399000,-10399000,82634000,82634000,788000,660000,83422000,92625000,6211000,5452000,759000,6368000,1862000,1862000,14813000,21181000,170526000,-99082000,71444000,71444000,92625000,-10399000,3e+05,2340000,-1019000,-8778000,-906000,4198000,54140000,54140000,51614000,47034000,47034000,47034000,-9912000,12951000,-0.14555,-0.11227,13.10019,0.29647,0.13982,-0.28606,-0.28606,1.96529,-0.12056,7.03017,6.82364
"9","2019_Q4",3.0534375,"Down",-9996000,-1987000,-1987000,-8009000,-9996000,-172000,-172000,406000,-10168000,-10168000,-10168000,-10168000,-10168000,-10168000,72794000,72794000,1568000,1513000,74362000,83835000,6054000,5770000,284000,6293000,1909000,1909000,15094000,21387000,171698000,-109250000,62448000,62448000,83835000,-10168000,319000,2054000,-1035000,-8830000,-899000,-899000,0,0,-111000,-9840000,-9840000,-9840000,-9677000,13185000,-0.16282,-0.12129,11.81662,0.34248,0.15727,-0.25445,-0.25445,1.56276,-0.13113,6.15986,5.96329
"10","2020_Q1",3.41774193548387,"Up",-15923000,-2050000,-2050000,-13873000,-15923000,-286000,-286000,318000,-16209000,-16209000,-16209000,-16209000,-16209000,-16209000,61413000,61413000,1650000,1631000,63063000,73445000,6264000,5668000,596000,7771000,1843000,1843000,14022000,21793000,177111000,-125459000,51652000,51652000,73445000,-16209000,351000,5767000,601000,-9490000,-1391000,-1391000,-7.45058059692383e-09,-7.45058059692383e-09,7.45058059692383e-09,-10881000,-10881000,-10881000,-15572000,13429000,-0.31381,-0.2207,8.11517,0.42192,0.18284,-0.40534,-0.40534,1.29167,-0.2422,3.08143,3.0135
