"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q4",19.428064516129,"Up",61458000,-54056000,-25990000,-33827000,5761000,18713000,-69058000,-69058000,-50345000,-38912000,-89257000,-89651000,-87601000,-87601000,-87601000,47923000,47923000,227758000,2786152000,2786152000,323909000,299687000,24222000,3110061000,3337819000,30184000,19421000,31419000,1762666000,145416000,145416000,1908082000,1939501000,1885286000,1398318000,1398318000,3337819000,-87601000,53308000,50512000,-291000,15928000,-82629000,25195000,-57434000,-363308000,29908000,28893000,396584000,63184000,21678000,21678000,21678000,72021000,1762666000,0.30448,-1.42538,-0.06265,-0.02624,7.24905,1.38702,0.52809,-7.02618,-7.02618,4.92934,112.15442,-0.02649,23.80893,91.63378
"2","2013_Q1",23.3628333333333,"Up",69288000,-34594000,-6169000,-26430000,-1995000,34694000,-33282000,-33282000,1411999.99999999,-723999.999999993,688000,578000,-5189999.99999997,-5189999.99999997,-5189999.99999997,73568000,73568000,125430000,2874486000,3365424000,247761000,187362000,60399000,3122247000,3247677000,53753000,53753000,1948631000,0,45603000,45603000,45603000,1994234000,1829248000,1253443000,1253443000,3247677000,-5190000.00000001,28375000,4727000,6984000,34896000,-76901000,23957000,-52944000,-12473999.9999999,3.72529029846191e-09,0,58689000,46215000,28167000,28167000,28167000,63069000,1894878000,0.50072,-0.0749,-0.00414,-0.0016,0.0643700000000003,1.591,0.58346,-0.29601,-0.29601,3.95177,71.48888,-0.00162,28.87805,52.4964
"3","2013_Q2",25.03,"Up",70968000,-34847000,-6968000,-26939000,-940000,36121000,-36439000,-36439000,-318000,-6626000,-6944000,-7018000,-8332000,-8332000,-8332000,14441000,14441000,192987000,2749370000,2749370000,303424000,283384000,20040000,3052794000,3245781000,29094000,18021000,31659000,1756542000,122144000,122144000,1878686000,1910345000,1885199000,1335436000,1335436000,3245781000,-8332000,28316000,7784000,464000,28232000,-56854000,17673000,-39181000,-3108000,0,-3423667.96667613,-4156000,-7264000,-18213000,-18213000,-18213000,64437000,1756542000,0.50898,-0.11741,-0.00624,-0.00257,6.0958,1.4305,0.54118,-0.23437,-0.23437,1.99623,37.56399,-0.00259,27.03572,48.22959
"4","2013_Q3",21.923125,"Down",72414000,-39178000,-9151000,-29700000,-327000,33236000,-39552000,-39552000,-6316000,-4964000,-11280000,-11348000,-11669000,-11669000,-11669000,16187000,16187000,192637000,2726015000,2726015000,294075000,275735000,18340000,3020090000,3212727000,28364000,17648000,30082000,1755832000,115728000,115728000,1871560000,1901642000,1885199000,1311085000,1311085000,3212727000,-11669000,30913000,9284000,3640000,32168000,-38296000,5892999.99999999,-32403000,-13114000,4.65661287307739e-10,0,-3975000,-17089000,-17324000,-17324000,-17324000,64149000,1755832000,0.45897,-0.16114,-0.0089,-0.00363,6.40373,1.45043,0.54652,-0.32821,-0.32821,2.03679,36.877,-0.00367,27.11882,52.34219
"5","2013_Q4",23.858125,"Up",136847000,-63255000,-9945000,-48243000,-5067000,73592000,-50385000,-50385000,23207000,-45542000,-22335000,-23139000,-21908000,-21908000,-21908000,42375000,42375000,220227000,5751222000,6298287000,1089002000,614436000,184511000,6840224000,7060451000,105505000,105505000,3560440000,151508000,213918000,213918000,365426000,3925866000,3861661000,3134585000,3134585000,7060451000,-21908000,49107000,6788000,-25262000,8725000,-80930000,1.42e+08,61070000,-42926000,-1942000,-1942000,-20583000,-65451000,4344000,4344000,4344000,122699000,3606443000,0.53777,-0.16009,-0.00699,-0.0031,0.06185,1.25244,0.51079,-0.29813,-0.29813,1.86225,42.65629,-0.00315,29.04725,48.4301
"6","2014_Q1",26.2998360655738,"Up",139238000,-63638000,-9082000,-59172000,4616000,63840000,-52891000,-52891000,10949000,-2449000,8500000,8333000,40293000,40293000,40293000,66588000,66588000,243069000,5929226000,6519293000,1058750000,618121000,149208000,6987976000,7231045000,114679000,114679000,3857777000,35120000,220114000,220114000,255234000,4113011000,3863529000,3118034000,3118034000,7231045000,40293000,59263000,8162000,-38739000,68979000,-232356000,83277000,-149079000,121335000,2.3283064365387e-10,0,-17022000,104313000,24213000,24213000,24213000,123103000,3778218000,0.4585,0.28938,0.01292,0.00557,0.0630100000000005,1.3191,0.5225,0.4861,0.4861,1.6798,37.61664,0.00566,30.15061,58.13957
"7","2014_Q2",27.7530158730159,"Up",143972000,-76898000,-11067000,-60549000,-5282000,67074000,-54399000,-54399000,12675000,-3192000,9483000,9266000,13848000,13848000,13848000,29984000,29984000,202633000,6022863000,6659611000,1049899000,613162000,145316000,7072762000,7275395000,108902000,108902000,3846955000,135606000,219877000,219877000,355483000,4202438000,3866164000,3072957000,3072957000,7275395000,13848000,60549000,5431000,-13984000,65844000,-157972000,22001000,-135971000,34797000,79000,-104000,-1353000,33523000,-36604000,-36604000,-36604000,127623000,3873659000,0.46588,0.09619,0.00451,0.0019,0.05267,1.36756,0.53243,0.16843,0.16811,1.75113,37.37629,0.00193,30.11742,57.30499
"8","2014_Q3",29.29046875,"Up",151789000,-78978000,-10434000,-61968000,-6576000,59778000,-55992000,-55992000,3786000,-93086000,-89300000,-89427000,-90346000,-90346000,-90346000,120976000,120976000,291026000,6130870000,6810323000,1079011000,599107000,188483000,7209881000,7500907000,111753000,111753000,3314606000,707239000,216714000,216714000,923953000,4238559000,4212366000,3262348000,3262348000,7500907000,-90346000,61968000,97313000,-66216000,2719000,-205671000,983000,-204688000,26022000,-6000,-6000.00000000023,266945000,292961000,90992000,90992000,90992000,121746000,3910092000,0.39382,-0.59521,-0.02769,-0.01204,0.0878,1.29924,0.52128,-1.0612,-1.0612,1.7829,38.31931,-0.01223,31.12313,63.38646
"9","2014_Q4",29.94609375,"Up",152295000,-77806000,-10380000,-62069000,-5357000,74500000,-53535000,-53535000,20965000,-13867000,7098000,6856000,8225000,8225000,8225000,50130000,50130000,218193000,6227162000,6950939000,1101901000,599875000,210605000,7329063000,7547256000,115564000,115564000,3304111000,819281000,219626000,219626000,1038907000,4343018000,4215225000,3204238000,3204238000,7547256000,8225000,62069000,16192000,-337000,86149000,-206163000,16843000,-189320000,35383000,-2810000,-2810000,-248000,32325000,-70846000,-70846000,-70846000,136569000,4007828000,0.48918,0.05401,0.00257,0.00109,0.06604,1.3554,0.53103,0.09295,0.09276,1.72108,36.21095,0.00111,28.97948,53.12346
"10","2015_Q1",32.3006557377049,"Up",154815000,-80304000,-10756000,-63380000,-6168000,74511000,-56144000,-56144000,18367000,4166000,22533000,22446000,31328000,31328000,31328000,176181000,176181000,342170000,6441586000,7193796000,1180474000,590073000,304553000,7622060000,7964230000,123298000,123298000,3753296000,693304000,205968000,205968000,899272000,4652568000,4365433000,3311662000,3311662000,7964230000,31328000,63380000,-394999.999999993,-30454000,63859000,-388232000,40181000,-348051000,283461000,0,4.65661287307739e-10,126782000,410243000,126051000,126051000,126051000,137891000,4323302000,0.48129,0.20236,0.00946,0.00393,0.09117,1.4049,0.54284,0.35124,0.35257,1.73572,37.12893,0.004,30.07536,55.65784
