"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"40","2020_Q1",220.096290322581,"Down",846932000,534067000,589327000,-55260000,312865000,59212000,114288000,139365000,-17967000,828965000,-460490000,-71982000,-388508000,368475000,368475000,368475000,-93376000,275099000,275099000,-12099000,2.63e+08,2.63e+08,6781783000,29071694000,32859712000,-304924000,33164636000,161876000,1942598000,71004903000,61757807000,20916237000,40841570000,17429999.9999999,347987000,2260599000,64383823000,340138000,1470123000,4575601000,84445000,6470307000,150773000,6621080000,71004903000,275099000,22592000,17967000,-20685000,159283000,454256000,-31129000,-584246000,-2089849000,-2807224000,-360486000,352769000,2215026000,-18998000,2188311000,-164657000,-164657000,-164657000,391067000,365417000,612597000,0.43507,0.31053,0.03972,0.0037,2.32927,9.72407,0.00515,5.09838,5.06246,16.41818,118.83627,11.87549,0.0037,0.00863,-16.40733,-17.4133
"41","2020_Q2",192.583333333333,"Down",826071000,524137000,567402000,-43265000,301934000,59450000,171355000,71129000,-243480000,582591000,-399585000,-38705000,-360880000,183006000,183006000,183006000,-49357000,133649000,133649000,1973000,135622000,132253000,9561448000,27422948000,35419122000,-548963000,35968085000,154780000,2265447000,75009640000,61911957000,19009757000,42902200000,3138162000,348076000,2428224000,67826419000,340138000,1489292000,4612785000,592534000,7034749000,148472000,7183221000,75009640000,133649000,24824000,243480000,-141150000,-92678000,168125000,-25088000,2222456000,-2796409000,-599041000,3120732000,-60604000,154150000,-328000,3210581000,2779665000,2779665000,2779665000,207830000,3486238000,139421000,0.22154,0.1601,0.01841,0.00176,1.0542,9.44234,0.04648,2.56478,2.54607,16.01999,129.82859,2.70379,0.00181,0.00186,-29.23163,-33.19678
"42","2020_Q3",235.2559375,"Up",880929000,512863000,523598000,-10735000,368066000,61550000,138645000,167871000,-66520000,814409000,-479415000,-64295000,-415120000,334994000,334994000,334994000,-87643000,247351000,247351000,-13973000,233378000,228747000,14202106000,32581314000,36137394000,-589828000,36727222000,169313000,2456309000,85730985000,74505764000,25344884000,49160880000,50924000.000001,843220000,2862764000,78262672000,340138000,1522780000,4841720000,614735000,7319373000,148940000,7468313000,85730985000,247351000,25176000,66520000,-12850000,250678000,576875000,-25912000,-5174456000,-733591000,-5933959000,-2591732000,13604000.0000001,12593850000,-13672000,9997419000,4640335000,4640335000,4640335000,360170000,894144000,672579000,0.38027,0.25967,0.03063,0.00267,2.94027,10.4793,0.01043,4.43471,4.42006,17.07856,135.30631,13.03928,0.00272,0.00785,-36.94911,-39.72597
"43","2020_Q4",324.02421875,"Up",1.076e+09,5.28e+08,5.43e+08,-1.5e+07,5.48e+08,2.44e+08,9.9e+07,2.05e+08,5.2e+07,1.128e+09,-4.91e+08,-6.7e+07,-4.24e+08,6.37e+08,6.37e+08,6.37e+08,-1.63e+08,4.74e+08,4.74e+08,-2.8e+07,4.46e+08,4.42e+08,15687776000,40433910000,37900933000,-512958000,38413891000,173477000,2537472000,96916771000,84773020000,27264791000,57508229000,19068000,843430000,3313873000,88949391000,340138000,1548970000,5283433000,620394000,7792935000,174445000,7967380000,96916771000,4.74e+08,2.4e+07,-5.2e+07,-1.58e+08,2e+07,3.08e+08,-1.4e+07,-7.378e+09,-1.663e+09,-9.055e+09,-3.3e+07,5e+06,1.0267e+10,-2e+06,1.0233e+10,1.486e+09,1.486e+09,1.486e+09,6.61e+08,862498000,8.3e+08,0.59201,0.41078,0.05548,0.00456,1.87783,11.1642,0.00890000000000001,8.5371,8.4749,20.78263,143.94864,16.03121,0.0046,0.00856,-22.42856,-23.27359
"44","2021_Q1",491.784262295082,"Up",1.214e+09,5.92e+08,6.08e+08,-1.6e+07,6.22e+08,2.93e+08,1.37e+08,1.92e+08,3.8e+07,1.252e+09,-6.65e+08,-7.7e+07,-5.88e+08,5.87e+08,5.87e+08,5.87e+08,-1.48e+08,4.39e+08,4.39e+08,-4.6e+07,3.93e+08,3.88e+08,1.7675e+10,4.9307e+10,4.4733e+10,-4.48e+08,4.5181e+10,1.76e+08,3.416e+09,1.15511e+11,1.01982e+11,3.5463e+10,6.6519e+10,21000000.0000001,8.44e+08,4.231e+09,1.07078e+11,3.4e+08,1.585e+09,5.672e+09,6.23e+08,8.22e+09,2.13e+08,8.433e+09,1.15511e+11,4.39e+08,2.7e+07,-3.8e+07,-5.7e+07,2.2e+07,3.93e+08,-2.2e+07,-8.835e+09,-6.734e+09,-1.5618e+10,2e+06,12999999.9999999,1.7209e+10,-7e+06,1.7212e+10,1.987e+09,1.987e+09,1.987e+09,6.14e+08,8.65e+08,7.62e+08,0.48353,0.3196,0.04601,0.00336,1.96392,12.6975,0.00749,7.48746,7.39245,23.42725,152.06484,14.70475,0.0034,0.0066,-27.37785,-28.63714
"45","2021_Q2",554.743174603175,"Up",1.404e+09,6.6e+08,6.79e+08,-1.9e+07,7.44e+08,3.89e+08,1.43e+08,2.12e+08,-1.9e+07,1.385e+09,-6.36e+08,-8.1e+07,-5.55e+08,7.49e+08,7.49e+08,7.49e+08,-1.87e+08,5.62e+08,5.62e+08,-2.5e+07,5.37e+08,5.32e+08,21254859000,69008852000,47283415000,-391751000,47675166000,179674000,4417810000,142346620000,124150106000,39710109000,84439997000,38434000,1338183000,6699118000,132225841000,1079333000,2590630000,6203969000,20960000,9894892000,225887000,10120779000,142346620000,5.62e+08,3.1e+07,1.9e+07,-9e+07,-3.08e+08,2.14e+08,-1.4e+07,-1.8458e+10,-2.538e+09,-2.101e+10,5.12e+08,1.713e+09,2.2168e+10,-1.2e+07,2.4376e+10,3.58e+09,3.58e+09,3.58e+09,7.8e+08,1376617000,6.45e+08,0.53348,0.37892,0.05257,0.00374,1.21241,13.06479,0.00967,10.19548,10.02336,26.90686,168.94517,12.36106,0.00377,0.00453,-25.48493,-26.53971
"46","2021_Q3",579.86921875,"Up",1.489e+09,7.28e+08,7.51e+08,-2.3e+07,7.61e+08,4.27e+08,1.54e+08,1.8e+08,-3.5e+07,1.454e+09,-6.53e+08,-9.7e+07,-5.56e+08,8.01e+08,8.01e+08,8.01e+08,-1.73e+08,6.28e+08,6.28e+08,-1.13e+08,5.15e+08,5.02e+08,2.3959e+10,8.5811e+10,5.0358e+10,-3.96e+08,5.0754e+10,1.96e+08,2.875e+09,1.63399e+11,1.45838e+11,4.4579e+10,1.01259e+11,3.4e+07,1.834e+09,3.726e+09,1.51432e+11,2.064e+09,2.755e+09,6.706e+09,1.42e+08,1.1667e+10,3e+08,1.1967e+10,1.63399e+11,6.28e+08,3e+07,3.5e+07,-2.02e+08,-1e+07,4.81e+08,-2.7e+07,-1.7969e+10,-3.035e+09,-2.1031e+10,4.91e+08,1.126e+09,2.1688e+10,-3.9e+07,2.3254e+10,2.704e+09,2.704e+09,2.704e+09,8.31e+08,1.868e+09,9.67e+08,0.53794,0.33714,0.04195,0.00307,1.92629,12.65413,0.01143,9.62054,9.45814,28.53584,184.03603,18.532,0.00315,0.00592,-26.58363,-27.57928
"47","2021_Q4",704.4603125,"Up",1.524e+09,8.52e+08,8.84e+08,-3.2e+07,6.72e+08,3.36e+08,1.8e+08,1.56e+08,-2.1e+07,1.503e+09,-8.79e+08,-1.04e+08,-7.75e+08,6.24e+08,6.24e+08,6.24e+08,-1.49e+08,4.75e+08,4.75e+08,-8.8e+07,3.87e+08,3.65e+08,1.894e+10,1.07834e+11,6.1089e+10,-3.98e+08,6.1487e+10,2.47e+08,2.386e+09,1.90996e+11,1.71182e+11,5.5794e+10,1.15388e+11,9.7e+07,1.925e+09,3.123e+09,1.76327e+11,2.064e+09,5.1e+09,7.071e+09,6.5e+07,1.43e+10,3.69e+08,1.4669e+10,1.90996e+11,4.75e+08,4.5e+07,2.1e+07,5e+07,-1.44e+08,4.47e+08,-3.6e+07,-2.0686e+10,-3.433e+09,-2.3039e+10,0,1.247e+09,1.636e+10,-1.9e+07,1.7565e+10,-5.027e+09,-5.027e+09,-5.027e+09,6.69e+08,2.022e+09,6.38e+08,0.40945,0.2395,0.02488,0.00191,1.74795,12.02038,0.01059,6.3233,6.23708,26.40195,211.97789,11.05279,0.00203,0.00334,-25.28849,-27.11218
"48","2022_Q1",606.915967741935,"Down",1.5e+09,9.39e+08,9.75e+08,-3.6e+07,5.61e+08,1.69e+08,1.98e+08,1.94e+08,-4.8e+07,1.452e+09,-9.02e+08,-1.1e+08,-7.92e+08,5.5e+08,5.5e+08,5.5e+08,-1.42e+08,4.08e+08,4.08e+08,-1.4e+07,3.94e+08,3.71e+08,1.4586e+10,1.27959e+11,6.5854e+10,-4.22e+08,6.6276e+10,2.7e+08,2.104e+09,2.11308e+11,1.89203e+11,6.3352e+10,1.25851e+11,7.1e+07,2.57e+09,2.855e+09,1.94699e+11,2737434771.67701,8.803e+09,7.442e+09,-9e+06,1.6236e+10,3.73e+08,1.6609e+10,2.11308e+11,4.08e+08,4.5e+07,4.8e+07,-3.9e+07,2.08e+08,6.7e+08,-3.6e+07,-2.0465e+10,-4.72e+09,-2.5256e+10,6.9e+08,1.594e+09,1.8022e+10,-1e+07,2.0273e+10,-4.313e+09,-4.313e+09,-4.313e+09,5.95e+08,2.641e+09,9.09e+08,0.36667,0.24733,0.02234,0.00176,2.45013,11.7225,0.0125,6.42725,6.3396,25.98618,281.27436,15.74762,0.00186,0.0043,-20.07563,-21.71818
"49","2022_Q2",471.05064516129,"Down",1.599e+09,1.082e+09,1.122e+09,-4e+07,5.17e+08,1.48e+08,2.11e+08,1.58e+08,-1.1e+07,1.588e+09,-8.73e+08,-1.06e+08,-7.67e+08,7.15e+08,7.15e+08,7.15e+08,-1.82e+08,5.33e+08,5.33e+08,-1.8e+07,5.15e+08,4.72e+08,2.0606e+10,1.27303e+11,6.8244e+10,-4.21e+08,6.8665e+10,2.83e+08,3.39e+09,2.20355e+11,1.98134e+11,7.0137e+10,1.27997e+11,9.9e+07,2.571e+09,3.191e+09,2.03995e+11,3.646e+09,5.18e+09,7.914e+09,-7.6e+08,1.598e+10,3.8e+08,1.636e+10,2.20355e+11,5.33e+08,5e+07,1.1e+07,1.28e+08,-3.63e+08,3.59e+08,-3.2e+07,-8.26e+08,-2.342e+09,-3.2e+09,-2.2e+07,-2.7e+07,8.931e+09,-1.1e+07,8.828e+09,5.987e+09,5.987e+09,5.987e+09,7.65e+08,2.67e+09,5.52e+08,0.44715,0.29518,0.02885,0.00214,1.16949,12.46913,0.01212,8.04053,7.91628,27.23899,210.10988,9.40333,0.00234,0.00251,-23.44575,-25.08531
"50","2022_Q3",402.5128125,"Down",1.529e+09,1.167e+09,1.274e+09,-1.07e+08,3.62e+08,-1.4e+08,2.6e+08,2.42e+08,-1.96e+08,1.333e+09,-8.48e+08,-1.32e+08,-7.16e+08,4.85e+08,4.85e+08,4.85e+08,-1.32e+08,3.53e+08,3.53e+08,2e+07,3.73e+08,3.33e+08,1.5398e+10,1.24682e+11,7.041e+10,-5.45e+08,7.0955e+10,2.94e+08,3.082e+09,2.14389e+11,1.87945e+11,7.3976e+10,1.13969e+11,3.703e+09,3.367e+09,3.098e+09,1.98113e+11,3.646e+09,5.223e+09,8.247e+09,-1.198e+09,1.5918e+10,3.58e+08,1.6276e+10,2.14389e+11,3.53e+08,5e+07,1.96e+08,1.53e+08,3e+08,1.052e+09,-3.3e+07,1.87e+09,-2.265e+09,-4.28e+08,4.401e+09,-2e+06,-1.0189e+10,-2e+06,-5.832e+09,-5.208e+09,-5.208e+09,-5.208e+09,5.35e+08,7.07e+09,9.34e+08,0.3172,0.21779,0.02046,0.00155,2.8048,12.17209,0.03298,5.65031,5.60093,25.9439,208.22994,15.84801,0.00174,0.00436,-15.56636,-17.17113
