"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",15.4493442622951,"Up",-484329000,62958000,10206000,2006000,50746000,-421371000,87789000,87789000,-333582000,-12153000,-345735000,2785000,-342950000,-342950000,4534000,-338416000,-338416000,8452289000,183646000,8452289000,147900000,1110400000,29123000,29123000,1287423000,9739712000,21595000,21595000,4785756000,4949068000,14280000,14280000,14280000,4963348000,4648827000,42662000,-345331041.598839,4691489000,84875000,4776364000,9739712000,-13465764.3409229,876820.131330777,131036111.252215,-258138697.065476,-139691530.022853,107489.356310329,-41288131233.7731,-2834250025.58288,225537426.012821,4353558132.23882,4353558132.23882,-11021457.7836134,1614265549.90623,-1359676005.6995,-1359676005.6995,-1359676005.6995,210654578.827714,4785756000,-49076285.5791606,0.87001,0.69873,-0.07085,-0.03475,1.30189012736195,1.70785,1.03915,0.49137,-0.9494,-0.9493,-1.35874,13.16156,-0.13736510090383,-0.758803437862779,-0.03534,-0.00274030923109668,-2.57419702451663,-70.8713476955491,8.70144
"2","2018_Q2",15.03875,"Down",218276000,-29552000,-7308000,-906000,-21338000,188724000,-51197000,-51197000,137527000,-23040000,114487000,-384000,114103000,114103000,-1981000,112122000,112122000,9199772000,918215000,10310172000,147339000,3800649206.07983,28728000,28728000,176067000,10486239000,93829000,84608000,4119263000,4347621000,3718000,5162272.03435823,3718000,4351339000,5956337000,95563000,-105541347.199613,6051900000,8.3e+07,6134900000,10486239000,114103000,906000,12011000,-4537000,122483000,-345000,-18984588116.8866,-345000,38587475.3376069,1307119000,1307119000,-4582000,612479000,734617000,734617000,734617000,189630000,4119263000,185132000,0.86461,0.51367,0.01828,0.01069,1.65117,2.37145,0.70928,0.39283,0.31455,0.31452,0.61235,16.97807,0.51937,-0.137367812620926,0.01093,0.01805,-0.565249008172211,-26.79169,-26.92031
"3","2018_Q3",16.3938095238095,"Up",220975000,-31527000,-7160000,-922000,-23445000,189448000,-47640000,-47640000,141808000,0,141808000,-448000,141360000,141360000,-2316000,139044000,139044000,9235493000,940740000,9235493000,146629000,1150306000,32275000,32275000,1329210000,10564703000,111361000,111361000,4120141000,4377063000,14697000,10979000,14697000,4391760000,5956805000,137444000,-4640000,6089609000,83334000,6172943000,10564703000,141360000,922000,-11240000,-6861999.99999999,124180000,-212000,-6226437705.62885,-40118000,-59278000,-2.38418579101562e-07,-2.38418579101562e-07,-2259000,-61537000,22525000,22525000,22525000,190370000,4120141000,183744000,0.85733,0.62923,0.02252,0.01316,1.32148,2.10997,0.71145,0.38999,0.39008,0.39004,0.61993,17.08386,0.51548,0.1663,0.01924,0.01783,0.42633,-26.87058,-27.00135
"4","2018_Q4",16.837619047619,"Up",232687000,-36253000,-5677000,-929000,-29647000,196434000,-52024000,-52024000,144410000,-12334000,132076000,-52000,132024000,132024000,-2112000,129912000,129912000,8960780000,145223000,8960780000,168076000,1396367000,43278000,43278000,1607721000,10568501000,130028000,130028000,4121153000,4325482000,35746000,31742000,35746000,4361228000,5957428000,160915000,5465000.00000001,6123808000,83465000,6207273000,10568501000,132024000,929000,1443000,-52542000,81854000,-1000,-511237000,-792008000,-97018000,0,0,-2095000,-99113000,-809267000,-809267000,-809267000,197363000,4121153000,144872000,0.8442,0.55831,0.02093,0.01229,1.11515,2.07163,0.7026,0.38995,0.35103,0.35098,0.62874,16.54707,0.39146,0.26215,0.0219,0.01398,0.7468,-24.52145,-24.63742
"5","2019_Q1",17.1867213114754,"Up",226039000,-29964000,-4284000,-929000,-24751000,196075000,-50495000,-50495000,145580000,-393000,145187000,-557000,144630000,144630000,-2089000,142541000,142541000,577883000,577883000,577883000,95789000,10523582000,136114000,136114000,10755485000,11333368000,130471000,130471000,4122264000,4369940000,62406000,62406000,62406000,4432346000,6652477000,187096000,-22124000,6817449000,83573000,6901022000,11333368000,144630000,929000,-4274000,34280000,175565000,-155000,663457000,-308406000,-106386000,694374000,694374000,-1981000,586007000,453166000,453166000,453166000,197004000,4122264000,231686000,0.86744,0.6306,0.02066,0.01258,1.6254,0.13224,0.64227,0.36373,0.36936,0.36914,0.58572,17.66574,0.60036,0.27567,0.02245,0.0209,0.74635,17.99142,18.07666
"6","2019_Q2",18.3968253968254,"Up",214002000,-11247000,-6225000,-930000,-4092000,202755000,-48419000,-48419000,154336000,-889000.000000002,153447000,-521000,152926000,152926000,-2077000,150849000,150849000,598276000,598276000,598276000.000001,166486000,10629680000,54229000,54229000,10850395000,11448671000,142758000,142758000,4123350000,4340063000,62720000,62720000,62720000,4402783000,6781793000,219791000,-39315000,6962269000,83619000,7045888000,11448671000,152926000,930000,4000,-38218000,115642000,-147000,-485000,-101160000,-116341000,128085000,128085000,-2031000,9713000,24195000,24195000,24195000,203685000,4123350000,165841000,0.94744,0.7049,0.02141,0.01318,1.09938,0.13785,0.62487,0.36016,0.41078,0.41068,0.58275,18.95906,0.4516,0.31681,0.02379,0.01477,0.77124,17.3065,17.38588
"7","2019_Q3",18.21078125,"Down",220746000,-12384000,-6518000,-1018000,-4848000,208362000,-50815000,-50815000,157547000,-2867000,154680000,-553000,154127000,154127000,-2078000,152049000,152049000,1205335000,1205335000,1205335000,94711000,11081275000,140725000,140725000,11316711000,12522046000,146406000,146406000,4124448000,4344459000,105164000,105164000,105164000,4449623000,7819439000,239301000,-70003000,7988737000,83686000,8072423000,12522046000,154127000,1018000,988000,-8833000.00000001,147300000,-290000,-620000,-447854000,-118077000,1036923000,1036923000,-7382000,911464000,610910000,610910000,610910000,209380000,4124448000,200810000,0.9439,0.6888,0.01884,0.01214,1.32069,0.27744,0.55121,0.32937,0.37172,0.37133,0.53967,19.53045,0.49093,0.28867,0.02196,0.01632,0.77657,13.9417,14.00981
"8","2019_Q4",20.4559375,"Up",222513000,-13140000,-6717000,-1e+06,-5423000,209373000,-61841000,-61841000,147532000,-993000,146539000,-24000,146515000,146515000,-2080000,144435000,144435000,431423000,431423000,431423000,94711000,11885325000,170007000,170007000,12150043000,12581466000,160993000,160993000,4125473000,4360316000,147081000,147081000,147081000,4507397000,7820843000,246587000,-77116000,7990314000,83755000,8074069000,12581466000,146515000,1e+06,18714000,8028000,174257000,-948000,-899000,-806843000,-132441000,-648000,-648000,-4367000,-137456000,-770042000,-770042000,-770042000,210373000,4125473000,217477000,0.94095,0.64911,0.01789,0.01148,1.50571,0.09894,0.55826,0.3279,0.33198,0.32889,0.51144,18.36554,0.49987,0.30441,0.02243,0.01761,0.91696,17.55953,17.64339
"9","2020_Q1",20.0029032258065,"Down",237537000,-10530000,-5109000,-883000,-4538000,227007000,-67295000,-67295000,159712000,-58392000,101320000,-607000,100713000,100713000,-2082000,98631000,98631000,1101893000,1101893000,1101893000,94711000,11880377000,188638000,188638000,12163726000,13265619000,157209000,157209000,4791563000,5092712000,123918000,123918000,123918000,5216630000,7822192000,208069000,-65078000,7965183000,83806000,8048989000,13265619000,100713000,883000,76933000,66431000,244960000,-295000,-6694000.00000006,-5522000,-137099000,-53000,-53000,-50359000,398945000,638383000,638383000,638383000,227890000,4791563000,294633000,0.95567,0.41522,0.01225,0.00744,2.98723,0.21637,0.64811,0.3612,0.2267,0.22459,0.54597,18.30777,0.67721,0.31512,0.01818,0.02273,1.39002,16.19057,16.25355
"10","2020_Q2",15.9673015873016,"Down",255001000,-12955000,-7015000,-867000,-5073000,242046000,-70573000,-70573000,171473000,-193084000,-21611000,-454000,-22065000,-22065000,-1947000,-24012000,-24012000,11493835000,369052000,11493835000,94711000,1135128000,2183539000,2183539000,3413378000,14907213000,190466000,190466000,6754485000,7019027000,164155000,164155000,164155000,7183182000,8023254000,-262470000,-118216000,7642568000,81463000,7724031000,14907213000,-22065000,867000,199140000,-40496000,137446000,-1329000,-847381000,-839579000,-137133000,199877000,199877000,-53882000,1971324000,1269191000,1269191000,1269191000,242913000,6754485000,201542000,0.9492,-0.09416,-0.00311,-0.00161,-8.39339,1.63753,0.92998,0.4531,-0.05033,-0.0498500000000001,0.53449,16.01897,0.42244,0.28743,0.00773,0.01376,-5.71102,-19.51048,-19.58037
