"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",17.71109375,"Down",82293000,-56960000,25333000,-10560000,-6719000,-3620000,-3099000,-2500000,-1341000,14773000,-1977000,-2015000,38000,12796000,12796000,-2872000,9924000,9924000,9924000,9924000,3496000,3496000,39246000,39246000,46393000,5856000,2506000,94991000,12540000,60257000,31372000,755000,72797000,167788000,34481000,22429000,12052000,41801000,24500000,14900000,1010000,39400000,81201000,86999000,-424000,12000,86587000,86587000,167788000,9924000,1944000,712000,-3477000,9103000,-668000,-668000,-44970000,39857000,-5113000,3322000,3322000,-10000,3312000,16717000,24500000,15444000,0.30784,0.17952,0.12059,0.11461,0.05915,1.55623,2.27246,0.9378,0.14602,0.28331,0.27579,2.34928,2.47187,0.44089,0.07877,0.12258,1.25645,1.42178
"2","2014_Q1",17.013606557377,"Down",65259000,-46543000,18716000,-10913000,-6591000,-3771000,-2820000,-2967000,-1355000,7803000,-164000,-157000,-7000,7639000,7639000,-2732000,4907000,4907000,4907000,4907000,1683000,1683000,33781000,33781000,42783000,6138000,2648000,84385000,13418000,59926000,31925000,717000,73344000,157729000,36705000,24254000,12451000,44501000,8e+06,12936000,931000,20936000,65437000,87824000,4483000,-15000,92292000,92292000,157729000,4907000,2002000,-864000,11492000,17537000,-1447000,-2564000,-16773000,0,-16773000,-1800000,-1800000,-13000,-1813000,9805000,8e+06,22582000,0.2868,0.11957,0.07519,0.05317,0.03111,4.602,1.89625,0.70902,0.05072,0.13505,0.13087,1.79604,2.54003,0.62149,0.04334,0.19944,0.644259999999998,0.809559999999998
"3","2014_Q2",17.3209523809524,"Up",56108000,-39091000,17017000,-12270000,-7774000,-3844000,-3930000,-3135000,-1361000,4747000,-78000,-110000,32000,4669000,4669000,-1728000,2941000,2941000,2941000,2941000,2002000,2002000,30737000,30737000,58387000,8128000,4585000,99254000,18135000,106386000,45295000,1900000,124521000,223775000,36193000,26740000,9453000,46518000,47500000,31480000,19901000,78980000,125498000,90862000,7424000,-9000,98277000,98277000,223775000,2941000,2038000,-697000,-4678000,-396000,-933000,-43230000,41722000,1061000,43939000,313000,313000,6000,319000,6785000,5e+07,2902000,0.30329,0.0846,0.05242,0.02993,0.01314,0.98674,2.13367,1.27698,0.22344,0.08075,0.07829,1.54062,2.69851,0.07968,0.01636,0.01614,7.07413,10.11123
"4","2014_Q3",15.6215625,"Down",86374000,-59421000,26953000,-15095000,-9796000,-5118000,-4678000,-3625000,-1674000,11858000,-196000,-321000,125000,11662000,11540000,41000.0000000002,11581000,11581000,11581000,11581000,1856000,1856000,39344000,39344000,63100000,8214000,4538000,112514000,18646000,105126000,43887000,1730000,123772000,236286000,40907000,30484000,10423000,51091000,42875000,30163000,19836000,73038000,124129000,93158000,19005000,-6000,112157000,112157000,236286000,11581000,2497000,-448000,-9181000,4449000,-1311000,-1185000,-4625000,2351000,-3429999.99999999,-166000,-166000,20000,-146000,14355000,45375000,3822000,0.31205,0.13729,0.13408,0.10326,0.04901,0.33002,2.20223,1.10674,0.19203,0.316,0.30555,2.35679,3.0603,0.10429,0.0617,0.02036,3.03163,3.67001
"5","2014_Q4",15.23671875,"Down",90148000,-61601000,28547000,-14652000,-9500000,-5282000,-4218000,-3468000,-1684000,13895000,-292000,-291000,-1000,13603000,13619000,-3328000,10291000,10291000,10291000,10291000,1937000,1937000,40610000,40610000,54946000,9265000,4753000,106758000,19166000,103369000,44007000,1562000,122535000,229293000,36788000,24826000,11962000,54082000,28250000,22143000,12438000,50393000,104475000,95666000,29296000,-144000,124818000,124818000,229293000,10291000,2538000,-1505000,3350000,14674000,-1367000,-1367000,-14625000,1464000,-13161000,146000,146000,-65000,81000,16433000,30750000,21744000,0.31667,0.15414,0.11416,0.08245,0.04488,2.11291,1.974,0.83702,0.13411,0.27884,0.27188,2.44264,3.38205,0.58917,0.05791,0.12236,1.75336,2.07362
"6","2015_Q1",15.4340983606557,"Up",74104000,-52201000,21903000,-14924000,-9805000,-4948000,-4857000,-3414000,-1705000,6979000,260000,-277000,537000,7239000,4489000,-1616000,2873000,2873000,2873000,2873000,4212000,4212000,39221000,39221000,59191000,6257000,6257000,108881000,19759000,129797000,58745000,1570000,149556000,258437000,42499000,30371000,12128000,60825000,47163000,21643000,14229000,68806000,129631000,97614000,32169000,-406000,128806000,128806000,258437000,2873000,2657000,964000,7684000,14178000,-879000,-31047000,19084000,870000,19383000,2514000,2514000,-239000,2275000,9636000,5e+07,18057000,0.29557,0.09418,0.03877,0.0223,0.01112,6.28507,1.79007,1.0064,0.19347,0.07754,0.07579,2.00011,3.47655,0.48737,0.01433,0.09008,4.75176,6.56083
"7","2015_Q2",16.1119047619048,"Up",67788000,-49005000,18783000,-15180000,-9938000,-5297000,-4641000,-3402000,-1840000,3603000,-315000,-330000,15000,3288000,1224000,-454000,770000,770000,770000,770000,7204000,7204000,31442000,31442000,70571000,11636000,7151000,120853000,20486000,123848000,59153000,1398000,144334000,265187000,51824000,40749000,11075000,70324000,46453000,21276000,14123000,67729000,138053000,94667000,32939000,-472000,127134000,127134000,265187000,770000,2867000,1862000,4100000,9599000,-1542000,-2307000,-709000,188000,-4137000,3155000,3155000,-163000,2992000,6470000,49290000,9482000,0.27708,0.05315,0.01136,0.00606,0.0029,12.31429,1.71852,1.08589,0.18587,0.02078,0.02029,1.82954,3.43123,0.25591,0.00389,0.04796,6.50479,11.68082
"8","2015_Q3",15.7246875,"Down",97171000,-67303000,29868000,-16992000,-10995000,-6140000,-4855000,-4158000,-1839000,12876000,-416000,-414000,-2000,12460000,10121000,-3358000,6763000,6763000,6763000,6763000,6188000,6188000,51676000,51676000,78808000,17648000,10304000,154320000,22436000,121837000,59181000,1231000,144273000,298593000,64322000,44267000,20055000,83596000,65744000,14178000,7026000,79922000,163518000,95841000,39702000,-468000,135075000,135075000,298593000,6763000,2922000,-1735000,-17220000,-9270000,-2969000,-2969000,19290000,-7663000,11250000,-989000,-989000,-27000,-1016000,15798000,68581000,-1033000,0.30738,0.13251,0.0696,0.05007,0.02265,-0.152739999999998,1.84602,1.21057,0.22968,0.18318,0.1788,2.63193,3.65859,-0.0279800000000001,0.03105,-0.00474,3.94942,4.84568
"9","2015_Q4",17.71203125,"Up",106171000,-71385000,34786000,-19310000,-11913000,-5981000,-5932000,-4641000,-2756000,15476000,-240000,-422000,182000,15236000,13581000,-2990000,10591000,10591000,10591000,10591000,5100000,5100000,57137000,57137000,78292000,19621000,11383000,160150000,24644000,120801000,57705000,1063000,145445000,305595000,71818000,49374000,22444000,89813000,57035000,14162000,7010000,71197000,161010000,95515000,50293000,-1223000,144585000,144585000,305595000,10591000,3921000,515000,-2269000,12758000,-3523000,-3523000,-8709000,-356000,-10308000,-1073000,-1073000,-15000,-1088000,19397000,59872000,16595000,0.32764,0.14576,0.09975,0.07325,0.03466,1.5669,1.78315,1.1136,0.19592,0.28631,0.27977,2.87011,3.90855,0.44861,0.04845,0.07591,2.82374,3.53916
"10","2016_Q1",15.3639344262295,"Down",95668000,-67063000,28605000,-18279000,-11389000,-5764000,-5625000,-4800000,-2090000,10326000,-129000,-383000,254000,10197000,9318000,-2488000,6830000,6830000,6830000,6830000,6944000,6944000,43660000,43660000,68202000,13135000,13135000,131941000,26094000,119681000,57653000,114000,145775000,277716000,55306000,32072000,23234000,73970000,45091000,6395000,6395000,51486000,125456000,102897000,57123000,-1953000,152260000,152260000,277716000,6830000,3605000,-889000,7389000,16935000,-2715000,-4364000,-11210000,353000,-10857000,1714000,1714000,130000,1844000,13931000,47881000,21093000,0.299,0.10794,0.07139,0.04486,0.02459,3.08829,1.78371,0.82396,0.17241,0.18463,0.17995,2.58618,4.11603,0.5702,0.03307,0.10213,2.93855,3.96446
