"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",2.63507936507937,"Up",16562842,-11673024,4889818,-2951078,-2951078,1938740,100958,13221,2039698,2112653,-1150000,962653,962653,164166,1126819,1126819,-44931977.9464782,-44931977.9464782,86361554.2457969,86361554.2457969,21922875.0682511,-8939845.12364932,182531.698825239,-2885065.73570589,54412606.2439205,691993.391085864,9555955.03672295,4474814.89220007,273285,10790659.2059408,-5982804.06141796,10247948.4278088,64660554.6717293,45116303.8255235,38909059.3690636,6207244.45645994,3675289.35174729,3675289.35174729,49486315.8739752,50875427.8586135,7057576.90486671,-1426502.08441912,17058014.8376859,-2274475.05040402,20414614.6077294,-6629487.79461359,13785126.8131158,64660554.6717293,1126819,236845,-11507,-6222946,-4870789,566384,1397250.16055055,566384,-405272,-4709677,-4709677,180866,-4528811,2175585,0,-2330977,0.29523,0.11705,0.06803,0.431644670407653,0.36061671284127,-2.06863,-33.9431831808115,2.72456075791659,0.0206491922449617,0.08369,0.08268,1.23012,1.89620235518976,-0.17312,0.426110630107716,-9.02709699661581,235.186295561757,57.6256108783101
"2","2011_Q3",2.0596875,"Down",15582793,-9483025,6099768,-2497214,-2497214,3602554,-93204.0000000005,11081,3509350,3508415,-1105232,2403183,2403183,-371906,2031277,2031277,-15938407.9732391,-15938407.9732391,45457541.1228984,45457541.1228984,10691787.5341256,-3594505.06182466,91542.3494126197,-1115407.36785295,36616415.6219602,582600.195542932,6187166.51836148,3085978.44610004,273285,5418340.60297042,-2590437.53070898,6769766.71390441,43386182.3358646,23935775.9127618,19842001.6845318,4093774.22822997,1568650.17587364,1568650.17587364,25891451.9369876,26594201.9293067,6665051.95243335,-1649783.54220956,15408252.9188429,-1038159.52520201,19385361.8038647,-2593381.39730679,16791980.4065579,43386182.3358646,2031277,287616,585075,1705006,4608974,-114871,792332.580275273,-114871,0,4494103,4494103,-263158,4230945,3890170,0,6585537,0.39144,0.23119,0.13035,0.199787335203827,0.166478356420635,3.24207,-13.4516465904058,1.4197703789583,0.0121395961224809,0.16959,0.16717,1.30097,1.71974117759488,0.54981,0.197165315053858,-4.18808349830791,129.368987780878,36.6830954391551
"3","2011_Q4",1.41761904761905,"Down",9440087,-7167446,2272641,-1557088,-1557088,715553,1697179,11728,2412732,2412732,-1000160,1412572,1412572,109982,1522554,1522554,2029067.67558696,2029067.67558696,20086942.0409661,20086942.0409661,4075594.51137519,-741281.353941553,42173.1164708732,-238016.789284315,25450322.8739867,499730.731847644,4546907.83945383,2415570.14870001,273285,2539385.53432347,-681332.84356966,5046638.57130147,30496961.4452882,11113179.3042539,8343003.89484393,2770175.40940999,442510.058624547,442510.058624547,11769479.9789959,12101331.3097689,6475601.65081112,-1798637.84740319,14268314.306281,-332477.841734004,18612800.2679549,-217170.132435598,18395630.1355193,30496961.4452882,1522554,227978,94355,-2379071,-534184,-45405,274500.860091758,-72060,-1873065,-2479309,-2479309,107979,-2371330,943531,0,-480785,0.24074,0.0758,0.16129,0.0604957784012755,0.0504961188068784,-0.31578,-1.54576219680192,0.642570126319432,0.00755319870749362,0.12805,0.12613,0.7939,1.60276705919829,-0.04043,0.0596851050179527,-1.3921578327693,65.8316892602928,24.6960484797184
"4","2012_Q1",1.61951612903226,"Up",4928774,-3846752,1082022,-1685794,-1685794,-603772,-1314313,10456,-1918085,-336628,-98403,-435031,-435031,299910,-135121,-135121,11357878,11357878,6916020,6916020,934636,374586,24918,41376,19583120,440120,4148019,2275357,273285,1459119,140258,4588139,24171259,4856234,2781651,2074583,15507,15507,5010875,5198979,6434218,-1873065,13527435,-17182,18071406,900874,18972280,24171259,-337273,267772,64140,-2021579,-2026940,-113925,-127304,-214574,202354,-2039160,-2039160,-41266.9999999999,-2080427,-336000,139134,-2373101,0.21953,-0.1225,-0.02741,-0.00712,-0.00559,17.56278,3.90812,0.27403,0.00576,-0.01146,-0.01126,0.41816,1.53319,-0.20134,-0.007,-0.12296,33.38912,18.58109
"5","2012_Q2",1.5015873015873,"Down",3123454,-2564814,558640,-1496590,-1496590,-937950,28368,9355,-909582,-909582,176000,-733582,-733582,280998,-452584,-452584,14435452,14435452,2611038,2611038,129252,507857,30271,17041,17683599,400503,4503340,2477106,273285,1482866,270083,4903843,22587442,3372660,1527528,1845132,6279,6279,3506112,3689308,6485893,-1873065,13074851,47976,17735655,1162479,18898134,22587442,-733582,251899,-134450,3501813,2885680,-29890,-384141,-414031,540767,3012416,3012416,65158,3077574,-686051,127173,2609872,0.17885,-0.30029,-0.1449,-0.02395,-0.02004,-5.7666,5.04365,0.19522,0.00563,-0.03825,-0.0376,0.26398,1.49892,0.22057,-0.02356,0.13587,20.856,15.25484
"6","2012_Q3",1.50460317460317,"Up",3012481,-2548541,463940,-1471455,-544299,-1007515,111,8645,-1007404,-1007695,332658,-675037,-675037,186847,-488190,-488190,14055525,14055525,2182303,2182303,251359,409236,40162,60782,16898423,369507,5153847,2774036,273285,1968577,137949,5523354,22421777,3696022,1819984,1876038,96756,96756,3931912,4144044,6572007,-1873065,12586661,16498,17302101,975632,18277733,22421777,-675037,251263,-171424,726151,130953,-19723,-497765,-517488,38086,-348449,-348449,-31478,-379926.999999999,-756252,139134,-382481.999999999,0.15401,-0.33445,-0.16206,-0.02671,-0.02177,0.783469999999994,4.29776,0.22673,0.00621,-0.04124,-0.04051,0.25448,1.46163,-0.0323100000000001,-0.02621,-0.02053,18.40179,13.81259
"7","2012_Q4",2.22096774193548,"Up",2619330,-2276243,343087,-1459051,-965632,-1115964,-5166,7214,-1121130,-1121130,253000,-868130,-868130,233570,-634560,-634560,12605526,12605526,2296078,2296078,161297,833483,45085,466869,15896384,343867,5612380,2977914,273285,2221577,139604,5956247,21852631,4034040,2028604,2005436,5576.00000000001,5576.00000000001,4178750,4365350,6637552,-1873065,11952101,28632,16745220,742061,17487281,21852631,-868130,275979,-138302,-242308,-972761,-14981,-439235,-489372,0,-1462133,-1462133,12134,-1449999,-839985,139134,-1350274,0.13098,-0.42605,-0.24226,-0.03629,-0.02904,2.12789,3.8041,0.24963,0.00637,-0.0534,-0.05535,0.22044,1.40923,-0.11364,-0.03562,-0.0758,14.84121,11.17096
"8","2013_Q1",1.67533333333333,"Down",15511339,-11648748,3862591,-3058574,-2889149,804017,100693,6246,904710,904710,452133,1356843,1356843,89517,1446360,1446360,9419441,9419441,13072597,13072597,1746877,1809120,106238,403560,26048035,427988,5395328,3515512,273285,1482926,123605,5823316,31871351,12651908,10076221,2575687,1061,1061,12792103,12978083,6694994,-1873065,13398461,20333,18240723,652545,18893268,31871351,1356843,277395,960054,-4877783,-2283491,-807345,-91769,-894295,-1.16415321826935e-10,-3177786,-3177786,-8299,-3186085,1081412,139134,-5055849,0.24902,0.05183,0.09325,0.07655,0.04538,-3.49557,2.03626,0.68692,0.00437,0.12172,0.12172,1.30535,1.53504,-0.42547,0.07526,-0.26307,-8.58166,-11.54243
"9","2013_Q2",1.57296875,"Down",13137078,-9957136,3179942,-1922495,-1212939,1257447,-51545,6503,1205902,1205902,-564000,641902,641902,96682,738584,738584,12853702,12853702,3762290,3762290,1609047,1483945,69143,115480,19708984,555926,5548089,3664911,273285,1482926,126967,6104015,25812999,8476269,5689759,2786510,1094,1094,8616497,8622432,6770260,-4279479,14137045,6878,16634704,555863,17190567,25812999,641902,429716,75266,5415251,6562135,-366240,-340813,-708005,-2406414,3447716,3447716,-13455,3434261,1687163,139134,7300174,0.24206,0.09572,0.05622,0.04296,0.02861,9.88401,2.28735,0.50158,0.00539,0.06242,0.06136,1.11028,1.40588,0.61697,0.0426,0.42111,-7.53606,-10.11141
"10","2013_Q3",1.78703125,"Up",5355369,-4487317,868052,-2134502,-1316036,-1266450,362,4397,-1266088,-1266088,404880,-861208,-861208,144473,-716735,-716735,11857495,11857495,2195686,2195686,659249,1512367,62919,177846,16224797,608073,5670428,3830678,273285,1433348,133117,6278501,22503298,5997578,3845287,2152291,1143,1143,6137855,6137855,6868026,-4279479,13420310,-54804,15954053,411390,16365443,22503298,-861208,341738,179887,-56402,-395984.999999998,-541835,-17817,-561040,22500,-934525,-934525,-61682,-996207,-924712,139134,-1927829,0.16209,-0.23648,-0.13383,-0.0438,-0.03185,2.68974,2.6434,0.37505,0.00618,-0.06933,-0.06798,0.51805,1.54331,-0.18649,-0.04343,-0.11681,12.67244,9.25292
