"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",1.63904761904762,"Down",5499000,-6397000,-2978000,-3214000,-3602000,127000,-562000,689000,-3475000,-1409000,-4884000,-4884000,-4884000,-4884000,-4884000,19448000,19448000,328000,14893000,6577000,1577000,41246000,117457000,26597000,24095000,144054000,185300000,8538000,8538000,32000,32000,8570000,19779000,17305000,47205000,55775000,425120000,-301265000,1779000,125634000,3891000,129525000,185300000,-4884000,618000,2261000,501000,-1504000,0,0,2335000,2335000,0,1523000,19000,19000,256000,275000,-2984000,27426000,-0.65503,-0.88816,-0.03771,-0.02636,4.81284,0.43061,0.14801,-0.06837,-0.06837,0.07698,1.75868,-0.02764,-2.67359,-2.21488
"12","2018_Q1",1.63934426229508,"Up",3908000,-6821000,-4299000,-2522000,-6472000,-377000,-494000,117000,-6849000,-1181000,-8030000,-8030000,-8030000,-8030000,-8030000,19608000,18574000,1253000,16550000,5780000,780000,43191000,116615000,25532000,23030000,142147000,185338000,9863000,9863000,32000,32000,9895000,20722000,18248000,48175000,58070000,430383000,-309287000,2289000,123385000,3883000,127268000,185338000,-8030000,330000,3357000,-526000,-4869000,0,0,4355000,4355000,0,3532000,-1337000,-1337000,235000,-1102000,-6142000,27453000,-1.65609,-2.05476,-0.0631,-0.04333,4.36493,0.45628,0.14812,-0.11028,-0.11028,0.05367,1.6945,-0.04577,-1.27727,-1.21214
"13","2018_Q2",1.97203125,"Up",1254000,-8947000,-4835000,-4112000,-8931000,-429000,-492000,63000,-9360000,-1469000,-10829000,-10829000,-10829000,-10829000,-10829000,6623000,6623000,2233000,16827000,6591000,1591000,32274000,115790000,24733000,22231000,140523000,172797000,8607000,8607000,32000,32000,8639000,18684000,18684000,44497000,53136000,431818000,-317635000,1602000,115785000,3876000,119661000,172797000,-10829000,327000,2333000,-3664000,-11833000,-14000,-14000,1147000,1147000,-914000,-603000,-12450000,-12450000,-56000,-12506000,-8604000,25813000,-7.12201,-8.63557,-0.0905,-0.06267,3.73585,0.44405,0.14938,-0.14398,-0.14398,0.01667,1.5395,-0.06597,-2.23036,-2.1487
"14","2018_Q3",2.9531746031746,"Up",26973000,-7386000,-2500000,-2384000,8917000,23999.9999999998,-475000,499000,8941000,-1797000,7144000,7144000,7144000,7144000,7144000,43239000,43239000,3445000,10272000,7981000,7981000,64937000,114955000,22884000,22884000,137839000,202776000,9656000,9656000,32000,32000,9688000,19014000,19014000,44477000,54165000,453555000,-310486000,1671000,144740000,3871000,148611000,202776000,7144000,2823000,2412000,2466000,14845000,1000,2941000,20906000,20906000,-1.16415321826935e-10,20060000,37846000,37846000,-1208000,36638000,11740000,25463000,0.330590000000002,0.264860000000004,0.04807,0.03523,6.70283,0.36448,0.12557,0.09216,0.08256,0.34798,1.8673,0.037,-1.51414,-1.9935
"15","2018_Q4",3.23015873015873,"Up",451000,-9493000,-3226000,-6267000,-9042000,-3682000,-417000,-3265000,-12724000,-1173000,-13897000,-13897000,-13897000,-13897000,-13897000,41943000,14775000,962000,15238000,1105000,1105000,59248000,114155000,23378000,23378000,137533000,196781000,5516000,5516000,2466000,32000,7982000,19399000,19399000,44046000,52028000,462319000,-324298000,2946000,140967000,3786000,144753000,196781000,-13897000,330000,7306000,3637000,-2624000,-42000,-23002000,4204000,4204000,0,-4103000,-29729000,-29729000,1226000,-28503000,-8712000,24647000,-20.04878,-30.81375,-0.096,-0.07062,7.4227,0.35943,0.12525,-0.15937,-0.15937,0.00517,1.61664,-0.07361,1.98531,1.91285
"16","2019_Q1",3.01131147540984,"Down",3043000,-6041000,-3780000,-2261000,-5842000,37000.0000000005,-338000,375000,-5805000,-1975000,-7780000,-7780000,-7780000,-7780000,-7780000,41701000,14640000,1191000,16550000,1411000,1411000,60853000,113382000,22531000,22531000,135913000,196766000,7921000,7921000,932000,932000,8853000,21558000,18834000,43059000,51912000,469303000,-332058000,3843000,141088000,3766000,144854000,196766000,-7780000,310000,5252000,-5954000,-8172000,-52000,-92000.0000000037,5260000,5260000,1365000,6259000,-2005000,-2005000,-33000,-2038000,-5532000,21501000,-1.91982,-2.55668999999999,-0.05371,-0.03954,6.87372,0.35837,0.10927,-0.08278,-0.09157,0.0323800000000001,1.50123,-0.0414,3.65148,3.45772
"17","2019_Q2",3.0168253968254,"Up",1670000,-9187000,-3761000,-5426000,-8433000,-2012000,-329000,-1683000,-10445000,-1689000,-12134000,-12134000,-12134000,-12134000,-12134000,32764000,15310000,864000,19138000,1257000,1257000,54023000,112556000,23762000,23762000,136318000,190341000,6222000,6222000,545000,545000,6767000,22524000,20301000,47306000,54073000,472987000,-344185000,3707000,132509000,3759000,136268000,190341000,-12134000,314000,4836000,-4569000,-11553000,0,9950000,2511000,2511000,0,2511000,908000,908000,-208000,7e+05,-8119000,24782000,-5.0497,-7.26587,-0.08905,-0.06375,7.9833,0.39681,0.1302,-0.13167,-0.13167,0.01812,1.43793,-0.0661,0.98313,0.94652
"18","2019_Q3",1.99515625,"Down",3071000,-6502000,-3852000,-2650000,-6117000,2190000,-362000,2552000,-3927000,-5387000,-9314000,-9314000,-9314000,-9314000,-9314000,28015000,16581000,850000,18574000,870000,870000,48309000,111732000,23551000,23551000,135283000,183592000,5369000,5369000,340000,340000,5709000,21121000,21121000,43588000,49297000,481053000,-353497000,2936000,130492000,3803000,134295000,183592000,-9314000,311000,5426000,-7862000,-11439000,0,6166000,6488000,6488000,46000,6539000,1266000,1266000,318000,1584000,-5806000,22467000,-1.99186,-3.03289,-0.06935,-0.05073,8.4619,0.36708,0.12237,-0.09916,-0.09916,0.03269,1.38924,-0.05236,0.95556,0.90698
"19","2019_Q4",1.9675,"Down",423000,-6425000,-3246000,-3179000,-6018000,1893000,-419000,2312000,-4125000,-2814000,-6939000,-6939000,-6939000,-6939000,-6939000,22504000,14728000,961000,22492000,1647000,1647000,47604000,110628000,23140000,23140000,133768000,181372000,6218000,6218000,327000,327000,6545000,21529000,21529000,40615000,47160000,487668000,-360337000,3177000,130508000,3704000,134212000,181372000,-6939000,296000,4055000,-9118000,-11706000,0,3414000,5697000,5697000,146000,6565000,-1727000,-1727000,-67000,-1794000,-5722000,19086000,-14.22695,-16.40426,-0.0517,-0.03826,7.27334,0.35138,0.10523,-0.07162,-0.07165,0.00437,1.34708,-0.03969,0.59734,0.56796
"20","2020_Q1",1.40241935483871,"Down",701000,-4103000,-3594000,-509000,-3731000,416000,-381000,797000,-3315000,-6392000,-9707000,-9707000,-9707000,-9707000,-9707000,17648000,12810000,1254000,22808000,1462000,1462000,43172000,109742000,22152000,22152000,132548000,175720000,5438000,5438000,334000,334000,22638000,19684000,19684000,22475000,45113000,493958000,-370036000,2989000,126911000,3696000,130607000,175720000,8693510,-921000,5148892,21681596,34602998,44354.2855854671,-19530000,-14696000,-14696000,-192000,-15615000,-542002,-542002,-44110.0000000001,-586111.999999999,-4652000,19657000,-5.3224,-13.84736,-0.07432,-0.05524,1.90706,0.34541,0.11187,-0.09737,-0.09733,0.00703,1.27298,-0.05712,-0.43186,-0.53846
"21","2020_Q2",1.59079365079365,"Up",393000,-6643000,-4042000,-2601000,-6250000,2142000,-350000,2492000,-4108000,-1556000,-5664000,-5664000,-5664000,-5664000,-5664000,25969000,23537000,1217000,24361000,1957000,1957000,53504000,108934000,22124000,22124000,131424000,184928000,18082000,18082000,323000,323000,18405000,20093000,20093000,21561000,39966000,513692000,-375693000,3141000,141140000,3822000,144962000,184928000,-5664000,299000,2131000,-5090000,-8324000,36867.8406910725,2200000,19095000,19095000,-282000,18572000,12448000,12448000,-1676000,10772000,-5951000,1468000,-15.90331,-14.41221,-0.03907,-0.03063,2.90704,0.2757,0.00794,-0.05263,-0.05263,0.00365,1.31148,-0.03401,4.11712,3.92016
"22","2020_Q3",1.71921875,"Up",395000,-5959000,-3170000,-2789000,-5564000,-1720000,-345000,-1375000,-7284000,-906000,-8190000,-8190000,-8190000,-8190000,-8190000,28317000,26635000,853000,26576000,1274000,1274000,57020000,108281000,22166000,22166000,131105000,188125000,18658000,18658000,319000,319000,18977000,20500000,20500000,23251000,42228000,523196000,-383880000,2762000,142078000,3819000,145897000,188125000,-8190000,805000,2065000,-2186000,-7506000,-152000,851000,8767000,8767000,0,8524000,1869000,1869000,1340000,3209000,-4759000,2751000,-14.08608,-20.73418,-0.05614,-0.04353,3.00469,0.28944,0.01462,-0.06934,-0.06934,0.00334,1.20284,-0.04842,5.37214,4.5949
"23","2020_Q4",2.25359375,"Up",486000,-9218000,-3823000,-5395000,-8732000,410000,-218000,628000,-8322000,-616000,-8938000,-8938000,-8938000,-8938000,-8938000,28122000,26584000,964000,27420000,1903000,1903000,58409000,107838000,22099000,22099000,130503000,188912000,10900000,10900000,2826000,2826000,13726000,20904000,20904000,20904000,34630000,540690000,-392735000,2591000,150546000,3736000,154282000,188912000,-8938000,807000,672000,-1987000,-9446000,-363000,141000,16780000,16780000,0,8961000,-344000,-344000,284000,-60000,-7925000,0,-17.96708,-18.39095,-0.05793,-0.04731,4.25535,0.22446,6.93889390390723e-18,-0.07053,-0.07059,0.00384,1.18797,-0.05102,3.54852,3.22057
"24","2021_Q1",5.11360655737705,"Up",384000,-910000.000000001,-3347000,2437000,-525999.999999999,-4077000,-39000,-4038000,-4603000,-477000,-5080000,-5080000,-5080000,-5080000,-5080000,22415000,20168000,1169000,27575000,1313000,1313000,52472000,107160000,22825000,22825000,130764000,183236000,3321000,3321000,8993000,8993000,12314000,13376000,13376000,13376000,25690000,549317000,-397812000,2308000,153813000,3733000,157546000,183236000,-5080000,790000,-3032000,420000,-6902000,-112000,389000,8239000,8239000,-5.82076609134674e-11,526999.999999998,-5986000,-5986000,159000,-5827000,264000,0,-1.36979,-13.22917,-0.03224,-0.02772,4.26117,0.16306,0,-0.03842,-0.03839,0.0029,1.1634,-0.02972,-84.9053,42.61407
"25","2021_Q2",6.13650793650794,"Up",353000,-8879000,-3373000,-5506000,-8526000,-1710000,-16000,-2047000,-10236000,-321000,-10557000,-10557000,-10557000,-10553000,-10553000,44110000,42703000,1177000,27976000,1933000,1933000,75196000,106996000,22773000,22773000,132023000,207219000,2831000,2831000,1.2e+07,1.2e+07,14831000,13581000,13581000,13581000,28412000,581135000,-408720000,2661000,175076000,3731000,178807000,207219000,-10910000,766000,3241000,-1543000,-8446000,-602000,571000,30617000,30617000,-223000,30394000,22519000,22519000,25000,22544000,-7760000,0,-24.15297,-29.89518,-0.05902,-0.05093,5.07019,0.1589,0,-0.07683,-0.07683,0.00257,1.27461,-0.05485,5.68427999999999,5.17359
"26","2021_Q3",5.6978125,"Down",456000,-8447000,-3812000,-4635000,-7991000,-3346000,-14000,-2435000,-11337000,-351000,-11688000,-11688000,-11688000,-11683000,-11683000,79438000,79016000,1132000,29210000,1490000,1490000,111270000,106358000,22724000,22724000,130910000,242180000,3161000,3161000,9336000,9336000,12497000,13852000,13852000,13852000,26349000,629618000,-419504000,1764000,211878000,3953000,215831000,242180000,-10791000,793000,2457000,-511000,-8052000,-155000,1226000,37945000,37945000,3824000,41769000,34943000,34943000,1384000,36327000,-7198000,0,-17.52412,-25.62061,-0.05413,-0.04824,8.90374,0.12208,0,-0.08506,-0.07799,0.00332,1.54254,-0.05087,11.03612,9.94093
"27","2021_Q4",8.45640625,"Up",715000,-8018000,-2973000,-5045000,-8031000,424000,-20715.0659691819,424000,-7607000,-350000,-7957000,-7957000,-7957000,-7957000,-7957000,100773000,100238000,4358000,29248000,1989000,1989000,136368000,105750000,22113000,22113000,130915000,267283000,2887000,2887000,688000,688000,3575000,13877000,13877000,13877000,17452000,670861000,-427374000,2478000,245965000,3866000,249831000,267283000,-7957000,804000,2460000,-792000,-5485000,-196000,-196000,25278000,25278000,2548000,27826000,22145000,22145000,-1470000,20675000,-7227000,0,-11.23217,-11.12867,-0.03185,-0.02977,38.1449,0.06986,0,-0.05312,-0.05312,0.00477,1.64203,-0.03017,13.94396,12.548
"28","2022_Q1",7.79612903225806,"Down",1660000,-10167000,-5141000,-5026000,-9593000,5772000,-24000,5252000,-3821000,35471000,31650000,31650000,31650000,31641000,31641000,113011000,112517000,3954000,30772000,1568000,1568000,149305000,105522000,22081000,22081000,166141000,315446000,5764000,5764000,351000,351000,6115000,13805000,13805000,13805000,19920000,685903000,-396271000,1943000,291575000,3951000,295526000,315446000,31106000,826000,-39504000,261000,-7311000,1585000,1585000,14743000,14743000,3208000,17951000,12225000,12225000,65999.9999999995,12291000,-8767000,-3.63797880709171e-12,-5.77892,19.06084,0.10707,0.10031,24.41619,0.06741,0,0.21123,0.21123,0.01108,1.94652,0.10229,12.8905,11.78057
"29","2022_Q2",7.07838709677419,"Down",2937000,-9864000,-5216000,-4648000,-9819000,-2751000,-9000,-4508000,-12570000,-394000,-12964000,-12964000,-12964000,-12962000,-12962000,105780000,105169000,3672000,29709000,2454000,2454000,141615000,104924000,23928000,23928000,164488000,306103000,4451000,4451000,553000,553000,5004000,14016000,14016000,14016000,19020000,690424000,-4.11e+08,3709000,283133000,3950000,287083000,306103000,-14730000,813000,5926000,-2557000,-10548000,-398000,-398000,4482000,4482000,-892000,3590000,-7356000,-7356000,19000,-7337000,-9006000,0,-3.34321,-4.41335,-0.04515,-0.04235,28.30036,0.06625,0,-0.08653,-0.08653,0.01961,1.89016,-0.04305,11.7455,10.77299
"30","2022_Q3",6.393125,"Down",6467000,-12003000,-4703000,-7300000,-6197000,-14840000,-8000,-11344000,-21037000,-509999.999999993,-21547000,-21547000,-21547000,-21543000,-21543000,98158000,86363000,3019000,28565000,8162000,8162000,137904000,105054000,23998000,23998000,150354000,288258000,3284000,3284000,531000,531000,3815000,13927000,13927000,13927000,17742000,695404000,-429054000,221000,266571000,3945000,270516000,288258000,-18059000,866000,12298000,-5915000,-10810000,-307000,-11742000,3799000,3799000,-3000,3796000,-18756000,-18756000,-40000,-18796000,-5331000,0,-0.95825,-3.33122,-0.07964,-0.07474,36.14784,0.06559,0,-0.13755,-0.13755,0.04129,1.70209,-0.07574,18.41268,15.8396
