"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",13.0953125,"Up",51840000,-57306000,-5466000,-2735000,-4536000,1801000,-8201000,-2840000,-2899000,59000,-11041000,-2356000.00000006,-13397000.0000001,-999.999999970198,-13398000,-13398000,-13398000,-13398000,47583000,30984000,8986000,8986000,109570000,5422000,5422000,171561000,404690000,404690000,22947000,22947000,427637000,599198000,29845000,11835000,18010000,1403000,1403000,31248000,23832000,23832000,171672000,202920000,581831000,-185550000,396278000,396278000,599198000,-13398000,9841000,4744999.99999994,309000,1497000,-5757000,6484000,-1419000,-1419000,6562000,6562000,6562000,1640000,147840000,-3807000,-0.10544,-0.1582,-0.25845,-0.03381,-0.02236,0.28415,5.4903,0.51206,0.24673,-1.76664000000001,-1.76664,6.83555,52.25269,-0.501990000000002,-0.02359,61.13232,-12.22497
"27","2016_Q4",14.7973015873016,"Up",43643000,-51267000,-7624000,-6544000,-4731000,-1813000,-14168000,-3630000,-3848000,218000,-17798000,-442000,-18240000,-1000,-18241000,-18241000,-18241000,-18241000,27887000,22979000,17129000,17129000,101898000,9049000,9049000,155963000,399144000,399144000,26420000,26420000,425564000,581527000,30689000,11326000,19363000,971000,971000,46337000,24274000,24274000,156298000,202635000,582683000,-203791000,378892000,378892000,581527000,-18241000,8756000,6537000,-11009000,-13957000,-2481000,7141000,-1189000,-1189000,-8005000,-8005000,-8005000,-5412000,146701000,-18901000,-0.17469,-0.32463,-0.41796,-0.04814,-0.03137,1.03618,3.36584,0.53481,0.25227,-2.40419,-2.40419,5.75221,49.93847,-2.49118,-0.03317,-21.95381,-8.38608
"28","2017_Q1",19.3322580645161,"Up",43337000,-47891000,-4554000,-5226000,-4197000,-1029000,-9780000,-1780000,-2483000,703000,-11560000,-3923000,-15483000,1366000,-14117000,-14117000,-14117000,-14117000,4464000,4464000,10343000,10343000,94355000,14581000,13202000,123743000,388490000,388490000,28668000,28668000,417158000,540901000,23125000,10210000,12915000,995000,995000,24120000,19976000,19976000,153410000,177530000,583729000,-220358000,363371000,363371000,540901000,-14117000,7948000,6052000,-1070000,-1187000,-3636000,1269000,-68000,-15068000,-14986000,-14986000,-14986000,-1832000,133434000,-7904000,-0.10508,-0.22567,-0.32575,-0.03885,-0.0261,0.55989,5.13031,0.48856,0.24669,-1.86221,-1.86221,5.71669,47.93316,-1.04264,-0.02732,-70.39847,-13.18712
"29","2017_Q2",20.9571428571429,"Up",48655000,-51188000,-2533000,-6746000,-4404000,-2342000,-9279000,-4005000,-4418000,413000,-13284000,-389000,-13673000,-5000,-13678000,-13678000,-13678000,-13678000,20770000,20770000,19119000,19119000,86194000,10593000,9209000,136676000,374293000,374293000,28112000,28112000,402405000,539081000,22485000,8981000,13504000,173000,173000,22658000,20365000,20365000,108382000,131040000,642197000,-234156000,408041000,408041000,539081000,-13678000,9323000,7193000,-4547000,-1709000,3130000,3130000,-109000,11359000,12780000,12780000,12780000,44000,88017000,-1368000,-0.05206,-0.19071,-0.28112,-0.03352,-0.02537,0.10001,6.03213,0.32114,0.16327,-1.66821,-1.66821,5.93411,49.76591,-0.16685,-0.02649,1528.34091,-7.24721999999999
"30","2017_Q3",33.7349206349206,"Up",45008000,-40321000,4687000,-5716000,-4656000,-1060000,-1029000,-4244000,-4215000,-28999.9999999999,-5273000,-655000,-5928000,-7000.00000000012,-5935000,-5935000,-5935000,-5935000,6190000,6190000,11476000,11476000,79095000,10350000,8974000,107111000,367550000,367550000,31417000,31417000,398967000,506078000,17017000,5873000,11144000,135000,135000,23152000,20854000,20854000,80162000,103314000,642855000,-240091000,402764000,402764000,506078000,-5935000,8297000,1547000,5784000,9693000,-1135000,-1135000,-148000,-23137000,-14579000,-14579000,-14579000,7268000,65308000,11924000,0.10414,-0.02286,-0.13187,-0.01474,-0.01173,-2.0091,4.62643,0.25651,0.12905,-0.47021,-0.47021,3.56581,31.90939,0.94469,-0.01214,8.13401,-57.4519
"31","2017_Q4",38.9857142857143,"Up",34028000,-28428000,5600000,-5383000,-4623000,-760000,217000,-1863000,-1993000,130000,-1646000,-390000,-2036000,129000,-1907000,-1907000,-1907000,-1907000,1694000,1694000,17866000,17866000,83802000,8176000,8176000,111538000,363287000,363287000,3.3e+07,3.3e+07,396287000,507825000,23562000,8352000,15210000,114000,114000,23676000,21244000,21244000,80648000,104324000,645499000,-241998000,403501000,403501000,507825000,-1907000,8270000,2491000,-6305000,2549000,-2667000,-2667000,-29000,-4378000,-4496000,-4496000,-4496000,8487000,59404000,-614000,0.16457,0.00638,-0.05604,-0.00473,-0.00376,0.32197,4.71102,0.25855,0.11698,-0.15063,-0.15063,2.6878,31.87172,-0.0485,-0.00394,6.79980999999976,265.9447
"32","2018_Q1",38.7,"Down",50224000,-46090000,4134000,-6280000,-5232000,-1048000,-2146000,-1177000,-1060000,-117000,-3323000,-390000,-3713000,2666000,-1047000,-1047000,-1047000,-1047000,1068000,1068000,17777000,17777000,83126000,9513000,6850000,111484000,364542000,364542000,34566000,34566000,399108000,510592000,23494000,11103000,12391000,3993000,3993000,37487000,21578000,21578000,71015000,108502000,645941000,-243851000,402090000,402090000,510592000,-1047000,7319000,5874000,-5986000,6160000,-7182000,-7182000,-3625000,396000,-626000,-626000,-626000,5173000,59437000,-10661000,0.08231,-0.04273,-0.02085,-0.0026,-0.00205,10.18243,2.97394,0.26985,0.11641,-0.08178,-0.08178,3.92312,31.40822,-0.83276,-0.00217,11.28339,-27.19897
"33","2018_Q2",43.6734375,"Up",53195000,-45995000,7200000,-4266000,-3970000,-296000,2934000,-760000,-780000,20000,2174000,-417000,1757000,3013874.08751957,1757000,1757000,1757000,1757000,6085000,6085000,29605000,29605000,75916000,6144000,6144000,117750000,359362000,359362000,34910000,34910000,394272000,512022000,20639000,8262000,12197000,5277000,5277000,35916000,21893000,21893000,71363000,107279000,646837000,-242094000,404743000,404743000,512022000,1757000,8932000,1801000,1414000,13904000,-6436000,-6436000,-62000,-2451000,5017000,5017000,5017000,11866000,59470000,-4837117.54458928,0.13535,0.05516,0.03303,0.00434,0.00343,13.0855948956007,3.27848,0.26505,0.11615,0.13763,0.13436,4.16688,31.7044,-0.375149449574568,0.00361,4.49899,18.1953
"34","2018_Q3",36.5904761904762,"Down",51013000,-43727000,7286000,-7010000,-6190000,-820000,276000,-817000,-877000,60000,-541000.000000001,-417000,-958000,1412104.03504288,-958000,-958000,-958000,-958000,26234000,26234000,21208000,21208000,68354000,6757000,6757000,122553000,353920000,353920000,35511000,35511000,389431000,511984000,17153000,5068000,11913000,8158000,8158000,35311000,22310000,22310000,71814000,107125000,647911000,-243052000,404859000,404859000,511984000,-958000,7977000,1951000,15302000,24272000,-2350000,-2350000,-309000,-1773000,20149000,20149000,20149000,8253000,59504000,6943178.07430426,0.14283,0.00540999999999998,-0.01878,-0.00237,-0.00187,9.09277926860941,3.47067,0.2646,0.11622,-0.0749300000000001,-0.07493,3.98972,31.66397,0.542820941108813,-0.00197,4.03126,120.54348
"35","2018_Q4",34.3238095238095,"Down",36528000,-27568000,8960000,-4306000,-5121000,815000,4654000,-841000,-864000,23000,3813000,-417000,3396000,-45999.9999999972,3350000,3350000,3350000,3350000,37214000,37214000,18289000,18289000,77394000,9244000,9244000,142141000,350211000,350211000,33417000,33417000,383628000,525769000,23730000,7794000,15726000,10267000,10267000,43997000,22727000,22727000,72264000,116261000,649210000,-239702000,409508000,409508000,525769000,3350000,8180000,1203000,2036000,14769000,-3790000,-3790000,0,0,10979000,10979000,10979000,12834000,59537000,11126000,0.24529,0.12741,0.09171,0.00818,0.00637,3.32119,3.2307,0.2839,0.11324,0.26124,0.25593,2.84856,31.93468,0.86764,0.00681,1.73936,4.79652
