"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",502.12109375,"Down",13894000,-11132000,2762000,-18974000,-15089000,-3885000,-16212000,-887000,-887000,-281689.847381313,-17099000,-17099000,-8000,-17107000,-17107000,-17107000,-17107000,139202000,139202000,8260000,8260000,10664000,2124000,2124000,160250000,10655000,2813000,1003000,13468000,173718000,12802000,5849000,6953000,305000,13396000,258000,4941000,240000,5199000,18595000,465818000,-310352000,-343000,155123000,155123000,173718000,-17107000,692000,871000,3463000,-12081000,-689000,2919000,139938000,139938000,133928000,124766000,124766000,-60000,124706000,-15520000,547000,-12738000,0.19879,-1.16683,-1.23125,-0.11028,-0.09848,0.74461,11.96253,0.11987,0.00315,-11.27446,-11.27446,9.15692,102.23468,-8.39505,-0.10651,-0.07931,8.93396,8.55262
"2","2016_Q1",264.627049180328,"Down",19071000,-12731000,6340000,-21154000,-16375000,-4779000,-14814000,41000,41000.0000000002,0,-14773000,-14978000,-12000,-14990000,-14990000,-14990000,-14990000,117185000,117185000,14867000,14867000,11520000,2451000,2451000,146023000,10966000,2380000,632000,13346000,159369000,12529000,4718000,7811000,305000,13129000,183000,4845000,220000,5028000,18157000,467075000,-325342000,-521000,141212000,141212000,159369000,-14990000,728000,1406000,-8095000,-20951000,-977000,-857000,245000,245000,-31000,-21839000,-21839000,-178000,-22017000,-14086000,478000,-23146000,0.33244,-0.77678,-0.78601,-0.10615,-0.09406,1.5441,11.12217,0.12858,0.003,-9.05176,-9.05176,11.51608,85.2713,-13.97678,-0.1023,-0.15796,8.28532,7.87816
"3","2016_Q2",235.09171875,"Down",20250000,-13586000,6664000,-21808000,-17410000,-4398000,-15144000,114000,114000,0,-15030000,-15030000,-4000,-15034000,-15034000,-15034000,-15034000,103522000,76583000,13535000,13535000,11919000,1899000,1899000,130875000,13592000,2314000,629000,15906000,146781000,13223000,5728000,7495000,305000,13829000,105000,4749000,2e+05,4854000,18683000,468844000,-340376000,-370000,128098000,128098000,146781000,-15034000,734000,945000,2086000,-11269000,-3298000,-30237000,825000,825000,753000,-40753000,-40753000,151000,-40602000,-14410000,406000,-15618000,0.32909,-0.74785,-0.74242,-0.11736,-0.10242,1.03885,9.46381,0.14585,0.00277,-9.16853,-9.16853,12.34952,78.12095,-9.52468,-0.11282,-0.11721,7.15586,6.80903
"4","2016_Q3",200.94140625,"Down",19333000,-13333000,6e+06,-20111000,-16134000,-3977000,-14111000,68000,68000,0,-14043000,-14043000,-9000,-14052000,-14052000,-14052000,-14052000,87565000,37813000,13078000,13078000,11977000,1825000,1825000,114445000,13736000,1952000,329000,15688000,130133000,9060000,2222000,6838000,305000,9672000,27000,4639000,167000,4666000,14338000,470867000,-354428000,-644000,115795000,115795000,130133000,-14052000,809000,1501000,-3990000,-15732000,-890000,-23514000,836000,836000,761000.000000002,-38485000,-38485000,-285000,-38770000,-13302000,334000,-18173000,0.31035,-0.72989,-0.72684,-0.12135,-0.10798,1.29327,11.83261,0.12382,0.00257,-8.50298,-8.50298,11.69855,70.06848,-10.99663,-0.11636,-0.15048,6.55774,6.18177
"5","2016_Q4",221.285714285714,"Up",18643000,-12645000,5998000,-18903000,-14804000,-4099000,-12905000,157000,123000,34000,-12748000,-12748000,-14000,-12762000,-12762000,-12762000,-12762000,75820000,34986000,13839000,13839000,11755000,2242000,2242000,103656000,14985000,1890000,329000,16875000,120531000,10638000,4392000,6246000,305000,11200000,0,4562000,166000,4562000,15762000,472778000,-367190000,-819000,104769000,104769000,120531000,-12762000,791000,1641000,491000,-9839000,-2101000,6703000,552000,552000,475000,-2661000,-2661000,-166000,-2827000,-12114000,257000,-13710000,0.32173,-0.69222,-0.68455,-0.12181,-0.10588,1.07428,9.255,0.15045,0.00213,-7.65434,-7.65434,11.18162,62.83791,-8.22293,-0.11645,-0.1251,6.23766,5.85533
"6","2017_Q1",169.16935483871,"Down",21673000,-13628000,8045000,-22029000,-17895000,-4134000,-13984000,-1720000,44000,-1641000,-15704000,-15704000,-36000,-15740000,-15740000,-15740000,-15740000,65499000,37257000,14675000,14675000,11720000,3954000,3954000,95848000,15084000,1878000,379000,16962000,112810000,13966000,5474000,8492000,305000,14271000,-2.3283064365387e-10,4484000,164000,4484000,18755000,476486000,-382930000,499000,94055000,94055000,112810000,-15740000,819000,1886000,743000,-12292000,-872000,11623000,1874000,1874000,1613000,943999.999999996,943999.999999996,1327000,2271000,-13165000,4.65661287307739e-10,-13258000,0.3712,-0.64523,-0.72625,-0.16735,-0.13953,0.84231,6.71628,0.1994,3.46944695195361e-18,-9.34772,-9.34772,12.87122,55.85765,-7.8737,-0.15973,-0.13455,4.97524,4.68385
"7","2017_Q2",120.073492063492,"Down",20455000,-13960000,6495000,-23834000,-19274000,-4560000,-17339000,186000,-204000,390000,-17153000,-17153000,-7000,-17160000,-17160000,-17160000,-17160000,68494000,36392000,13052000,13052000,11383000,2910000,2910000,95839000,15760000,2228000,791000,17988000,113827000,14643000,5768000,8875000,305000,14948000,14718000,4404000,161000,19122000,34070000,480022000,-400401000,136000,79757000,79757000,113827000,-17160000,843000,1410000,3623000,-11284000,-1456000,-5863000,1933000,1933000,16636000,-511000,-511000,-354000,-865000,-16496000,14718000,-14322000,0.31753,-0.84767,-0.83891,-0.21515,-0.15076,0.83462,6.41149,0.42717,0.1293,-10.00589,-10.00589,11.92719,46.50582,-8.35107,-0.17355,-0.14484,3.25994,3.10145
"8","2017_Q3",99.0238095238095,"Down",18484000,-12236000,6248000,-20154000,-15819000,-4335000,-13906000,1872000,-245000,2117000,-12034000,-12034000,-56000,-12090000,-12090000,-12090000,-12090000,71175000,39207000,11868000,11868000,11784000,2592000,2592000,97419000,16493000,2172000,797000,18665000,116084000,13263000,5076000,8187000,305000,13568000,29612000,4618000,451000,34230000,47798000,482576000,-412491000,-1799000,68286000,68286000,116084000,-12090000,905000,1490000,-39000,-9734000,-1576000,-1493000,1105000,1105000,15968000,4741000,4741000,-1926000,2815000,-13001000,29612000,-14560000,0.33802,-0.75233,-0.65408,-0.17705,-0.10415,1.2043,7.18006,0.69997,0.25509,-6.99765,-6.99765,10.69848,39.52371,-8.42728,-0.11793,-0.14203,3.19691,2.98885
"9","2017_Q4",79.9107936507936,"Down",18425000,-11111000,7314000,-20224000,-16143000,-4081000,-12910000,518000,-581000,1099000,-12392000,-12392000,-80000,-12472000,-12472000,-12472000,-12472000,54498000,26547000,12599000,12599000,10577000,2516000,2516000,80190000,16310000,7785000,480000,24095000,104285000,12649000,4335000,8314000,305000,12954000,29640000,4785000,652000,34425000,47379000,484665000,-424963000,-2796000,56906000,56906000,104285000,-12472000,950000,2333000,25000,-9164000,-1082000,-2577000,87000,87000,87000,-11654000,-11654000,-1006000,-12660000,-11960000,29640000,-12937000,0.39696,-0.70068,-0.67691,-0.21917,-0.1196,1.03728,6.19037,0.83258,0.28422,-7.173,-7.173,10.59674,32.72825,-7.44044,-0.13656,-0.14165,2.07843,1.92548
"10","2018_Q1",41.9672131147541,"Down",20751000,-11994000,8757000,-20449000,-16289000,-4160000,-11692000,-147000,-598000,451000,-11839000,-11839000,-19000,-11858000,-11858000,-11858000,-11858000,45228000,18348000,13200000,13200000,9184000,2246000,2246000,69858000,16514000,7426000,485000,23940000,93798000,12611000,4891000,7720000,305000,12916000,29667000,4702000,651000,34369000,47285000,486570000,-436821000,-3236000,46513000,46513000,93798000,-11858000,971000,2252000,961000,-7674000,-1119000,-108000,5999.99999999907,5999.99999999907,6000,-7776000,-7776000,-423000,-8199000,-10721000,29667000,-10860000,0.422,-0.56344,-0.57144,-0.25494,-0.12642,0.91584,5.40864,1.0166,0.31629,-6.76248,-6.76248,11.83405,26.52582,-6.19333,-0.14661,-0.13427,1.45145,1.33091
