"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",6.17857142857143,"Down",27088000,-10090000,16998000,-17289000,-13849000,-3440000,-291000,409000,409000,118000,118000,113000,113000,113000,113000,89489000,85547000,16367000,16367000,15619000,1708000,1559000,149000,123183000,17645000,36814000,15581000,1320000,54459000,177642000,11914000,5037000,6877000,17534000,4281000,1311000,4281000,21815000,345718000,-178232000,-11659000,155827000,155827000,177642000,113000,1409000,1409000,-9522000,-6591000,-437000,602000,-651000,121000,-772000,-651000,-6640000,-6640000,-680000,-7320000,1118000,0,0.62751,-0.01074,0.00417,0.00073,0.00064,7.02538,0.13999,0,0.00201,0.00198,0.48077,2.76569,4,0.00071,-80.04383,307.52234
"22","2015_Q3",5.2184375,"Down",30388000,-9692000,20696000,-17975000,-14979000,-2996000,2721000,-95000.0000000001,-95000,2626000,2626000,1968000,1968000,1968000,1968000,91408000,83403000,16364000,16364000,15654000,1837000,1598000,239000,125263000,17888000,36926000,15105000,1599000,54814000,180077000,13693000,4729000,8964000,15603000,4622000,1258000,4622000,20225000,347143000,-176265000,-11026000,159852000,159852000,180077000,1968000,1440000,2231000,-2469000,3170000,-708000,-4708000,-108000,3000,-111000,-108000,-1646000,-1646000,-498000,-2144000,4161000,0,0.68106,0.08954,0.06476,0.01231,0.01093,8.02814,0.12652,-1.32348898008484e-23,0.03486,0.03503,0.53829,2.83159,6,0.01197,-21.9678,-33.59353
"23","2015_Q4",5.71265625,"Up",29861000,-9192000,20669000,-19133000,-16608000,-2525000,1536000,81000,81000,1617000,1617000,1470000,1470000,1470000,1470000,108189000,100677000,17089000,17089000,14985000,1559000,1400000,159000,141822000,17800000,34224000,13661000,1589000,52024000,193846000,16271000,6964000,9307000,29695000,4152000,1142000,4152000,33847000,348677000,-174794000,-13884000,159999000,159999000,193846000,1470000,1410000,1551000,14095000,18526000,-740000,-740000,0,1.45519152283669e-11,0,0,17786000,17786000,-512000,17274000,2946000,0,0.69217,0.05144,0.04923,0.00919,0.00758,4.77596,0.21155,0,0.02602,0.02563,0.52865,2.83259,6,0.00896,-36.72403,-70.43555
"24","2016_Q1",6.35868852459016,"Up",32382000,-10452000,21930000,-17838000,-15145000,-2693000,4092000,379000,379000,4471000,4471000,4616000,4616000,4616000,4616000,101319000,94094000,19265000,19265000,13242000,2888000,1533000,1355000,136714000,20083000,32524000,12591000,1683000,52607000,189321000,15499000,5087000,10412000,25234000,4651000,1768000,4651000,29885000,345253000,-170178000,-15639000,159436000,159436000,189321000,4616000,1547000,1349000,-6844000,668000,-1859000,-1859000,-4927000,280000,-5207000,-4927000,-6118000,-6118000,-465000,-6583000,5639000,0,0.67723,0.12637,0.14255,0.02895,0.02438,5.41785,0.18744,8.27180612553028e-25,0.08198,0.08143,0.5751,2.83155,6,0.02813,-17.96755,-24.76026
"25","2016_Q2",7.10703125,"Up",29089000,-8776000,20313000,-17614000,-15248000,-2366000,2699000,-192000,-192000,2507000,2507000,2446000,2446000,2446000,2446000,102247000,94558000,16734000,16734000,12325000,3029000,2071000,958000,134335000,20204000,33940000,12616000,1902000,54144000,188479000,13108000,5287000,7821000,20344000,5120000,2070000,5120000,25464000,343519000,-167732000,-12772000,163015000,163015000,188479000,2446000,1354000,1556000,-612000,4744000,-1593000,-1593000,-3187000,140850.579179879,-3187000,-3187000,-36000,-36000,5e+05,464000,4053000,0,0.69831,0.09278,0.08409,0.015,0.01298,6.60318,0.15621,0,0.04411,0.04362,0.52459,2.9398,7,0.01455,-25.22749,-37.88329
"26","2016_Q3",7.42125,"Up",31359000,-10274000,21085000,-16736000,-13751000,-2985000,4349000,-340000,-340000,4009000,4009000,3836000,3836000,3836000,3836000,113437000,105701000,18436000,18436000,11366000,3136000,1942000,1194000,146375000,20200000,33345000,12020000,1784000,53545000,199920000,12249000,3956000,8293000,26071000,5061000,2018000,5061000,31132000,345093000,-163896000,-12409000,168788000,168788000,199920000,3836000,1384000,1457000,5320000,11997000,-1136000,-1136000,85000,209000,-124000,85000,10946000,10946000,197000,11143000,5733000,6.93889390390723e-18,0.67237,0.13868,0.12233,0.02273,0.01919,5.61448,0.18444,-5.16987882845642e-26,0.06906,0.06825,0.56459,3.03887,4,0.02207,-19.78667,-26.08347
"27","2016_Q4",8.25650793650794,"Up",32251000,-9576000,22675000,-16531000,-13335000,-3196000,6144000,498000,498000,6642000,6642000,6242000,6242000,6242000,6242000,119344000,111726000,15471000,15471000,12070000,3834000,1364000,2470000,150719000,20069000,32770000,11205000,2322000,52839000,203558000,14040000,4422000,9618000,21951000,5125000,2289000,5125000,27076000,347274000,-157654000,-13138000,176482000,176482000,203558000,6242000,1414000,1295000,-512000,8439000,-783000,-783000,685000,685000,0,318000,7974000,7974000,-139000,7835000,7558000,0,0.70308,0.19051,0.19354,0.03537,0.03066,6.86616,0.15342,0,0.11216,0.11042,0.5795,3.17111,8,0.03437,-15.79042,-19.42448
"28","2017_Q1",10.3440322580645,"Up",35499000,-11545000,23954000,-16881000,-15674000,-1207000,7073000,92000,91999.9999999999,7165000,7165000,7196000,7196000,7196000,7196000,119119000,107959000,19827000,19827000,11799000,5696000,1722000,3974000,156441000,20033000,31461000,10337000,2331000,51494000,207935000,15947000,4633000,11314000,17335000,4750000,2304000,4750000,22085000,350528000,-150458000,-14220000,185850000,185850000,207935000,7196000,1535000,1273000,-10586000,-582000.000000002,-841000,-4553000,1629000,1762000,-133000,1629000,-3506000,-3506000,-240000,-3746000,8608000,-4.33680868994202e-19,0.67478,0.19925,0.20271,0.03872,0.03461,9.02457,0.11883,0,0.12893,0.12573,0.63603,3.32987,4,0.03775,-13.83817,-16.84137
"29","2017_Q2",14.3996825396825,"Up",32546000,-12236000,20310000,-16939000,-13969000,-2970000,3371000,467000,467000,3838000,16338000,12441000,12441000,12441000,12441000,139627000,120851000,24005000,24005000,12707000,4196000,1732000,2464000,180535000,20134000,31923000,9779000,3173000,52057000,232592000,16971000,7286000,9685000,18277000,5490000,3160000,5490000,23767000,360612000,-138017000,-13770000,208825000,208825000,232592000,12441000,1419000,1378000,-2619000,12619000,-878000,-8392000,8566000,9417000,-851000,8566000,12793000,12793000,99000,12892000,4790000,0,0.62404,0.10358,0.38226,0.05958,0.05349,9.87772,0.11381,0,0.21854,0.21168,0.57169,3.66817,5,0.05805,-29.14969,-41.42005
"30","2017_Q3",20.115873015873,"Up",40176000,-14699000,25477000,-18590000,-15252000,-3338000,6887000,96000.0000000001,96000,6983000,6983000,5428000,5428000,5428000,5428000,160226000,104872000,26731000,26731000,14548000,4194000,1336000,2858000,205699000,20291000,32361000,9343000,3536000,52652000,258351000,21715000,9623000,12092000,23192000,5747000,3538000,5747000,28939000,373964000,-132589000,-11963000,229412000,229412000,258351000,5428000,1472000,2109000,75999.9999999991,9085000,-689000,-36823000,11239000,11597000,-358000,11239000,-16499000,-16499000,520000,-15979000,8359000,0,0.63413,0.17142,0.13511,0.02366,0.02101,8.86939,0.12614,-2.01948391736579e-28,0.09281,0.08937,0.68692,3.92244,6,0.02308,-19.16808,-23.26499
"31","2017_Q4",18.1142857142857,"Down",42314000,-17670000,24644000,-17325000,-14097000,-3228000,7319000,113000,113000,7432000,7432000,5763000,5763000,5763000,5763000,160142000,76770000,28099000,28099000,16859000,4235000,1189000,3046000,209335000,21496000,33138000,8972000,3909000,72924000,282259000,25437000,9624000,15813000,26623000,6122000,3928000,6122000,32745000,385978000,-126826000,-9638000,249514000,249514000,282259000,5763000,1698000,1055000,141000,8657000,-1895000,-47811000,10363000,10388000,-25000,10363000,-28791000,-28791000,698000,-28093000,9017000,0,0.58241,0.17297,0.1362,0.0231,0.02042,7.86294,0.13124,0,0.09586,0.09266,0.70386,4.15047,5,0.02254,-17.76001,-21.88031
"32","2018_Q1",18.9603278688525,"Up",52028000,-23503000,28525000,-18364000,-14535000,-3829000,10161000,118000,118000,10279000,10279000,7316000,7316000,7316000,7316000,154057000,71029000,42521000,42521000,19343000,5984000,1658000,4326000,221905000,21372000,32234000,8223000,3928000,74296000,296201000,30923000,10228000,20695000,32237000,5883000,3932000,5883000,38120000,387931000,-119510000,-10340000,258081000,258081000,296201000,7316000,1486000,2227000,-13234000,-2205000,-875000,-3326999.99999999,267000,273000,-5999.99999999988,267000,-5265000,-5265000,-476000,-5741000,11647000,0,0.54826,0.1953,0.14062,0.02835,0.0247,6.88355,0.14771,0,0.12059,0.11726,0.8576,4.25406,2,0.02772,-13.22718,-15.1616
"33","2018_Q2",16.8871875,"Down",41987000,-17520000,24467000,-24965000,-20890000,-4075000,-498000,412000,412000,-86000,-86000,-2119000,-2119000,-2119000,-2119000,143488000,64042000,28197000,28197000,20907000,4162000,2213000,1949000,196754000,22975000,31314000,7390000,4340000,89169000,285923000,19387000,9622000,9765000,21186000,6019000,4258000,6019000,27205000,393429000,-121705000,-13006000,258718000,258718000,285923000,-2119000,1868000,7044000,843000,7636000,-1897000,-13769000,-2005000,954000,-2959000,-2005000,-8138000,-8138000,-666000,-8804000,1370000,0,0.58273,-0.01186,-0.05047,-0.00819,-0.00741,9.28698,0.10515,0,-0.03481,-0.03481,0.68984,4.25069,3,-0.008,-104.73577,288.12851
"34","2018_Q3",16.3877777777778,"Down",43625000,-17730000,25895000,-20337000,-16076000,-4261000,5558000,736000,736000,6294000,6294000,4121000,4121000,4121000,4121000,145316000,71047000,31648000,31648000,20599000,4659000,1519000,3140000,202222000,23946000,30366000,6622000,4513000,90140000,292362000,19496000,9659000,9837000,21117000,6074000,4474000,6074000,27191000,397218000,-117583000,-14464000,265171000,265171000,292362000,4121000,1878000,3691000,-3398000,6292000,-2587000,1294000,35000,247000,-212000,34999.9999999998,7621000,7621000,-617000,7004000,7436000,2.11758236813575e-22,0.59358,0.1274,0.09446,0.01554,0.0141,9.57627,0.10254,-1.57772181044202e-30,0.06745,0.0645,0.71398,4.33988,4,0.01519,-19.54223,-26.14538
"35","2018_Q4",13.2946031746032,"Down",45885000,-17340000,28545000,-17688000,-13833000,-3855000,10857000,510000,510000,11367000,11367000,8096000,8096000,8096000,8096000,150338000,78146000,33284000,33284000,19899000,4376000,1356000,3020000,207897000,24395000,30227000,6053000,4606000,96410000,304307000,18314000,8064000,10250000,21420000,6133000,4649000,6133000,27553000,398956000,-109487000,-12715000,276754000,276754000,304307000,8096000,1842000,1149000,-208000,10879000,-1454000,-5017000,473000,483000,-10000,473000,6335000,6335000,742000,7077000,12699000,0,0.6221,0.23661,0.17644,0.02925,0.0266,9.70574,0.09956,0,0.13226,0.1288,0.74962,4.52131,6,0.02862,-11.83857,-13.8471
"36","2019_Q1",11.5880327868852,"Down",50246000,-15540000,34706000,-22194000,-18135000,-4059000,12512000,1629000,1629000,14141000,14141000,10298000,10298000,10298000,10298000,156572000,88438000,34842000,34842000,22888000,5010000,1925000,3085000,219312000,24299000,27208000,5137000,3550000,96259000,315571000,24459000,10598000,13861000,27980000,4213000,3312000,4213000,32193000,401273000,-99189000,-18706000,283378000,283378000,315571000,10298000,863000,2752000,370000,14283000,-406000,65000,-394000,16999.9999999999,-411000,-394000,13954000,13954000,-3662000,10292000,13375000,1.32348898008484e-23,0.69072,0.24901,0.20495,0.03634,0.03263,7.83817,0.1136,0,0.16807,0.16474,0.82006,4.62499,6,0.03581,-11.70632,-12.51375
"37","2019_Q2",9.20380952380952,"Down",30122000,-12042000,18080000,-20596000,-16225000,-4371000,-2516000,524000,524000,-1992000,-3287000,-3258000,-3258000,-3258000,-3258000,146990000,69516000,24909000,24909000,26213000,7226000,2552000,4674000,205338000,25970000,51032000,12929000,5274000,113587000,318925000,18322000,10638000,7684000,27308000,11110000,9836000,11110000,38418000,398931000,-102447000,-15977000,280507000,280507000,318925000,-3258000,1726000,2723000,-663000,528000,-2628000,-16214000,-3573000,22000,-3595000,-4332000,-20018000,-20018000,1096000,-18922000,-790000,0,0.60023,-0.08353,-0.10816,-0.01161,-0.01022,7.51933,0.13696,0,-0.05295,-0.05295,0.48954,4.55879,3,-0.01117,186.06329,58.4221
"38","2019_Q3",7.81890625,"Down",38826000,-13808000,25018000,-19484000,-14949000,-4535000,5534000,524000,524000,6058000,5809000,4398000,4398000,4398000,4398000,147013000,72567000,29390000,29390000,25670000,7185000,2128000,5057000,209258000,27793000,50859000,12472000,5422000,118207000,327465000,19594000,10956000,8638000,29951000,9293000,8383000,9293000,39244000,399585000,-98049000,-13315000,288221000,288221000,327465000,4398000,1884000,720000,-2869000,4133000,-2885000,-2209000,38000,147000,-109000,-51000,1873000.00000001,1873000.00000001,1178000,3051000,7418000,0,0.64436,0.14253,0.11327,0.01526,0.01343,6.98668,0.13616,0,0.07127,0.06998,0.62916,4.6705,4,0.01478,-19.81841,-26.56541
"39","2019_Q4",8.08171875,"Up",35989000,-14343000,21646000,-21130000,-16511000,-4619000,516000,1195000,1195000,1711000,14247000,13078000,13078000,13078000,13078000,163680000,85465000,27764000,27764000,25040000,6796000,1830000,4966000,223280000,29045000,49333000,11577000,5247000,115941000,339221000,20757000,9783000,10974000,28936000,8920000,7842000,8920000,37856000,401014000,-84971000,-14678000,301365000,301365000,339221000,13078000,1922000,-8920000,97000,6177000,-2448000,8523000,-7000,0,-7000,-136000,14564000,14564000,-1666000,12898000,2438000,0,0.60146,0.01434,0.36339,0.0434,0.03855,7.71634,0.12562,0,0.21187,0.21048,0.58304,4.8823,4,0.04215,-67.137,-317.2093
"40","2020_Q1",7.15370967741935,"Down",49668000,-19829000,29839000,-25575000,-19471000,-6104000,4264000,477000,477000,4741000,4562000,2438000,2438000,2438000,2438000,156338000,75715000,36948000,36948000,23155000,8109000,2433000,5676000,224550000,30339000,60986000,14674000,5115000,124745000,349295000,23855000,9567000,14288000,32713000,9437000,8538000,9437000,42150000,401814000,-82533000,-12136000,307145000,307145000,349295000,2438000,1807000,190999.999999998,-5470000,-1034000,-1353000,-9897000,25999.9999999991,26999.9999999981,-1000.00000000012,-163000,-11094000,-11094000,1344000,-9750000,6071000,-1.03397576569128e-25,0.60077,0.08585,0.04909,0.00794,0.00698,6.86424,0.13723,0,0.03937,0.03937,0.80204,4.95979,2,0.0077,-25.75161,-36.66463
"41","2020_Q2",12.9885714285714,"Up",31596000,-15465000,16131000,-23067000,-17423000,-5644000,-6936000,1430000,1430000,-5506000,-6616000,-7328000,-7328000,-7328000,-7328000,166100000,83365000,27861000,27861000,22694000,6790000,2912000,3878000,223445000,31829000,59728000,15746000,4773000,101627000,325072000,19220000,6881000,12339000,26339000,8581000,7821000,8581000,34920000,401812000,-89861000,-21799000,290152000,290152000,325072000,-7328000,2165000,1773000,5889000,2499000,-4845000,14147000,-1378000,30000,-1408000,-4557000,12089000,12089000,-4439000,7650000,-4771000,0,0.51054,-0.21952,-0.23193,-0.02526,-0.02254,8.48343,0.12035,0,-0.11833,-0.11833,0.51021,4.68539,3,-0.02453,34.8145,23.94752
"42","2020_Q3",13.66453125,"Up",29259000,-11995000,17264000,-27325000,-20401000,-6924000,-10061000,216000,216000,-9845000,-9185000,-10494000,-10494000,-10494000,-10494000,256540000,173874000,25918000,25918000,27707000,7799000,2745000,5054000,317964000,33763000,59878000,15221000,4475000,102863000,420827000,23463000,9057000,14406000,30588000,8482000,7770000,8482000,39070000,499394000,-100355000,-17282000,381757000,381757000,420827000,-10494000,2329000,3598000,-116000.000000002,-4683000,-3442000,-1001000,94910000,95566000,-656000,94731000,89047000,89047000,1462000,90509000,-7732000,0,0.59004,-0.34386,-0.35866,-0.02749,-0.02494,10.39506,0.10234,0,-0.16209,-0.16209,0.45193,5.8965,2,-0.02689,33.179,25.49846
"43","2020_Q4",13.11921875,"Down",48011000,-17722000,30289000,-25964000,-17957000,-8007000,4325000,314000,314000,4639000,4699000,1040000,1040000,1040000,1040000,235820000,162859000,30638000,30638000,30488000,6031000,2527000,3504000,302977000,39056000,66536000,18111000,4263000,133433000,436410000,29524000,14377000,15147000,37227000,11291000,10542000,11291000,48518000,502802000,-99315000,-15595000,387892000,387892000,436410000,1040000,2386000,1103000,-149000,4380000,-5197000,-17062000,1543000,1555000,-12000,1376000,-11306000,-11306000,290999.999999998,-11015000,6711000,0,0.63088,0.09008,0.02166,0.00268,0.00238,8.13864,0.12508,0,0.01453,0.01453,0.6706,5.41794,6,0.00261,-35.13932,-54.52486
