"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2017_Q2",19.3806349206349,"Up",238750000,-88168000,150582000,-137292000,-58266000,-67577000,13290000,-68798000,-68572000,-226000,-55508000,-1204000,-56712000,-56712000,-42391000,-42391000,-42391000,192450000,192450000,144169000,144169000,336619000,8926716000,9780115000,-853399000,324826000,324826000,9251542000,9588161000,101347000,101347000,5714391000,26589000,26589000,5842327000,87792000,87792000,5930119000,3670282000,-25512000,13272000,3658042000,3658042000,9588161000,-42391000,67577000,48896000,1992000,76074000,27914000,484000,28398000,-1852056000,-26913000,-188064000,-83592000,-83592000,-83592000,80867000,5714391000,0.63071,0.05566,-0.17755,0.05762,1.62112,0.59598,-0.13602,-0.13602,0.76608
"2","2017_Q3",20.008253968254,"Up",242216000,-92840000,149376000,-95076000,-18426000,-67515000,54300000,-58227000,-57358000,-869000,-3927000,-706000,-4633000.00000001,-4633000.00000001,5529000,5528999.99999999,5529000.00000001,158934000,158934000,138264000,138264000,297198000,8915560000,9833521000,-917961000,306568000,306568000,9222128000,9519326000,110919000,110919000,5645195000,30460000,30460000,5786574000,88781000,88780999.9999999,5875355000,3678198000,-38799000,4572000,3643971000,3643971000,9519326000,5529000.00000001,67515000,5788000,14952000,93784000,-18960000,30521000,-40359000,-56121000,-17909000,-92846000,-39421000,-39421000,-39421000,121815000,5645195000,0.61671,0.22418,0.02283,0.05136,1.61235,0.59302,0.01773,0.01771,0.7769
"3","2017_Q4",20.984126984127,"Up",243536000,-93267000,150269000,-105780000,-27462000,-67466000,44489000,-56183000,-56796000,613000,-11694000,-14572000,-26266000,-26266000,-22510000,-22510000,-22510000,134441000,134441000,153781000,153781000,288222000,8921243000,9903706000,-982463000,315059000,315059000,9236302000,9524524000,160674000,160674000,5644275000,28586000,28586000,5833535000,88976000,88976000,5922511000,3680296000,-86450000,8167000,3602013000,3602013000,9524524000,-22510000,67466000,14183000,41440000,100579000,-68714000,-2235000,-70949000,-3610000,-9906000,-38606000,-8976000,-8976000,-8976000,111955000,5644275000,0.61703,0.18268,-0.09243,0.04941,1.64422,0.5926,-0.07224,-0.07236,0.78157
"4","2018_Q1",20.193606557377,"Down",329954000,-117220000,212734000,-182513000,-63585000,-107020000,30221000,-74721000,-74244000,-477000,-44500000,-7611000,-52111000,-52111000,-46454000,-45965000,-45965000,179878000,179878000,236684000,236684000,416562000,17312264000,18387898000,-1075634000,954812000,696605000,18267076000,18683638000,193413000,193413000,9068126000,41999000,41999000,9303538000,146689000,730225000,10033763000,8607795000,-157595000,47885000,8498085000,8649875000,18683638000,-46454000,107020000,19380000,-87413000,-7467000.00000001,-63840000,51189000,147603000,35641000,-23499000,-11796000,128340000,128340000,128340000,137241000,9651662000,0.64474,0.09159,-0.13931,0.04477,1.15999,0.51658,-0.10875,-0.10875,0.78064
"5","2018_Q2",20.6853125,"Up",423669000,-160767000,262902000,-189300000,-27636000,-144500000,73602000,-90563000,-92299000,1736000,-16961000,-6121000,-23082000,-23082000,-17580000,-17269000,-17491000,134893000,134893000,255855000,255855000,390748000,17199979000,18397499000,-1197520000,1105718000,847511000,18305697000,18696445000,199317000,199317000,9103155000,41179000,41179000,9343651000,150202000,715897000,10059548000,8617314000,-232296000,106918000,8491936000,8636897000,18696445000,-17580000,144500000,14785000,-11625000,130080000,-45434000,-10732000,-101998000,23302000,-19766000,-53896000,-25814000,-25814000,-25814000,218102000,9668850000,0.62054,0.17373,-0.04128,0.04182,1.16472,0.51715,-0.03366,-0.03366,0.81528
"6","2018_Q3",21.3814285714286,"Up",432426000,-165423000,267003000,-185434000,-24636000,-146450000,81569000,-95595000,-97226000,1631000,-14026000,-4103000,-18129000,-18129000,-14188000,-13946000,-14155000,166874000,166874000,243048000,243048000,409922000,17122086000,18443432000,-1321346000,1133354000,875147000,18255440000,18665362000,221535000,221535000,9109904000,45410000,45410000,9376849000,152075000,704936000,10081785000,8624507000,-303801000,118954000,8439660000,8583577000,18665362000,-14188000,146450000,19793000,28200000,180255000,-38561000,69072000,-87376000,17289000,-33435000,-73705000,19174000,19174000,19174000,228019000,9662765000,0.61745,0.18863,-0.03273,0.04372,1.17454,0.51768,-0.02719,-0.02719,0.83077
"7","2018_Q4",19.7552380952381,"Down",434251000,-170021000,264230000,-177215000,-21152000,-139371000,87015000,-94234000,-97564000,3330000,-7219000,-3252000,-10471000,-10471000,1041000,1020000,824000,130037000,130037000,253603000,253603000,383640000,16802352000,18226172000,-1423820000,1290656000,1032449000,18093008000,18476648000,275203000,275203000,8899838000,30573000,30573000,9205614000,151305000,706386000,9.912e+09,8629586000,-360344000,151886000,8421128000,8564648000,18476648000,1041000,139371000,17539000,44795000,202746000,-39321000,87661000,48340000,-217708000,-2097000,-277368000,-26282000,-26282000,-26282000,226386000,9454919000,0.60847,0.20038,0.0019,0.04167,1.15732,0.51172,0.00158,0.00158,0.83409
"8","2019_Q1",20.8788524590164,"Up",432616000,-159200000,273416000,-172841000,-25340000,-130220000,100575000,-96245000,-96506000,261000,4330000,-7343000,-3013000,-3013000,25714000,25268000,25078000,144940000,144940000,215051000,215051000,359991000,16686060000,18229974000,-1543914000,1017377000,759170000,17703437000,18063428000,169603000,169603000,8692514000,125829000,125829000,8987946000,148995000,706296000,9694242000,8634668000,-392594000,-12963000,8229111000,8369186000,18063428000,25714000,130220000,363000,-108137000,48160000,174203000,77842000,204027000,-202994000,-15324000,-275836000,-23649000,-23649000,-23649000,230795000,9249815000,0.63201,0.23248,0.05797,0.04005,1.15833,0.51207,0.04816,0.04816,0.83082
"9","2019_Q2",23.7711111111111,"Up",435500000,-160346000,275154000,-175307000,-26538000,-133609000,99847000,-90858000,-93983000,3125000,8989000,-5392000,3597000,3597000,21169000,20822000,20716000,130896000,130896000,220522000,220522000,351418000,16509876000,18172584000,-1662708000,992325000,734118000,17502201000,17853619000,193495000,193495000,8521350000,207159000,207159000,8922004000,150672000,710247000,9632251000,8690308000,-439737000,-110655000,8139916000,8221368000,17853619000,21169000,133609000,9151000,29254000,193183000,47968000,7059000,55027000,-180812000,-8006000,-256783000,-8573000,-8573000,-8573000,233456000,9080925000,0.63181,0.22927,0.04757,0.03939,1.17161,0.50863,0.03973,0.0397,0.83519
"10","2019_Q3",26.395,"Up",441582000,-166574000,275008000,-165008000,-15956000,-133031000,1.1e+08,-95096000,-95706000,610000,14904000,-1671000,13233000,13233000,39405000,38942000,38833000,77046000,77046000,242409000,242409000,319455000,16463527000,18240984000,-1777457000,931171000,672964000,17394698000,17714153000,227983000,227983000,8403135000,331742000,331742000,8962860000,151995000,713825000,9676685000,8692178000,-469129000,-265370000,7957679000,8037468000,17714153000,39405000,133031000,-3462000,13185000,182159000,-46661000,30825000,-15836000,-125107000,-4845000,-198286000,-31963000,-31963000,-31963000,243031000,8964965000,0.62278,0.2491,0.08794,0.03564,1.20395,0.50609,0.07395,0.07375,0.84096
