"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","earnings_per_share_basic","earnings_per_share_diluted"
"1","2012_Q2",81.6063492063492,"Up",-1449130,-901843,-547287,-1329130,-1096711,-1087162,-2425841,-37080582,-37080582,-37080582,-37080582,-37080582,-37080582,16607,33755739,-247390,-3555626,-5537,-43827,13722600,13722600,13612353,10012900,10012900,10012900,-1312523,0,-32.34849,-32.34849
"2","2012_Q3",43.4603174603175,"Down",-1708634,-1056066,-652568,-1449659,1693,1693,-1447966,-35385141,-35385141,-35385141,-35385141,-35385141,-35385141,22121,33975945,-471480,-1858555,-74640,-124640,100000.000000004,100000.000000004,99999.9999999963,-1883195,-1883195,-1883195,-1427538,0,-19.14017,-19.14017
"3","2012_Q4",45.1225806451613,"Up",-4086950,-2981494,-1105456,-3617712,1751,1155,-3615961,38478030,38478030,38478030,38478030,38478030,38478030,78100,-40816050,-39607,-2299527,-175573,-175604,1686400,1686400,1681737,-793394,-793394,-793394,-3539612,704000,17.45053,17.45053
"4","2013_Q1",81.6883333333333,"Up",4091714,3206403,885311,4091501,-977733,-982686,3113768,29604693,29604693,29604693,29604693,29604693,29604693,-48828,-24832634,1076477,5799708,144750,233071,-12966000,-12966000,-13314090,-7281311,-7281311,-7281311,4042673,9999.99999999988,10.85423,10.85423
"5","2013_Q2",80.2696875,"Down",-1709000,-1056000,-653000,-1450000,2000,2000,-1448000,-35385000,-35385000,-35385000,-35385000,-35385000,-35385000,20000,33976000,-472000,-1861000,-72000,-122000,99000,99000,99000,-1884000,-1884000,-1884000,-1430000,0,-16.40106,-16.40106
"6","2013_Q3",112.9375,"Up",-4087000,-2981000,-1106000,-3618000,1999.99999999988,1000.00000000012,-3616000,38478000,38478000,38478000,38478000,38478000,38478000,80000,-40816000,-40000.0000000002,-2298000,-178000,-178000,1687000,1687000,1683000,-793000.000000001,-793000.000000001,-792999.999999999,-3538000,0,17.64459,12.96441
"7","2013_Q4",163.58125,"Up",-3271000,-2141000,-1130000,-2922000,1000,2000,-2921000,-9565000,-9565000,-9565000,-9565000,-9565000,-9565000,78000,7314000,195000,-1978000,-101000,-101000,9223000,9223000,9220000,7141000,7141000,7141000,-2844000,10000,-3.94875,-11.28222
"8","2014_Q1",193.534426229508,"Up",-1449000,-902000,-547000,-1329000,-1097000,-1088000,-2426000,-37081000,-37081000,-37081000,-37081000,-37081000,-37081000,17000,33756200,-248000,-3555800,-6000,-44000,13723000,13723000,13613000,10013200,10013200,10013200,-1312000,10000,-16.39849,-16.39849
"9","2014_Q2",139.663492063492,"Down",-3840000,-2358000,-1482000,-3734000,-10000,-10000,-3744000,-3771000,-3771000,-3771000,-3771000,-3771000,-3771000,93000,913000,102000,-2663000,-163000,-113000,37447964.1079695,37447964.1079695,-3000,-2779000,-2779000,-2779000,-3641000,10000,-1.16399,-1.16399
"10","2014_Q3",151.059375,"Up",-5625000,-4003000,-1622000,-5602000,4000,3999.99999999988,-5598000,-10386000,-10386000,-10386000,-10386000,-10386000,-10386000,97000,6074000,622000,-3593000,-13000,-13000,44116000,44116000,44114000,40508000,40508000,40508000,-5505000,10000,-2.85489,-2.85489
"11","2014_Q4",128.090625,"Down",-4762000,-2379000,-2383000,-4627000,4000,4000,-4623000,-5209000,-5209000,-5209000,-5209000,-5209000,-5209000,98000,1448000,-242000,-3905000,20000,-21000,389000,389000,387000,-3539000,-3539000,-3539000,-4529000,10000,-1.34885,-1.34885
"12","2015_Q1",115.088524590164,"Down",-16641000,-9207000,-7434000,-16334000,33000,33000,-16301000,-10716000,-10716000,-10716000,-10716000,-10716000,-10716000,184000,-1042000,2134000,-9440000,-1361000,-1370000,-21402000,-21402000,-21405000,-32215000,-32215000,-32215000,-16150000,10000,-2.75585,-2.75585
"13","2015_Q2",93.2253968253968,"Down",-8764000,-4622000,-4142000,-8458000,8000,8000,-8450000,-8488000,-8491000,-8491000,-8491000,-8491000,-8491000,135000,1723000,338000,-6295000,-1135000,-1135000,43291000,43291000,43288000,35858000,35858000,35858000,-8323000,11000,-2.17046,-2.17046
"14","2015_Q3",63.290625,"Down",-11585000,-6846000,-4739000,-11284000,17000,17000,-11267000,-11257000,-11257000,-11257000,-11257000,-11257000,-11257000,189000,2152000,290000,-8626000,-436000,-436000,-73000.0000000075,-73000,-74999.9999999925,-9137000,-9137000,-9137000,-11095000,10000,-2.85226,-2.85226
"15","2015_Q4",60.421875,"Down",-10798000,-6212000,-4586000,-10470000,14000,14000,-10456000,-10455000,-10455000,-10455000,-10455000,-10455000,-10455000,236000,3102000,202000,-6915000,-161000,-161000,239000,239000,239000,-6837000,-6837000,-6837000,-10234000,8000,-2.5978,-2.5978
"16","2016_Q1",42.3540983606557,"Down",-8979000,-4438000,-4541000,-8431000,49000,49000,-8382000,-8372000,-8372000,-8372000,-8372000,-8372000,-8372000,255000,1504000,-919000,-7532000,-403000,-403000,1.86264514923096e-09,1.86264514923096e-09,-3.72529029846191e-09,-7935000,-7935000,-7935000,-8176000,0,-2.06885,-2.06885
"17","2016_Q2",55.89375,"Up",-9500000,-5056000,-4444000,-8777000,37000,37000,-8740000,-8745000,-8767000,-8767000,-8767000,-8767000,-8767000,251000,1434000,-1459000,-8541000,-12000,-12000,0,0,0,-8553000,-8553000,-8553000,-8526000,0,-2.11268,-2.11268
"18","2016_Q3",81.5875,"Up",-10461000,-5918000,-4543000,-9479000,37000,37000,-9442000,-9442000,-9442000,-9442000,-9442000,-9442000,-9442000,251000,2093000,730000,-6368000,-440000,-440000,5e+06,5e+06,5e+06,-1808000,-1808000,-1815000,-9228000,2.27373675443232e-13,-2.04405,-2.04405
"19","2016_Q4",66.1428571428571,"Down",-10571000,-5546000,-5025000,-9631000,50000,50000,-9581000,-9580000,-9581000,-9581000,-9581000,-9581000,-9581000,322000,2017000,192000,-7050000,-609000,-657000,25983000,25983000,25983000,18276000,18276000,18273000,-9309000,0,-2.07389,-2.07389
"20","2017_Q1",66.0112903225806,"Down",-11317000,-5784000,-5533000,-10688000,74000,74000,-10614000,-10657000,-10657000,-10657000,-10657000,-10657000,-10657000,325000,1900000,1206000,-7226000,-282000,-282000,263999.999999996,264000,264000.000000007,-7244000,-7244000,-7245000,-10363000,0,-2.30536,-2.30536
"21","2017_Q2",56.0285714285714,"Down",-10889000,-5856000,-5033000,-10200000,98000,98000,-10102000,-10102000,-10102000,-10102000,-10102000,-10102000,-10102000,326000,2052000,-2929000,-10653000,-81000,-81000,2964000,2964000,2957000,-7777000,-7777000,-7777000,-9874000,0,-1.9299,-1.9299
