"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.254375,"Up",13869214,-6108503,7760711,-5683074,-3908451,-1774623,2077637,-39888,2037749,2037749,-853486,1184263,1184263,1184263,1184263,26688501.584205,26688496.7617884,14689660.2164699,14689660.2164699,4996763.82840518,2930081.09567217,818673.019154495,49305006.7247522,36843166.000832,27968468.4211057,19935909.4614177,6731036.29341935,316415.911888819,64811634.4219377,114116641.14669,10247329.0466146,-1579873.30426704,5643451.76523857,14975298.8304639,8015537.8724389,8457987.56505411,-2597941.894927,19615606.0121416,34590904.8426055,61159719.7032364,27881354.947019,-9515338.34617099,79525736.3040844,79525736.3040844,114116641.14669,1184263,794869,601249,724645,3305026,-805417,-805417,0,0,-4e+05,2099609,2099609,17492,2117101,2872506,0,3645220,0.55956,0.1498,0.08539,0.0282917709273196,0.0210607908947589,3.07805,3.53294784242327,0.449870525750315,0.112552471326592,0.09409,0.08758,1.10193,7.27995059648701,0.28962,0.0231418917439639,0.216480626774849,-4.61360818085759,-6.13055795617267
"2","2011_Q1",8.54016129032258,"Up",14721493,-6702674,8018819,-5540609,-4152896,-1387713,2478210,-45525,2432685,2432685,-1081985,1350700,1350700,1350700,1350700,28201932,28201932,14819868,14819868,8949745,4350791,2360182,56322336,36981394,35633138,25764185,9091960,384988,72614532,128936868,15069940,9694355,5375585,19369940,13176782,6216582,1560205,24376782,43746722,61952381,25785541,-2547776,85190146,85190146,128936868,1350700,864651,1372851,180894,3769096,-967261,-967261,3,3,-334563,2467272,2467272,-31263,2436009,3342861,12800000,3638479,0.5447,0.16834,0.09175,0.01586,0.01048,2.69377,2.90772,0.51352,0.09927,0.10677,0.09795,1.16367,6.73394,0.28761,0.01215,0.03273,-4.60741,-6.21494
"3","2011_Q2",7.8747619047619,"Down",11737679,-5604562,6133117,-5576438,-4043774,-1532664,556679,-40921,515758,515758,-191346,324412,324412,324412,324412,27605891.4719317,27605893.0794039,15812688.4278434,15812688.4278434,9925256.72386494,4720095.63477594,2751823.74361517,58063932.2584159,36980242.4997227,38008716.1929648,27555056.6795274,9958399.98552688,398956.362703727,74988958.6926874,133052890.951103,15345010.1511285,11247191.6847557,5388994.49492048,19553227.6398454,13896596.959187,5634263.2283153,2810699.048309,24696574.2459528,44249801.8857982,62518678.3489212,26258137.684327,26273.0320569952,88803089.0653052,88803089.0653052,133052890.951103,324412,920410,900515,-859390,1285947,-76570,-76570,28945,28945,-371055,838322,838322,38556,876878,1477089,0,732475,0.52252,0.04743,0.02764,0.0173444096908935,0.0113064030350804,2.25785,2.90095655252558,0.497393158083228,0.0933125095578028,0.02557,0.0236,0.92504,6.81491313450433,0.05773,0.0132218694186787,-0.0226677089249496,-3.89781977304747,-5.18206651460911
"4","2011_Q3",6.2384375,"Down",16140852,-6655804,9485048,-5807472,-4233316,-1574156,3677576,-45281,3632295,3632295,-1349655,2282640,2282640,2282640,2282640,26829029,26829029,17019792,17019792,9171778,4464838,2474212,57485437,36884701,37022429,26782435,9871977,368017,73907130,131392567,13074177,7587384,5486793,17381704,12476944,6060689,2366260,22876944,40258648,62944240,28392593,-202914.000000001,91133919,91133919,131392567,2282640,1020417,1048152,-5747655,-1396446,-579214,-579214,122822,122822,-277178,-2252838,-2252838,3057,-2249781,4697993,1.2e+07,-279221,0.58764,0.22784,0.14142,0.02505,0.01737,-0.12232,3.30724,0.44175,0.09133,0.17938,0.16613,1.26841,7.16168,-0.02194,0.01974,-0.00242000000000001,-3.15646,-4.03228
"5","2011_Q4",7.49507936507937,"Up",18455817,-7394922,11060895,-6243533,-4712178,-1531355,4817362,-46269,4771093,4771093,-1794575,2976518,2976518,2976518,2976518,29048664,29048664,17726945,17726945,7874307,3997628,2007002,58647544,36694561,34437946,24810059,9327955,299932,71132507,129780051,10697980,3836750,5537188,15138673,11788342,6859293,1554054,21788342,36927015,63262970,31369111,-1779045,92853036,92853036,129780051,2976518,1002468,711528,-1714202,2976312,-298168,-298168,3,3,-399997,2278147,2278147,-58512,2219635,5819830,11600000,5602035,0.59932,0.26102,0.16128,0.03206,0.02294,1.88208,3.87402,0.39769,0.08938,0.23222,0.21623,1.43985,7.24401,0.43705,0.02561,0.04819,-2.99814,-3.62204
"6","2012_Q1",10.7333870967742,"Up",18444287,-7128450,11315837,-6400052,-4869290,-1530762,4915785,-49917,4865868,4865868,-1982758,2883110,2883110,2883110,2883110,35777222,35777222,17307786,17307786,7302483,3750053,1831127,64137544,36469878,32237012,23148563,8883407,205042,68706890,132844434,10071756,4299680,5321594,14538423,13943233,7375141,1548652,23543233,38081656,63577738,34252221,-3067181,94762778,94762778,132844434,2883110,1059096,2553790,1359705,7855701,-446396,-446396,8700,8700,-665490,6743815,6743815,-15257,6728558,5974881,11200000,8870948,0.61351,0.26652,0.15631,0.03042,0.0217,3.07687,4.41159,0.40186,0.08431,0.20558,0.20982,1.31517,6.75706,0.63254,0.02404,0.07398,-4.11342,-4.99965
"7","2012_Q2",14.3193650793651,"Up",14360660,-6413481,7947179,-4884119,-3351016,-1533103,3063060,-51203,3011857,3011857,-1099738,1912119,1912119,1912119,1912119,34003178,34003178,17002797,17002797,9080323,3866320,1947394,63952618,36673599,32602290,23300273,9150273,151744,69275889,133228507,8413553,3880840,4297387,12880220,12887687,7028515,1556399,22087687,34967907,64406980,36164340,-2310720,98260600,98260600,133228507,1912119,986913,-106214,-4482467,-1689649,-224059,-224059,114656,114656,108732,-1804976,-1804976,30932,-1774044,4049973,10800000,443185,0.5534,0.2133,0.13315,0.01946,0.01435,0.23178,4.96518,0.35587,0.08106,0.14527,0.13571,1.091,7.46501,0.03367,0.01568,0.00363,-5.72922,-7.57516
"8","2012_Q3",14.2073015873016,"Down",19624769,-8084226,11540543,-5406673,-4108503,-1298170,6133870,-49129,6084741,6084741,-2347873,3736868,3736868,3736868,3736868,37909608,37909608,17694097,17694097,10776788,3218522,1299596,69599015,36421107,30355477,21506474,8627518,221485,66776584,136375599,10747396,3941436,4275574,15214063,11613083,6491837,1535140,20413083,35627146,64758169,39901208,-3910924,100748453,100748453,136375599,3736868,1195216,652651,-360297,5224438,-921434,-921434,32377,32377,-361374,3941630,3941630,-35200,3906430,7329086,10400000,8395228,0.58806,0.31256,0.19042,0.03709,0.0274,2.24659,4.57465,0.35362,0.07626,0.28177,0.25872,1.47977,7.59676,0.63303,0.03044,0.06839,-3.75348,-4.48487
"9","2012_Q4",11.5256451612903,"Down",14766611,-7221028,7545583,-4818823,-3601737,-1217086,2726760,-45161,2681599,2681599,-1036349,1645250,1645250,1645250,1645250,39855856,39855856,16343600,16343600,8932492,3270329,1351403,68402277,35937469,30532390,21464089,8818920,249381,66469859,134872136,7688260,1907564,4389002,12154927,10843786,6435148,1539198,19243786,31398713,65280177,41546458,-3353212,103473423,103473423,134872136,1645250,1182303,737523,-449977,3115099,-146994,-146994,184606,184606,-1072515,1895590,1895590,50658,1946248,3909063,1e+07,4348441,0.51099,0.18466,0.11142,0.0159,0.0122,2.64303,5.62753,0.30345,0.07414,0.12382,0.11379,1.11132,7.7873,0.32726,0.01323,0.03498,-7.6376,-10.94921
"10","2013_Q1",11.7991666666667,"Up",22606465,-7269886,15336579,-5007083,-3667406,-1339677,10329496,-42284,10287212,7749224,-3286001,4463223,4463223,4463223,4463223,44067477,44067477,21462481,21462481,8283472,3571060,1539477,77384490,35112981,29571580,20334636,9065891,171053,64684561,142069051,9977551,2341838,5837044,14452618,10691299,6997397,1541124,18691299,33143917,65570083,46009681,-2654630,108925134,108925134,142069051,4463223,1160815,2455061,-4180310,3898789,-212220,-212220,57036,57036,566303,4252872,4252872,-41251,4211621,11490311,9600000,10383782,0.67842,0.45693,0.19743,0.04098,0.03142,2.32652,5.35436,0.30428,0.06757,0.33481,0.31026,1.69583,8.17103,0.77894,0.03454,0.08036,-2.9997,-3.3368
