"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",52.5846031746032,"Up",243487000,-58613000,184874000,-145280000,-4342000,-90013000,-50925000,39594000,-30516000,-30676000,160000,9078000,1035000,10113000,-270000,-24000,9819000,15714000,-848000,14866000,14866000,333330179.595361,333330179.595361,333330179.595361,6915992463.68974,11166594970.0068,-4250602506.31705,683312245.93158,700354925.541924,7599304709.62132,7932634889.21668,1036538832.92852,888492225.916858,4681875748.86617,4274839428.67158,-1337795299.54,-1438209018.13693,2836630410.53465,3655026617.49803,1178042882.39741,4833069532.02552,262934946.656507,5096004478.68203,7932634889.21668,15714000,91469000,-13667000,2545000,96061000,15067000,93127000,-78060000,-78060000,13260000,28327000,-57747000,-35578000,-145000,-91753000,32635000,32635000,32635000,131063000,0,148945000,0.75928,0.16261,0.06105,0.625777163444107,0.294143715633567,10.01917,0.176312335567018,0.145965959045637,0.406679137854157,0.13109,0.13076,2.14702,42.616983849304,1.31337,0.5092,0.29959605979991,-0.117701655972842,3.8845,27.5926803428581,43.9006685122537
"2","2014_Q3",53.4846875,"Up",246052000,-60433000,185619000,-127424000,-5212000,-69631000,-52581000,58195000,-29283000,-30163000,880000,28912000,2546000,31458000,-523000,2919000,33854000,33386000,-1773000,31613000,31613000,167278589.797681,167278589.797681,167278589.797681,6802145231.84487,9491680985.00339,-2689535753.15852,353200622.96579,359133462.770962,7155345854.81066,7322624444.60834,598690416.464259,530610112.958429,3045885374.43309,2999350214.33579,423290350.230001,393168990.931534,3392519205.26732,3638837308.74901,86310941.1987045,3725148266.01276,204956973.328254,3930105239.34102,7322624444.60834,33386000,70630000,-21655000,9938000,92299000,-136335000,32513000,-168848000,-168848000,-18461000,-154796000,-57825000,19623000,-3250000,-33386000,-95883000,-95883000,-95883000,128825000,0,2951000,0.75439,0.23652,0.12848,0.261928581722054,0.123156857816783,0.0933499999999992,0.0884061677835089,0.775127979522818,0.470924568927079,0.27876,0.27807,2.16964,32.847586924652,0.026019999999999,0.50989,0.129963029899955,-0.0798808279864209,1.82915,26.273375171429,44.1508542561268
"3","2014_Q4",54.14375,"Up",249574000,-63331000,186243000,-122873000,-6511000,-70222000,-46140000,63370000,-28214000,-28251000,37000,35156000,32989000,68145000,-442000,3124000,70827000,70719000,-3743000,66976000,66976000,70677529.9325602,70677529.9325602,70677529.9325602,6732507077.28162,8511346661.6678,-1778839584.38617,171030874.32193,170985154.256987,6903537951.60355,6974215481.53611,344179472.154753,319150370.986143,2071860124.81103,2221137738.11193,1445460783.41,1453811330.31051,3674949068.42244,3629502769.583,-503712686.267099,3125790088.67092,173476324.442751,3299266413.11367,6974215481.53611,70719000,71213000,-46685000,13733000,108980000,55759000,116051000,-60292000,-60292000,15576000,71335000,-57953000,-61802000,-761000,-118111000,62204000,62204000,62204000,134583000,0,204517000,0.74624,0.25391,0.26836,0.0745128605740178,0.0349522859389278,3.05359,0.0374953892611696,1.10936932650761,0.504164856309026,0.59058,0.58913,2.20069,27.5625823082173,1.80339,0.51102,0.0429510099666516,-0.0420202759954736,0.86528,25.391505057143,45.9813780853756
"4","2015_Q1",58.82,"Up",253219000,-59192000,194027000,-121801000,-4844000,-71946000,-45011000,72226000,-35170000,-34863000,-307000,37056000,215000,37271000,-815000,-10000,36446000,36458000,-1933000,34525000,34525000,26653000,26653000,26653000,6697508000,8055908000,-1358400000,97617000,95296000,6795125000,6821778000,227439000,219044000,1589641000,1817080000,1923058000,1946976000,3764056000,3625933000,-729498000,2896435000,161287000,3057722000,6821778000,36458000,68432000,1912000,-18764000,88038000,-179103000,12947000,-192050000,-192050000,30473000,-148630000,-57923000,57081000,-836000,-1044000.00000001,-61636000,-61636000,-61636000,140658000,3512699000,-56394000,0.76624,0.28523,0.13634,0.01129,0.00506,-1.63343,0.01467,1.231,0.51492,0.30443,0.30368,2.23283,25.54018,-0.49727,0.51075,0.01402,-0.00855,1.67771,24.78384,48.2658
"5","2015_Q2",58.5404761904762,"Down",258552000,-59808000,198744000,-129351000,-6567000,-73112000,-49672000,69393000,-31058000,-30848000,-210000,38335000,26833000,65168000,-510000,19000,64677000,64677000,-3410000,61267000,61267000,18331000,18331000,18331000,6687578000,7955681000,-1268103000,93773000,91452000,6781351000,6799682000,202902000,195222000,1429069000,1664055000,2050424000,2075921000,3739976000,3627038000,-728515000,2898523000,161183000,3059706000,6799682000,64677000,73117000,-23352000,-11583000,102859000,-25751000,52770000,-78521000,-78521000,-6425000,-32176000,-61063000,-13587000,-172000,-75751000,-5068000,-5068000,-5068000,142510000,3479493000,105686000,0.76868,0.26839,0.23696,0.02002,0.00901,1.72501,0.01102,1.22233,0.51171,0.54024,0.53891,2.27986,25.55859,0.93192,0.53844,0.01863,0.0161,0.99667,24.28715,49.87768
"6","2015_Q3",61.74609375,"Up",258891000,-60933000,197958000,-129122000,-6657000,-74396000,-48069000,68836000,-30403000,-30433000,29999.9999999999,38433000,105860000,144293000,-397000,-23000,143873000,143873000,-7574000,136299000,136299000,30030000,30030000,30030000,6683457000,8022183000,-1338726000,129926000,128319000,6813383000,6843413000,227018000,215134000,1413793000,1642027000,2028451000,2052803000,3694830000,3629375000,-646461000,2982914000,165669000,3148583000,6843413000,143873000,74648000,-115244000,20394000,123671000,23569000,186079000,-162510000,-162510000,-20544000,3024999.99999999,-61106000,-57727000,-6000,-118251000,8444999.99999999,8444999.99999999,8444999.99999999,143484000,3442244000,187844000,0.76464,0.26589,0.52647,0.04329,0.01992,1.37818,0.01829,1.17349,0.503,1.20186,1.1989,2.28285,26.30273,1.65637,0.53882,0.02984,0.0284,0.44832,23.78115,49.5702
"7","2015_Q4",68.62484375,"Up",261998000,-62961000,199037000,-125898000,-5879000,-73098000,-46921000,73139000,-30409000,-30230000,-179000,42730000,54611000,97341000,-512000,-1000,96828000,96828000,-5094000,91734000,91734000,44876000,44876000,44876000,6675575000,8085730000,-1410155000,166890000,165283000,6842465000,6887341000,254220000,243711000,1373654000,1627874000,2051481000,2080880000,3708754000,3631854000,-620806000,3011048000,167539000,3178587000,6887341000,96828000,73176000,-60926000,25928000,135006000,-14074000,119168000,-133242000,-133242000,-32661000,-46735000,-61543000,-12012000,0,-73425000,14846000,14846000,14846000,146315000,3425135000,158681000,0.75969,0.27916,0.35013,0.02886,0.01332,1.72979,0.02757,1.16679,0.49731,0.80889,0.8069,2.31025,26.55081,1.39922,0.54267,0.02311,0.02392,0.67089,23.10261,46.21692
"8","2016_Q1",73.9644262295082,"Up",263338000,-216943000,46395000,33145000,-6613000,-73914000,113672000,79540000,-36748000,-30833000,-5915000,42792000,2825999.99999999,45618000,-254000,3000.00000000001,45367000,45367000,-2380000,42987000,42987000,37559000,37559000,37559000,6718366000,8200734000,-1482368000,91856000,90249000,6810222000,6847781000,232159000,226237000,1286236000,1518395000,2141332000,2163313000,3681708000,3636077000,-635730000,3000347000,165726000,3166073000,6847781000,45367000,73956000,24000,-17162000,102185000,-119941000,0,-119941000,-119941000,59612000,-60329000,-61265000,19309000,-7512000,-49173000,-7317000,-7317000,-7317000,153496000,3427568000,16647000,0.17618,0.30205,0.16324,0.01358,0.00628,0.38726,0.02474,1.16286,0.50054,0.37905,0.37812,2.32206,26.45645,0.14679,0.54022,0.01576,0.00252,1.4252,22.08532,42.62018
"9","2016_Q2",80.71921875,"Up",269016000,-58753000,210263000,-133554000,-6582000,-75127000,-51845000,76709000,-32179000,-32211000,32000,44530000,1438000,45968000,-288000,128000,45808000,45808000,-2395000,43413000,43413000,28184000,28184000,28184000,6714366000,8268561000,-1554195000,85371000,83764000,6799737000,6827921000,215003000,206781000,1247749000,1462752000,2196214000,2220523000,3683275000,3637874000,-657732000,2980142000,164504000,3144646000,6827921000,45808000,75148000,1587000,-18458000,104085000,-67335000,32481000,-99816000,-99816000,1418000,-65917000,-65270000,19506000,-139000,-47543000,-9375000,-9375000,-9375000,151857000,3443963000,66352000,0.7816,0.28515,0.16138,0.01381,0.00636,1.52839,0.01927,1.17128,0.50439,0.38281,0.38186,2.37213,26.27829,0.58508,0.57554,0.01643,0.01003,1.50347,22.49339,44.52905
"10","2016_Q3",80.78078125,"Up",272236000,-61455000,210781000,-132987000,-7014000,-75743000,-50230000,77794000,-31977000,-32039000,61999.9999999991,45817000,2371000,48188000,-457000,-101000,47630000,47630000,-2486000,45144000,45144000,26279000,26279000,26279000,6759790000,8388681000,-1628891000,83312000,81705000,6843102000,6869381000,226122000,218658000,1243198000,1469320000,2246227000,2270373000,3739693000,3641217000,-675104000,2966113000,163575000,3129688000,6869381000,47630000,75966000,-6730000,17265000,134131000,-119841000,5520000,-125361000,-125361000,375000,-119466000,-65327000,48233000,-2000,-16570000,-1905000,-1905000,-1905000,153760000,3489425000,51641000,0.77426,0.28576,0.16583,0.01442,0.00657,1.14392,0.01789,1.19491,0.50797,0.39807,0.39709,2.40052,26.15458,0.45536,0.57604,0.01663,0.00777,1.44708,22.52306,44.51688
