"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",23.8971875,"Up",147192000,-95431000,51761000,-44909000,-44909000,6852000,143000,143000,6995000,6995000,-2711000,4284000,4284000,4284000,4284000,13816968.0134117,13816968.0134117,32891304.3705351,1102202.94832499,5387320.30812941,-4285116.73404516,47810475.3322717,29613072.4128107,34239095.8424703,-6766906.02002145,-2689445.35452478,63852168.2552811,111662643.587553,-82440183.522643,-85570051.0863321,3129867.56368916,25219529.1293317,16426533.7465627,-57220654.3933113,3465792.99756777,2596053.07940264,3465793.28799953,-53754861.1053118,90955096.3141368,73980466.7439899,165417504.692865,165417504.692865,111662643.587553,4284000,1413000,823000,-16156000,-9636000,-5733000,-5733000,3000,-13000,-15382000,-15382000,-15382000,8265000,0,-10913000,0.35166,0.04655,0.0291,0.0524182101445144,0.0484889921347075,-2.54739,7.57929852819657,-0.205397458283924,5.66292797566138e-10,0.15623,0.15173,5.36779,6.06586843314313,-0.39797,0.051307609250664,0.474734914928603,-0.761978579884909,-0.387600502988386
"2","2011_Q1",25.7032258064516,"Up",153220000,-101195000,52025000,-42682000,-42682000,9343000,208000,208000,9551000,9551000,-3630000,5921000,5921000,5921000,5921000,34830000,34830000,155131000,12844000,4837000,8007000,202805000,35314000,4171000,1050000,3121000,39485000,242290000,36204000,33744000,2460000,20483000,17624000,56687000,5098000,2746000,5098000,61785000,100558000,79947000,180505000,180505000,242290000,5921000,1780000,5036000,1282000,14019000,-6408000,-6408000,197000,432000,8043000,8043000,8043000,11123000,0,9627000,0.33954,0.06098,0.03864,0.0328,0.02444,1.62591,3.57763,0.34229,0,0.21574,0.20939,5.5827,6.57685,0.35077,0.0319,0.05187,-3.13135,-3.72792
"3","2011_Q2",24.8544444444444,"Down",159680000,-101887000,57793000,-48453000,-48453000,9340000,87000,87000,9427000,9427000,-3650000,5777000,5777000,5777000,5777000,37360093.9955294,37360093.9955294,192911565.209822,15855015.6838917,4919643.23062353,10935372.2446817,246126674.889243,38289059.1957298,-2364448.61415678,5907753.01001072,4882148.45150826,35924610.581573,282051285.470816,63526894.5075477,61694267.0287774,1832627.47877028,23163323.6235561,21547905.4178124,86690218.1311038,5276319.00081075,2950148.97353245,5276318.90400016,91966537.0351039,104721217.895288,85392844.41867,190084748.435712,190084748.435712,282051285.470816,5777000,1910000,922000,2449000,11058000,-4159000,-4159000,659000,1403000,8302000,8302000,8300000,11250000,0,13190000,0.36193,0.05849,0.03618,0.0257205966184952,0.0169161692884308,2.28319,2.58036132393448,0.476544986094641,-1.88764265855379e-10,0.20952,0.20357,5.79133,6.89243802228562,0.47838,0.0249907969164453,-0.0774641383095342,-3.5704279733717,-4.4354123323372
"4","2011_Q3",16.17421875,"Down",175460000,-115736000,59724000,-51051000,-51051000,8673000,68000,68000,8741000,8741000,-3454000,5287000,5287000,5287000,5287000,33356000,33356000,182279000,14107000,5262000,8845000,229742000,39788000,4277000,8500653.01001072,4277000,44065000,273807000,42472000,40973000,1499000,29396000,26221000,71868000,5070000,3156000,5070000,76938000,105883000,91009000,196869000,196869000,273807000,5287000,2082000,1013000,-15987000,-7605000,-4138000,-4138000,755000,1987000,-9756000,-9756000,-9774000,10755000,6.93889390390723e-18,-5916000,0.34039,0.04943,0.03013,0.02686,0.01931,-1.11897,3.19672,0.39081,0,0.19095,0.18596,6.33698,7.1102,-0.21366,0.02618,-0.0293,-3.10144,-3.84596
"5","2011_Q4",16.4503174603175,"Up",171993000,-110745000,61248000,-50328000,-50328000,10920000,148000,148000,11068000,11068000,-4334000,6734000,6734000,6734000,6734000,37817000,37817000,160847000,11547000,5138000,6409000,210211000,41357000,12641000,9523000,3118000,53998000,264209000,21108000,19476000,1632000,32688000,27811000,53796000,6024000,3298000,6024000,59820000,106945000,97744000,204389000,204389000,264209000,6734000,2137000,1067000,2626000,12564000,-3340000,-8065000,7000,-4000,4495000,4495000,4461000,13057000,0,16677000,0.35611,0.06349,0.03915,0.03295,0.02549,2.47654,3.90756,0.29268,0,0.24257,0.23771,6.19555,7.36252,0.60074,0.032,0.07926,-2.8963,-3.4631
"6","2012_Q1",21.9004838709677,"Up",174454000,-112544000,61910000,-48405000,-48405000,13505000,284000,284000,13789000,13789000,-5331000,8458000,8458000,8458000,8458000,61675000,61675000,164139000,12155000,4292000,7863000,237969000,44147000,12738000,9693000,3045000,56885000,294854000,40670000,38161000,2509000,30051000,24959000,70721000,9049000,3328000,9049000,79770000,110191000,106203000,215084000,215084000,294854000,8458000,2199000,3405000,14022000,28084000,-5351000,-5351000,269000,1125000,23858000,23858000,23858000,15704000,1.11022302462516e-16,29706000,0.35488,0.07741,0.04848,0.03932,0.02869,3.51218,3.3649,0.37088,2.06795153138257e-25,0.30419,0.29802,6.27413,7.73536,1.06836,0.03774,0.13254,-3.92734,-4.56683
"7","2012_Q2",28.261746031746,"Up",188034000,-117897000,70137000,-56819000,-56819000,13318000,42000,42000,13360000,13360000,-5163000,8197000,8197000,8197000,8197000,61436000,61436000,191751000,15363000,5996000,9367000,268550000,45189000,12683000,9693000,2990000,57872000,326422000,56319000,51710000,4609000,44155000,34967000,100474000,8936000,3396000,8936000,109410000,112895000,114400000,217012000,217012000,326422000,8197000,2366000,1133000,-1359000,10337000,-3180000,-3180000,337000,-7506000,-349000,-349000,-239000,15684000,0,16308000,0.373,0.07083,0.04359,0.03777,0.02511,1.98951,2.67283,0.50417,0,0.29352,0.28752,6.73316,7.77081,0.58396,0.03628,0.07218,-3.91711,-4.613
"8","2012_Q3",43.4320634920635,"Up",210347000,-131867000,78480000,-58684000,-58684000,19796000,31000,31000,19827000,19827000,-7650000,12177000,12177000,12177000,12177000,31521000,31521000,211598000,10747000,5206000,5541000,253866000,46147000,11646000,9693000,1953000,57793000,311659000,56431000,51205000,5226000,34158000,30379000,90589000,9517000,3487000,9517000,100106000,120712000,126577000,211553000,211553000,311659000,12177000,2456000,1017000,-23535000,-7885000,-3495000,-3495000,1597000,-18574000,-29954000,-29954000,-29915000,22252000,8.88178419700125e-16,2872000,0.3731,0.09411,0.05789,0.05756,0.03907,0.23585,2.80239,0.4732,3.30872245021211e-24,0.44269,0.43439,7.64717,7.69101,0.10441,0.05508,0.01299,-1.41655,-1.59229
"9","2012_Q4",52.3512903225806,"Up",204291000,-126405000,77886000,-57135000,-57135000,20751000,26000,26000,20777000,20777000,-7895000,12882000,12882000,12882000,12882000,40065000,40065000,194954000,14369000,6352000,8017000,249388000,46391000,11600000,9693000,1907000,57991000,307379000,36804000,29973000,6831000,38227000,33839000,75031000,9758000,3605000,9758000,84789000,124375000,139459000,222590000,222590000,307379000,12882000,2501000,869000,-1768000,14484000,-2895000,-2895000,1207000,-3097000,8492000,8492000,8544000,23252000,0,26484000,0.38125,0.10158,0.06306,0.05787,0.04191,2.05589,3.3238,0.38092,0,0.4749,0.46431,7.53123,8.20582,0.97634,0.05544,0.11398,-1.72308,-1.93075
"10","2013_Q1",60.8575,"Up",210655000,-128373000,82282000,-57801000,-57801000,24481000,41000,41000,24522000,24522000,-10714000,13808000,13808000,13808000,13808000,64167000,64167000,206704000,17274000,5168000,12106000,288145000,47764000,11478000,9693000,1785000,59242000,347387000,63079000,55110000,7969000,37948000,33634000,101027000,11819000,3653000,11819000,112846000,131753000,153267000,234541000,234541000,347387000,13808000,2634000,1138000,12753000,30333000,-3806000,-3806000,3990000,-2674000,23853000,23853000,24102000,27115000,0,46776000,0.3906,0.11621,0.06555,0.05887,0.03975,3.3876,2.85216,0.48114,0,0.50701,0.49599,7.73489,8.61194,1.71753,0.05605,0.18987,-2.36648,-2.62109
