"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2015_Q4",65.623125,"Up",3.631e+09,-2.862e+09,7.69e+08,-2.72e+08,-2.49e+08,-2.3e+07,4.97e+08,-4.1e+07,-3e+07,-1.1e+07,4.56e+08,-3.6e+07,4.2e+08,-6.1e+07,5e+06,3.64e+08,4.18e+08,-1.4e+07,4.04e+08,4.04e+08,4.34e+08,4.34e+08,2.615e+09,2.615e+09,1.187e+09,8.18e+08,6.31e+08,5.054e+09,3.01e+09,3.01e+09,2.728e+09,6.64e+08,9.3e+07,1.331e+09,5.738e+09,1.0792e+10,3.509e+09,2.327e+09,1.182e+09,4.24e+08,4.028e+09,2.698e+09,1.292e+09,8.98e+08,3.94e+08,3.99e+09,8.018e+09,1.638e+09,3e+06,1.635e+09,1.693e+09,-1.015e+09,2.316e+09,4.58e+08,2.774e+09,1.0792e+10,3.64e+08,4.18e+08,1.31e+08,-2.6e+07,-7.5e+07,3.39e+08,-1.79e+08,8e+07,-8.41e+08,-9.43e+08,3.92e+08,-5e+07,-1.33e+08,-7.37e+08,-7.37e+08,-3.9e+07,-7.76e+08,6.28e+08,3.122e+09,4.35e+08,0.21179,0.13688,0.11126,0.14564,0.03744,1.07673,1.25472,2.89041,0.28929,1.42771,1.42053,12.83175,8.18461,1.53727,0.06608,0.06052,4.28025,5.40845
"17","2016_Q1",53.9191803278689,"Down",-4.22e+08,3.03e+08,-1.19e+08,-3.8e+07,-3.8e+07,0,-1.57e+08,-7.9e+07,-3.2e+07,-4.7e+07,-2.36e+08,4e+06,-2.32e+08,4.1e+07,6e+06,-1.85e+08,2.21e+08,-2.9e+07,1.92e+08,1.92e+08,5.35e+08,5.35e+08,2.75e+09,2.75e+09,1.181e+09,6.55e+08,4.32e+08,5.121e+09,3.377e+09,3.377e+09,3.475e+09,1.383e+09,9.4e+07,4.59e+08,6.852e+09,1.1973e+10,3.745e+09,2.541e+09,1.204e+09,5.2e+07,3.927e+09,3.956e+09,1.357e+09,8.54e+08,5.03e+08,5.313e+09,9.24e+09,1.656e+09,3e+06,1.653e+09,1.627e+09,-1.033e+09,2.25e+09,4.83e+08,2.733e+09,1.1973e+10,-1.85e+08,2.21e+08,-5e+07,5.9e+07,2.87e+08,6.95e+08,5.6e+07,-1.663e+09,8.45e+08,-9.64e+08,6.77e+08,-1e+06,3.93e+08,1.24e+08,1.24e+08,-4e+06,1.2e+08,-2.07e+08,4.008e+09,9.5e+07,0.28199,0.37204,-0.45498,0.07025,0.01604,0.49479,1.30405,3.3809,0.33475,0.68778,0.68206,-1.51168,8.05989,0.34031,0.03235,0.01173,-16.77778,-22.12102
"18","2016_Q2",55.28984375,"Up",4.051e+09,-3.262e+09,7.89e+08,-3.1e+08,-2.77e+08,-3.3e+07,4.79e+08,-4e+07,-4.1e+07,1e+06,4.39e+08,-3.5e+07,4.04e+08,-7.5e+07,6e+06,3.35e+08,4.43e+08,-1.8e+07,4.25e+08,4.25e+08,4.63e+08,4.63e+08,2.934e+09,2.934e+09,1.287e+09,3.98e+08,3.98e+08,5.082e+09,3.446e+09,3.446e+09,3.543e+09,1.385e+09,1e+08,4.8e+08,6.989e+09,1.2071e+10,3.693e+09,2.514e+09,1.179e+09,3.68e+08,4.061e+09,3.985e+09,1.381e+09,8.49e+08,5.32e+08,5.366e+09,9.427e+09,1.605e+09,3e+06,1.602e+09,1.629e+09,-9.69e+08,2.265e+09,3.79e+08,2.644e+09,1.2071e+10,3.35e+08,4.43e+08,1.62e+08,1.9e+07,-2.48e+08,2.68e+08,-2.43e+08,3.7e+07,-13999999.9999998,-2.24e+08,3.21e+08,-4.9e+07,-1.66e+08,-1.22e+08,-1.22e+08,6e+06,-1.16e+08,6.41e+08,4.353e+09,2.25e+08,0.19477,0.11824,0.10491,0.16074,0.03521,0.52941,1.25142,3.56543,0.36062,1.5364,1.53407,14.64464,8.18813,0.81339,0.06028,0.02686,6.06864,8.12109
"19","2016_Q3",53.6109375,"Down",4.206e+09,-3.346e+09,8.6e+08,-3.12e+08,-2.78e+08,-3.4e+07,5.48e+08,-4.6e+07,-4.1e+07,-5e+06,5.02e+08,-1.54e+08,3.48e+08,-8.4e+07,7e+06,2.71e+08,2.71e+08,-1.3e+07,2.58e+08,2.58e+08,4.37e+08,4.37e+08,2.9e+09,2.9e+09,1.318e+09,3.96e+08,3.96e+08,5.051e+09,3.43e+09,3.43e+09,3.476e+09,1.345e+09,9.6e+07,4.64e+08,6.906e+09,1.1957e+10,3.802e+09,2.527e+09,1.275e+09,9.7e+07,3.899e+09,3.969e+09,1.319e+09,8.07e+08,5.12e+08,5.288e+09,9.187e+09,1.611e+09,3e+06,1.608e+09,1.749e+09,-9.79e+08,2.381e+09,3.89e+08,2.77e+09,1.1957e+10,2.71e+08,2.71e+08,1.9e+08,9.8e+07,1.6e+07,5.75e+08,-1.72e+08,-2.38418579101562e-07,6e+06,-1.66e+08,-2.7e+08,-3e+06,-4.29e+08,-2e+07,-2e+07,-6e+06,-2.6e+07,7.38e+08,4.066e+09,6.66e+08,0.20447,0.13029,0.06134,0.09314,0.02158,2.5814,1.29546,3.31661,0.34005,0.94533,0.94378,15.41111,8.72417,2.44028,0.04132,0.08167,4.91734,6.62226
"20","2016_Q4",53.5977777777778,"Down",4.091e+09,-3.253e+09,8.38e+08,-3.12e+08,-2.78e+08,-3.4e+07,5.26e+08,-1.1e+08,-4.1e+07,-6.9e+07,4.16e+08,-6.3e+07,3.53e+08,-5.7e+07,1e+07,3.06e+08,3.06e+08,-1.3e+07,2.93e+08,2.93e+08,3.95e+08,3.95e+08,2.983e+09,2.983e+09,1.375e+09,3.94e+08,3.94e+08,5.147e+09,3.522e+09,3.522e+09,3.453e+09,1.322e+09,1.04e+08,4.44e+08,6.975e+09,1.2122e+10,3.805e+09,2.544e+09,1.261e+09,3.6e+07,3.841e+09,4.038e+09,1.322e+09,7.94e+08,5.28e+08,5.36e+09,9.201e+09,1.623e+09,3e+06,1.62e+09,1.87e+09,-9.41e+08,2.552e+09,3.69e+08,2.921e+09,1.2122e+10,3.06e+08,3.06e+08,1.74e+08,7e+07,-1.35e+08,4.15e+08,-2.02e+08,0,7e+06,-1.95e+08,-74999999.9999999,-1.6e+07,-2.65e+08,-4.5e+07,-4.5e+07,5e+06,-39999999.9999999,7e+08,4.074e+09,4.2e+08,0.20484,0.12857,0.07162,0.10031,0.02417,1.43345,1.34002,3.14995,0.33608,1.07645,1.07417,15.02994,9.3758,1.54304,0.04473,0.0505,5.25571,6.9943
"21","2017_Q1",60.1927419354839,"Up",-7.4e+07,3.34e+08,2.6e+08,-1.07e+08,-9.1e+07,-1.6e+07,1.53e+08,-3.43e+08,-3.2e+07,-3.11e+08,-1.9e+08,8.5e+07,-1.05e+08,4.9e+07,1.2e+07,-4.4e+07,3.06e+08,-2.5e+07,2.81e+08,2.81e+08,7.37e+08,7.37e+08,2.13e+09,2.13e+09,8.59e+08,1.693e+09,3.03e+08,5.419e+09,2.325e+09,2.325e+09,4.548e+09,1.148e+09,6.7e+07,1.831e+09,6.873e+09,1.2292e+10,3.062e+09,1.82e+09,1.242e+09,1e+07,4.148e+09,3.953e+09,1.428e+09,4.39e+08,9.89e+08,5.381e+09,9.529e+09,1.636e+09,3e+06,1.633e+09,1.98e+09,-1.215e+09,2.401e+09,3.62e+08,2.763e+09,1.2292e+10,-4.4e+07,3.06e+08,-3.7e+07,-2.63e+08,5.8e+08,6.83e+08,-4.3e+07,1.93e+08,1.9e+07,7e+06,-2e+07,-1.8e+07,-2.21e+08,4.69e+08,4.69e+08,-2.8e+07,4.41e+08,1.16e+08,3.963e+09,6.04e+08,-3.51351,-2.06757,-3.7973,0.1017,0.02286,2.14947,1.30641,3.44879,0.3224,1.03939,1.03453,-0.27372,8.88108,2.23414,0.04415,0.07407,27.81034,21.08497
"22","2017_Q2",67.1349206349206,"Up",3.143e+09,-2.544e+09,5.99e+08,-2.54e+08,-2.25e+08,-2.9e+07,3.45e+08,-55999999.9999999,-3.3e+07,-2.3e+07,2.89e+08,-5.2e+07,2.37e+08,-1.9e+07,1.1e+07,2.29e+08,3.52e+08,-1.7e+07,3.35e+08,3.35e+08,5.47e+08,5.47e+08,3.132e+09,3.132e+09,1.375e+09,4.33e+08,4.33e+08,5.487e+09,3.569e+09,3.569e+09,3.441e+09,1.244e+09,1.18e+08,5.22e+08,7.01e+09,1.2497e+10,4.084e+09,2.549e+09,1.535e+09,8e+06,4.092e+09,3.991e+09,1.465e+09,9.62e+08,5.03e+08,5.456e+09,9.548e+09,1.609e+09,3e+06,1.606e+09,2.057e+09,-1.087e+09,2.579e+09,3.7e+08,2.949e+09,1.2497e+10,2.29e+08,3.52e+08,1.26e+08,2.9e+07,-1.26e+08,2.9e+08,-1.79e+08,-4e+07,0,-2.7e+08,-3999999.99999999,-5.6e+07,-3.32e+08,-3.12e+08,-3.12e+08,2.1e+07,-2.91e+08,4.71e+08,3.999e+09,1.85e+08,0.19058,0.10977,0.10659,0.1136,0.02681,0.55224,1.34091,3.23771,0.32,1.24443,1.24286,11.67533,9.58024,0.68722,0.04909,0.02199,7.32909,10.0058
"23","2017_Q3",76.1220634920635,"Up",3.153e+09,-2.498e+09,6.55e+08,-2.6e+08,-2.31e+08,-2.9e+07,3.95e+08,-2.7e+07,-3.5e+07,8e+06,3.68e+08,-3.1e+07,3.37e+08,-3.8e+07,7e+06,3.06e+08,3.86e+08,-1.7e+07,3.69e+08,3.69e+08,7.92e+08,7.92e+08,3.127e+09,3.127e+09,1.485e+09,4.45e+08,4.45e+08,5.849e+09,3.671e+09,3.671e+09,3.536e+09,1.232e+09,1.27e+08,5.49e+08,7.207e+09,1.3056e+10,4.157e+09,2.603e+09,1.554e+09,1.3e+07,4.17e+09,4.059e+09,1.542e+09,9.86e+08,5.56e+08,5.601e+09,9.771e+09,1.62e+09,3e+06,1.617e+09,2.257e+09,-9.82e+08,2.895e+09,3.9e+08,3.285e+09,1.3056e+10,3.06e+08,3.86e+08,1.3e+08,1.5e+07,-3.7e+07,5.99e+08,-1.57e+08,-2.98023223876953e-08,-1e+07,-1.93e+08,-1e+06,-7e+06,-1.81e+08,2.25e+08,2.25e+08,2e+07,2.45e+08,5.25e+08,4.072e+09,3.69e+08,0.20774,0.12528,0.11703,0.11233,0.02826,1,1.40264,2.97443,0.31189,1.3799,1.37671,11.79088,10.82607,1.3799,0.05023,0.04147,6.24762,8.3038
"24","2017_Q4",79.834126984127,"Up",3.148e+09,-2.498e+09,6.5e+08,-2.59e+08,-2.3e+08,-2.9e+07,3.91e+08,-4.2e+07,-3.5e+07,-6999999.99999999,3.49e+08,-1.8e+07,3.31e+08,-3.1e+07,6e+06,3.06e+08,4.13e+08,-1.8e+07,3.95e+08,3.95e+08,5.57e+08,5.57e+08,3.225e+09,3.225e+09,1.642e+09,1.286e+09,1.286e+09,6.71e+09,3.819e+09,3.819e+09,3.637e+09,1.213e+09,1.3e+08,6.24e+08,7.456e+09,1.4166e+10,4.128e+09,2.745e+09,1.383e+09,1.5e+07,4.143e+09,4.884e+09,1.525e+09,1.004e+09,5.21e+08,6.409e+09,1.0552e+10,1.631e+09,3e+06,1.628e+09,2.485e+09,-9.13e+08,3.203e+09,4.11e+08,3.614e+09,1.4166e+10,3.06e+08,4.13e+08,1.36e+08,3999999.99999999,-4.31e+08,1.53e+08,-1.94e+08,0,4e+06,-2.19e+08,7.93e+08,-4000000.00000003,6.18e+08,5.52e+08,5.52e+08,1.1e+07,5.63e+08,5.27e+08,4.899e+09,-67000000.0000001,0.20648,0.12421,0.12548,0.1093,0.02788,-0.16962,1.6196,2.91976,0.34583,1.48362,1.47851,11.82392,12.0305,-0.25165,0.04702,-0.00667,8.23909,11.10486
"25","2018_Q1",88.8537704918033,"Up",3.44e+09,-2.73e+09,7.1e+08,-2.96e+08,-2.66e+08,-3e+07,4.14e+08,-3.6e+07,-3.7e+07,1e+06,3.78e+08,-2.8e+07,3.5e+08,-1.35e+08,7e+06,2.22e+08,2.77e+08,-2.1e+07,2.56e+08,2.56e+08,1.596e+09,1.596e+09,2.44e+09,2.44e+09,1.083e+09,5.22e+08,5.22e+08,5.641e+09,2.804e+09,2.804e+09,3.724e+09,1.219e+09,9.1e+07,4.7e+08,6.528e+09,1.2169e+10,3.523e+09,2.227e+09,1.296e+09,1.7e+07,3.54e+09,4.132e+09,9.8e+08,4.54e+08,5.26e+08,5.112e+09,8.652e+09,1.652e+09,3e+06,1.649e+09,2.118e+09,-4.71e+08,3.299e+09,2.18e+08,3.517e+09,1.2169e+10,2.22e+08,2.77e+08,1.54e+08,-1.3e+07,5.6e+07,4.26e+08,-2.18e+08,-2.84e+08,-1.5e+07,-5.7e+08,-9e+06,4.37e+08,3.51e+08,2.07e+08,2.07e+08,3.4e+07,2.41e+08,5.68e+08,4.149e+09,5.41e+08,0.2064,0.12035,0.07442,0.07279,0.02104,2.11328,1.5935,2.46005,0.34095,0.96317,0.9574,12.94255,12.41205,2.03544,0.03851,0.06257,4.49472,6.16667
"26","2018_Q2",91.49046875,"Up",3.63e+09,-2.947e+09,6.83e+08,-2.89e+08,-2.59e+08,-3e+07,3.94e+08,-4e+06,-3.4e+07,3e+07,3.9e+08,-2e+07,3.7e+08,-5.9e+07,5e+06,3.16e+08,3.16e+08,-9e+06,3.07e+08,3.07e+08,1.345e+09,1.345e+09,2.646e+09,2.646e+09,1.202e+09,7.33e+08,7.33e+08,5.926e+09,2.89e+09,2.89e+09,3.744e+09,1.204e+09,1.01e+08,4.59e+08,6.634e+09,1.256e+10,3.648e+09,2.282e+09,1.366e+09,6e+07,3.708e+09,4.163e+09,9.91e+08,4.6e+08,5.31e+08,5.154e+09,8.862e+09,1.625e+09,3e+06,1.622e+09,2.278e+09,-4.36e+08,3.467e+09,2.31e+08,3.698e+09,1.256e+10,3.16e+08,3.16e+08,1.55e+08,-1.3e+07,-2.72e+08,1.55e+08,-2.43e+08,0,-2e+06,-2.45e+08,3.5e+07,-31999999.9999999,-2.05e+08,-2.95e+08,-2.95e+08,4.4e+07,-2.51e+08,5.49e+08,4.223e+09,93000000.0000001,0.18815,0.10854,0.08457,0.08302,0.02444,0.30293,1.59817,2.39643,0.33623,1.15548,1.15223,13.66254,13.04904,0.35003,0.04107,0.01044,5.24226,7.30457
"27","2018_Q3",89.8642857142857,"Down",3.684e+09,-2.958e+09,7.26e+08,-2.9e+08,-2.6e+08,-3e+07,4.36e+08,-4.3e+07,-3.6e+07,-7e+06,3.93e+08,-1.5e+07,3.78e+08,-8.3e+07,8e+06,3.03e+08,3.03e+08,-1.2e+07,2.91e+08,2.91e+08,9.7e+08,9.7e+08,2.598e+09,2.598e+09,1.265e+09,5.07e+08,5.07e+08,5.34e+09,2.972e+09,2.972e+09,4.004e+09,1.245e+09,9.9e+07,5.03e+08,6.976e+09,1.2316e+10,3.416e+09,2.307e+09,1.109e+09,2.2e+07,3.438e+09,4.067e+09,1.053e+09,4.32e+08,6.21e+08,5.12e+09,8.558e+09,1.635e+09,3e+06,1.632e+09,2.51e+09,-6.22e+08,3.523e+09,2.35e+08,3.758e+09,1.2316e+10,3.03e+08,3.03e+08,1.56e+08,-1.3e+07,1.2e+08,5.45e+08,-2.06e+08,-5.12e+08,2e+06,-7.16e+08,-5e+07,-8e+06,-1.16e+08,-2.87e+08,-2.87e+08,-8.8e+07,-3.75e+08,5.92e+08,4.089e+09,5.89e+08,0.19707,0.11835,0.07899,0.07743,0.02363,2.02405,1.55323,2.27728,0.33201,1.0989,1.09613,13.91186,13.30388,2.22424,0.03921,0.06618,5.26858,7.15367
"28","2018_Q4",71.4611111111111,"Down",3.485e+09,-2.834e+09,6.51e+08,-2.63e+08,-2.32e+08,-3.1e+07,3.88e+08,-3e+07,-3.4e+07,4000000.00000001,3.58e+08,-6.5e+07,2.93e+08,-6.6e+07,4e+06,2.31e+08,2.31e+08,-9e+06,2.22e+08,2.22e+08,7.71e+08,7.71e+08,2.635e+09,2.635e+09,1.358e+09,4.4e+08,4.4e+08,5.204e+09,3.056e+09,3.056e+09,4.067e+09,1.216e+09,1.01e+08,5.88e+08,7.123e+09,1.2327e+10,3.363e+09,2.254e+09,1.109e+09,2.4e+07,3.387e+09,4.084e+09,1.047e+09,4.39e+08,6.08e+08,5.131e+09,8.518e+09,1.636e+09,3e+06,1.633e+09,2.61e+09,-6.38e+08,3.608e+09,2.01e+08,3.809e+09,1.2327e+10,2.31e+08,2.31e+08,1.63e+08,-2.6e+07,-2.3e+08,1.71e+08,-2.12e+08,0,4e+06,-2.08e+08,-4e+06,-3.4e+07,-1.61e+08,-1.98e+08,-1.98e+08,-1000000.00000001,-1.99e+08,5.51e+08,4.108e+09,1.75e+08,0.1868,0.11133,0.0637,0.05828,0.01801,0.78829,1.53646,2.23628,0.33325,0.83913,0.83669,13.17282,13.63774,0.661480000000001,0.03124,0.01952,6.05626,8.60052
"29","2019_Q1",75.9727868852459,"Up",3.636e+09,-2.967e+09,6.69e+08,-3.05e+08,-2.42e+08,-6.3e+07,3.64e+08,-6.2e+07,-3.7e+07,-2.5e+07,3.02e+08,-9e+06,2.93e+08,-4.2e+07,6e+06,2.57e+08,2.57e+08,-1e+07,2.47e+08,2.47e+08,5.67e+08,5.67e+08,2.487e+09,2.487e+09,1.277e+09,4.46e+08,4.46e+08,4.777e+09,3.179e+09,3.179e+09,4.524e+09,1.38e+09,9.9e+07,5.21e+08,7.703e+09,1.248e+10,3.388e+09,2.334e+09,1.054e+09,3.06e+08,3.694e+09,4.038e+09,1.078e+09,4.45e+08,6.33e+08,5.116e+09,8.81e+09,1.642e+09,3e+06,1.639e+09,2.511e+09,-6.94e+08,3.459e+09,2.11e+08,3.67e+09,1.248e+10,2.57e+08,2.57e+08,2.02e+08,4e+06,2.87e+08,7.57e+08,-1.88e+08,-6.85e+08,-6e+06,-8.79e+08,2.74e+08,-4e+06,-7.3e+07,-1.95e+08,-1.95e+08,-9e+06,-2.04e+08,5.66e+08,4.344e+09,7.07e+08,0.18399,0.10011,0.06793,0.0673,0.01979,2.86235,1.29318,2.40054,0.34808,0.94067,0.93692,13.84721,13.17313,2.69251,0.03355,0.07776,6.67314,10.37637
"30","2019_Q2",78.4874603174603,"Up",3.575e+09,-2.962e+09,6.13e+08,-2.9e+08,-2.56e+08,-3.4e+07,3.23e+08,-2.2e+07,-3.8e+07,1.6e+07,3.01e+08,-2.6e+07,2.75e+08,-3.3e+07,3e+06,2.45e+08,2.45e+08,-5e+06,2.4e+08,2.4e+08,3.21e+08,3.21e+08,2.736e+09,2.736e+09,1.326e+09,4.36e+08,4.36e+08,4.819e+09,3.218e+09,3.218e+09,4.982e+09,1.334e+09,1.02e+08,1.043e+09,8.2e+09,1.3019e+10,3.472e+09,2.34e+09,1.132e+09,5.42e+08,4.014e+09,3.995e+09,1.375e+09,4.4e+08,9.35e+08,5.37e+09,9.384e+09,1.609e+09,3e+06,1.606e+09,2.491e+09,-6.82e+08,3.418e+09,2.17e+08,3.635e+09,1.3019e+10,2.45e+08,2.45e+08,1.73e+08,2.1e+07,-3.55e+08,8.4e+07,-2.38e+08,2e+06,1e+06,-2.35e+08,2.18e+08,-3.4e+07,-9.9e+07,-2.5e+08,-2.5e+08,4e+06,-2.46e+08,4.96e+08,4.537e+09,-63999999.9999999,0.17147,0.09035,0.06713,0.06602,0.01843,-0.26667,1.20055,2.58157,0.34849,0.92635,0.92468,13.79883,13.19284,-0.24703,0.03111,-0.00670000000000003,8.5,13.05263
"31","2019_Q3",83.06609375,"Up",3.627e+09,-2.958e+09,6.69e+08,-3.03e+08,-2.6e+08,-4.3e+07,3.66e+08,-3.7e+07,-4.3e+07,6e+06,3.29e+08,-3.1e+07,2.98e+08,-3.1e+07,4e+06,2.71e+08,2.71e+08,3e+06,2.74e+08,2.74e+08,3.65e+08,3.65e+08,2.679e+09,2.679e+09,1.304e+09,5.06e+08,5.06e+08,4.854e+09,3.248e+09,3.248e+09,5.006e+09,1.305e+09,1.03e+08,1.081e+09,8.254e+09,1.3108e+10,3.474e+09,2.284e+09,1.19e+09,5.17e+08,3.991e+09,3.997e+09,1.388e+09,4.39e+08,9.49e+08,5.385e+09,9.376e+09,1.621e+09,3e+06,1.618e+09,2.597e+09,-6.99e+08,3.519e+09,2.13e+08,3.732e+09,1.3108e+10,2.71e+08,2.71e+08,1.88e+08,1.5e+07,3.8e+07,5.12e+08,-2.16e+08,-25000000.0000001,9e+06,-2.32e+08,-3.9e+07,0,-2.16e+08,6.4e+07,6.4e+07,-3e+06,6.1e+07,5.54e+08,4.514e+09,4.07e+08,0.18445,0.10091,0.07554,0.07342,0.0209,1.4854,1.21624,2.51233,0.34437,1.06615,1.06511,14.11284,13.69261,1.58366,0.03436,0.04225,7.48917,11.33607
"32","2019_Q4",91.2790625,"Up",3.559e+09,-2.882e+09,6.77e+08,-2.96e+08,-2.62e+08,-3.4e+07,3.81e+08,-3.5e+07,-4.2e+07,7e+06,3.46e+08,-6.1e+07,2.85e+08,-3.8e+07,5e+06,2.52e+08,2.52e+08,-6e+06,2.46e+08,2.46e+08,3.41e+08,3.41e+08,2.661e+09,2.661e+09,1.345e+09,1.038e+09,5.13e+08,5.385e+09,3.145e+09,3.145e+09,4.409e+09,1.128e+09,1.05e+08,1.04e+09,7.554e+09,1.2939e+10,3.399e+09,2.232e+09,1.167e+09,4.44e+08,3.875e+09,3.939e+09,1.344e+09,4.22e+08,9.22e+08,5.283e+09,9.158e+09,1.626e+09,3e+06,1.623e+09,2.745e+09,-8.06e+08,3.565e+09,2.16e+08,3.781e+09,1.2939e+10,2.52e+08,2.52e+08,1.78e+08,5e+07,-1.55e+08,3.25e+08,-1.69e+08,0,4e+06,-1.65e+08,-7.4e+07,2.98023223876953e-08,-1.74e+08,-14000000.0000001,-14000000.0000001,-1.1e+07,-25000000.0000001,5.59e+08,4.383e+09,2.73e+08,0.19022,0.10705,0.06912,0.06506,0.01901,1.10976,1.38968,2.42211,0.33874,0.96139,0.95936,13.90886,13.93231,1.06691,0.03176,0.02871,7.23077,10.60892
"33","2020_Q1",78.3704838709677,"Down",3.596e+09,-2.909e+09,6.87e+08,-3.33e+08,-2.98e+08,-3.5e+07,3.54e+08,-5.6e+07,-4.1e+07,-1.5e+07,2.98e+08,-3e+07,2.68e+08,-3e+07,3e+06,2.41e+08,2.41e+08,-1.1e+07,2.3e+08,2.3e+08,4.12e+08,4.12e+08,2.569e+09,2.569e+09,1.286e+09,1.052e+09,5.2e+08,5.319e+09,3.309e+09,3.309e+09,4.831e+09,1.186e+09,1.06e+08,1.132e+09,8.14e+09,1.3459e+10,3.618e+09,2.463e+09,1.155e+09,3.93e+08,4.054e+09,3.971e+09,1.423e+09,4.83e+08,9.4e+08,5.394e+09,9.448e+09,1.648e+09,3e+06,1.645e+09,2.89e+09,-7.19e+08,3.819e+09,1.92e+08,4.011e+09,1.3459e+10,2.41e+08,2.41e+08,1.78e+08,-6e+06,2.9e+08,7.03e+08,-1.44e+08,-3.11e+08,-2.4e+07,-4.79e+08,-6.3e+07,-6.57e+08,-1.6e+08,6.4e+07,6.4e+07,7e+06,7.1e+07,5.32e+08,4.364e+09,7.08e+08,0.19105,0.09844,0.06396,0.05734,0.01709,3.07826,1.31204,2.35552,0.32424,0.90097,0.89725,14.08649,14.96004,2.77343,0.00612,0.07226,7.42857,11.16384
"34","2020_Q2",68.8352380952381,"Down",3.226e+09,-2.725e+09,5.01e+08,-2.88e+08,-2.52e+08,-3.6e+07,2.13e+08,-4.4e+07,-4.3e+07,-1e+06,1.69e+08,1.406e+09,1.575e+09,-1e+07,2e+06,1.567e+09,1.567e+09,5e+06,1.572e+09,1.572e+09,2.055e+09,2.055e+09,2.308e+09,2.308e+09,1.363e+09,4.64e+08,4.64e+08,6.19e+09,3.249e+09,3.249e+09,6.728e+09,1.132e+09,2.09e+09,1.117e+09,9.977e+09,1.6167e+10,3.395e+09,2.243e+09,1.152e+09,2.6e+08,3.655e+09,5.964e+09,1.395e+09,4.66e+08,9.29e+08,7.359e+09,1.1014e+10,1.609e+09,3e+06,1.606e+09,4.353e+09,-9.91e+08,4.971e+09,1.82e+08,5.153e+09,1.6167e+10,1.567e+09,1.567e+09,1.8e+08,-1.459e+09,-1.27e+08,1.61e+08,-2.03e+08,-5e+06,999999.999999996,-2.07e+08,1.871e+09,-9.4e+07,1.72e+09,1.674e+09,1.674e+09,-1.6e+07,1.658e+09,3.93e+08,6.224e+09,73000000.0000001,0.1553,0.06603,0.48729,0.30507,0.09724,0.0464399999999996,1.69357,2.1374,0.38498,6.1524,6.14471,12.62573,19.45521,0.2857,0.12308,0.00572000000000002,10.60814,19.57277
"35","2020_Q3",83.90609375,"Up",1.96e+09,-1.947e+09,1.3e+07,-2.52e+08,-2.17e+08,-3.5e+07,-2.39e+08,-5e+07,-4.4e+07,-6e+06,-2.89e+08,-7.2e+07,-3.61e+08,1.4e+07,-1.8e+07,-3.65e+08,-3.65e+08,-1e+06,-3.66e+08,-3.69e+08,1.885e+09,1.885e+09,1.834e+09,1.834e+09,1.212e+09,4.81e+08,4.81e+08,5.412e+09,3.196e+09,3.196e+09,6.672e+09,1.104e+09,2.073e+09,1.094e+09,9.868e+09,1.528e+10,2.659e+09,1.432e+09,1.227e+09,2e+08,2.859e+09,3.946e+09,1.349e+09,4.68e+08,8.81e+08,5.295e+09,8.154e+09,3.852e+09,3e+06,3.849e+09,3.984e+09,-8.94e+08,6.942e+09,1.84e+08,7.126e+09,1.528e+10,-3.65e+08,-3.65e+08,1.84e+08,3.7e+07,3.8e+07,-1.06e+08,-1.65e+08,-2.2e+07,0,-1.87e+08,-9.94e+08,1.114e+09,1.2e+08,-1.73e+08,-1.73e+08,3e+06,-1.7e+08,-5.5e+07,4.146e+09,-1.96e+08,0.00663,-0.12194,-0.18827,-0.05178,-0.02415,0.53117,1.89297,1.14426,0.27134,-1.43007,-1.4119,7.59602,26.90385,-0.7596,-0.02924,-0.01553,-41.10909,-9.46025
