"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.9757142857143,"Up",717637000,-447079000,270558000,-238097000,-238097000,32461000,-128000,-128000,32333000,32333000,-12795000,19538000,19538000,19538000,19538000,404853000,404853000,34581000,34581000,502387000,187645000,38147000,57211000,1129466000,800963000,66331000,50228000,16103000,867294000,1996760000,260309000,177938000,4278000,78093000,209087000,23021000,470983000,286740000,286740000,295382000,766365000,461792000,756521000,12082000,1230395000,1230395000,1996760000,19538000,39002000,2606000,-131452000,-70306000,-17431000,-12477000,-29908000,-12901000,-30000,8487000,0,-4449000,-8893000,-109107000,-109107000,17000,-109090000,71463000,10229000,-64625000,0.37701,0.04523,0.02723,0.01588,0.00978,-3.30766,2.3981,0.62286,0.00512,0.18238,0.1782,6.69881,11.48517,-0.60324,0.12042,82.0219141181811,0.02124,-0.04231,0.6603,-5.52207,-12.15687
"2","2010_Q3",20.4353125,"Down",775554000,-488827000,286727000,-235530000,-235530000,51197000,-123000,-123000,51074000,51074000,-20315000,30759000,30759000,30759000,30759000,404037000,404037000,37888000,37888000,518623000,196424000,42165000,62018000,1156972000,771635000,66886000,52129000,14757000,838521000,1995493000,284830000,184135000,17507000,83188000,215626000,25279000,502170000,279469000,279469000,286666000,788836000,463171000,732290000,11196000,1206657000,1206657000,1995493000,30759000,34880000,-5363000,919000.00000003,61195000,-2743000,-25000,-2768000,-14122000,-1318000,-43220000,-44306000,-583000,-59243000,-816000,-816000,0,-815999.99999997,86077000,8911000,104568000,0.36971,0.06601,0.03966,0.02549,0.01541,3.39959,2.30394,0.65374,0.00447,0.28584,0.27924,7.20701,11.21314,0.97172,0.13123,51.0146094121208,0.03002,0.06994,0.45912,-4.59038,-7.71776
"3","2010_Q4",25.37328125,"Up",815516000,-504235000,311281000,-255119000,-255119000,56162000,-78000,-78000,56084000,56084000,-19554000,36530000,36530000,36530000,36530000,389627000,389627000,41922000,41922000,586256000,198438000,37887000,68286000,1216243000,750239000,68690000,51517000,17173000,818929000,2035172000,335946000,202888000,39025000,94033000,219829000,23476000,557489000,271230000,271230000,278395000,835884000,466991000,720399000,11898000,1199288000,1199288000,2035172000,36530000,34623000,-638000,-18951000,51564000,-15492000,-5000,-15497000,-16033000,-32000,-33169000,-36408000,-1425000,-50659000,-14592000,-14592000,182000,-14410000,90785000,8879000,75896000,0.3817,0.06887,0.04479,0.03046,0.01795,2.07763,2.18164,0.69698,0.00436,0.3417,0.33344,7.6282,11.21794,0.70992,0.14997,30.2087656472725,0.03553,0.0513,0.4389,-4.19395,-6.77946
"4","2011_Q1",26.846935483871,"Up",1195451000,-690158000,505293000,-321699000,-321699000,183594000,-25000,-25000,183569000,183569000,-70169000,113400000,113400000,113400000,113400000,628403000,628403000,41565000,41565000,513381000,164245000,21120000,57513000,1347594000,730556000,53612000,32646000,20966000,784168000,2131762000,392400000,227963000,41997000,122440000,217774000,25324000,611716000,254053000,254053000,261183000,872899000,467934000,777939000,12990000,1258863000,1258863000,2131762000,113400000,36125000,20001000,144010000,313536000,-15417000,-405000,-15822000,-16104000,-207000,-41362000,-44286000,-1847000,-59520000,238194000,238194000,582000,238776000,219719000,8672000,418481000,0.42268,0.15358,0.09486,0.09008,0.0532,3.69031,2.20297,0.6934,0.00407,1.06804,1.04284,11.25915,11.85638,3.94139,0.15167,17.6043828236362,0.08511,0.27503,0.14201,-2.82056,-3.37555
"5","2011_Q2",30.2852380952381,"Up",770825000,-474942000,295883000,-244183000,-244183000,51700000,-1000,-1000,51699000,51699000,-20084000,31615000,31615000,31615000,31615000,471023000,471023000,42059000,42059000,532125000,176155000,33145000,57322000,1221362000,724321000,51068000,29892000,21176000,775389000,1996751000,270572000,192439000,7625000,70508000,214639000,24826000,486753000,252189000,252189000,259286000,746039000,472545000,762790000,15377000,1250712000,1250712000,1996751000,31615000,32878000,1749000,-157545000,-91303000,-22209000,-4000,-22213000,-15782000,-33000,-25946000,-31250000,-3287000,-45048000,-158564000,-158564000,1184000,-157380000,84578000,8639000,-75092000,0.38385,0.06707,0.04101,0.02528,0.01583,-2.3752,2.5092,0.59649,0.00433,0.30133,0.29496,7.34693,11.92085,-0.71572,0.15042,11.2014609412121,0.03136,-0.04968,0.49919,-5.46695,-8.9436
"6","2011_Q3",25.55953125,"Down",814750000,-506029000,308721000,-244636000,-244636000,64085000,-69000,-69000,64016000,64016000,-24707000,39309000,39309000,39309000,39309000,424634000,424634000,51406000,51406000,556628000,189397000,39697000,64010000,1222065000,735129000,52930000,32381000,20549000,788059000,2010124000,288521000,196843000,13190000,78488000,217620000,25731000,507683000,245190000,245190000,252254000,759937000,479064000,755672000,15451000,1250187000,1250187000,2010124000,39309000,33021000,-1639000,-27119000,43572000,-40316000,-2364000,-42680000,-17835000,-33000.0000000001,-29138000,-31246000,-93000,-47099000,-46207000,-46207000,-182000,-46388999.9999999,97106000,8606000,54378000,0.37892,0.07866,0.04825,0.03144,0.01956,1.38335,2.40714,0.60786,0.00428,0.37554,0.36751,7.78384,11.94385,0.51951,0.17039,9,0.038,0.0361600000000001,0.45371,-4.28427,-6.49182
"7","2011_Q4",27.9215873015873,"Up",867176000,-535213000,331963000,-263219000,-263219000,68744000,7000,7000,68751000,68751000,-25330000,43421000,43421000,43421000,43421000,379393000,379393000,54140000,54140000,626583000,198783000,41925000,71256000,1258899000,740025000,52240000,34061000,18179000,792265000,2051164000,326958000,220689000,17152000,89117000,234167000,26418000,562940000,234946000,234946000,240440000,803380000,481322000,753196000,13266000,1247784000,1247784000,2051164000,43421000,32874000,-2595000,-27852000,45848000,-39730000,325000,-39405000,-17717000,-1449000,-31251000,-31490000,-187000,-50604000,-44161000,-44161000,-1080000,-45241000,101618000,7309000,59366000,0.38281,0.07927,0.05007,0.0348,0.02117,1.36722,2.23629,0.64385,0.00356,0.41676,0.40823,8.32334,11.9765,0.56981,0.17005,9,0.04103,0.03984,0.40803,-3.6616,-5.4126
"8","2012_Q1",28.3254838709677,"Up",1268144000,-744855000,523289000,-326086000,-326086000,197203000,161000,161000,197364000,197364000,-74778000,122586000,122586000,122586000,122586000,502757000,502757000,45961000,45961000,553461000,174187000,24188000,58255000,1276366000,734672000,49800000,12382000,37418000,784472000,2060838000,352538000,218329000,22435000,111774000,217466000,27049000,571799000,228299000,228299000,233777000,805576000,479725000,762947000,12590000,1255262000,1255262000,2060838000,122586000,31780000,16875000,121976000,293217000,-28098000,55000,-53406000,-17543000,-111000,-98480000,-100443000,-154000,-116288000,123523000,123523000,-159000,123364000,228983000,7273000,397639000,0.41264,0.15551,0.09667,0.09766,0.05948,3.24376,2.23219,0.64176,0.00353,1.1829,1.15841,12.23699,12.11269,3.83703,0.16928,8,0.09399,0.26672,0.14311,-2.16385,-2.51256
"9","2012_Q2",27.8487301587302,"Down",817614000,-508348000,309266000,-259943000,-259943000,49323000,191000,191000,49514000,49514000,-18798000,30716000,30716000,30716000,30716000,376464000,376464000,47688000,47688000,586270000,182400000,32975000,57651000,1192822000,726133000,50611000,11764000,38847000,776744000,1969566000,298197000,189660000,30805000,77732000,220857000,23510000,520706000,227176000,227176000,232626000,753332000,486887000,715684000,13663000,1216234000,1216234000,1969566000,30716000,32794000,2136000,-86383000,-20737000,-27819000,34000,-27785000,-22136000,-171000,-53458000,-61733000,-2714000,-78479000,-127001000,-127001000,708000,-126293000,82117000,7102000,-13287000,0.37825,0.06033,0.03757,0.02526,0.0156,-0.43258,2.29078,0.6194,0.00361,0.30663,0.30127,8.1621,12.14146,-0.13264,0.22098,4,0.03644,-0.00916,0.72067,-4.498,-7.48864
"10","2012_Q3",30.0014285714286,"Up",874283000,-539803000,334480000,-264377000,-264377000,70103000,168000,168000,70271000,70271000,-26891000,43380000,43380000,43380000,43380000,336550000,336550000,53424000,53424000,616355000,190041000,33805000,64508000,1196370000,743915000,49599000,11483000,38116000,793514000,1989884000,313945000,201905000,26442000,85598000,230272000,27682000,545869000,228127000,228127000,233548000,779417000,489323000,708855000,12289000,1210467000,1210467000,1989884000,43380000,32524000,1278000,-17709000,59473000,-41789000,-1399000,-43188000,-22313000,-29000,-30638000,-31343000,-2363000,-55343000,-39058000,-39058000,-856000,-39914000,102627000,7073000,70020000,0.38258,0.08018,0.04962,0.03584,0.0218,1.61411,2.19168,0.6439,0.00355,0.43616,0.42897,8.79047,12.17063,0.70402,0.22435,8,0.04544,0.04843,0.51436,-3.21043,-4.6999
