"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",43.0066666666667,"Up",26113000,-15359000,-2195000,-11078000,-1201000,10754000,1398000,1398000,12152000,12152000,-3030000,9122000,9122000,-1996000,7126000,7126000,307497000,307497000,26179000,680000,25314000,333676000,445298000,445298000,14529000,14529000,459827000,793503000,4607000,1194000,3262000,758000,758000,5365000,40197016.0600034,23284000,22444000,840000,23284000,28649000,704242000,754787000,10067000,764854000,793503000,9122000,11078000,-1467000,-2543000,16190000,-249000,22119000,21870000,-3259000,-2620000,-25129000,12931000,12931000,12931000,21832000,0,0.41183,0.27289,0.00932,0.00898,62.19497,0.03746,0,0.17594,0.17439,0.64473,18.63573,0.08046,0.01318,0.45734,-14.08469,-28.59373
"2","2010_Q3",40.5315625,"Down",34740000,-19539000,-2972000,-12101000,-1638000,15201000,-16000,-16000,15185000,15185000,-4833000,10352000,10352000,-737000,9615000,9615000,316837000,316837000,37597000,720000,32440000,354434000,435311000,435311000,14608000,14608000,449919000,804353000,7259000,3575000,3684000,545000,545000,7804000,173218338.686668,22055000,21224000,831000,22055000,29858999.9999999,710885000,763899000,10595000,774494000,804353000,10351000,12101000,627000,-11386000,11693000,-94000,157999.999999996,64000.0000001192,-3263000,252000,-2417000,9339999.99999988,9339999.99999988,9339999.99999988,27302000,-5.96046447753906e-08,0.43756,0.27677,0.01241,0.01195,45.41697,0.03855,0,0.23695,0.23438,0.85612,18.82525,0.08041,0.01617,0.33937,-11.6049,-20.84317
"3","2010_Q4",44.325625,"Up",35043000,-19328000,-3444000,-13002000,-1894000,15715000,-955000,-955000,14760000,-2186000,-2742000,-4928000,-4928000,-826000,-5754000,-5754000,53650000,53650000,39350000,2084000,34528000,9.3e+07,1467484000,1467484000,26250000,26250000,1493734000,1586734000,8447000,4025000,4422000,2298000,2298000,36745000,2.29e+08,168737000,155142000,13595000,397737000,434482000,1077679000,1120462000,31790000,1152252000,1586734000,-4928000,13001000,-1178000,-7435000,-540000,-488245000,330000,-487915000,-3684000,2588000,225268000,-263187000,-263187000,-263187000,28716000,2.55e+08,0.44845,-0.1642,-0.00499,-0.00363,2.53096,0.37707,0.16071,-0.1296,-0.12939,0.7893,25.23713,0.08298,-0.00131,-0.64025,7.01177,12.8126
"4","2011_Q1",42.6461290322581,"Down",40669000,-21900000,-10859000,-17612000,1870000,18769000,2124000,2124000,20893000,18435000,-3559000,14876000,14876000,-4371000,10505000,10505000,324846000,324846000,46517000,2627000,40363000,371363000,1476799000,1476799000,16970000,16970000,1493970000,1865333000,7337000,2367000,4970000,2437000,2437000,35774000,234979000,161032000,155978000,5054000,396011000,431785000,1284621000,1403716000,29832000,1433548000,1865333000,14877000,17613000,-5397000,-6065000,21028000,-14761000.0000001,204000,-14556999.9999999,-4422000,1872000,264725000,271196000,271196000,271196000,36382000,260979000,0.46151,0.2583,0.00733,0.00563,10.38081,0.3012,0.13991,0.21402,0.21194,0.82856,28.59839,0.09009,0.00804,0.42094,-1.75546,-3.40279
"5","2011_Q2",49.99,"Up",45338000,-24528000,-5045000,-18925000,-558000,20810000,-881000,-881000,19929000,19929000,-6927000,13002000,13002000,-1171000,11831000,11831000,321503000,321503000,44858000,1817000,43041000,366361000,1474594000,1474594000,21852000,21852000,1496446000,1862807000,8146000,2233000,4978000,3056000,3056000,37202000,2.16e+08,168107000,152062000,16045000,384107000,421309000,1283130000,1412466000,29032000,1441498000,1862807000,13002000,18925000,-669000,2976000,34234000,-25695000,1438000,-24257000,-4973000,-1847000,-13320000,-3343000,-3343000,-3343000,39735000,2.42e+08,0.459,0.26095,0.00821,0.00635,9.84788,0.29227,0.12991,0.21516,0.21414,0.82453,25.68741,0.09044,0.00908,0.42034,-2.00083,-3.82042
"6","2011_Q3",60.7203125,"Up",56316000,-24712000,-5575000,-16006000,-3131000,31604000,488000,488000,32092000,32092000,-11374000,20718000,20718000,-2406000,18312000,18312000,71409000,71409000,56978000,1962000,52869000,128387000,1715477000,1715477000,19760000,19760000,1735237000,1863624000,8711000,2624000,6087000,3243000,3243000,37954000,199500000,171129000,151375000,19754000,370629000,408583000,1285831000,1427309000,27732000,1455041000,1863624000,20719000,16005000,-993000,-8611000,27120000,-255862000,2726000,-253136000,-4980000,-2598000,-24078000,-250094000,-250094000,-250094000,47609000,225500000,0.56119,0.32517,0.01259,0.00983,3.3827,0.28081,0.121,0.33268,0.33109,1.02312,25.93072,0.09047,0.01258,0.27195,3.23659,4.87568
"7","2011_Q4",62.802380952381,"Up",55546000,-23669000,-5230000,-15838000,-2601000,31877000,-1230000,-1230000,30647000,30647000,-10339000,20308000,20308000,-743000,19565000,19565000,125771000,125771000,59225000,7263000,46503000,184996000,1715820000,1715820000,11911000,11911000,1727731000,1912727000,8986000,2900000,6086000,9352000,9352000,33938000,229400000,179237000,156480000,22757000,408637000,442575000,1290478000,1442623000,27529000,1470152000,1912727000,20306000,15838000,1163000,3690000,40997000,-26000,1580000,1554000,-6089000,-1600000,11811000,54362000,54362000,54362000,47715000,2.45e+08,0.57388,0.35223,0.01331,0.01023,5.451,0.30104,0.12809,0.35524,0.35351,1.00854,26.19348,0.11056,0.01354,0.31122,2.49877,3.74028
"8","2012_Q1",60.1124193548387,"Down",59269000,-24635000,-5256000,-16630000,-2749000,34634000,-1029000,-1029000,33605000,33605000,-10334000,23271000,23271000,-1584000,21687000,21687000,114155000,114155000,55118000,6290000,48828000,169273000,1690439000,1690439000,14114000,14114000,1733429000,1902702000,9268000,2499000,6093000,3993000,3993000,28861000,229336000,156810000,152564000,4246000,386146000,415007000,1320240000,1460162000,27533000,1487695000,1902702000,23272000,16631000,-2726000,7429000,44606000,1457000,-3307000,-30424000,-6088000,158000,-25798000,-11616000,-11616000,-11616000,51265000,244936000,0.58435,0.36591,0.01458,0.0114,5.86511,0.27896,0.12873,0.39354,0.39153,1.07552,26.49671,0.11048,0.0147,0.28072,2.55108,3.77609
"9","2012_Q2",59.2138095238095,"Down",64465000,-25669000,-6298000,-17221000,-2150000,38796000,1054000,1054000,39850000,38522000,-12381000,26141000,26141000,-3646000,22495000,22495000,123401000,123401000,61121000,6343000,54778000,184522000,1671943000,1671943000,12486000,12486000,1707957000,1892479000,17206000,2224000,6112000,3204000,3204000,36010000,195740000,157043000,153028000,4015000,352783000,388793000,1330557000,1477541000,26145000,1503686000,1892479000,26141000,17221000,-551000,3363000,46174000,-120129955.136992,4344000,4344000,-6095000,-3813000,-41272000,9246000,9246000,9246000,56017000,211340000,0.60181,0.34895,0.01496,0.01189,5.12419,0.25856,0.11167,0.40764,0.40538,1.16819,26.77494,0.11045,0.01527,0.27095,1.56986,2.2667
"10","2012_Q3",71.8888888888889,"Up",68842000,-29422000,-5057000,-21418000,-2947000,39420000,-1119000,-1119000,38301000,38301000,-14052000,24249000,24249000,-838000,23411000,23411000,95802000,95802000,70326000,5342000,64521000,166128000,1798993000,1798993000,12688000,12688000,1828251000,1994379000,11083000,2740000,8343000,3518000,3518000,30201000,293276000,155439000,151673000,3766000,448715000,478916000,1334738000,1489829000,25634000,1515463000,1994379000,24249000,21418000,-1272000,-15133000,29262000,-148182000,370000,-147812000,-6114000,583999.999999999,90951000,-27599000,-27599000,-27599000,60838000,308876000,0.57262,0.34007,0.01545,0.01174,5.50075,0.31602,0.15487,0.42308,0.42125,1.24411,26.92415,0.11049,0.01491,0.26116,3.50232,5.40523
