"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",33.7919672131148,"Up",21000,-12169000,-2480000,-9689000,-12148000,2000,3000,-12146000,-12146000,-12146000,-12146000,-12146000,-12146000,155974000,155974000,1982000,1982000,157956000,240000,30000,30000,270000,158226000,2908000,1740000,1168000,384000,305000,3292000,0,0,0,3292000,217503000,-62569000,154934000,154934000,158226000,-12146000,38000,2016000,14000,-10078000,-32000,341000,341000,113156000,103046000,103046000,103046000,-12110000,0,-0.07839,-0.07676,47.98177,0.02125,0,-0.71044,-0.71044,0.00123,9.06235,-0.07839,12.87977,12.83948
"2","2014_Q2",31.0301587301587,"Down",171000,-13883000,-2904000,-10979000,-13712000,18000,18000,-13694000,-13694000,-13694000,-13694000,-13694000,-13694000,144893000,144893000,2673000,2673000,147566000,322000,1397000,1397000,1719000,149285000,4823000,3273000,1550000,192000,135000,5015000,170000,170000,170000,5185000,220363000,-76263000,144100000,144100000,149285000,-13694000,43000,2846000,236000,-10569000,-525000,12999.9999999999,12999.9999999999,13000.0000000149,-11081000,-11081000,-11081000,-13669000,0,-0.09503,-0.09173,29.42493,0.03598,0,-0.46253,-0.46253,0.00578,4.86714,-0.09492,10.60012,10.56688
"3","2014_Q3",37.62421875,"Up",22000,-16469000,-3310000,-13159000,-16447000,16000,16000,-16431000,-16431000,-16431000,-16431000,-16431000,-16431000,132307000,132307000,2976000,2976000,135283000,604000,1792000,1792000,2396000,137679000,5459000,3456000,2003000,188000,152000,5647000,352000,352000,352000,5999000,224374000,-92694000,131680000,131680000,137679000,-16431000,42000,3888000,619000,-11882000,-324000,47000,47000,-380000,-12586000,-12586000,-12586000,-16405000,0,-0.12478,-0.11934,23.95661,0.04556,0,-0.55398,-0.55398,0.00074,4.43969,-0.12445,8.06504,8.04445
"4","2014_Q4",37.869375,"Up",21000,-19765000,-3814000,-15951000,-19744000,20000,20000,-19724000,-19724000,-19724000,-19724000,-19724000,-19724000,227131000,227131000,4215000,4215000,231346000,2734000,1075000,1075000,3809000,235155000,5751000,2102000,3649000,483000,469000,6234000,1117000,1117000,1117000,7351000,340222000,-112418000,227804000,227804000,235155000,-19724000,106000,2965000,424000,-16229000,-2286000,75000,75000,113339000,94824000,94824000,94824000,-19638000,0,-0.08658,-0.08388,37.11036,0.03227,0,-0.6052,-0.6052,0.00064,6.98983,-0.08616,11.56589,11.5038
"5","2015_Q1",28.7404918032787,"Down",15000,-25958000,-5920000,-20038000,-25943000,17000,44000,-25926000,-25926000,-25926000,-25926000,-25926000,-25926000,205724000,150609000,2027000,2027000,207751000,2754000,1174000,1174000,12586000,220337000,12113000,6288000,5825000,188000,188000,12301000,1242000,1242000,1242000,13543000,345169000,-138346000,206794000,206794000,220337000,-25928000,132000,4593000,8436000,-12767000,-63896000,149000,149000,149000,-76514000,-76514000,-76522000,-25811000,0,-0.12537,-0.11767,16.88895,0.06549,0,-0.79319,-0.79319,0.00046,6.32677,-0.12462,7.9704,7.92985
"6","2015_Q2",28.815873015873,"Up",36949.3194109341,-26150000,-5399000,-20751000,-26150000,83000,141000,-26067000,-26067000,-26067000,-26067000,-26067000,-26067000,246409000,51453000,2910000,2910000,249319000,3282000,9e+05,9e+05,42721000,292040000,14374000,6957000,7417000,328000,328000,14702000,1813000,1813000,1813000,16515000,439918000,-164412000,275525000,275525000,292040000,-26067000,136000,3980000,1726000,-20225000,-170080000,170000,170000,91160000,-99145000,-99145000,-99156000,-26014000,-2.77555756156289e-17,-0.09461,-0.08926,16.95817,0.05994,1.03397576569128e-25,-0.73808,-0.73808,0.00104184850727676,7.80144,-0.09399,9.47217,9.42291
"7","2015_Q3",17.82953125,"Down",73676.4470777174,-33163000,-6157000,-27006000,-33013000,318000,267000,-32695000,-32695000,-32695000,-32695000,-32695000,-32695000,221186000,24231000,4066000,4066000,225252000,3234000,4e+05,4e+05,38041000,263293000,13802000,4469000,9333000,297000,297000,14099000,1867000,1867000,1867000,15966000,444578000,-197108000,247327000,247327000,263293000,-32695000,156000,5067000,-627000,-28099000,858000,177000,177000,17000,-27224000,-27224000,-27222000,-32857000,0,-0.13219,-0.12418,15.97645,0.06455,0,-0.91585,-0.91585,0.00206304971200256,6.9281,-0.1312,6.73178,6.69997
"8","2015_Q4",14.43515625,"Down",75000,-30685000,-4762000,-25923000,-30610000,237000,239000,-30373000,-30373000,-30373000,-30373000,-30373000,-30373000,195237000,43499000,3107000,3107000,198344000,3660000,537000,537000,38627000,236971000,14037000,4568000,9469000,403000,403000,14440000,1939000,1939000,1939000,16379000,448099000,-227481000,220592000,220592000,236971000,-30373000,165000,4009000,869000,-25330000,44556000,39000,39000,39000,19265000,19265000,19268000,-30445000,8.88178419700125e-16,-0.13769,-0.12817,13.73573,0.07425,0,-0.85052,-0.85052,0.0021,6.17715,-0.13649,6.41278,6.37821
"9","2016_Q1",7.35786885245902,"Down",25000,-29328000,-5264000,-24064000,-29303000,257000,250000,-29046000,-29046000,-29046000,-29046000,-29046000,-29046000,175633000,58358000,1967000,1967000,177600000,3483000,482000,482000,37843000,215443000,14831000,3808000,11023000,301000,301000,15132000,1946000,1946000,1946000,17078000,455174000,-256527000,198365000,198365000,215443000,-29046000,177000,5779000,2030000,-21060000,34528000,230000,230000,1484000,14952000,14952000,14859000,-29126000,0,-0.14643,-0.13482,11.73672,0.08609,0,-0.81246,-0.81246,7e-04,5.54855,-0.145,6.03011,5.99369
"10","2016_Q2",8.66125,"Up",12677.6173427445,-27349000,-5554000,-21795000,-27349000,290000,286000,-27059000,-27059000,-27059000,-27059000,-27059000,-27059000,136416000,42188000,1726000,1726000,138142000,3343000,485000,485000,53993000,192135000,12761000,4109000,8652000,461000,461000,13222000,1877000,1877000,1877000,15099000,460528000,-283586000,177036000,177036000,192135000,-27059000,179000,5472000,-1757000,-23165000,6751000,196000,196000,195999.999999999,-16218000,-16218000,-16170000,-27170000,-7.105427357601e-15,-0.15284,-0.14083,10.44789,0.08529,-1.32348898008484e-23,-0.75418,-0.75418,0.000376519488393114,4.93432,-0.15124,5.02083,4.98797
