"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.80125,"Up",-7104000,-1881000,-5223000,-7104000,-1000,3000,-7105000,-7105000,-7105000,-7105000,-7105000,-7105000,-28560361.7406116,-28560361.7406158,728328.675433811,728328.675433932,-27906240.7760036,-33456.8794597972,251791.207519958,251791.207520532,218334.32806211,-27687906.4479415,-6200506.35829375,-10406785.356034,4206278.99774021,-4415459.15653654,-9.57478883899517e-12,-9.57478883899517e-12,213785.773300887,-4201673.38323565,136362362.191378,-159609101.230636,-23486233.0647058,-23486233.0647058,-27687906.4479415,-7105000,1000,545000,133000,-6426000,17000,-6409000,-6409000,-6409000,-7103000,0,-0.205852960495159,-0.161916980789725,24.1729790978971,0.13125604987257,0.00216661245378918,-0.10397,-0.10397,-0.197503021466295,-0.205631328396687,8.80072651441892,8.80554215875554
"2","2011_Q1",4.02467741935484,"Up",-7824000,-3161000,-4663000,-7824000,731000,738000,-7093000,-7093000,-7093000,-7093000,-7093000,-7093000,24578000,24578000,418000,418000,24996000,4000,104000,104000,108000,25104000,3438000,817000,2621000,3860000,0,0,0,3860000,197545000,-176204000,21244000,21244000,25104000,-7093000,0,585000,1053000,-5455000,1057000,-4398000.00000001,-4398000.00000001,-4398000.00000001,-7824000,0,-0.33388,-0.28254,6.47565,0.1817,0,-0.1038,-0.1038,0.31088,-0.33388,3.14136,3.14136
"3","2011_Q2",4.38666666666667,"Up",-7098000,-2174000,-4924000,-7098000,-3000,2000,-7101000,-7101000,-7101000,-7101000,-7101000,-7101000,48138537.2468705,48138537.2468719,383890.441522063,383890.441522023,48547163.5920012,10485.6264865991,42069.5974933474,42069.5974931559,52555.2239792968,48599718.8159805,5352835.45276458,3780095.11867798,1572740.3340866,5562986.38551218,3.19159627966506e-12,3.19159627966506e-12,-71261.924433629,5491724.46107855,229064212.602874,-185928632.923121,43107994.3549019,43107994.3549019,48599718.8159805,-7101000,806.861991039472,580000,-774000,-7295000,41918000,34623000,34623000,34623000,-9369266.80120785,0,-0.289672346501614,-0.254174339736758,6.08814530070095,0.14525798337581,-0.000722204151263061,-0.10391,-0.10391,0.546178507155431,-0.289746223867771,3.24438199519369,3.24309094708149
"4","2011_Q3",3.1971875,"Down",-8869000,-2666000,-6203000,-8869000,-13000,-1000,-8882000,-8882000,-8882000,-8882000,-8882000,-8882000,52230000,52230000,455000,455000,52685000,3000.00000000001,32000,32000,35000,52720000,3304000,2291000,1013000,3856000,0,0,0,3856000,241057000,-192187000,48864000,48864000,52720000,-8882000,1000,869000,805000,-7207000,236000.000000007,-6971000,-6971000,-6971000,-8868000,3.63797880709171e-12,-0.18177,-0.16847,13.66312,0.07891,0,-0.1078,-0.1078,0.59304,-0.18177,5.88972,5.88905
"5","2011_Q4",3.24063492063492,"Up",-6437000,-3209000,-3228000,-6437000,2000,2000,-6435000,-6435000,-6435000,-6435000,-6435000,-6435000,45909000,45909000,427000,427000,46336000,3000,40000,40000,43000,46379000,2053000,1066000,987000,2713000,0,0,0,2713000,242293000,-198622000,43666000,43666000,46379000,-6435000,0,954000,-1123000,-6604000,283000,-6321000,-6321000,-6321000,-6437000,0,-0.14737,-0.13875,17.07925,0.06213,0,-0.07642,-0.07642,0.51855,-0.14737,7.13205,7.13205
"6","2012_Q1",3.60693548387097,"Up",-9928000,-3282000,-6646000,-9928000,-8000,-7.27595761418343e-12,-9936000,-9936000,-9936000,-9936000,-9936000,-9936000,39635000,39635000,140000,140000,39775000,26000,32000,32000,58000,39833000,5026000,3611000,1415000,5026000,3.23117426778526e-27,3.23117426778526e-27,5.82076609134674e-11,5026000,243365000,-208558000,34807000,34807000,39833000,-9936000,2000,1032000,2608000,-6294000,44999.9999999981,-6274000,-6274000,-6274000,-9926000,0,-0.28546,-0.24944,7.91385,0.1444,-8.67361737988404e-19,-0.11795,-0.11795,0.41321,-0.28546,3.99305,3.99224
"7","2012_Q2",3.96968253968254,"Up",-11029000,-7487000,-3542000,-11029000,-5000,-5000,-11034000,-11034000,-11034000,-11034000,-11034000,-11034000,42627000,42627000,102000,102000,42785000,30000,72000,72000,102000,42887000,3129000,2084000,1045000,3570000,0,0,0,3570000,258909000,-219592000,39317000,39317000,42887000,-11034000,3000,2388000,-1514000,-10157000,13156000,2992000,2992000,2992000,-11026000,0,-0.28064,-0.25728,11.98459,0.0908,0,-0.1307,-0.1307,0.46573,-0.28064,3.86604,3.86499
"8","2012_Q3",3.36206349206349,"Down",-8419000,-5751000,-2668000,-7592000,-4000,-4000.00000000001,-7596000,-7596000,-7596000,-7596000,-7596000,-7596000,34899000,34899000,608000,608000,38299000,59000,260000,260000,319000,38618000,5169000,4235000,934000,5816000,-5.16987882845642e-26,-5.16987882845642e-26,9.31322574615479e-10,5816000,259990000,-227188000,32802000,32802000,38618000,-7596000,5000,883000,-1184000,-7892000,198000,-7728000,-7728000,-7728000,-7587000,0,-0.23157,-0.1967,6.58511,0.17731,6.93889390390723e-18,-0.08571,-0.08571,0.37013,-0.23157,4.59984,4.59681
"9","2012_Q4",1.90467741935484,"Down",-8702000,-5694000,-3008000,-7671000,-623000,-623000,-8294000,-8294000,-8294000,-8294000,-8294000,-8294000,101628000,101628000,8e+05,8e+05,104619000,105000,8e+05,8e+05,905000,105524000,3277000,1574000,1703000,5548000,0,0,28325000,33873000,307133000,-235482000,71651000,71651000,105524000,-8294000,6000,1577000,-2518000,-9229000,76010000,66729000,66729000,66729000,-7665000,30575000,-0.11576,-0.0786,18.85707,0.47275,0.28974,-0.08363,-0.08363,0.72249,-0.08113,9.2698,9.26255
"10","2013_Q1",1.93416666666667,"Up",-11338000,-6482000,-4856000,-9980000,-1144000,-1144000,-11124000,-11124000,-11124000,-11124000,-11124000,-11124000,93032000,93032000,620000,620000,95062000,150000,3954000,3954000,4104000,99166000,5693000,3804000,1889000,8359000,-4.13590306276514e-25,-4.13590306276514e-25,29030000,37389000,308383000,-246606000,61777000,61777000,99166000,-11124000,13000,2159000,210000,-8742000,204000,-8595999.99999999,-8595999.99999999,-8595999.99999999,-9967000,31680000,-0.18007,-0.11218,11.37241,0.60523,0.31946,-0.11141,-0.11141,0.61872,-0.11903,6.15551,6.14749
"11","2013_Q2",1.7975,"Down",-12640000,-8383000,-4257000,-10943000,-1141000,-1141000,-12084000,-12084000,-12084000,-12084000,-12084000,-12084000,81460000,81460000,572000,572000,84201000,154000,3786000,3786000,3940000,88141000,4267000,2263000,2004000,8243000,0,0,28895000,37138000,309693000,-258690000,51003000,51003000,88141000,-12084000,14000,2436000,-1920000,-11554000,-43043253.1598587,-11572000,-11572000,-11572000,-10929000,32795000,-0.23693,-0.1371,10.21485,0.72815,0.37207,-0.12107,-0.12107,0.51098,-0.1442,4.45283,4.44714
