"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",29.2873770491803,"Up",207069000,-41201000,165868000,-137893000,-62464000,-18547000,-56882000,27975000,-4963000,-4963000,23012000,23012000,-8352000,14660000,14660000,14660000,14660000,70876000,70876000,18457000,53576000,10641000,2421000,9923000,142909000,436048000,371361000,7.9e+07,272592000,19769000,807409000,950318000,125769000,35001000,1570000,89198000,125769000,429020000,136832000,27828000,109004000,565852000,691621000,254087000,6445000,-646000,258697000,258697000,950318000,14660000,18547000,7498000,9297000,50002000,-37963000,-37963000,0,-4581310.58927278,-109000,-109000,11930000,11930000,11930000,46522000,429020000,26208000,0.80103,0.1351,0.0708,0.05667,0.01543,1.78772,1.13628,2.67348,0.45145,0.36678,0.31676,5.18071,6.4724,0.6557,0.01778,0.03178,7.69838,12.80229
"2","2015_Q2",32.8209523809524,"Up",222675000,-42546000,180129000,-144381000,-61836000,-18577000,-63968000,35748000,-4650000,-4650000,31098000,31098000,-11556000,19542000,19542000,19542000,19542000,90080000,90080000,18964000,50077000,12560000,180000.000000001,13107000,159121000,458245000,371045000,7.9e+07,272540000,19505000,829290000,988411000,132686000,41628000,2071000,88987000,133626000,429065000,142557000,26097000,116460000,571622000,705248000,258856000,25987000,-491000,283163000,283163000,988411000,19542000,18577000,4038000,9548000,51705000,-36721000,-36721000,-102863524.544813,1346000,2874000,4220000,19204000,19204000,19204000,54325000,429065000,38708000,0.80893,0.16054,0.08776,0.06901,0.01977,1.98076,1.19079,2.49061,0.4341,0.48569,0.46115,5.53434,7.0377,0.96204,0.02286,0.04528,6.23994,9.48263
"3","2015_Q3",37.2496875,"Up",217339000,-40954000,176385000,-149618000,-63582000,-19638000,-66398000,26767000,-2223000,-2223000,24544000,17722000,-5149000,12573000,12573000,12573000,12573000,23722000,23722000,19556000,56906000,11989000,3824000,15858000,100184000,480927000,370121000,7.9e+07,272624000,18497000,851048000,951232000,137890000,42615000,1552000,93723000,146299000,353500000,142787000,21811000,120976000,496287000,642586000,270822000,38560000,-736000,308646000,308646000,951232000,12573000,19638000,-4962000,6526000,33775000,-41148000,-39928000,-67897000,2706000,4986000,-60205000,-66358000,-66358000,-66358000,46405000,3.61e+08,16932000,0.81157,0.12316,0.05785,0.04074,0.01322,1.3467,0.68479,2.08195,0.37951,0.30778,0.29441,5.32033,7.55547,0.41449,0.01548,0.02084,7.26814,12.60052
"4","2015_Q4",38.3221875,"Up",192753000,-36417000,156336000,-146877000,-60688000,-20032000,-66157000,9459000,-2184000,-2184000,7275000,7275000,-2721000,4554000,4554000,4554000,4554000,19329000,19329000,19623000,60111000,13504000,4170000,15609000,99063000,502518000,370318000,7.9e+07,272623000,18695000,872836000,971899000,144724000,42270000,2178000,100276000,1.53e+08,347625000,150831000,21146000,129685000,498456000,651456000,278060000,43114000,-731000,320443000,320443000,971899000,4554000,20032000,-5456000,16979000,36109000,-40874000,-40874000,-5875000,1706000,4541000,372000,-4392999.99999999,-4392999.99999999,-4392999.99999999,29491000,355125000,8317000,0.81107,0.04907,0.02363,0.01421,0.00469,1.82631,0.64747,2.03299,0.36539,0.11042,0.10606,4.67379,7.76996,0.20167,0.00551,0.01006,11.38639,35.50016
"5","2016_Q1",35.8298360655738,"Down",234215000,-42893000,191322000,-153260000,-67623000,-20413000,-65224000,38062000,-2407000,-2407000,35655000,35655000,-12705000,22950000,22950000,22950000,22950000,25495000,25495000,19529000,65056000,12954000,4146000,17699000,110080000,523891000,369730000,7.9e+07,272694000,18036000,893621000,1003701000,149147000,42836000,2697000,103614000,156647000,329916000,170800000,35347000,135453000,500716000,657363000,281244000,66064000,-970000,346338000,346338000,1003701000,22950000,20413000,10844000,11187000,65394000,-44017000,-44017000,-16875000,542000,1122000,-15211000,6166000,6166000,6166000,58475000,337416000,38350000,0.81686,0.16251,0.09799,0.06626,0.02287,1.67102,0.70273,1.89804,0.33617,0.55239,0.53231,5.63738,8.3361,0.92306,0.02686,0.04488,5.33426,8.19508
"6","2016_Q2",40.613125,"Up",261987000,-46151000,215836000,-164662000,-69417000,-20810000,-74435000,51174000,-2110000,-2110000,49064000,49064000,-17903000,31161000,31161000,31161000,31161000,28123000,28123000,18497000,40691000,14898000,871000,22059000,87311000,547176000,369086000,7.9e+07,272577000,17509000,916262000,1003573000,164680000,50274000,10036000,104370000,172180000,292095000,158031000,12675000,145356000,450126000,622306000,284572000,97225000,-530000,381267000,381267000,1003573000,31161000,20810000,5413000,19271000,76655000,-38120000,-38120000,-37875000,430000,1538000,-35907000,2628000,2628000,2628000,71984000,299595000,71038000,0.82384,0.19533,0.11894,0.08173,0.03105,2.27971,0.50709,1.63221,0.29853,0.74799,0.72279,6.28871,9.1519,1.70519,0.03715,0.08468,3.77128,5.30488
"7","2016_Q3",43.373125,"Up",244330000,-44108000,200222000,-164223000,-68788000,-21434000,-74001000,35999000,-1885000,-1885000,34114000,34114000,-12602000,21512000,21512000,21512000,21512000,23250000,23250000,18674000,33961000,13136000,1845000,16526000,75885000,574418000,367986000,7.9e+07,272620000,16366000,942404000,1018289000,162568000,52278000,1068000,109222000,170068000,282274000,155907000,11038000,144869000,438181000,608249000,293818000,118737000,-684000,410040000,410040000,1018289000,21512000,21434000,-4763000,6872000,45055000,-46631000,-45831000,-9875000,2000.00000000006,5776000,-4097000,-4873000,-4873000,-4873000,57433000,289774000,30276000,0.81947,0.14734,0.08804,0.05246,0.02113,1.4074,0.4462,1.48339,0.28457,0.51377,0.497,5.83535,9.79301,0.72308,0.02514,0.03538,4.64061,7.40365
"8","2016_Q4",45.5079365079365,"Up",228659000,-42141000,186518000,-167845000,-68540000,-22864000,-76441000,18673000,-1578000,-1578000,17095000,17095000,-6340000,10755000,10755000,10755000,10755000,14724000,14724000,20557000,33097000,15238000,7430000,7905000,68378000,608546000,367062000,7.9e+07,272649000,15413000,975608000,1043986000,183085000,64786000,2632000,115667000,190585000,270451000,163582000,12059000,151523000,434033000,624618000,297872000,129007000,-790000,419368000,419368000,1043986000,10755000,22864000,1584000,17637000,52840000,-46502000,-46502000,-11798000,-4876000,1810000,-14864000,-8526000,-8526000,-8526000,41537000,277951000,19012000,0.8157,0.08166,0.04704,0.02565,0.0103,1.76774,0.35878,1.48943,0.26624,0.2557,0.24822,5.43634,9.97042,0.45201,0.01249,0.02208,6.33717,14.09666
"9","2017_Q1",55.8090322580645,"Up",270182000,-47900000,222282000,-177612000,-76556000,-23197000,-77859000,44670000,-1412000,-1412000,43258000,43258000,-15891000,27367000,27367000,27367000,27367000,20083000,20083000,21860000,36107000,15828000,5901000,11932000,78050000,606865000,367818000,7.9e+07,272629000,16189000,974683000,1052733000,170297000,55278000,2692000,112327000,177797000,256628000,178856000,14497000,164359000,435484000,613281000,310655000,144337000,-723000,439452000,439452000,1052733000,27367000,23197000,-5749000,11964000,56779000,-49294000,-29032000,-12547000,-20021000,10180000,-22388000,5359000,5359000,5359000,67867000,264128000,46428000,0.82271,0.16533,0.10129,0.06228,0.026,1.6965,0.43898,1.39556,0.2509,0.64827,0.63013,6.4001,10.40978,1.09979,0.03101,0.05261,3.59593,5.46329
"10","2017_Q2",64.1147619047619,"Up",304148000,-48985000,255163000,-190935000,-80168000,-23928000,-86839000,64228000,-1854000,-1854000,62374000,62374000,-19578000,42796000,42796000,42796000,42796000,19945000,19945000,23019000,39610000,17754000,1223000,17409000,82574000,625808000,368334000,7.9e+07,272669000,16665000,994142000,1076716000,189374000,56973000,16976000,115425000,196874000,236805000,188618000,13858000,174760000,425423000,622297000,312718000,180235000,-1015000,454419000,454419000,1076716000,42796000,23928000,2038000,27052000,95814000,-45695000,-45695000,-19132000,-31125000,9908949.53858501,-50257000,-138000.000000002,-138000.000000002,-138000.000000002,88156000,244305000,89091000,0.83894,0.21117,0.14071,0.09418,0.03975,2.08176,0.41943,1.36943,0.2269,1.01828,0.98331,7.23687,10.81241,2.11982,0.04823,0.1004,2.54503,3.49318
"11","2017_Q3",58.2585714285714,"Down",280751000,-48451000,232300000,-193137000,-81215000,-24847000,-87075000,39163000,-2063000,-2063000,37100000,37100000,-6744000,30356000,30356000,30356000,30356000,20596000,20596000,23704000,46187000,16244000,1870000,24291000,90487000,652211000,367561000,7.9e+07,272567000,15994000,1019772000,1110259000,187522000,55303000,6648000,125571000,195022000,293980000,198917000,11981000,186936000,492897000,687919000,315825000,200514000,-295000,422340000,422340000,1110259000,30356000,24847000,794000,6295000,62292000,-54025000,-53225000,58024000,-66440000,2020355.03825083,-8416000,651000,651000,651000,64010000,301480000,23024000,0.82742,0.13949,0.10812,0.07188,0.02734,0.75847,0.46398,1.62883,0.27154,0.73216,0.70853,6.7715,10.18653,0.55532,0.0329,0.02495,4.38813,7.17218
