"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",13.6716129032258,"Up",75121000,-44827000,30294000,-33592000,-29909000,-3683000,-3298000,-1300000,-1027000,-273000,-4598000,-4598000,-1242000,-5840000,-5840000,-5840000,-5840000,33316000,33316000,46928000,46928000,72095000,7789000,5945000,160128000,33767000,32861000,13729000,5720000,3320000,10092000,66628000,226756000,44235000,24103000,1062000,19070000,13909000,13909000,67015000,18433000,8522000,8522000,601000,9310000,33372000,100387000,60258000,-1000,50039000,16073000,126369000,126369000,226756000,-5840000,2464000,5020000,15281000,16925000,-4248000,-4248000,-3000,-123703.188745052,-8083000,4594000,4594000,3242000,7836000,-834000,23810000,11441000,0.40327,-0.0439,-0.07774,-0.04621,-0.02575,-1.95908,2.38944,0.7944,0.105,-0.62877,-0.62877,8.08796,13.60562,1.2318,-0.03464,0.06785,11.39808,2.88235
"2","2011_Q2",14.1752380952381,"Up",78700000,-48020000,30680000,-32015000,-28399000,-3616000,-1335000,-818000,-824000,6000,-2153000,-2153000,916000,-1237000,-1237000,-1237000,-1237000,33041000,33041000,60792000,60792000,84190000,7195000,5522000,185218000,33157000,33704000,13794000,5482000,4138000,10290000,66861000,252079000,46445000,30036000,141000,16268000,13191000,13191000,91999000,18750000,8362000,8362000,678000,9710000,33568000,125567000,60650000,-1000,48802000,17061000,126512000,126512000,252079000,-1237000,2361000,-25000,-24215000,-23116000,-1617000,-1617000,169000,0,23408000,-1325000,-1325000,1050000,-275000,1026000,47181000,-25722000,0.38983,-0.01696,-0.01572,-0.00978000000000001,-0.00491,20.79386,2.01326,0.99253,0.18717,-0.12871,-0.12871,8.18853,13.16325,-2.67631,-0.00643,-0.13366,13.78168,-10.59176
"3","2011_Q3",15.4709375,"Up",128864000,-75931000,52933000,-41509000,-37985000,-3524000,11424000,-1336000,-993000,-343000,10088000,10088000,-1602000,8486000,8486000,8486000,8486000,28580000,28580000,112902000,112902000,84754000,6142000,4541000,232378000,33029000,34005000,13919000,5558000,3829000,10699000,67034000,299412000,51285000,32473000,1362000,17450000,18209000,18209000,127325000,18476000,7987000,7987000,719000,9770000,33085000,160410000,61181000,-1000,57288000,20534000,139002000,139002000,299412000,8486000,2417000,1437000,-40919000,-28579000,-2135000,-2135000,34000,0,25269000,-5445000,-5445000,984000,-4461000,13841000,72440000,-27611000,0.41077,0.08865,0.06585,0.06105,0.02834,-3.25371,1.82508,1.15401,0.24194,0.94552,0.94552,14.35811,15.48769,-3.07643,0.03691,-0.12009,3.16885,3.83929
"4","2011_Q4",14.9193650793651,"Down",122481000,-71953000,50528000,-38718000,-35140000,-3578000,11810000,-2703000,-962000,-1741000,9107000,9107000,-989000.000000001,8118000,8118000,8118000,8118000,30325000,30325000,80921000,80921000,73690000,7724000,5219000,192660000,33007000,32330000,14196000,5405000,3519000,9210000,65337000,257997000,49430000,28824000,1992000,18614000,15210000,15210000,74791000,18508000,7835000,7835000,694000,9979000,31028000,105819000,61623000,-1000,65406000,25150000,152178000,152178000,257997000,8118000,2670000,169000,39711000,50668000,-2243000,-2243000,96000,-68991.3690239294,-49650000,-1225000,-1225000,2970000,1745000,14480000,22671000,52937000,0.41254,0.09642,0.06628,0.05335,0.03147,6.52094,2.57598,0.69536,0.08787,0.87356,0.87356,13.17992,16.37555,5.69644,0.04198,0.27378,-0.528589999999999,-0.64809
"5","2012_Q1",15.6029032258065,"Up",77377000,-48383000,28994000,-33223000,-29122000,-4101000,-4229000,-563000,-351000,-212000,-4792000,-4792000,22069000,17277000,17277000,17277000,17277000,44514000,44514000,47209000,47209000,68462000,16260000,6528000,176445000,35158000,47753000,14651000,5403000,19531000,8168000,82911000,259356000,49415000,28339000,1635000,19441000,12091000,12091000,6.5e+07,19353000,10074000,10074000,348000,8931000,30831000,95831000,62010000,-42703.2446457148,82683000,18832000,163525000,163525000,259356000,17277000,3124000,-17084000,28690000,32007000,-3359000,-7328000,24000,-129415.008466175,-7675000,17004000,17004000,-2815000,14189000,-1105000,14972000,2157000,0.37471,-0.05465,0.22328,0.10565,0.06662,0.12485,2.71454,0.58603,0.05773,1.86396,1.86396,8.34793,17.64214,0.23271,0.08732,0.0109,26.73484,6.98558
"6","2012_Q2",16.2669841269841,"Up",80176000,-49075000,31101000,-34820000,-31223000,-3597000,-3719000,617000,-575000,1192000,-3102000,-3102000,158000.000000004,-2944000,-2944000,-2944000,-2944000,29096000,29096000,65561000,65561000,79015000,14587000,4932000,188259000,34789000,47677000,14471000,5155000,19455000,8596000,82466000,270725000,46965000,29745000,915000,16305000,11957000,11957000,81681000,19487000,9924000,9924000,218000,9345000,30744000,112425000,62723000,-98000,79739000,15936000,158300000,158300000,270725000,-2944000,2594000,739000.000000007,-32417000,-32028000,-766000,-766000.000000001,154000,-98000,19198000,-13596000,-13596000,-1822000,-15418000,-1125000,34016000,-34466000,0.38791,-0.04639,-0.03672,-0.0186,-0.01087,11.7072,2.30481,0.7102,0.12565,-0.30019,-0.30019,8.17538,16.14153,-3.51443,-0.0139,-0.16273,-4.37333,-1.32294
"7","2012_Q3",18.9563492063492,"Up",128726000,-78199000,50527000,-40046000,-36481000,-3565000,10481000,-703000,-807000,104000,9778000,13278000,-5995000,7283000,7283000,7283000,7283000,29649000,29649000,111357000,111357000,79304000,13498000,3824000,233808000,34982000,44090000,14596000,5043000,15074000,9377000,79072000,312880000,57963000,39467000,2078000,16418000,14417000,14417000,115247000,20601000,9880000,9880000,245000,10476000,29205000,144452000,63287000,-111979.04644209,87022000,18119000,168428000,168428000,312880000,7283000,3017000,940000,-26003000,-14763000,-2988000,-2988000,86000,0,17528000,-223000,-223000,776000,553000,13498000,51471000,-9498000,0.39252,0.08142,0.05658,0.04324,0.02328,-1.30413,2.02876,0.85765,0.16451,0.81657,0.81657,14.43278,18.88418,-1.06492,0.03028,-0.03949,1.61668,2.08205
"8","2012_Q4",18.6137096774194,"Down",128595000,-74348000,54247000,-40025000,-36455000,-3570000,14222000,-178000,-581000,403000,14044000,14044000,-5049000,8995000,8995000,8995000,8995000,38745000,38745000,77012000,77012000,67018000,13957000,4431000,196732000,36049000,42127000,14361000,4344000,14337000,9085000,78176000,274908000,53846000,30269000,4983000,18594000,15443000,15443000,73295000,19474000,9269000,9269000,191000,10014000,27944000,101239000,63828000,-9000,96017000,13833000,173669000,173669000,274908000,8995000,3266000,5542000,35993000,53796000,-3968000,-3968000,22000,-8999.99999999997,-38959000,10869000,10869000,-1773000,9096000,17488000,12476000,54562000,0.42184,0.1106,0.06995,0.05179,0.03272,6.06581,2.68411,0.58294,0.04538,0.95763,0.95763,13.69051,18.48919,5.80879,0.04375,0.26535,-1.50212000000001,-1.84707
"9","2013_Q1",19.8625,"Up",74795000,-46348000,28447000,-31518000,-27518000,-4e+06,-3071000,-1223000,-155000,-1068000,-4294000,-4294000,1094000,-3200000,-3200000,-3200000,-3200000,58904000,58904000,40673000,40673000,67058000,16317000,7672000,182952000,36667000,44013000,14466000,4309000,14808000,10430000,80680000,263632000,45257000,24559000,582000,20116000,13184000,13184000,58967000,22727000,11827000,11827000,694000,10206000,31061000,90028000,64679000,-9000,92817000,16117000,173604000,173604000,263632000,-3200000,2653000,6992000,18314000,24759000,-3067000,-3067000,594000,0,-3023000,18669000,18669000,1490000,20159000,-418000,8860000,13735000,0.38033,-0.04106,-0.04278,-0.01843,-0.01214,-4.29219,3.10262,0.51858,0.03361,-0.34053,-0.34053,7.95946,18.47441,1.46164,-0.0156,0.06694,119.72249,16.29567
"10","2013_Q2",21.71171875,"Up",87274000,-53460000,33814000,-32288000,-28663000,-3625000,1526000,-916000,-418000,-498000,610000,609999.999999998,-363000.000000001,247000,247000,247000,247000,48084000,48084000,62811000,62811000,77360000,16899000,8094000,205154000,37847000,61228000,21048000,14591000,14671000,10918000,99075000,304229000,50162000,32129000,1732000,16301000,13050000,13050000,94480000,27137000,11667000,11667000,4951000,10519000,35333000,129813000,64958000,-733000,93064000,17127000,174416000,174416000,304229000,247000,2342000,427000,-25750000,-22734000,-3027000,-18447000,-8e+05,-886000,29803000,-11378000,-11378000,558000,-10820000,3868000,39464000,-24546000,0.38745,0.01749,0.00283000000000001,0.00142000000000001,0.000810000000000007,-99.37652,2.1714,0.74427,0.12972,0.0261700000000002,0.02617,9.24611,18.47823,-2.60049,0.00102,-0.10184,-2.22854000000002,-5.64875
