"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.01809523809524,"Up",530863000,-418505000,112358000,-26252000,-26252000,86106000,-34185000,-32301000,-32301000,-1884000,51921000,-480000,51441000,-20116000,31325000,31325000,-413000,30912000,30912000,180474000,180474000,91769000,91769000,33737000,72336000,17484000,378316000,3168288000,3168288000,2348473000,3171460000,1307560000,1863900000,8688221000,9066537000,334948000,329856000,5092000,28622000,364124000,1858465000,5323526000,1412080000,276717000,3607218000,7181991000,7546115000,1981987000,-572964000,110969000,1519992000,430000,1520422000,9066537000,31325000,28679000,30591000,18341000,108936000,5932000,24268000,24268000,-18336000,-18336000,-259393000,26445000,-227016000,-10161000,130528000,335000,1024000,-689000,114499000,-3581000,-3581000,4310000,729000,114785000,1887087000,159174000,0.21165,0.1622,0.05823,0.02033,0.00341,5.14926,1.03898,4.96317,0.20814,0.12151,0.12068,2.08673,5.97481,0.62568,0.03994,7,0.0047,0.01823,0.32871,14.86791,19.81991
"2","2010_Q3",6.51171875,"Down",555273000,-445975000,109298000,-26974000,-26974000,82324000,-28210000,-32483000,-32483000,4273000,54114000,13311000,67425000,-27198000,40227000,40227000,58000.0000000001,40285000,40285000,152242000,152242000,83646000,83646000,33155000,76694000,23909000,345737000,3158423000,3158423000,2277314000,3024553000,1284114000,1740439000,8460290000,8806027000,307174000,303156000,4018000,26838000,334012000,1835661000,5152380000,1414794000,293969000,3442968000,6988041000,7322053000,1921650000,-532679000,94637000,1483608000,366000,1483974000,8806027000,40227000,29664000,23276000,-16073000,77094000,12332000,35610000,35610000,-23278000,-23278000,-22399000,-4000,-10071000,-10191000,-6538000.00000003,-54104000,432000,-54536000,-93229000,-26206000,-26206000,-2026000,-28232000,111988000,1862499000,135445000,0.19684,0.14826,0.07255,0.02715,0.00457,3.36217,1.0351,4.93408,0.2115,0.16002,0.15887,2.20567,5.89323,0.53802,0.04048,6,0.00594,0.01594,0.25297,15.27179,20.77471
"3","2010_Q4",6.7434375,"Up",533165000,-430518000,102647000,-26860000,-26860000,75787000,-30809000,-31497000,-31497000,688000,44978000,-16357000,28621000,-9941000,18680000,18680000,85000,18765000,18765000,135813000,135813000,88554000,88554000,33713000,86415000,32049000,344495000,3123255000,3123255000,2421959000,3060788000,1288261000,1772527000,8606002000,8950497000,321126000,320860000,266000,22319000,343583000,1798542000,5337628000,1411310000,303982000,3619753000,7136170000,7479753000,1882471000,-513914000,101903000,1470460000,284000,1470744000,8950497000,18680000,29333000,44429000,-12361000,80081000,-2841000,22988000,22988000,-25829000,-25829000,-8000,-1000,-2850000,-9872000,42241000,-31633000,13000,-31646000,-94599000,-17368000,-17368000,939000,-16429000,105120000,1820861000,99859000,0.19252,0.14215,0.0352,0.01276,0.0021,5.32156,1.00265,5.08569,0.20344,0.07624,0.07575,2.16612,5.97413,0.4057,0.04011,5,0.00332,0.01157,0.52609,16.02976,22.234
"4","2011_Q1",8.05161290322581,"Up",571251000,-446331000,124920000,-23603000,-23603000,101317000,-31983000,-31915000,-31915000,-68000,69334000,2638000,71972000,-35203000,36769000,36769000,-314000,36455000,36455000,170846000,170846000,107185000,107185000,27372000,69117000,27746000,374520000,3136485000,3136485000,2550912000,3128623000,1307484000,1821139000,8816020000,9190540000,344125000,342651000,1474000,22502000,366627000,1832380000,5511585000,1393716000,323303000,3794566000,7343965000,7710592000,1844147000,-477459000,112768000,1479456000,492000,1479948000,9190540000,36769000,28715000,58440000,-35656000,88268000,-22487000,7969000,7969000,-30456000,-30456000,-17283000,-3000.00000000047,-39773000,-9777000,31636000,-29717000,290000,-30007000,-14857000,33638000,33638000,1395000,35033000,130032000,1854882000,107092000,0.21868,0.17736,0.06382,0.02463,0.00397,2.93765,1.02153,5.21004,0.20183,0.1499,0.14883,2.34891,6.08334,0.44035,0.0402,7,0.00523,0.01211,0.26819,12.95094,16.62146
"5","2011_Q2",9.33619047619048,"Up",579699000,-453253000,126446000,-28833000,-28833000,97613000,-32885000,-33559000,-33559000,674000,64728000,-734000,63994000,-24065000,39929000,39929000,-1165000,38764000,38764000,210307000,210307000,93209000,93209000,34245000,62274000,17966000,400035000,3142535000,3142535000,2638163000,3139513000,1313671000,1825842000,8920211000,9320246000,342726000,338540000,4186000,22693000,365419000,1830090000,5630028000,1399904000,344885000,3885239000,7460118000,7825537000,1807471000,-438695000,124270000,1493046000,1663000,1494709000,9320246000,39929000,29331000,41337000,-2611000,107986000,-20441000,4697000,4697000,-25138000,-25138000,-10513000,3567000,-27387000,-9605000,-1555000,-27063000,3182000,-30245000,-43378000,37221000,37221000,2240000,39461000,126944000,1852783000,127957000,0.21812,0.16839,0.06687,0.02593,0.00416,3.30092,1.09473,5.23549,0.19879,0.16167,0.16015,2.41771,6.22694,0.53366,0.04006,9,0.00539,0.01425,0.24778,12.93859,16.82641
"6","2011_Q3",8.3828125,"Down",576774000,-461751000,115023000,-24685000,-24685000,90338000,-33833000,-33879000,-33879000,46000,56505000,-11678000,44827000,-18089000,26738000,26738000,-645000,26093000,26093000,132994000,132994000,101616000,101616000,27017000,67046000,22908000,328673000,3141625000,3141625000,2650962000,3391811000,1378076000,2013735000,9184398000,9513071000,330663000,329257000,1406000,23392000,354055000,1812202000,5839265000,1486036000,353141000,4000088000,7651467000,8005522000,1776872000,-412602000,122684000,1486954000,20595000,1507549000,9513071000,26738000,29629000,46995000,-35818000,67544000,-26596000,5341000,5341000,-31937000,-31937000,-55669000,982000,-81283000,-11941000,-6460000,-21719000,3680000,-25399000,-63102000,-76841000,-76841000,-472000,-77313000,119967000,1835594000,75642000,0.19942,0.15663,0.04524,0.01731,0.00274,2.89894,0.92831,5.31029,0.19295,0.10941,0.10821,2.41844,6.23487,0.31717,0.05007,6,0.00414,0.00824,0.45763,14.19224,18.847
"7","2011_Q4",8.25031746031746,"Down",572999000,-465949000,107050000,-23863000,-23863000,83187000,-32789000,-33038000,-33038000,249000,50398000,-6356000,44042000,-9027000,35015000,35015000,481000,35496000,35496000,127037000,127037000,89899000,89899000,26494000,6.5e+07,21458000,308430000,3127002000,3127002000,2487989000,3247885000,1337587000,1910298000,8862876000,9171306000,354192000,351235000,2957000,23685000,377877000,1863899000,5509281000,1410328000,379930000,3719023000,7373180000,7751057000,1699597000,-398997000,99552000,1400152000,20097000,1420249000,9171306000,35015000,29403000,34393000,16972000,115783000,-23666000,5195000,5195000,-28861000,-28861000,-31291000,-3593000,-58550000,-11849000,57233000,-90114000,832000,-90946000,-59682000,-2449000,-2449000,-3508000,-5957000,112590000,1887584000,114923000,0.18682,0.14518,0.06195,0.02499,0.00387,3.23763,0.81622,5.45753,0.20581,0.15244,0.15079,2.46082,6.01313,0.49355,0.05089,6,0.00537,0.01303,0.33381,15.6368,21.16373
"8","2012_Q1",9.215,"Up",586568000,-458585000,127983000,-24445000,-24445000,103538000,-35047000,-33306000,-33306000,-1741000,68491000,4282000,72773000,-28223000,44550000,44550000,0,44550000,44550000,128569000,128569000,103892000,103892000,25513000,70119000,25803000,328093000,3116064000,3116064000,2612446000,3271209000,1361493000,1909716000,8999719000,9327812000,362054000,358904000,3150000,23554000,385608000,1861116000,5668893000,1408849000,405615000,3854429000,7530009000,7915617000,1653286000,-367044000,105852000,1392094000,20101000,1412195000,9327812000,44550000,29684000,46741000,-24176000,96799000,-23143000,9296000,9296000,-32439000,-32439000,-2097000,2203000,-23037000,-11400000,-10820000,-50179000,533000,-50712000,-72504000,1257999.99999999,1258000,274000,1532000.00000001,133222000,1884670000,114126000,0.21819,0.17651,0.07595,0.03155,0.00478,2.56175,0.85085,5.60519,0.20205,0.19725,0.19532,2.59708,6.16361,0.5053,0.05047,6,0.00624,0.01273,0.25589,13.18176,16.96093
"9","2012_Q2",9.52444444444444,"Up",602506000,-474939000,127567000,-25959000,-25959000,101608000,-29683000,-33588000,-33588000,3905000,71925000,-490000,71435000,-23120000,48315000,48315000,-290000,48025000,48025000,113831000,113831000,96376000,96376000,25438000,62473000,24400000,298118000,3115596000,3115596000,2763057000,3298654000,1358182000,1940472000,9177307000,9475425000,361367000,347823000,13544000,28415000,389782000,1858984000,5841564000,1423513000,414810000,4003241000,7700548000,8090330000,1595686000,-342579000,111612000,1364719000,20376000,1385095000,9475425000,48315000,29541000,41297000,-23369000,95784000,-23114000,264000,264000,-23378000,-23378000,-804000,1176000,-22742000,-11104000,-5241000,-72783000,2323000,-75106000,-89128000,-16086000,-16086000,1348000,-14738000,131149000,1887399000,107786000,0.21173,0.16864,0.07971,0.03467,0.00507,2.24437,0.76483,5.84099,0.19919,0.21816,0.21515,2.73702,6.19955,0.48964,0.05044,7,0.00649,0.01183,0.23121,13.52331,17.455
"10","2012_Q3",10.97,"Up",597372000,-469183000,128189000,-29558000,-29558000,98631000,-36115000,-33894000,-33894000,-2221000,62516000,1058000,63574000,-25935000,37639000,37639000,-563000,37076000,37076000,105343000,105343000,91040000,91040000,25497000,60779000,22618000,282659000,3112381000,3112381000,2763636000,3266668000,1354259000,1912409000,9142685000,9425344000,340095000,334323000,5772000,30500000,370595000,1869264000,5809055000,1424867000,432491000,3951697000,7678319000,8048914000,1569007000,-316456000,103328000,1355879000,20551000,1376430000,9425344000,37639000,29570000,43643000,-48253000,62599000,-21813000,6871000,6871000,-28684000,-28684000,-9746000,-5690000,-37249000,-10855000,5570000,-28124000,1470000,-29594000,-33409000,-8059000,-8059000,-429000,-8488000,128201000,1899764000,84070000,0.21459,0.16511,0.06207,0.02694,0.00393,2.2675,0.76272,5.84767,0.20156,0.17173,0.16937,2.76692,6.28018,0.3894,0.05028,7,0.00528,0.00925,0.29278,13.99693,18.19328
