"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.1928571428571,"Down",2.6913e+10,-1.0652e+10,1.6261e+10,-1.182e+10,-7.698e+09,-4.122e+09,4.441e+09,-5.01e+08,-6.8e+08,1.33e+08,4.6e+07,3.94e+09,3.94e+09,-1.622e+09,2.318e+09,2.318e+09,-1.875e+09,4.43e+08,4.43e+08,3.557e+09,3.037e+09,1.1969e+10,1.1969e+10,1.113e+09,5.766e+09,5.766e+09,2.2405e+10,9.1834e+10,2.31771e+11,-1.39937e+11,1.13108e+11,2.2472e+10,6.51e+09,3.685e+09,8.0441e+10,2.04942e+11,2.27347e+11,1.4569e+10,7.129e+09,6.365e+09,6.365e+09,2.8063e+10,5.4424e+10,6.0208e+10,3.177e+10,2.1665e+10,6.773e+09,1.14632e+11,1.42695e+11,4.0405e+10,-5.277e+09,1.6658e+10,-1.1324e+10,4.0462e+10,4.419e+10,8.4652e+10,2.27347e+11,2.318e+09,4.122e+09,1.687e+09,-1.043e+09,7.084e+09,-3.423e+09,-2.74e+08,7.4e+07,-3.623e+09,-1.347e+09,-6.16e+08,-4.7e+08,-2.433e+09,1.028e+09,1.028e+09,1.028e+09,8.563e+09,6.1553e+10,5.719e+09,0.60421,0.16501,0.01646,0.00523,0.00195,12.90971,0.79838,1.68567,0.27074,0.15621,0.15615,9.48977,14.26728,2.01657,0.47496,4.03887727378621,0.00867,0.02771,3.04063,6.77286,13.05922
"2","2010_Q3",16.92421875,"Up",2.6773e+10,-1.2216e+10,1.4557e+10,-1.4147e+10,-9.97e+09,-4.177e+09,409999999.999999,-5.42e+08,-6.79e+08,1.21e+08,1.6e+07,-1.32e+08,-1.32e+08,6.85e+08,5.53e+08,5.53e+08,-1.745e+09,-1.192e+09,-1.192e+09,5.225e+09,4.761e+09,1.2058e+10,1.2058e+10,9.85e+08,2.793e+09,2.793e+09,2.1061e+10,9.2101e+10,2.34727e+11,-1.42626e+11,1.13089e+11,2.2467e+10,6.324e+09,3.797e+09,8.0501e+10,2.0519e+11,2.26251e+11,1.6905e+10,7.874e+09,7.055e+09,7.055e+09,3.1834e+10,4.9594e+10,6.035e+10,3.2435e+10,2.1324e+10,6.591e+09,1.09944e+11,1.41778e+11,4.0405e+10,-5.277e+09,1.5117e+10,-1.0991e+10,3.9254e+10,4.5219e+10,8.4473e+10,2.26251e+11,5.53e+08,4.177e+09,2.448e+09,2.545e+09,9.723e+09,-4.196e+09,2.33e+09,-5.4e+07,-1.92e+09,-1.343e+09,-4.075e+09,-6.61e+08,-6.079e+09,1.724e+09,1.724e+09,1.724e+09,4.587e+09,5.7468e+10,2.251e+09,0.54372,0.01531,-0.04452,-0.01411,-0.00527,-1.88842,0.66159,1.67838,0.254,-0.4218,-0.42195,9.47381,13.8903,0.79653,0.47523,3.88740121268598,0.000750000000000001,0.01113,-1.12668,11.38936,127.42195
"3","2010_Q4",19.34953125,"Up",2.6484e+10,-1.0671e+10,1.5813e+10,-1.243e+10,-8.407e+09,-4.023e+09,3.383e+09,-5.07e+08,-5.97e+08,1.41e+08,-5.1e+07,2.876e+09,2.876e+09,-1.78e+08,2.698e+09,2.698e+09,-2.039e+09,6.59e+08,6.59e+08,5.975e+09,5.394e+09,1.1973e+10,1.1973e+10,1.01e+09,2.383e+09,2.383e+09,2.1341e+10,8.743e+10,2.17859e+11,-1.30429e+11,1.12081e+11,2.1933e+10,5.915e+09,3.832e+09,8.0401e+10,1.99511e+11,2.20852e+11,1.6092e+10,5.81e+09,6.865e+09,6.865e+09,2.8767e+10,4.736e+10,6.0101e+10,3.1915e+10,2.1772e+10,6.414e+09,1.07461e+11,1.36228e+11,3.8218e+10,-5.276e+09,1.4621e+10,-9.646e+09,3.7917e+10,4.6707e+10,8.4624e+10,2.20852e+11,2.698e+09,4.023e+09,2.448e+09,-8.62e+08,8.307e+09,-4.125e+09,-4.89e+08,9.7e+07,-4.517e+09,-1.344e+09,-4.347e+09,2.534e+09,-3.157e+09,6.33e+08,6.33e+08,6.33e+08,7.406e+09,5.317e+10,2.597e+09,0.59708,0.12774,0.02488,0.00779,0.00298,3.94082,0.74186,1.6098,0.24075,0.23303,0.23303,9.36492,13.40771,0.91832,0.47525,4.70777545475724,0.01012,0.01312,2.03945,6.37254,13.95064
"4","2011_Q1",21.3591935483871,"Up",2.6395e+10,-1.061e+10,1.5785e+10,-9.374e+09,-5.291e+09,-4.083e+09,6.411e+09,-4.11e+08,-5.67e+08,1.13e+08,4.3e+07,6e+09,6e+09,-1.352e+09,4.648e+09,4.648e+09,-2.009e+09,2.639e+09,2.639e+09,7.213e+09,6.668e+09,1.1781e+10,1.1781e+10,1.131e+09,2.223e+09,2.223e+09,2.2348e+10,8.7711e+10,2.11655e+11,-1.23944e+11,1.09946e+11,2.1988e+10,5.83e+09,3.497e+09,7.8631e+10,1.97657e+11,2.20005e+11,1.5702e+10,7.542e+09,7.353e+09,7.353e+09,3.0597e+10,4.5252e+10,5.7244e+10,2.8164e+10,2.2818e+10,6.262e+09,1.02496e+11,1.33093e+11,3.8219e+10,-5.267e+09,4.368e+09,1.249e+09,3.8569e+10,4.8343e+10,8.6912e+10,2.20005e+11,4.648e+09,4.083e+09,-43999999.9999995,-4.38e+08,8.249e+09,-5.5e+09,3.75e+08,1.31e+08,-4.994e+09,-1.378e+09,-1.95e+08,-4.08e+08,-1.981e+09,1.274e+09,1.274e+09,1.274e+09,1.0494e+10,5.2794e+10,5.908e+09,0.59803,0.24289,0.09998,0.03036,0.012,2.23873,0.7304,1.53135,0.23997,0.93251,0.92857,9.32686,13.62862,2.08763,0.48693,6,0.0204,0.03,0.52217,4.34353,7.10981
"5","2011_Q2",22.0644444444444,"Up",2.699e+10,-1.1229e+10,1.5761e+10,-1.1308e+10,-7.284e+09,-4.024e+09,4.453e+09,-5.72e+08,-7.09e+08,1.01e+08,3.6e+07,3.881e+09,3.881e+09,-6.17e+08,3.264e+09,3.264e+09,-1.825e+09,1.439e+09,1.439e+09,1.473e+10,1.4007e+10,1.1028e+10,1.1028e+10,1.245e+09,2.92e+09,2.92e+09,2.9923e+10,8.8245e+10,2.11704e+11,-1.23459e+11,1.0994e+11,2.1993e+10,5.655e+09,3.732e+09,7.856e+10,1.98185e+11,2.28108e+11,1.381e+10,1.1823e+10,7.114e+09,7.114e+09,3.2747e+10,4.9374e+10,5.7123e+10,2.7543e+10,2.3578e+10,6.002e+09,1.06497e+11,1.39244e+11,3.8211e+10,-5.189e+09,4.427e+09,1.539e+09,3.8988e+10,4.9876e+10,8.8864e+10,2.28108e+11,3.264e+09,4.024e+09,-1.83e+08,-2.07e+09,5.035e+09,-4.363e+09,-1.04e+08,9.2e+07,-4.375e+09,-1.379e+09,8.272e+09,-2.84e+08,6.679e+09,7.339e+09,7.339e+09,7.339e+09,8.477e+09,6.1197e+10,2.661e+09,0.58396,0.16499,0.05332,0.01619,0.00631,1.8492,0.91376,1.56693,0.26828,0.50848,0.50776,9.5371,13.77668,0.94028,0.48728,7.26407484841425,0.0136,0.01284,0.9583,5.48154,10.43499
"6","2011_Q3",21.80859375,"Down",2.7536e+10,-1.1158e+10,1.6378e+10,-1.1486e+10,-7.373e+09,-4.113e+09,4.892e+09,-5.86e+08,-7.17e+08,1.21e+08,1e+07,4.306e+09,4.306e+09,-7.02e+08,3.604e+09,3.604e+09,-1.995e+09,1.609e+09,1.609e+09,6.828e+09,6.24e+09,1.1483e+10,1.1483e+10,1.27e+09,2.891e+09,2.891e+09,2.2472e+10,8.9397e+10,2.12949e+11,-1.23552e+11,1.11887e+11,2.348e+10,5.945e+09,3.908e+09,7.8554e+10,2.01284e+11,2.23756e+11,1.4238e+10,6.055e+09,7.081e+09,7.081e+09,2.7374e+10,4.7927e+10,5.7743e+10,2.7589e+10,2.4603e+10,5.551e+09,1.0567e+11,1.33044e+11,3.8211e+10,-5.132e+09,4.656e+09,1.613e+09,3.9348e+10,5.1364e+10,9.0712e+10,2.23756e+11,3.604e+09,4.113e+09,3.31e+08,-2.91e+08,7.757e+09,-4.555e+09,-1.564e+09,6.22e+08,-5.497e+09,-1.38e+09,-8.176e+09,-5.23e+08,-1.0027e+10,-7.767e+09,-7.767e+09,-7.767e+09,9.005e+09,5.3982e+10,4.861e+09,0.59479,0.17766,0.05843,0.01774,0.00719,3.02113,0.82092,1.46666,0.24125,0.56815,0.56655,9.72316,13.89407,1.71645,0.48729,8,0.01477,0.02401,0.85768,5.23642,9.639
"7","2011_Q4",23.0087301587302,"Up",2.7913e+10,-1.1398e+10,1.6515e+10,-1.1868e+10,-7.689e+09,-4.179e+09,4.647e+09,-5.49e+08,-6.98e+08,1.25e+08,2.4e+07,4.098e+09,4.098e+09,-5.56e+08,3.542e+09,3.542e+09,-2.163e+09,1.379e+09,1.379e+09,1.0858e+10,1.0324e+10,1.1648e+10,1.1648e+10,1.153e+09,4.111e+09,4.111e+09,2.777e+10,8.8843e+10,2.14798e+11,-1.25955e+11,1.11419e+11,2.3541e+10,5.915e+09,3.461e+09,7.8502e+10,2.00262e+11,2.28032e+11,1.4486e+10,8.63e+09,1.152e+10,1.152e+10,3.4636e+10,4.6285e+10,5.9596e+10,2.7705e+10,2.6412e+10,5.479e+09,1.05881e+11,1.40517e+11,3.8209e+10,-5.112e+09,4.619e+09,1.335e+09,3.9051e+10,4.8464e+10,8.7515e+10,2.28032e+11,3.542e+09,4.179e+09,1.191e+09,-1.92e+08,8.72e+09,-3.804e+09,-1e+07,2.74e+08,-3.54e+09,-1.38e+09,8.11e+08,-5.44e+08,-1.096e+09,4.084e+09,4.084e+09,4.084e+09,8.826e+09,5.4915e+10,5.386e+09,0.59166,0.16648,0.0494,0.01576,0.00605,3.90573,0.80177,1.60563,0.24082,0.48659,0.48556,9.84933,13.77946,1.90049,0.48694,7,0.01366,0.02666,1.00073,4.99173,9.48074
"8","2012_Q1",23.9846774193548,"Up",2.8436e+10,-1.209e+10,1.6346e+10,-1.7458e+10,-1.3278e+10,-4.18e+09,-1.112e+09,-6.9e+08,-7.03e+08,9.7e+07,-8.4e+07,-1.802e+09,-1.802e+09,1.59e+09,-2.12e+08,-2.12e+08,-1.811e+09,-2.023e+09,-2.023e+09,1.3954e+10,1.3362e+10,1.1776e+10,1.1776e+10,9.4e+08,4.269e+09,4.269e+09,3.0939e+10,8.8434e+10,2.15626e+11,-1.27192e+11,1.11088e+11,2.3357e+10,5.878e+09,3.448e+09,7.8405e+10,1.99522e+11,2.30461e+11,1.4689e+10,4.849e+09,1.1223e+10,1.1223e+10,3.0761e+10,5.0303e+10,6.3489e+10,3.2957e+10,2.506e+10,5.472e+09,1.13792e+11,1.44553e+11,3.8216e+10,-5.002e+09,1.179e+09,1.577e+09,3.597e+10,4.9938e+10,8.5908e+10,2.30461e+11,-2.12e+08,4.18e+09,4.026e+09,2.74e+08,8.268e+09,-3.743e+09,-1.19e+08,2.4e+07,-3.838e+09,-1.416e+09,276000000.000002,-3.54e+08,-1.392e+09,3.038e+09,3.038e+09,3.038e+09,3.068e+09,5.5152e+10,-1.991e+09,0.57483,-0.03911,-0.07114,-0.02355,-0.00878,0.98418,1.00579,1.68265,0.23931,-0.71333,-0.71182,10.0268,12.68336,-0.70205,0.49929,4,-0.00297,-0.00973,-0.69995,13.42829,-37.04856
"9","2012_Q2",25.747619047619,"Up",2.8242e+10,-1.1319e+10,1.6923e+10,-1.1728e+10,-7.7e+09,-4.028e+09,5.195e+09,-5.63e+08,-6.85e+08,1.03e+08,1.9e+07,4.632e+09,4.632e+09,-7.26e+08,3.906e+09,3.906e+09,-2.22e+09,1.686e+09,1.686e+09,6.532e+09,5.909e+09,1.1234e+10,1.1234e+10,1.063e+09,4.683e+09,4.683e+09,2.3512e+10,8.8186e+10,2.1825e+11,-1.30064e+11,1.11223e+11,2.3465e+10,5.744e+09,3.566e+09,7.8448e+10,1.99409e+11,2.22921e+11,1.3231e+10,3.121e+09,6.561e+09,6.561e+09,2.2913e+10,4.8476e+10,6.3111e+10,3.2164e+10,2.561e+10,5.337e+09,1.11587e+11,1.345e+11,3.8223e+10,-4.735e+09,1.444e+09,1.739e+09,3.6671e+10,5.175e+10,8.8421e+10,2.22921e+11,3.906e+09,4.028e+09,-3.97e+08,-1.58e+09,5.957e+09,-3.59e+09,-1.4e+08,5.7e+07,-3.673e+09,-1.291e+09,-3.562e+09,-4.953e+09,-9.737e+09,-7.453e+09,-7.453e+09,-7.453e+09,9.223e+09,5.1597e+10,4.779e+09,0.59921,0.18395,0.0597,0.01907,0.00756,2.83452,1.02614,1.52113,0.23146,0.59324,0.59179,9.93737,12.90324,1.68156,0.45426,7,0.01466,0.02353,0.76572,4.88615,8.67469
"10","2012_Q3",28.3326984126984,"Up",2.8552e+10,-1.0896e+10,1.7656e+10,-1.2005e+10,-7.877e+09,-4.128e+09,5.651e+09,-5.73e+08,-6.79e+08,7.2e+07,3.4e+07,5.078e+09,5.078e+09,-7.93e+08,4.285e+09,4.285e+09,-2.46e+09,1.825e+09,1.825e+09,1.0778e+10,1.0001e+10,1.1595e+10,1.1595e+10,8.56e+08,3.901e+09,3.901e+09,2.713e+10,8.7895e+10,2.17739e+11,-1.29844e+11,1.11047e+11,2.3478e+10,5.726e+09,3.539e+09,7.8304e+10,1.98942e+11,2.26072e+11,1.3973e+10,5.912e+09,6.468e+09,6.468e+09,2.6353e+10,4.6479e+10,6.2812e+10,3.1909e+10,2.5649e+10,5.254e+09,1.09291e+11,1.35644e+11,3.8229e+10,-4.438e+09,1.845e+09,1.514e+09,3.715e+10,5.3278e+10,9.0428e+10,2.26072e+11,4.285e+09,4.128e+09,4.57e+08,4.44e+08,9.314e+09,-3.873e+09,-6.3e+07,2.5e+07,-3.911e+09,-1.296e+09,7.84e+08,-939999999.999999,-1.311e+09,4.092e+09,4.092e+09,4.092e+09,9.779e+09,5.2391e+10,7.143e+09,0.61838,0.19792,0.06392,0.02018,0.00807,3.91397,1.02948,1.50002,0.23174,0.64035,0.63834,10.01825,13.03509,2.50632,0.45474,8,0.01518,0.03474,0.71014,4.25534,7.36383
