"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",51.5688709677419,"Up",3.528e+09,-2.066e+09,1.462e+09,-1.007e+09,-7.92e+08,-1.13e+08,-1.02e+08,4.55e+08,-2.6e+07,-4.1e+07,1.5e+07,4.29e+08,-3e+06,4.26e+08,-9.8e+07,3.28e+08,3.96e+08,-3.4e+07,3.62e+08,3.62e+08,2.011e+09,1.392e+09,6.19e+08,3.19e+09,1.777e+09,7.99e+08,7.99e+08,7.777e+09,2.759e+09,2.759e+09,4.24e+08,4.646e+09,1.066e+09,2.706e+09,8.74e+08,7.829e+09,1.5606e+10,3.105e+09,6.36e+08,7.49e+08,7.49e+08,4.49e+09,3.365e+09,3.619e+09,2.218e+09,9.92e+08,1.226e+09,2.63e+08,1.138e+09,6.984e+09,1.1474e+10,1.335e+09,-5.504e+09,9.734e+09,-1.704e+09,3.861e+09,2.71e+08,4.132e+09,1.5606e+10,3.1e+08,3.64e+08,1.04e+08,-1.39e+08,2.69e+08,6.05e+08,-6.2e+07,-2e+07,-3.55e+08,-4.46e+08,-9e+07,3.68e+08,3.9e+07,-1.15e+08,2.02e+08,3.61e+08,3.61e+08,1.4e+07,3.75e+08,5.59e+08,4.001e+09,8.64e+08,0.4144,0.12897,0.10261,0.08761,0.0232,2.38674,1.73207,2.77686,0.25638,1.18223,1.17228,11.52188,12.60941,2.82169,0.29393,7,0.03846,0.07352,0.24862,3.55993,4.37363
"12","2013_Q1",58.84,"Up",2.417e+09,-1.604e+09,8.13e+08,-7.72e+08,-5.93e+08,-9.5e+07,-8.4e+07,41000000.0000001,-2.3e+07,-4.4e+07,2.1e+07,1.8e+07,2.9e+07,46999999.9999999,1.1e+07,5.8e+07,2.53e+08,-2.6e+07,2.27e+08,2.27e+08,2.393e+09,1.306e+09,1.087e+09,2.813e+09,1.687e+09,8.22e+08,3.92e+08,7.715e+09,2.888e+09,2.888e+09,4.22e+08,4.853e+09,1.085e+09,2.761e+09,3.38e+08,8.163e+09,1.5878e+10,3.061e+09,6.42e+08,7.58e+08,7.58e+08,4.461e+09,3.368e+09,3.727e+09,2.344e+09,1.057e+09,1.287e+09,2.31e+08,1.152e+09,7.095e+09,1.1556e+10,1.354e+09,-5.496e+09,9.871e+09,-1.666e+09,4.063e+09,2.59e+08,4.322e+09,1.5878e+10,5.8e+07,2.53e+08,8.4e+07,-3.7e+07,4.39e+08,7.48e+08,-1.66e+08,-6.9e+07,-4.5e+08,-7.35e+08,-9.1e+07,1e+07,1.2e+07,4.7e+07,-1.1e+08,-9.7e+07,-9.7e+07,1.1e+07,-8.6e+07,1.25e+08,4.01e+09,3.87e+08,0.33637,0.01696,0.09392,0.05252,0.0143,1.70485,1.72943,2.67376,0.25255,0.73701,0.72756,7.8474,13.19156,1.25649,0.29545,5,0.02637,0.03209,0.40088,12.936,39.43902
"13","2013_Q2",63.3584375,"Up",3.108e+09,-1.862e+09,1.246e+09,-9.56e+08,-7.46e+08,-1.09e+08,-1.01e+08,2.9e+08,-4.6e+07,-4.3e+07,-3e+06,2.44e+08,-3e+06,2.41e+08,-4.4e+07,1.97e+08,2.445e+09,-3.5e+07,2.41e+09,2.41e+09,2.38e+09,2.021e+09,3.59e+08,2.824e+09,1.698e+09,8.24e+08,8.24e+08,7.726e+09,2.461e+09,2.461e+09,4.18e+08,4.771e+09,1.033e+09,2.694e+09,1.044e+09,7.65e+09,1.5376e+10,2.949e+09,4.8e+07,7.3e+08,7.3e+08,3.727e+09,3.353e+09,3.255e+09,1.977e+09,8.8e+08,1.097e+09,2.35e+08,1.043e+09,6.608e+09,1.0335e+10,1.372e+09,-7.173e+09,1.2196e+10,-1.608e+09,4.787e+09,2.54e+08,5.041e+09,1.5376e+10,1.97e+08,2.445e+09,1.01e+08,-1.9e+07,-4.11e+08,-8.9e+07,-6.3e+07,9.4e+08,7.39e+08,1.614e+09,-8.4e+07,-5.95e+08,-1.08e+08,4e+06,-8e+08,7.25e+08,7.25e+08,-1e+07,7.15e+08,3.91e+08,3.401e+09,-3.9e+07,0.4009,0.09331,0.77542,0.47808,0.15674,-0.01618,2.07298,2.05019,0.22119,8.24778,8.15843,10.63655,16.38261,-0.13347,0.28747,4,0.21322,-0.00333,0.03485,2.61125,3.52069
"14","2013_Q3",68.67359375,"Up",3.883e+09,-2.263e+09,1.62e+09,-1.162e+09,-9.25e+08,-1.18e+08,-1.19e+08,4.58e+08,-3.3e+07,-3.8e+07,5000000.00000001,4.25e+08,-3e+06,4.22e+08,-9.8e+07,3.24e+08,3.71e+08,-3e+07,3.41e+08,3.41e+08,1.781e+09,1.243e+09,5.38e+08,3.223e+09,1.862e+09,8.44e+08,8.44e+08,7.71e+09,2.637e+09,2.637e+09,4.02e+08,5.317e+09,1.374e+09,2.937e+09,1.006e+09,8.356e+09,1.6066e+10,3.343e+09,23999999.9999999,7.39e+08,7.39e+08,4.106e+09,3.355e+09,3.304e+09,2.03e+09,9.14e+08,1.116e+09,2.24e+08,1.05e+09,6.659e+09,1.0765e+10,1.391e+09,-7.16e+09,1.245e+10,-1.639e+09,5.042e+09,2.59e+08,5.301e+09,1.6066e+10,3.24e+08,3.71e+08,1.19e+08,9.1e+07,1.7e+07,5.83e+08,-9.1e+07,-1.915e+09,7.88e+08,-1.22e+09,-8.7e+07,-26000000.0000001,1.3e+07,-4e+06,-1.24e+08,-7.61e+08,-7.61e+08,-1.7e+07,-7.78e+08,5.77e+08,3.379e+09,6.01e+08,0.4172,0.11795,0.0878200000000001,0.06433,0.02122,1.76246,1.87774,2.03075,0.21032,1.18898,1.17021,13.53905,17.5802,2.09554,0.30335,6,0.03571,0.05015,0.25513,2.7695,3.48908
"15","2013_Q4",77.633125,"Up",3.774e+09,-2.161e+09,1.613e+09,-1.14e+09,-9.1e+08,-1.17e+08,-1.13e+08,4.73e+08,-1.25e+08,-3.7e+07,-8.8e+07,3.48e+08,-1.01e+08,2.47e+08,-4e+07,2.07e+08,2.55e+08,-2.9e+07,2.26e+08,2.26e+08,2.249e+09,1.562e+09,6.87e+08,3.122e+09,1.878e+09,8.71e+08,4.47e+08,8.12e+09,2.687e+09,2.687e+09,4.04e+08,5.427e+09,1.371e+09,3.023e+09,4.04e+08,8.518e+09,1.6638e+10,3.503e+09,2.7e+07,8.32e+08,8.32e+08,4.362e+09,3.368e+09,3.427e+09,2.029e+09,9.09e+08,1.12e+09,2.16e+08,1.182e+09,6.795e+09,1.1157e+10,1.42e+09,-7.329e+09,1.2589e+10,-1.469e+09,5.211e+09,2.7e+08,5.481e+09,1.6638e+10,2.07e+08,2.55e+08,1.13e+08,2.07e+08,1.98e+08,7.88e+08,-9.7e+07,-3e+06,-1.23e+08,-2.26e+08,-8.8e+07,1e+06,-1.66e+08,7e+06,-2.63e+08,2.99e+08,2.99e+08,2e+07,3.19e+08,5.86e+08,3.395e+09,7.27e+08,0.4274,0.12533,0.05988,0.04123,0.01358,3.21681,1.86153,2.03558,0.20405,0.78911,0.78147,13.17737,18.19483,2.53841,0.30726,8,0.02552,0.05909,0.38938,1.95563,2.42283
"16","2014_Q1",82.0470491803279,"Up",3.5e+09,-2.028e+09,1.472e+09,-1.143e+09,-9.05e+08,-1.19e+08,-1.19e+08,3.29e+08,-1.1e+07,-3.5e+07,2.4e+07,3.18e+08,-2e+06,3.16e+08,-7.1e+07,2.45e+08,2.82e+08,-2.8e+07,2.54e+08,2.54e+08,1.745e+09,1.116e+09,6.29e+08,2.736e+09,1.824e+09,9.09e+08,4.84e+08,7.214e+09,2.876e+09,2.876e+09,3.93e+08,5.38e+09,1.339e+09,3.008e+09,5.42e+08,8.649e+09,1.5863e+10,3.265e+09,3.4e+07,8.36e+08,8.36e+08,4.135e+09,3.372e+09,3.158e+09,1.735e+09,7.28e+08,1.007e+09,2.49e+08,1.174e+09,6.53e+09,1.0665e+10,1.437e+09,-8.002e+09,1.2757e+10,-1.26e+09,4.932e+09,2.66e+08,5.198e+09,1.5863e+10,2.45e+08,2.82e+08,1.19e+08,-1.34e+08,1.88e+08,5.09e+08,-2.43e+08,9.35e+08,-8.45e+08,-1.65e+08,-8.6e+07,7999999.99999999,-6.71e+08,-1.1e+07,-7.92e+08,-4.48e+08,-4.48e+08,1999999.99999999,-4.46e+08,4.48e+08,3.406e+09,4.64e+08,0.42057,0.094,0.07257,0.04886,0.01601,1.82677,1.74462,2.05175,0.21471,0.90135,0.89185,12.42016,17.50177,1.64656,0.30518,8,0.02891,0.03945,0.33858,3.70759,5.04863
"17","2014_Q2",86.0265079365079,"Up",3.636e+09,-2.091e+09,1.545e+09,-1.139e+09,-9e+08,-1.2e+08,-1.19e+08,4.06e+08,-3.1e+07,-3.5e+07,4e+06,3.75e+08,-3e+06,3.72e+08,-8.9e+07,2.83e+08,1.301e+09,-3.9e+07,1.262e+09,1.262e+09,3.039e+09,2.559e+09,4.8e+08,3.016e+09,1.929e+09,9.04e+08,4.71e+08,8.888e+09,2.724e+09,2.724e+09,3.8e+08,5.125e+09,1.326e+09,2.969e+09,5.6e+08,8.229e+09,1.7117e+10,3.712e+09,1.9e+07,8.35e+08,8.35e+08,4.566e+09,3.373e+09,3.089e+09,1.724e+09,7.18e+08,1.006e+09,2.81e+08,1.084e+09,6.462e+09,1.1028e+10,1.473e+09,-8.185e+09,1.3934e+10,-1.23e+09,5.992e+09,9.7e+07,6.089e+09,1.7117e+10,2.83e+08,1.301e+09,1.19e+08,1.08e+08,-3.8e+08,1.63e+08,-9.9e+07,1.603e+09,9.2e+07,1.595e+09,-8.5e+07,-1.5e+07,-1.65e+08,1999999.99999999,-3.03e+08,1.455e+09,1.455e+09,-1.2e+07,1.443e+09,5.25e+08,3.392e+09,1.35e+08,0.42492,0.11166,0.34708,0.20726,0.07373,0.10697,1.94656,1.81113,0.19817,4.5363,4.48472,13.06973,21.53846,0.48526,0.30554,6,0.10716,0.01074,0.06735,0.67238,0.86946
"18","2014_Q3",88.64421875,"Up",4.082e+09,-2.306e+09,1.776e+09,-1.226e+09,-9.85e+08,-1.26e+08,-1.15e+08,5.5e+08,-2.3e+07,-3.5e+07,1.2e+07,5.27e+08,-3e+06,5.24e+08,-1.25e+08,3.99e+08,3.92e+08,-6e+06,3.86e+08,3.86e+08,2.913e+09,1.986e+09,9.27e+08,3.184e+09,1.964e+09,9.74e+08,5.44e+08,9.035e+09,2.777e+09,2.777e+09,3.81e+08,5.107e+09,1.304e+09,2.978e+09,5.95e+08,8.265e+09,1.73e+10,3.691e+09,4.25e+08,8.46e+08,8.46e+08,4.962e+09,2.958e+09,3.059e+09,1.747e+09,7.34e+08,1.013e+09,2.71e+08,1.041e+09,6.017e+09,1.0979e+10,1.467e+09,-8.281e+09,1.4227e+10,-1.181e+09,6.232e+09,8.9e+07,6.321e+09,1.73e+10,3.99e+08,3.92e+08,1.15e+08,30000000.0000001,-1.62e+08,2.38e+08,-1.24e+08,-2e+06,-4.47e+08,-5.73e+08,-9.2e+07,-5e+06,-94000000.0000001,-5.2e+07,-2.43e+08,-5.78e+08,-5.78e+08,5e+06,-5.73e+08,6.65e+08,3.383e+09,5.04e+08,0.43508,0.13474,0.09456,0.06107,0.02231,1.3057,1.82084,1.73691,0.19555,1.3925,1.37759,14.72583,22.48196,1.81818,0.33189,6,0.03745,0.03949,0.23834,0.70677,0.85455
"19","2014_Q4",90.56734375,"Up",3.935e+09,-2.229e+09,1.706e+09,-1.18e+09,-9.41e+08,-1.2e+08,-1.19e+08,5.26e+08,-2.4e+07,-3.4e+07,1e+07,5.02e+08,-3e+06,4.99e+08,-1.16e+08,3.83e+08,3.77e+08,-6e+06,3.71e+08,3.71e+08,3.038e+09,2.468e+09,5.7e+08,2.968e+09,1.905e+09,9.87e+08,5.66e+08,8.898e+09,2.72e+09,2.72e+09,4.49e+08,5.02e+09,1.274e+09,2.898e+09,5.96e+08,8.189e+09,1.7087e+10,3.687e+09,3.94e+08,8.15e+08,8.15e+08,4.896e+09,2.954e+09,3.032e+09,1.725e+09,7.21e+08,1.004e+09,2.41e+08,1.066e+09,5.986e+09,1.0882e+10,1.485e+09,-8.423e+09,1.4506e+10,-1.447e+09,6.121e+09,8.4e+07,6.205e+09,1.7087e+10,3.83e+08,3.77e+08,1.19e+08,-2.5e+07,2.55e+08,6.36e+08,-7.9e+07,-9e+07,3.67e+08,1.98e+08,-9.2e+07,-3.3e+07,-1.39e+08,-6e+06,-2.7e+08,5.64e+08,5.64e+08,-8.2e+07,4.82e+08,6.45e+08,3.348e+09,9.37e+08,0.43355,0.13367,0.09428,0.05979,0.02171,2.52561,1.8174,1.75375,0.19594,1.34226,1.32785,14.23661,22.14544,3.39001,0.33285,7,0.03679,0.07445,0.24798,0.48062,0.58935
"20","2015_Q1",100.320491803279,"Up",3.138e+09,-1.722e+09,1.416e+09,-1.084e+09,-8.7e+08,-1.17e+08,-9.7e+07,3.32e+08,-6.1e+07,-3.3e+07,-2.8e+07,2.71e+08,-3.2e+08,-4.9e+07,9.3e+07,4.4e+07,8.9e+07,-6e+06,8.3e+07,8.3e+07,1.183e+09,6.86e+08,4.97e+08,2.815e+09,1.825e+09,6.2e+08,6.2e+08,6.443e+09,3.092e+09,3.092e+09,4.43e+08,7.557e+09,2.411e+09,3.801e+09,4.7e+08,1.1092e+10,1.7535e+10,3.547e+09,4.81e+08,8.47e+08,8.47e+08,4.875e+09,3.533e+09,3.862e+09,2.127e+09,9.95e+08,1.132e+09,6.66e+08,1.069e+09,7.395e+09,1.227e+10,1.512e+09,-8.714e+09,1.4498e+10,-2.116e+09,5.18e+09,8.5e+07,5.265e+09,1.7535e+10,44000000.0000001,8.9e+07,9.7e+07,2.27e+08,1.06e+08,4.91e+08,-2.62e+08,-1.999e+09,1.51e+08,-2.077e+09,-9.2e+07,4.34e+08,-2.95e+08,-2e+08,-1.53e+08,-1.739e+09,-1.739e+09,-4.3e+07,-1.782e+09,4.29e+08,4.014e+09,1.8e+08,0.45124,0.1058,0.02645,0.01576,0.00473,2.16867,1.32164,2.33048,0.22891,0.30226,0.29921,11.42753,18.8638,0.6555,0.33503,6,0.01332,0.0137,1.10843,6.59907,8.52711
"21","2015_Q2",100.335555555556,"Up",3.662e+09,-2.065e+09,1.597e+09,-1.153e+09,-9.14e+08,-1.19e+08,-1.2e+08,4.44e+08,-1.1e+07,-1.8e+07,7e+06,4.33e+08,-3e+06,4.3e+08,-1.04e+08,3.26e+08,3.25e+08,-5e+06,3.2e+08,3.2e+08,1.17e+09,7.35e+08,4.35e+08,2.961e+09,1.881e+09,1.072e+09,6.99e+08,7.084e+09,2.965e+09,2.965e+09,4.49e+08,6.87e+09,2.277e+09,3.541e+09,6.02e+08,1.0284e+10,1.7368e+10,3.329e+09,6.21e+08,8.23e+08,8.23e+08,4.773e+09,4.023e+09,3.414e+09,1.781e+09,6.63e+08,1.118e+09,6.24e+08,1.009e+09,7.437e+09,1.221e+10,1.557e+09,-8.898e+09,1.4728e+10,-2.309e+09,5.078e+09,8e+07,5.158e+09,1.7368e+10,3.28e+08,3.27e+08,1.2e+08,-3.17e+08,-5.58e+08,-4.27e+08,-7.2e+07,3.8e+07,6.9e+07,3.5e+07,-9.1e+07,-5.18e+08,-1.56e+08,1.223e+09,4.58e+08,6.6e+07,6.6e+07,-1.5e+07,5.1e+07,5.64e+08,4.644e+09,3.8e+07,0.4361,0.12125,0.08738,0.06204,0.01842,0.11875,1.48418,2.3672,0.26739,1.1713,1.1611,13.4041,18.58712,0.13909,0.33309,3,0.0311,0.00288,0.28438,6.15957,7.82432
"22","2015_Q3",89.684375,"Down",4.1e+09,-2.283e+09,1.817e+09,-1.201e+09,-9.53e+08,-1.23e+08,-1.25e+08,6.16e+08,-2.1e+07,-2.4e+07,3e+06,5.95e+08,-1.43e+08,4.52e+08,-1.1e+08,3.42e+08,3.42e+08,-5e+06,3.37e+08,3.37e+08,1.182e+09,7.07e+08,4.75e+08,3.286e+09,1.861e+09,1.045e+09,6.51e+08,7.374e+09,2.917e+09,2.917e+09,4.59e+08,6.846e+09,2.26e+09,3.621e+09,5.61e+08,1.0222e+10,1.7596e+10,3.59e+09,2.93e+08,9.42e+08,9.42e+08,4.825e+09,4.222e+09,3.293e+09,1.798e+09,6.76e+08,1.122e+09,5.01e+08,9.94e+08,7.515e+09,1.234e+10,1.581e+09,-9.044e+09,1.4966e+10,-2.332e+09,5.171e+09,8.5e+07,5.256e+09,1.7596e+10,3.42e+08,3.42e+08,1.25e+08,1.62e+08,-13999999.9999999,6.15e+08,-9e+07,-17000000.0000002,-3.6e+07,-1.43e+08,-9.8e+07,-2.64e+08,-1.45e+08,7e+06,-5e+08,-27999999.9999998,-2.8e+07,0,-27999999.9999998,7.41e+08,4.515e+09,7.47e+08,0.44317,0.15024,0.0822,0.06412,0.01915,2.21662,1.52829,2.34779,0.25659,1.2367,1.22679,15.04587,18.97615,2.74128,0.35963,5,0.0333,0.05718,0.2908,4.49798,5.41071
"23","2015_Q4",89.35140625,"Down",3.452e+09,-1.861e+09,1.591e+09,-1.067e+09,-8.48e+08,-1.12e+08,-1.07e+08,5.24e+08,-1e+07,-2.1e+07,1.1e+07,5.14e+08,-3e+06,5.11e+08,-1.19e+08,3.92e+08,4.42e+08,-7e+06,4.35e+08,4.35e+08,1.414e+09,1.015e+09,3.99e+08,3.062e+09,1.841e+09,9.75e+08,5.89e+08,7.292e+09,2.919e+09,2.919e+09,4.53e+08,6.91e+09,2.224e+09,3.643e+09,6.69e+08,1.0282e+10,1.7574e+10,3.611e+09,3.02e+08,8.57e+08,8.57e+08,4.77e+09,4.25e+09,3.358e+09,1.778e+09,6.64e+08,1.114e+09,5.06e+08,1.074e+09,7.608e+09,1.2378e+10,1.593e+09,-9.192e+09,1.5302e+10,-2.592e+09,5.111e+09,8.5e+07,5.196e+09,1.7574e+10,3.9e+08,4.4e+08,1.07e+08,3.1e+07,2.17e+08,7.98e+08,-1e+08,-2.22e+08,8.3e+07,-2.43e+08,-9.8e+07,3.3e+07,-1.49e+08,-11999999.9999999,-2.26e+08,3.29e+08,3.29e+08,-2.3e+07,3.06e+08,6.31e+08,4.552e+09,8.67e+08,0.46089,0.1518,0.12601,0.08372,0.02475,1.9931,1.52872,2.38222,0.25902,1.60457,1.59282,12.73331,18.85282,3.19808,0.36149,6,0.04067,0.06615,0.22529,4.97306,5.98855
"24","2016_Q1",87.2844262295082,"Down",3.027e+09,-1.577e+09,1.45e+09,-1.075e+09,-8.69e+08,-1.12e+08,-9.4e+07,3.75e+08,-2.4e+07,-2.3e+07,-1e+06,3.51e+08,1e+06,3.52e+08,-8e+07,2.72e+08,3.18e+08,-4e+06,3.14e+08,3.14e+08,1.455e+09,1.311e+09,1.44e+08,2.709e+09,1.659e+09,8.89e+08,6.04e+08,6.712e+09,2.822e+09,2.822e+09,3.67e+08,7.175e+09,2.178e+09,3.669e+09,6.17e+08,1.0364e+10,1.7076e+10,3.419e+09,2.81e+08,9.95e+08,9.95e+08,4.695e+09,4.026e+09,3.286e+09,1.71e+09,6.95e+08,1.015e+09,4.6e+08,1.116e+09,7.312e+09,1.2007e+10,1.604e+09,-9.44e+09,1.5521e+10,-2.702e+09,4.983e+09,8.6e+07,5.069e+09,1.7076e+10,2.72e+08,3.18e+08,9.4e+07,1.39e+08,3.21e+08,9.09e+08,-1.68e+08,-7.2e+07,2.38e+08,-4.4e+07,-9.6e+07,1.091e+09,-2.48e+08,-1.291e+09,-5.44e+08,3.21e+08,3.21e+08,-2.5e+07,2.96e+08,4.69e+08,4.307e+09,7.02e+08,0.47902,0.12389,0.10373,0.06195,0.01839,2.23567,1.42961,2.36871,0.25223,1.16815,1.15867,11.26116,18.53795,2.61161,0.35714,7,0.03238,0.05544,0.30573,6.08102,7.60533
"25","2016_Q2",97.30640625,"Up",3.544e+09,-1.92e+09,1.624e+09,-1.137e+09,-9.06e+08,-1.16e+08,-1.15e+08,4.87e+08,-2.8e+07,-2.4e+07,-4e+06,4.59e+08,-3e+06,4.56e+08,-1.12e+08,3.44e+08,3.54e+08,-7e+06,3.47e+08,3.47e+08,1.03e+09,9.09e+08,1.21e+08,3.106e+09,1.863e+09,7.19e+08,7.19e+08,6.718e+09,3.038e+09,3.038e+09,3.7e+08,7.189e+09,2.17e+09,3.743e+09,6.28e+08,1.0597e+10,1.7315e+10,3.616e+09,3.8e+07,9.02e+08,9.02e+08,4.556e+09,4.226e+09,3.285e+09,1.699e+09,6.82e+08,1.017e+09,4.79e+08,1.107e+09,7.511e+09,1.2067e+10,1.617e+09,-9.583e+09,1.577e+10,-2.643e+09,5.161e+09,8.7e+07,5.248e+09,1.7315e+10,3.44e+08,3.54e+08,1.15e+08,2.7e+07,-4.32e+08,7.9e+07,-7e+07,-6e+06,2e+07,-6.3e+07,-9.6e+07,-1.63e+08,-1.36e+08,-33999999.9999998,-4.29e+08,-4.13e+08,-4.13e+08,1.1e+07,-4.02e+08,6.02e+08,4.264e+09,2.12e+08,0.45824,0.13742,0.09791,0.06612,0.02004,0.61095,1.47454,2.29935,0.24626,1.29671,1.28805,13.24365,19.28625,0.79223,0.35874,5,0.03462,0.01657,0.27666,5.37209,6.64066
"26","2016_Q3",93.84875,"Down",3.649e+09,-1.885e+09,1.764e+09,-1.137e+09,-9.21e+08,-1.13e+08,-1.03e+08,6.27e+08,-7e+06,-2.4e+07,1.7e+07,6.2e+08,-1999999.99999994,6.18e+08,-2.82e+08,3.36e+08,3.76e+08,-6e+06,3.7e+08,3.7e+08,1.669e+09,1.605e+09,6.4e+07,3.108e+09,1.803e+09,5.27e+08,3.79e+08,7.107e+09,2.95e+09,2.95e+09,3.22e+08,6.869e+09,2.073e+09,3.602e+09,6.54e+08,1.0141e+10,1.7248e+10,3.577e+09,6.86e+08,1.12e+08,1.12e+08,4.375e+09,4.426e+09,3.014e+09,1.631e+09,6.15e+08,1.016e+09,5.46e+08,8.37e+08,7.44e+09,1.1815e+10,1.637e+09,-9.576e+09,1.6034e+10,-2.749e+09,5.346e+09,8.7e+07,5.433e+09,1.7248e+10,3.36e+08,3.76e+08,1.03e+08,-6.06e+08,3.4e+07,-8e+07,-3.8e+07,-4e+06,6.4e+07,1e+07,-1.07e+08,9.03e+08,9e+06,-1.1e+07,7.94e+08,7.24e+08,7.24e+08,-2.8e+07,6.96e+08,7.3e+08,5.112e+09,1.008e+09,0.48342,0.17183,0.1014,0.0681,0.02145,2.72432,1.62446,2.17467,0.29638,1.38473,1.37495,13.65644,20.00749,3.77246,0.40045,5,0.03518,0.07434,0.28919,4.71644,5.49123
"27","2016_Q4",85.711746031746,"Down",3.66e+09,-1.978e+09,1.682e+09,-1.121e+09,-8.93e+08,-1.15e+08,-1.13e+08,5.61e+08,-1.9e+07,-2.8e+07,9e+06,5.42e+08,-9.68e+08,-4.26e+08,2.2e+08,-2.06e+08,-1.79e+08,-5e+06,-1.84e+08,-1.84e+08,9.75e+08,9.29e+08,4.6e+07,2.962e+09,1.676e+09,8.04e+08,3.61e+08,6.417e+09,2.863e+09,2.863e+09,3.28e+08,6.882e+09,2.073e+09,3.701e+09,5.92e+08,1.0073e+10,1.649e+10,3.567e+09,6.52e+08,2.41e+08,2.41e+08,4.46e+09,3.752e+09,3.157e+09,1.812e+09,1.001e+09,8.11e+08,5.21e+08,8.24e+08,6.909e+09,1.1369e+10,1.652e+09,-9.824e+09,1.5744e+10,-2.541e+09,5.031e+09,9e+07,5.121e+09,1.649e+10,-2.06e+08,-1.79e+08,1.13e+08,6.26e+08,1.96e+08,7.77e+08,-9e+07,-3.11e+08,2.3e+07,-3.92e+08,-1.06e+08,-7.18e+08,-2.44e+08,1.1e+07,-1.057e+09,-6.72e+08,-6.72e+08,-4e+06,-6.76e+08,6.74e+08,4.404e+09,5.6e+08,0.45956,0.15328,-0.05027,-0.03593,-0.01116,-3.04348,1.43879,2.22007,0.26707,-0.69095,-0.69095,13.7439,18.89223,2.10289,0.39805,5,-0.00615,0.04416,-0.57609,5.08754,6.1123
"28","2017_Q1",91.271935483871,"Up",3.417e+09,-1.882e+09,1.535e+09,-1.053e+09,-8.35e+08,-1.09e+08,-1.09e+08,4.82e+08,-1.6e+08,-2.3e+07,-1.37e+08,3.22e+08,-1.91e+08,1.31e+08,-4e+07,9.1e+07,3.44e+08,-4e+06,3.4e+08,3.4e+08,1.863e+09,1.82e+09,4.3e+07,2.654e+09,1.514e+09,5.43e+08,3.2e+08,6.574e+09,2.608e+09,2.608e+09,1.79e+08,6.41e+09,1.983e+09,3.572e+09,6.69e+08,9.197e+09,1.5771e+10,3.46e+09,6.29e+08,1.64e+08,1.64e+08,4.253e+09,3.787e+09,2.816e+09,1.464e+09,7.4e+08,7.24e+08,4.17e+08,9.35e+08,6.603e+09,1.0856e+10,1.676e+09,-1.0472e+10,1.598e+10,-2.356e+09,4.828e+09,8.7e+07,4.915e+09,1.5771e+10,90999999.9999999,3.44e+08,1.09e+08,3.09e+08,5.9e+07,5.75e+08,-1.82e+08,1.066e+09,-7.45058059692383e-09,8.81e+08,-1.05e+08,2.11e+08,-6.48e+08,2.4e+07,-5.18e+08,9.38e+08,9.38e+08,-4.7e+07,8.91e+08,5.91e+08,4.416e+09,5.08e+08,0.44922,0.14106,0.0995,0.06918,0.02156,1.49412,1.54573,2.20875,0.28001,1.30119,1.28399,13.07692,18.47685,1.94413,0.40184,7,0.03663,0.04182,0.30882,4.3198,5.29668
