"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",52.3392063492063,"Up",528333000,-365121000,163212000,-77083000,-58331000,-18752000,86129000,-7199000,-6495000,-704000,78930000,-1.4e+07,64930000,-13830000,51100000,51861000,51861000,51861000,244533000,243965000,335365000,335365000,390588000,131477000,24528000,1101963000,362301000,942250000,453510000,1304551000,2406514000,362248000,231290000,16245000,114713000,18292000,78659000,55633000,459199000,8.25e+08,8.25e+08,159096000,59985000,99111000,984096000,1443295000,435278000,435278000,465722000,60429000,961429000,963219000,2406514000,51861000,16229000,2382000,-12752000,12217000,-34115000,-23901000,-3408000,-29907000,23101000,36357000,-12625000,-7515000,-7515000,-36684000,-5106000,-5e+07,2430000,-74342000,-74669000,-74669000,997000,-73672000,102358000,843292000,69448000,0.30892,0.16302,0.09816,0.05384,0.02155,1.33912,2.39975,1.49841,0.35042,0.56344,0.55528,5.74,10.44532,0.75451,0.05547,0.02898,0.03533,0.09846,5.84966,6.95189
"2","2010_Q3",51.85640625,"Down",582425000,-384800000,197625000,-99592000,-78906000,-20686000,98033000,-4424000,-5447000,1023000,93609000,0,93609000,-30818000,62791000,60813000,60813000,60813000,282999000,282440000,340465000,340465000,411229000,125405000,23830000,1160098000,362031000,936986000,453862000,1299017000,2459115000,383280000,252523000,11742000,119015000,-426128978.048301,102573000,80368000,485853000,8.25e+08,8.25e+08,159550000,53323000,106227000,984550000,1470403000,404880000,404880000,520803000,61722000,987405000,988712000,2459115000,60813000,18012000,328000,-1737000,-2713000,40576000,-1278000,-19274000,20840000,40288000,119729000,-20897000,-15745000,-15745000,-20897000,-5732000,-17771000,1921000,-59471000,39361000,39361000,-886000,38475000,116045000,8.25e+08,166542000,0.33931,0.16832,0.10441,0.06151,0.02473,2.73859,2.38776,1.48719,0.33549,0.66365,0.65391,6.35599,10.77553,1.81747,0.06255,0.03372,0.0844,0.09426,4.67061,5.52876
"3","2010_Q4",56.5678125,"Up",537632000,-350237000,187395000,-90769000,-73054000,-17715000,96626000,-4560000,-5927000,1367000,92066000,-7474000,84592000,-23051000,61541000,62181000,62181000,62181000,319084000,318522000,331530000,331530000,419779000,74124000,35029000,1144517000,383167000,960997000,452290000,1344164000,2488681000,369065000,243702000,17702000,107661000,0,83684000,73456000,452749000,8.25e+08,8.25e+08,153575000,48694000,104881000,978575000,1431324000,413683000,413683000,577258000,64547000,1055488000,1057357000,2488681000,62181000,17570000,6202000,-1872000,4585000,-21619000,12140000,-11024000,-4236000,-18499000,64334000,-11285000,-11285000,-11285000,-24131000,-5728000,0,-2121000,-4673000,35530000,35530000,547000,36077000,114196000,8.25e+08,104343000,0.34856,0.17973,0.11566,0.05881,0.02499,1.67805,2.52793,1.35368,0.3315,0.68197,0.67158,5.89645,11.576,1.14438,0.06282,0.03336,0.05125,0.09212,4.43024,5.23582
"4","2011_Q1",64.2361290322581,"Up",619760000,-421759000,198001000,-114367000,-88005000,-26362000,83634000,-11067000,-10546000,-521000,72567000,-7049000,65518000,-16516000,49002000,48944000,48944000,48944000,110324000,109765000,359809000,359809000,452980000,479588000,30549000,1402701000,448583000,1257719000,52677000,1706302000,3109003000,428920000,267311000,11665000,149944000,4.09e+08,84589000,79219000,922509000,9.35e+08,9.35e+08,157554000,49346000,108208000,1092554000,2015063000,428457000,428457000,620439000,43200000,1092096000,1093940000,3109003000,48944000,22293000,6322000,288000,2522000,34384000,-8727000,1489000,11745000,29877000,111943000,-23271000,-23271000,-23271000,-838188000,-5763000,5.19e+08,1817000,521789000,-204456000,-204456000,-4301000,-208757000,105927000,1.344e+09,133556000,0.31948,0.13495,0.07897,0.04474,0.01574,2.72875,1.52053,1.84202,0.43229,0.53939,0.52972,6.83014,12.03557,1.47187,0.06351,0.02108,0.05146,0.11775,11.64647,14.75089
"5","2011_Q2",75.6096825396825,"Up",641322000,-427368000,213954000,-102187000,-84460000,-17727000,111767000,-9528000,-10087000,559000,102239000,-3629871.80003412,102239000,-28561000,73678000,74375000,74375000,74375000,56658000,56098000,417870000,417870000,461244000,81221000,42082000,1016993000,451610000,1303153000,72031000,1754763000,2771756000,443467000,261959000,37148000,144360000,64524000,62774000,58568000,570765000,8.4e+08,8.4e+08,156200000,1.7e+07,139200000,996200000,1566965000,435482000,435482000,689035000,78418000,1202935000,1204791000,2771756000,74375000,23436000,-62911000,-59069000,-7524000,-41062000,-58401000,-3559000,-9636000,30534000,-6162000,-9194000,-9194000,-9194000,-7196000,-5780000,-39476000,9465000,-39972000,-53330000,-53330000,-337000,-53667000,135203000,904524000,113508000,0.33361,0.17428,0.11597,0.06173,0.02683,1.52616,1.78181,1.30061,0.32634,0.80997,0.79742,6.98425,13.10044,1.23615,0.06295,0.03538,0.0501,0.07771,6.27106,7.58601
"6","2011_Q3",80.54875,"Up",717515000,-468015000,249500000,-117261000,-92657000,-24604000,132239000,-10083000,-10716000,633000,122156000,-946405.949232014,122156000,-32377000,89779000,90167000,90167000,90167000,134779000,134779000,465257000,465257000,483787000,79717000,43253000,1163540000,460164000,1311316000,79655000,1771480000,2935020000,483626000,289844000,32992000,160790000,15971000,88592000,74348000,588189000,8.75e+08,8.75e+08,163791000,16652000,147139000,1038791000,1626980000,440208000,440208000,772713000,93219000,1306140000,1308040000,2935020000,90167000,26934000,3260000.00000001,-310000,39999.9999999991,8540000.00000001,-45546000,-20592000,28642000,46036000,128901000,-25361000,-21361000,-21361000,-24801000,-6488000,-13553000,-3561000,-22367999.9999999,81732000,81732000,-3051000,78681000,159173000,890971000,174729000,0.34773,0.1843,0.12567,0.06893,0.03072,1.93784,1.97817,1.24383,0.30357,0.97761,0.96577,7.77946,14.16146,1.89445,0.07034,0.04091,0.07395,0.07196,4.75076,5.71837
"7","2011_Q4",84.3296825396825,"Up",691563000,-452425000,239138000,-116225000,-92714000,-23511000,122913000,-10162000,-10915000,753000,112751000,9.31322574615479e-10,112751000,-21220000,91531000,89085000,89085000,89085000,223237000,223237000,464190000,464190000,494278000,77942000,50112000,1259647000,465903000,1311941000,81612000,1777844000,3037491000,475335000,286795000,17351000,171189000,16180000,75091000,71521000,566606000,875442000,875442000,170344000,11900000,158444000,1045786000,1612392000,458811000,458811000,855287000,109080000,1423178000,1425099000,3037491000,89085000,25887000,-2152000,-1466000,-5e+06,-6525000,-250000,-7153000,-3485000,4363000,106295000,-21987000,-15987000,-15987000,-24919000,-6511000,651000,5194000,6472000,87848000,87848000,610000,88458000,148800000,891622000,141508000,0.34579,0.17773,0.12882,0.06251,0.02933,1.58846,2.22314,1.13142,0.29354,0.96351,0.95228,7.47967,15.39253,1.53049,0.07042,0.03844,0.0569,0.07309,4.49183,5.43787
"8","2012_Q1",87.5411290322581,"Up",704600000,-462392000,242208000,-118027000,-94569000,-23458000,124181000,-9827000,-10582000,755000,114354000,-1e+06,113354000,-27842000,85512000,85473000,85473000,85473000,310104000,310104000,477851000,477851000,505576000,83762000,50350000,1377293000,507308000,1304620000,81614000,1811928000,3189221000,502717000,343278000,10551000,148888000,17770000,85548000,81455000,606035000,8.75e+08,8.75e+08,177199000,10601000,166598000,1052199000,1658234000,467661000,467661000,934333000,127050000,1529044000,1530987000,3189221000,85573000,26643000,6503000,4745000,-2116000,26347000,-3003000,904000,42279000,-13833000,145066000,-53658000,-52858000,-52858000,-53684000,-6521000,1177999.99999999,602000.000000002,-2931999.99999999,88450000,88450000,-1522000,86928000,150824000,892770000,151355000,0.34375,0.17624,0.12131,0.05583,0.0268,1.77079,2.27263,1.08311,0.27993,0.92219,0.91104,7.60209,16.49721,1.633,0.07036,0.03537,0.05819,0.07629,3.86322,4.69207
"9","2012_Q2",93.7553968253968,"Up",725295000,-497716000,227579000,-126027000,-106389000,-19638000,101552000,-12799000,-12570000,-229000,88753000,-1836080.17070521,88753000,-18295000,70458000,70458000,70458000,70458000,116615000,116615000,521263000,521263000,563257000,97956000,38789000,1299091000,532881000,1682115000,84035000,2214996000,3514087000,506192000,303549000,6677000,195966000,43750000,72106000,72106000,622048000,1155787000,1155787000,191811000,9604000,182207000,1347598000,1969646000,478035000,478035000,998256000,66277000,1542568000,1544441000,3514087000,70458000,34720000,-11102000,-3084000,-11953000,-39929000,8581000,-7156000,-47249000,5895000,54147000,-8703000,-8453000,-8453000,-555755000,-6535000,306767000,8110000,306327000,-195281000,-195281000,1792000,-193489000,136272000,1199537000,105935000,0.31377,0.14001,0.09714,0.04562,0.02005,1.50352,2.08841,1.27531,0.34135,0.75843,0.74955,7.80727,16.60461,1.14031,0.07034,0.02623,0.03608,0.09275,7.94677,10.66372
"10","2012_Q3",100.536666666667,"Up",927405000,-562584000,364821000,-145973000,3389000,-36062000,218848000,-18401000,-18630000,229000,200447000,-3e+06,197447000,-56405000,141042000,141042000,141042000,141042000,531410000,531410000,530178000,530178000,580668000,91836000,40509000,1734092000,550707000,1657755000,84299000,2208462000,3942554000,555582000,324349000,28684000,202549000,4e+07,71059000,71059000,666641000,1452546000,1452546000,192556000,9163000,183393000,1645102000,2311743000,486665000,486665000,1090509000,50972000,1628146000,1630811000,3942554000,-70246500,-34650100,11100900,3085000,11941500,39878300,-8564800,7111000,47230900,-5898800,-53917400,8663700,8413700,8413700,555388800,6519000,-306763800,-8094900,-306329300,195142100,195142100,-1796100,193346000,184197900,1492546000,289144900,0.39338,0.23598,0.15208,0.08649,0.03577,2.05006,2.60124,1.41754,0.37857,1.51333,1.50045,9.9507,17.46938,3.10241,-0.06995,0.04057,0.0872,-0.04622,5.21795,4.3918
