"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",36.0367213114754,"Up",7.62e+08,-3.43e+08,-3.43e+08,4.19e+08,-2.89e+08,-1.98e+08,-9.1e+07,0,1.3e+08,3e+06,-3e+06,-3e+06,0,6e+06,1.33e+08,1.33e+08,-3.2e+07,1.01e+08,1.01e+08,1.01e+08,1.01e+08,8.1e+08,8.1e+08,3.57e+08,3.57e+08,4.98e+08,1.85e+08,1.02e+08,1.85e+09,4.7e+08,6.3e+07,6.67e+08,3.92e+08,1.8e+07,1.63e+08,9.4e+07,1.2e+09,3.05e+09,2.45e+08,1.73e+08,7.2e+07,5.24e+08,1.75e+08,3.49e+08,7.69e+08,1.099e+09,4.13e+08,2.13e+08,6.9e+07,1.31e+08,1.512e+09,2.281e+09,1.004e+09,1.01e+08,-3.36e+08,7.69e+08,7.69e+08,3.05e+09,1.01e+08,2.5e+07,-5e+06,8e+07,2.01e+08,-1.8e+07,-3.2e+07,0,0,-4.19e+08,6.45e+08,8.14e+08,8.14e+08,-6e+06,8.08e+08,1.55e+08,1.099e+09,2.49e+08,0.54987,0.1706,0.13255,0.13134,0.03311,2.46535,2.40572,2.96619,0.36033,0.60479,0.60479,4.56287,4.60479,1.49102,0.04428,0.10916,1.86452,2.22308
"2","2015_Q2",34.1780952380952,"Down",7.01e+08,-3.18e+08,-3.18e+08,3.83e+08,-2.96e+08,-2.06e+08,-9.6e+07,6e+06,8.7e+07,-9e+06,-1.2e+07,-1.2e+07,-2.3283064365387e-10,3e+06,7.8e+07,7.8e+07,-8e+06,7e+07,7e+07,7e+07,7e+07,8.87e+08,8.87e+08,3.09e+08,3.09e+08,4.77e+08,2.19e+08,1.37e+08,1.892e+09,4.55e+08,5.9e+07,6.23e+08,3.81e+08,1.6e+07,1.35e+08,9.1e+07,1.137e+09,3.029e+09,2.18e+08,1.58e+08,6e+07,4.82e+08,1.76e+08,3.06e+08,7e+08,1.099e+09,3.12e+08,1.87e+08,6.6e+07,5.9e+07,1.411e+09,2.111e+09,1.116e+09,1.71e+08,-3.69e+08,9.18e+08,9.18e+08,3.029e+09,7e+07,2.3e+07,3.4e+07,-3.5e+07,9.2e+07,-1.5e+07,-1.4e+07,4e+06,4e+06,3e+06,7000000.00000012,8.5e+07,8.5e+07,-8e+06,76999999.9999999,1.1e+08,1.099e+09,6.8e+07,0.54636,0.12411,0.09986,0.07625,0.02311,0.97143,2.70286,2.29956,0.36283,0.41667,0.41176,4.17262,5.46429,0.40476,0.03006,0.0292,1.92727,2.43678
"3","2015_Q3",31.14796875,"Down",7.4e+08,-3.24e+08,-3.24e+08,4.16e+08,-2.83e+08,-1.92e+08,-9.6e+07,5e+06,1.33e+08,-1.1e+07,-1e+07,-1.1e+07,1e+06,-1e+06,1.22e+08,1.22e+08,-2.6e+07,9.6e+07,9.6e+07,9.6e+07,9.6e+07,8.94e+08,8.94e+08,3.53e+08,3.53e+08,4.76e+08,2.04e+08,1.31e+08,1.927e+09,4.6e+08,6.7e+07,6.07e+08,3.78e+08,1.4e+07,1.26e+08,8.9e+07,1.134e+09,3.061e+09,2.29e+08,1.78e+08,5.1e+07,4.02e+08,1.64e+08,2.38e+08,6.31e+08,1.099e+09,2.95e+08,1.73e+08,6.4e+07,5.8e+07,1.394e+09,2.025e+09,1.126e+09,2.67e+08,-3.57e+08,1.036e+09,1.036e+09,3.061e+09,9.6e+07,2.3e+07,3.6e+07,-8.7e+07,6.8e+07,-1.6e+07,-1.6e+07,4e+06,4e+06,-4.9e+07,-4.5e+07,7e+06,7e+06,0,7e+06,1.56e+08,1.099e+09,7.9e+07,0.56216,0.17973,0.12973,0.09266,0.03136,0.82292,3.05388,1.95463,0.35903,0.56805,0.5614,4.3787,6.13018,0.46746,0.03951,0.03251,1.3141,1.54135
"4","2015_Q4",30.73296875,"Down",6.65e+08,-2.95e+08,-2.95e+08,3.7e+08,-2.7e+08,-1.83e+08,-9e+07,3e+06,1e+08,-1.3e+07,-1.2e+07,-1.2e+07,-1.16415321826935e-10,-1e+06,8.7e+07,8.7e+07,-1.7e+07,7e+07,7e+07,7e+07,7e+07,1e+09,1e+09,3.13e+08,3.13e+08,4.78e+08,1.92e+08,1.19e+08,1.983e+09,4.62e+08,7e+07,5.82e+08,3.72e+08,1.2e+07,1.12e+08,8.6e+07,1.114e+09,3.097e+09,2.27e+08,1.71e+08,5.6e+07,3.93e+08,1.61e+08,2.32e+08,6.2e+08,1.099e+09,2.73e+08,1.6e+08,6.1e+07,5.2e+07,1.372e+09,1.992e+09,1.144e+09,3.37e+08,-3.76e+08,1.105e+09,1.105e+09,3.097e+09,7e+07,2.3e+07,1.5e+07,2.7e+07,1.35e+08,-3.5e+07,-4.2e+07,1.5e+07,1.5e+07,1e+06,1.6e+07,1.09e+08,1.09e+08,-3e+06,1.06e+08,1.23e+08,1.099e+09,1.32e+08,0.55639,0.15038,0.10526,0.06335,0.0226,1.88571,3.19839,1.80271,0.35486,0.4142,0.40698,3.93491,6.53846,0.78107,0.02826,0.05329,0.80488,0.99
"5","2016_Q1",25.087868852459,"Down",7.5e+08,-3.32e+08,-3.32e+08,4.18e+08,-3.07e+08,-2.06e+08,-1.05e+08,4e+06,1.11e+08,-1e+07,-1.1e+07,-1.1e+07,0,1e+06,1.01e+08,1.01e+08,1.76e+08,2.77e+08,2.77e+08,2.77e+08,2.77e+08,4.83e+08,4.83e+08,3.98e+08,3.98e+08,4.87e+08,2.11e+08,1.37e+08,1.579e+09,5.18e+08,7e+07,1.341e+09,7e+08,2.46e+08,2.95e+08,1e+08,1.929e+09,3.508e+09,2.59e+08,2.09e+08,5e+07,4.27e+08,1.75e+08,2.52e+08,6.86e+08,1.099e+09,4.21e+08,2.8e+08,6.1e+07,8e+07,1.52e+09,2.206e+09,1.167e+09,6.14e+08,-4.79e+08,1.302e+09,1.302e+09,3.508e+09,2.77e+08,3e+07,-1.55e+08,-7.1e+07,8.1e+07,-2.5e+07,-5.99e+08,3e+06,3e+06,0,3e+06,-5.15e+08,-5.15e+08,-2e+06,-5.17e+08,1.41e+08,1.099e+09,-1.31e+08,0.55733,0.148,0.36933,0.21275,0.07896,-0.47292,2.30175,1.69432,0.31328,1.62941,1.61988,4.41176,7.65882,-0.77059,0.09816,-0.04642,4.36879,5.54955
"6","2016_Q2",28.295,"Up",7.21e+08,-3.29e+08,-3.29e+08,3.92e+08,-2.94e+08,-2e+08,-1.08e+08,1.4e+07,9.8e+07,-1.4e+07,-1.1e+07,-1.2e+07,1e+06,-3e+06,8.4e+07,8.4e+07,-2e+07,64000000.0000001,64000000.0000001,64000000.0000001,64000000.0000001,5.72e+08,5.72e+08,3.61e+08,3.61e+08,4.81e+08,2.12e+08,1.38e+08,1.626e+09,5.14e+08,5.6e+07,1.285e+09,6.96e+08,2.33e+08,2.56e+08,1e+08,1.855e+09,3.481e+09,2.03e+08,1.75e+08,2.8e+07,3.99e+08,1.85e+08,2.14e+08,6.02e+08,1.099e+09,3.98e+08,2.55e+08,6.2e+07,8.1e+07,1.497e+09,2.099e+09,1.201e+09,6.78e+08,-4.97e+08,1.382e+09,1.382e+09,3.481e+09,64000000.0000001,3.3e+07,1.9e+07,-2.4e+07,9.2e+07,-2.4e+07,-23999999.9999999,2.4e+07,2.4e+07,999999.999999998,2.5e+07,9.3e+07,9.3e+07,-4e+06,8.9e+07,1.31e+08,1.099e+09,1.03e+08,0.54369,0.13592,0.08877,0.04631,0.01839,1.60938,2.701,1.51881,0.31571,0.37427,0.37209,4.21637,8.08187,0.60234,0.02223,0.03578,4.0229,5.37755
"7","2016_Q3",29.74453125,"Up",7.31e+08,-3.25e+08,-3.25e+08,4.06e+08,-3.11e+08,-2.07e+08,-1.08e+08,4e+06,9.5e+07,-8e+06,-1.2e+07,-1.2e+07,0,4e+06,8.7e+07,8.7e+07,1e+06,8.8e+07,8.8e+07,8.8e+07,8.8e+07,6.2e+08,6.2e+08,4.08e+08,4.08e+08,4.75e+08,2.34e+08,1.59e+08,1.737e+09,5.31e+08,5.8e+07,1.329e+09,7.31e+08,2.26e+08,2.64e+08,1.08e+08,1.918e+09,3.655e+09,2.07e+08,1.68e+08,3.9e+07,4.45e+08,1.98e+08,2.47e+08,6.52e+08,1.1e+09,4.03e+08,2.5e+08,6.9e+07,8.4e+07,1.503e+09,2.155e+09,1.213e+09,7.66e+08,-4.37e+08,1.5e+09,1.5e+09,3.655e+09,8.8e+07,3.4e+07,1.6e+07,-2.1e+07,1.17e+08,-2.8e+07,-3.8e+07,-4e+07,0,-1e+06,-4.1e+07,3.8e+07,3.8e+07,1e+07,4.8e+07,1.29e+08,1.1e+09,7.9e+07,0.5554,0.12996,0.12038,0.05867,0.02408,0.89773,2.66411,1.43667,0.30096,0.51765,0.51163,4.3,8.82353,0.46471,0.0293,0.02631,3.72093,5.05263
"8","2016_Q4",34.4595238095238,"Up",7.15e+08,-3.09e+08,-3.09e+08,4.06e+08,-3e+08,-2e+08,-1.04e+08,4e+06,1.06e+08,-9e+06,-1e+07,-1.1e+07,1e+06,1e+06,9.7e+07,9.7e+07,-6e+06,9.1e+07,9.1e+07,9.1e+07,9.1e+07,6.64e+08,6.64e+08,4.15e+08,4.15e+08,4.79e+08,1.53e+08,1.53e+08,1.711e+09,5.22e+08,5.6e+07,1.386e+09,7.38e+08,2.17e+08,3.17e+08,1.14e+08,1.964e+09,3.675e+09,1.89e+08,1.56e+08,3.3e+07,4.12e+08,1.92e+08,2.2e+08,6.01e+08,1.1e+09,3.77e+08,2.35e+08,7.3e+07,6.9e+07,1.477e+09,2.078e+09,1.235e+09,8.57e+08,-4.33e+08,1.597e+09,1.597e+09,3.675e+09,9.1e+07,3.4e+07,2.1e+07,-7.8e+07,6.8e+07,-1.4e+07,-1.4e+07,-4e+06,1.8e+07,-4e+06,-9e+06,4.5e+07,4.5e+07,-999999.999999998,4.4e+07,1.4e+08,1.1e+09,5.4e+07,0.56783,0.14825,0.12727,0.05698,0.02476,0.59341,2.84692,1.30119,0.29932,0.53529,0.52907,4.20588,9.39412,0.31765,0.0296,0.01757,3.11429,4.11321
"9","2017_Q1",37.2364516129032,"Up",7.51e+08,-3.31e+08,-3.31e+08,4.2e+08,-3.13e+08,-2.11e+08,-1.05e+08,3e+06,1.07e+08,-9e+06,-1.1e+07,-1.2e+07,1e+06,2e+06,9.8e+07,9.8e+07,-6e+06,9.2e+07,9.2e+07,9.2e+07,9.2e+07,7.83e+08,7.83e+08,4.37e+08,4.37e+08,4.74e+08,1.6e+08,1.6e+08,1.854e+09,5.12e+08,5.5e+07,1.375e+09,7.36e+08,2.08e+08,3.92e+08,3.9e+07,1.942e+09,3.796e+09,2.3e+08,1.89e+08,4.1e+07,4.14e+08,1.8e+08,2.34e+08,6.44e+08,1.093e+09,5.46e+08,4.05e+08,7.2e+07,6.9e+07,1.639e+09,2.283e+09,1.244e+09,9.49e+08,-6.18e+08,1.513e+09,1.513e+09,3.796e+09,9.2e+07,3.3e+07,2.1e+07,-3e+06,1.43e+08,-1.5e+07,-1.4e+07,1e+06,1e+06,-5e+06,-4e+06,1.25e+08,1.25e+08,-6e+06,1.19e+08,1.4e+08,1.093e+09,1.28e+08,0.55925,0.14248,0.1225,0.06081,0.02424,1.3913,2.87888,1.50892,0.28793,0.54438,0.53488,4.44379,8.95266,0.7574,0.02919,0.04061,2.21429,2.8972
"10","2017_Q2",37.7565079365079,"Up",7.26e+08,-3.22e+08,-3.22e+08,4.04e+08,-2.42e+08,-2.13e+08,-1.08e+08,7.9e+07,1.62e+08,-1e+07,-1.1e+07,-1.2e+07,1e+06,1e+06,1.52e+08,1.52e+08,-4.3e+07,1.09e+08,1.09e+08,1.09e+08,1.09e+08,8.96e+08,8.96e+08,3.95e+08,3.95e+08,4.79e+08,1.62e+08,1.62e+08,1.932e+09,4.94e+08,6e+07,1.383e+09,7.21e+08,1.97e+08,3.42e+08,1.23e+08,1.937e+09,3.869e+09,1.91e+08,1.72e+08,1.9e+07,4.05e+08,1.91e+08,2.14e+08,5.96e+08,1.093e+09,5.32e+08,3.84e+08,7.4e+07,7.4e+07,1.625e+09,2.221e+09,1.273e+09,1.048e+09,-6.11e+08,1.648e+09,1.648e+09,3.869e+09,1.09e+08,3.2e+07,5.1e+07,-9e+07,1.02e+08,-8e+06,-8000000.00000012,1.9e+07,1.9e+07,2e+06,2.1e+07,1.15e+08,1.15e+08,-2e+06,1.13e+08,1.94e+08,1.093e+09,1.39e+08,0.55647,0.22314,0.15014,0.06614,0.02817,1.27523,3.24161,1.34769,0.2825,0.63743,0.63006,4.24561,9.63743,0.81287,0.0333,0.04247,1.01546,1.21605
