"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"1","2010_Q2",15.9860317460317,"Up",3.24e+08,-216500000,107500000,-90800000,16700000,-5800000,-5900000,-5900000,1e+05,10900000,8300000,1e+05,8400000,8400000,8400000,8400000,8400000,10800000,3800000,4200000,27200000,-5800000,-5800000,-5800000,-7200000,-43400000,-1200000,-1e+05,6e+05,-7e+05,-4e+05,-76700000,-92900000,-92900000,3e+05,-92600000,27500000,302100000,25800000,0.33179,0.05154,0.02593,3.07143,0.15001,0.14611,5.78594,0.46073,0.02143,0.14286
"2","2010_Q3",14.54109375,"Down",343700000,-232900000,110800000,-89900000,20900000,-4200000,-5300000,-5300000,1100000,16700000,14500000,-4900000,9600000,9600000,9600000,9600000,9600000,11100000,3100000,3400000,27200000,-5600000,-5600000,-5600000,-4e+05,-6300000,-1200000,0,0,1.16415321826935e-10,3e+05,-9e+05,2e+07,2e+07,1400000,21400000,3.2e+07,302100000,34700000,0.32237,0.06081,0.02793,3.61458,0.17144,0.16698,6.13774,0.61967,0.02143,0.125
"3","2010_Q4",17.56609375,"Up",329600000,-224800000,104800000,-85800000,1.9e+07,-4500000,-4900000,-4900000,4e+05,14500000,12200000,-4e+06,8200000,8200000,8200000,8200000,8200000,10500000,12800000,-23100000,8400000,-3900000,-3900000,-3900000,7e+05,-5100000,-1200000,1300000,1200000,1e+05,-4e+05,-3e+05,3e+06,3e+06,-1600000,1400000,29500000,301700000,6500000,0.31796,0.05765,0.02488,0.79268,0.14643,0.14263,5.88595,0.11608,0.02143,0.14634
"4","2011_Q1",20.7733870967742,"Up",321500000,-216100000,105400000,-91700000,13700000,-4300000,-1e+06,-5600000,-3300000,9400000,-2e+05,2300000,2100000,2100000,2100000,2100000,2100000,-32400000,50700000,15500000,35900000,-7e+06,-7e+06,-7e+06,-3100000,-22800000,-1300000,5e+05,7e+05,-2e+05,-2e+05,-999999.999999999,12100000,12100000,-8e+05,11300000,-18700000,301200000,-12500000,0.32784,0.04261,0.00653,-5.95238,0.0375,0.03653,5.7413,-0.22322,0.02322,0.61905
"5","2011_Q2",20.052380952381,"Down",380700000,-257100000,123600000,-93500000,30100000,-6e+06,-5e+06,-5e+06,-1e+06,24100000,23200000,-7100000,16100000,16100000,16100000,16100000,16100000,9900000,6e+05,-18700000,7900000,-5800000,-5800000,-5800000,-1200000,-5700000,-1200000,-1e+05,5e+05,-6e+05,-3e+05,-1600000,6e+05,6e+05,1300000,1900000,4e+07,3.01e+08,22600000,0.32467,0.07906,0.04229,1.40373,0.28257,0.27823,6.68171,0.39665,0.02106,0.07453
"6","2011_Q3",17.13453125,"Down",412200000,-276400000,135800000,-102200000,33600000,-5200000,-5100000,-5100000,-1e+05,28400000,26300000,-8400000,17900000,17900000,17900000,17900000,17900000,9800000,2499999.99999999,-7600000,22600000,-6400000,-6400000,-6400000,-2e+05,-7100000,-1300000,5e+05,8e+05,-3e+05,0,-8e+05,14700000,14700000,8e+05,15500000,43400000,300600000,37800000,0.32945,0.08151,0.04343,2.11173,0.31385,0.3104,7.22724,0.66276,0.02279,0.07263
"7","2011_Q4",16.5720634920635,"Down",414800000,-281800000,1.33e+08,-101900000,31100000,-4900000,-5100000,-5100000,2e+05,26200000,26200000,-6400000,19800000,19800000,19800000,19800000,19800000,9400000,-1900000,-5300000,2.2e+07,-9600000,-9600000,-9600000,-5e+05,-10200000,-1300000,2300000,2300000,0,-2900000,-1900000,9900000,9900000,1600000,11500000,40500000,300100000,3.2e+07,0.32064,0.07498,0.04773,1.61616,0.34683,0.34479,7.26601,0.56054,0.02277,0.06566
"8","2012_Q1",17.2203225806452,"Up",441500000,-295800000,145700000,-114200000,31500000,-4700000,-3200000,-4700000,-1500000,26800000,26800000,-9800000,1.7e+07,1.7e+07,1.7e+07,1.7e+07,1.7e+07,-29100000,1.7e+07,31600000,36500000,-8700000,-8700000,-8700000,-1300000,-8400000,-1200000,4900000,5e+06,-1e+05,4e+05,-45900000,-17800000,-17800000,6e+05,-17200000,2400000,2.5e+08,35100000,0.33001,0.07135,0.03851,2.06471,0.29629,0.29441,7.69476,0.61175,0.02091,0.07059
"9","2012_Q2",15.4653968253968,"Down",458100000,-303800000,154300000,-112500000,41800000,-5e+06,-4500000,-4500000,-5e+05,36800000,36800000,-12200000,24600000,24600000,24600000,24600000,24600000,9400000,3900000,1300000,39200000,-7600000,-7600000,-7600000,-4e+05,4e+05,-1200000,1900000,2700000,-8e+05,1e+05,8e+05,40400000,40400000,-3e+05,40100000,51200000,0,57100000,0.33683,0.09125,0.0537,2.32114,0.42373,0.4215,7.89061,0.98353,0.02067,0.04878
"10","2012_Q3",15.6379365079365,"Up",445600000,-293500000,152100000,-111400000,40700000,-5100000,-4700000,-4700000,-4e+05,35600000,35600000,-11900000,23700000,23700000,23700000,23700000,23700000,9599999.99999999,6200000,-4e+07,-5e+05,-5600000,-5600000,-5600000,-7e+05,5e+05,-1300000,5e+05,2400000,-1900000,-1e+05,-9e+05,-9e+05,-9e+05,-4e+05,-1299999.99999999,50300000,2.5e+08,16600000,0.34134,0.09134,0.05319,0.70042,0.40749,0.40591,7.66158,0.28542,0.02235,0.05485
"11","2012_Q4",16.4675806451613,"Up",399800000,-265600000,134200000,-108900000,25300000,-3900000,-4100000,-4100000,2e+05,21400000,21400000,-6500000,14900000,14900000,14900000,14900000,14900000,8900000,5200000,14700000,43700000,-5900000,-5900000,-5900000,-1e+05,-7100000,-1300000,8e+05,8e+05,0,56441.6570589686,-5e+05,36100000,36100000,7e+05,36800000,34200000,2.5e+08,49500000,0.33567,0.06328,0.03727,3.32215,0.25595,0.25473,6.8676,0.85029,0.02233,0.08725
"12","2013_Q1",20.1343333333333,"Up",420600000,-270600000,1.5e+08,-114800000,35200000,-4100000,-3200000,-4200000,-9e+05,31100000,25700000,-13700000,1.2e+07,1.2e+07,1.2e+07,1.2e+07,1.2e+07,-27900000,-4e+05,2.4e+07,7699999.99999999,-9400000,-9400000,-9400000,-4e+05,-52200000,-1400000,5e+05,5e+05,0,-1e+05,-1e+06,-45500000,-45500000,-1e+05,-45600000,7300000,2.5e+08,35600000,0.35663,0.08369,0.02853,2.96667,0.206,0.20484,7.22013,0.61112,0.02403,0.11667
"13","2013_Q2",21.8271875,"Up",449700000,-3e+08,149700000,-114900000,34800000,-4300000,-4300000,-4300000,-1114396.10428806,30500000,3e+07,-1e+07,2e+07,2e+07,2e+07,2e+07,2e+07,9500000,6800000,-7600000,28700000,-15700000,-15700000,-15700000,2e+05,-15100000,-1300000,0,4e+05,-4e+05,-717410.189525531,-1300000,12300000,12300000,-2e+05,12100000,44300000,2.5e+08,3.1e+07,0.33289,0.07738,0.04447,1.55,0.34294,0.34121,7.71108,0.53156,0.02229,0.065
"14","2013_Q3",23.06453125,"Up",441800000,-293300000,148500000,-130300000,18200000,-4600000,-4300000,-4300000,-3e+05,13600000,12900000,-4600000,8300000,8300000,8300000,8300000,8300000,9499999.99999999,15600000,-14800000,18600000,-13400000,-13400000,-13400000,-2e+05,-14700000,-5200000,4e+05,4e+05,2.3283064365387e-10,-1369664.66292191,-2400000,1499999.99999999,1499999.99999999,-1e+05,1400000,27700000,2.5e+08,4100000,0.33612,0.0412,0.01879,0.49398,0.14219,0.14135,7.56853,0.07024,0.08908,0.62651
"15","2013_Q4",24.98796875,"Up",423500000,-279100000,144400000,-1.17e+08,27400000,-4100000,-4300000,-4300000,2e+05,23300000,23300000,-6800000,16500000,16500000,16500000,16500000,16500000,9100000,-6400000,10800000,3e+07,-10300000,-10300000,-10300000,-4e+05,-11100000,-5300000,1600000,4700000,-3100000,-1487086.80485733,-6100000,12800000,12800000,-4e+05,12400000,36500000,0,43800000,0.34097,0.0647,0.03896,2.65455,0.28229,0.28008,7.24543,0.74935,0.09067,0.32121
"16","2014_Q1",24.1208196721311,"Down",459900000,-297300000,162600000,-126900000,35700000,-4700000,-3900000,-4300000,-8e+05,3.1e+07,3.1e+07,-7500000,23400000,23400000,23400000,23400000,23400000,-28100000,52300000,11600000,59200000,-10800000,-10800000,-10800000,-1600000,-168800000,-7300000,1600000,1700000,-1e+05,-5e+05,-6200000,-115800000,-115800000,4e+05,-115400000,7599999.99999999,2.5e+08,15900000,0.35356,0.07763,0.05088,0.67949,0.39959,0.39574,7.85355,0.27152,0.12466,0.31197
"17","2014_Q2",26.115873015873,"Up",468100000,-298100000,1.7e+08,-130900000,39100000,-4600000,-4500000,-4500000,-1e+05,34500000,34500000,-1.2e+07,22500000,22500000,22500000,22500000,22500000,11100000,2400000,2200000,38200000,-6500000,-6500000,-6500000,5e+05,-6200000,-7300000,2300000,6100000,-3800000,7e+05,-4300000,27700000,27700000,-3e+05,27400000,50200000,2.5e+08,57900000,0.36317,0.08353,0.04807,2.57333,0.38313,0.37919,7.97077,0.98592,0.1243,0.32444
"18","2014_Q3",25.4403125,"Down",470500000,-351600000,118900000,-240100000,-121200000,-4100000,-4300000,-4300000,2e+05,-125300000,-129300000,48600000,-80600000,-80600000,-80600000,-80600000,-80600000,10500000,73800000,-14400000,-10700000,-13500000,-13500000,-13500000,-2e+05,-20100000,-7400000,2500000,2800000,-299999.999999999,-1100000,-6e+06,-36800000,-36800000,-2.3283064365387e-10,-36800000,-110700000,2.5e+08,-187200000,0.25271,-0.2576,-0.17131,2.32258,-1.36787,-1.38217,7.98491,-3.17699,0.12559,-0.0918100000000001
"19","2014_Q4",25.86765625,"Up",455900000,-2.93e+08,162900000,-127600000,35300000,-4900000,-4500000,-4500000,-4e+05,30400000,29300000,-9700000,19400000,19400000,19400000,19400000,19400000,10700000,6900000,-14100000,22900000,-1.2e+07,-1.2e+07,-1.2e+07,-4e+05,-12600000,-7400000,9e+05,1100000,-2e+05,2e+05,-6300000,4e+06,4e+06,-2e+05,3800000,4.6e+07,0,29600000,0.35732,0.07743,0.04255,1.52577,0.32873,0.32873,7.72518,0.50157,0.12539,0.38144
"20","2015_Q1",25.0119672131148,"Down",487500000,-308300000,179200000,-131600000,47600000,-4100000,-3900000,-4300000,-2e+05,43500000,22100000,-5700000,16600000,16600000,16600000,16600000,16600000,-32300000,29100000,26300000,39700000,-8800000,-8800000,-8800000,-1600000,-9299999.99999999,-8200000,2400000,10800000,-8400000,4.65661287307739e-10,-5800000,24600000,24600000,-2e+05,24400000,15300000,2.5e+08,38500000,0.36759,0.09764,0.03405,2.31928,0.28061,0.28061,8.24087,0.65082,0.13862,0.49398
"21","2015_Q2",24.4352380952381,"Down",509700000,-324100000,185600000,-143400000,42200000,-4700000,-4700000,-4700000,226861.364257077,37500000,37500000,-12400000,25200000,25200000,25200000,25200000,25200000,1.2e+07,0,4800000,4.2e+07,-8200000,-8200000,-8200000,-6e+05,-162600000,-8300000,-2e+05,1e+06,-1200000,-5100000,86400000,-34200000,-34200000,-6e+05,-34800000,54200000,3.5e+08,63200000,0.36414,0.08279,0.04944,2.50794,0.42499,0.42062,8.59588,1.06584,0.13998,0.32937
"22","2015_Q3",24.27515625,"Down",565400000,-359700000,205700000,-1.59e+08,46700000,-4700000,-4600000,-4600000,-99999.9999999999,4.2e+07,4.2e+07,-14200000,27800000,27800000,27800000,27800000,27800000,13200000,499999.999999996,-2800000,38700000,-18500000,-18500000,-18500000,0,-13900000,-8300000,2700000,4700000,-2e+06,699999.999999999,-27900000,-3100000,-3100000,1100000,-2e+06,59900000,3.27e+08,52800000,0.36381,0.0826,0.04917,1.89928,0.46765,0.46338,9.51122,0.88821,0.13962,0.29856
"23","2015_Q4",26.66390625,"Up",516400000,-325900000,190500000,-151200000,39300000,-5400000,-4400000,-4400000,-1e+06,33900000,3.2e+07,-10700000,21300000,21300000,21100000,21100000,21300000,13400000,7e+06,-12600000,29100000,-16500000,-16500000,-16500000,-7600000,-2.4e+07,-8300000,1400000,1500000,-1e+05,1e+05,-7800000,-2700000,-2700000,-2e+05,-2900000,52700000,3.26e+08,34300000,0.3689,0.0761,0.04086,1.62559,0.35432,0.35117,8.67166,0.57598,0.13938,0.39336
"24","2016_Q1",23.1775409836066,"Down",550700000,-341100000,209600000,-161700000,47900000,-3400000,-3200000,-3800000,-2e+05,44500000,33700000,-9900000,23800000,23800000,23400000,23400000,23800000,5600000,14200000,14300000,57900000,-20400000,-20400000,-20400000,6300000,-13100000,-8400000,2e+05,6e+05,-4e+05,3e+05,-43900000,9e+05,9e+05,1e+06,1900000,53500000,289800000,57300000,0.38061,0.08698,0.04249,2.44872,0.39256,0.38673,9.23847,0.96126,0.14092,0.35897
"25","2016_Q2",26.94375,"Up",565400000,-348600000,216800000,-161700000,55100000,-4400000,-3900000,-3900000,-5e+05,50700000,50700000,-1.7e+07,33800000,33800000,33500000,33500000,33800000,13700000,-4e+05,-13800000,33300000,-16600000,-16600000,-16600000,5e+05,-13100000,-8400000,-1500000,9e+05,-2400000,8e+05,-31100000,-10900000,-10900000,-8e+05,-11700000,68800000,2.68e+08,55400000,0.38345,0.09745,0.05925,1.65373,0.56082,0.55619,9.46531,0.92745,0.14062,0.25075
"26","2016_Q3",29.06828125,"Up",610700000,-379500000,231200000,-179300000,51900000,-3e+06,-3700000,-3700000,7e+05,48900000,47900000,-14600000,34300000,34300000,34500000,34500000,34900000,13900000,4100000,-12800000,40100000,-18600000,-18600000,-18600000,300000.000000001,-21800000,-8800000,3400000,4700000,-1300000,2e+05,-16200000,2100000,2100000,6e+05,2700000,65800000,256800000,4.9e+07,0.37858,0.08498,0.05649,1.42029,0.57604,0.57055,10.19671,0.81814,0.14693,0.25507
