"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",33.8640625,"Up",14839000,-17016000,-3079000,-13937000,-2177000,-35000,-2212000,-2212000,-2212000,-2212000,-2212000,-2212000,148689000,148689000,2021000,2021000,158518000,2007000,1519000,1519000,3526000,162044000,8391000,3874000,4517000,32394000,33523000,589000,33523000,65917000,158433000,-62306000,96127000,96127000,162044000,-2212000,184000,615000,-15248000,-16661000,-190000,-190000,82491000,82491000,-1998000,80493000,63642000,63642000,63642000,-1993000,0,-0.02301,-0.01365,4.89344,0.68573,0,-0.24185,-0.24185,1.62246,10.51028,-0.01706,74.60562,68.29995
"2","2013_Q4",28.9928125,"Down",8443999.99999999,-18171000,-3587000,-14584000,-9727000,23000,-9704000,-9704000,-9704000,-9704000,-9704000,-9703999.99999999,139575000,139575000,2130000,2130000,143860000,2028000,1462000,1462000,3490000,147350000,8909000,3525000,5384000,30465000,29602000,452000,29602000,60067000,159293000,-72010000,87283000,87283000,147350000,-9704000,171000,869000,320000,-8344000,0,1.16415321826935e-10,3000,3000,-773000,-770000,-9114000,-9114000,-9114000,-9556000,0,-0.11118,-0.06586,4.72214,0.68819,0,-0.34162,-0.34162,0.29726,3.0727,-0.08302,14.60601,14.34923
"3","2014_Q1",30.3118032786885,"Up",36317000,-20063000,-4378000,-15685000,16254000,25000,16279000,16279000,15930000,15930000,15930000,15930000,123564000,123564000,2421000,2421000,159652000,2157000,1179000,1179000,3336000,162988000,11330000,4698000,6632000,34573000,24102000,473000,24102000,58675000,160393000,-56080000,104313000,104313000,162988000,15930000,169000,1e+06,-32804000,-15705000,-4e+05,-4e+05,106000,106000,-12000,94000,-16011000,-16011000,-16011000,16423000,0,0.15271,0.09774,4.61782,0.56249,0,0.55211,0.55211,1.25869,3.61533,0.12405,-7.52384,-7.60207
"4","2014_Q2",23.5493650793651,"Down",13391000,-20303000,-4956000,-15347000,-6912000,28000,-6884000,-6884000,-6884000,-6884000,-6884000,-6884000,237058000,237058000,2078000,2078000,247287000,2631000,1146000,1146000,3777000,251064000,8715000,3884000,4831000,24681000,25739000,478000,25739000,50420000,263608000,-62964000,200644000,200644000,251064000,-6884000,169000,1463000,17127000,11875000,-316000,-316000,101933000,101933000,2000,101935000,113494000,113494000,113494000,-6743000,0,-0.03431,-0.02742,10.01933,0.25129,3.3881317890172e-21,-0.22236,-0.22236,0.43254,6.48096,-0.03041,35.15616,34.29659
"5","2014_Q3",31.0796875,"Up",9494000,-22805000,-5306000,-17499000,-13311000,38000,-13273000,-13273000,-13386000,-13386000,-13386000,-13386000,229872000,229872000,2656000,2656000,234719000,2642000,1010000,1010000,3652000,238371000,10801000,4516000,6285000,23784000,24983000,481000,24983000,48767000,265954000,-76350000,189604000,189604000,238371000,-13386000,193000,1632000,4352000,-7209000,-508000,-508000,684000,684000,-153000,531000,-7186000,-7186000,-7186000,-13118000,0,-0.0706,-0.05616,9.86878,0.2572,0,-0.40373,-0.40373,0.28634,5.71854,-0.06238,17.5234,17.26933
"6","2014_Q4",23.35890625,"Down",8177000,-27913000,-5669000,-22244000,-19736000,41000,-19695000,-19695000,-19700000,-19700000,-19700000,-19700000,211669000,211669000,3273000,3273000,217051000,2749000,953000,953000,3702000,220753000,14367000,5715000,8652000,23782000,24217000,482000,24217000,47999000,268804000,-96050000,172754000,172754000,220753000,-19700000,186000,1583000,-1133000,-19064000,-406000,-406000,1013999.99999999,1013999.99999999,253000,1267000,-18203000,-18203000,-18203000,-19550000,-1.45519152283669e-11,-0.11403,-0.08924,9.12669,0.27785,0,-0.58499,-0.58499,0.24281,5.12988,-0.10001,10.82706,10.72502
"7","2015_Q1",20.6496721311475,"Down",10349000,-25440000,-4935000,-20505000,-15091000,47000,-15044000,-15044000,-15035000,-15035000,-15035000,-15035000,190095000,190095000,2840000,2840000,195010000,3620000,573000,573000,4193000,199203000,15343000,8300000,7043000,17045000,21876000,427000,21876000,38921000,271367000,-111085000,160282000,160282000,199203000,-15035000,194000,2188000,-8312000,-20965000,-986000,-986000,388000,388000,-11000,377000,-21574000,-21574000,-21574000,-14897000,0,-0.0938,-0.07548,11.44089,0.24283,0,-0.43812,-0.43812,0.30157,4.67063,-0.08254,12.76062,12.59658
"8","2015_Q2",19.2433333333333,"Down",911000,-62288000,-5237000,-57051000,-61377000,51000,-61326000,-61326000,-61326000,-61326000,-61326000,-61326000,244504000,244504000,2535000,2535000,247404000,5205000,657000,657000,5862000,253266000,10588000,5078000,5510000,11880000,21858000,409000,23014000,34894000,390783000,-172411000,218372000,218372000,253266000,-61326000,260000,42422000,-4067000,-22711000,-40163000,-40163000,117129000,117129000,209000,117283000,54409000,54409000,54409000,-61117000,1677000,-0.28083,-0.24214,20.82525,0.15979,0.00662,-1.75257,-1.75257,0.02603,6.24063,-0.25351,3.97315,3.95632
"9","2015_Q3",20.18125,"Up",736000,-26521000,-5970000,-20551000,-25785000,26000,-25759000,-25759000,-25759000,-25759000,-25759000,-25759000,236695000,236695000,2011000,2011000,239429000,4856000,709000,709000,5565000,244994000,12498000,3022000,9476000,13206000,21865000,416000,22882000,36088000,407076000,-198170000,208906000,208906000,244994000,-25759000,393000,2494000,1794000,-21078000,-66000,-66000,13798000,13798000,-337000,13335000,-7809000,-7809000,-7809000,-25392000,1551000,-0.1233,-0.10514,18.13032,0.17275,0.00633,-0.62694,-0.62694,0.01791,5.08448,-0.11088,9.26055,9.11941
"10","2015_Q4",14.82515625,"Down",358000,-23464000,-6676000,-16788000,-23106000,41000,-23065000,-23065000,-23065000,-23065000,-23065000,-23065000,229938000,229938000,2504000,2504000,232619000,4477000,602000,602000,5079000,237698000,15053000,2972000,12081000,17501000,29768000,404000,30643000,48144000,410789000,-221235000,189554000,189554000,237698000,-23065000,405000,2855000,12278000,-7527000,40999.9999999963,41000,660000,660000,197000,728999.999999985,-6756999.99999999,-6756999.99999999,-6756999.99999999,-22701000,1423000,-0.12168,-0.09703,13.29175,0.25399,0.00599,-0.55631,-0.55631,0.00863000000000001,4.57186,-0.10449,10.0663,9.88986
"11","2016_Q1",10.1137704918033,"Down",555000,-22836000,-6017000,-16819000,-22281000,55000,-22226000,-22226000,-22226000,-22226000,-22226000,-22226000,208323000,208323000,4478000,4478000,213063000,4089000,751000,751000,4840000,217903000,15988000,4653000,11335000,18449000,29192000,383000,29922000,48371000,412993000,-243461000,169532000,169532000,217903000,-22226000,361000,2105000,-1849000,-21609000,5000,5000,121000,121000,0,-11000,-21615000,-21615000,-21615000,-21920000,1291000,-0.1311,-0.102,11.54876,0.28532,0.00592,-0.53152,-0.53152,0.01327,4.05424,-0.11112,9.44489,9.29186
"12","2016_Q2",11.15015625,"Up",472000,-23586000,-5846000,-17740000,-23114000,235000,-22879000,-22879000,-22879000,-22879000,-22879000,-22879000,312656000,312656000,5468000,5468000,318300000,3770000,634000,634000,4404000,322704000,11964000,2236000,9728000,13968000,29146000,337000,29726000,43694000,545350000,-266340000,279010000,279010000,322704000,-22879000,389000,2373000,-5329000,-25446000,-70000,-70000.0000000149,130208000,130208000,-224000,129849000,104333000,104333000,104333000,-22725000,1156000,-0.082,-0.0709,22.7878,0.1566,0.00358,-0.41486,-0.41486,0.00856,5.0592,-0.07397,13.70737,13.47668
"13","2016_Q3",9.12796875,"Down",473000,-28874000,-7424000,-21450000,-28401000,420000,-27981000,-27981000,-27981000,-27981000,-27981000,-27981000,288616000,89480000,7930000,7930000,296606000,3617000,635000,635000,4252000,300858000,14615000,3673000,10942000,16161000,29106000,297000,29533000,45694000,549460000,-294321000,255164000,255164000,300858000,-27981000,402000,2726000,149000,-24704000,-249000,-199690000,1357000,1357000,0,1218000,-223176000,-223176000,-223176000,-27999000,1017000,-0.10966,-0.093,18.3532,0.17908,0.00338,-0.48789,-0.48789,0.00825,4.44916,-0.09808,10.27176,10.12637
"14","2016_Q4",10.4373015873016,"Up",6584000,-31410000,-7522000,-23888000,-24826000,490000,-24336000,-24336000,-24336000,-24336000,-24336000,-24336000,263343000,66028000,5460000,5460000,275003000,3320000,663000,663000,3983000,278986000,14772000,3387000,11385000,15855000,29065000,256000,29335000,45190000,552548000,-318657000,233796000,233796000,278986000,-24336000,398000,2692000,-3999000,-25245000,-101000,1564000.00000006,146999.999999985,146999.999999985,224000,229000.000000015,-23452000.0000001,-23452000.0000001,-23452000.0000001,-24428000,875000,-0.10409,-0.08723,17.34488,0.19329,0.00314,-0.4198,-0.4198,0.11358,4.03305,-0.09227,10.74456,10.5723
"15","2017_Q1",13.3193548387097,"Up",478000,-35963000,-7580000,-28383000,-35485000,469000,-35016000,-35016000,-35016000,-35016000,-35016000,-35016000,242192000,77895000,6457000,6457000,248672000,3124000,645000,645000,3769000,252441000,21001000,4994000,16007000,21621000,29010000,201000,29120000,50741000,555479000,-353673000,201700000,201700000,252441000,-35016000,4e+05,2726000,10914000,-20976000,-204000,32782000,315000,315000,-109000,61000,11867000,11867000,11867000,-35085000,730000,-0.1736,-0.13871,11.50141,0.25157,0.00289,-0.60337,-0.60337,0.00824,3.47555,-0.1513,6.8822,6.80462
"16","2017_Q2",15.115873015873,"Up",-3255234.38264872,-32964000,-8269000,-24695000,-32964000,442000,-32522000,-32522000,-32522000,-32522000,-32522000,-32522000,211155000,64381000,8825000,8825000,219988000,3269000,649000,649000,3918000,223906000,19775000,7345000,12430000,20480000,28905000,96000,28905000,49385000,560925000,-386310000,174521000,174521000,223906000,-32522000,411000,2739000,-3863000,-33235000,-118000,17297000,2228000,2228000,346000,2424000,-13514000,-13514000,-13514000,-32553000,580000,-0.18635,-0.14525,10.7416,0.28297,0.00259,-0.55861,-0.55861,-0.0554792747555321,2.99766,-0.15942,6.46868,6.38803
"17","2017_Q3",15.2571428571429,"Up",-2186128.01151451,-38462000,-11170000,-27292000,-28462000,438000,-28024000,-28024000,-28024000,-28024000,-28024000,-28024000,193004000,88529000,8631000,8631000,201660000,2985000,665000,665000,3650000,205310000,25737000,9594000,16143000,26179000,29091000,282000,29091000,55270000,564434000,-414334000,150040000,150040000,205310000,-28024000,413000,2970000,6728000,-17913000,-565000,41726000,487000,487000,1000,335000,24148000,24148000,24148000,-28049000,427000,-0.18678,-0.1365,7.70312,0.36837,0.00208,-0.48005,-0.48005,-0.0366123745055284,2.57019,-0.15607,6.86573,6.76611
"18","2017_Q4",14.5365079365079,"Down",9.31322574615479e-10,-38052000,-9311000,-28741000,-38052000,455000,-37597000,-37597000,-37597000,-37597000,-37597000,-37597000,307228000,219794000,1e+07,1e+07,317253000,2631000,662000,662000,3293000,320546000,22907000,5360000,17547000,23180000,29177000,368000,29177000,52357000,720151000,-451931000,268189000,268189000,320546000,-37597000,406000,2809000,-4511000,-38893000,-54000,17140000,152843000,152843000,332000,153018000,131265000,131265000,131265000,-37646000,270000,-0.14019,-0.11729,13.6865,0.19522,0.00084,-0.62751,-0.62751,-2.42861286636753e-17,4.47616,-0.12632,8.1538,8.0668
"19","2018_Q1",16.8898360655738,"Up",0,-37364000,-8431000,-28933000,-37364000,862000,-36502000,-36502000,-36166000,-36166000,-36166000,-36166000,276439000,226664000,8983000,8983000,285804000,2527000,1028000,1028000,3555000,289359000,24550000,7001000,17549000,24664000,29324000,515000,29324000,53988000,723517000,-488097000,235371000,235371000,289359000,-36166000,409000,2810000,2555000,-30392000,-247000,37167000,645000,645000,-390000,95000,6870000,6870000,6870000,-36955000,110000,-0.15366,-0.12499,11.5879,0.22937,0.00038,-0.52133,-0.52133,0,3.39283,-0.13658,7.47745,7.39559
"20","2018_Q2",15.56375,"Down",-2874199.51064874,-34982000,-9360000,-25622000,-34982000,917000,-34065000,-34065000,-34065000,-34065000,-34065000,-34065000,247923000,130289000,8915000,8915000,256862000,2275000,1064000,1064000,3339000,260201000,24629000,7227000,17402000,24633000,4436000,630000,4436000,29069000,728363000,-497159000,231132000,231132000,260201000,-34065000,361000,2781000,582000,-30341000,-108000,-67883000,1499999.99999999,1499999.99999999,459000,1848999.99999997,-96375000,-96375000,-96375000,-34621000,0,-0.14738,-0.13092,10.42756,0.12577,0,-0.49095,-0.49095,-0.037853361713358,3.3311,-0.14461,7.16106,7.08716
"21","2018_Q3",11.4149206349206,"Down",-4582899.34265543,-42260000,-10914000,-31346000,-30260000,1132000,-29128000,-29128000,-29128000,-29128000,-29128000,-29128000,215624000,67906000,20514000,8514000,236138000,2141000,1046000,1046000,3187000,239325000,29157000,10989000,18168000,29178000,4517000,711000,4569000,33747000,731891000,-526287000,205578000,205578000,239325000,-29128000,221000,2965000,-6946000,-32888000,-1000,-29580000,104000,104000,0,85000,-62383000,-62383000,-62383000,-30039000,68000,-0.14169,-0.12171,8.09302,0.16416,0.00028,-0.41917,-0.41917,-0.0595764059693846,2.95838,-0.1386,7.17587,7.12346
