"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2011_Q2",9.55873015873016,"Down",98973000,-79529000,19444000,-15595000,-15595000,3849000,823000,-26000,849000,4672000,4672000,-642000,4030000,4030000,4065000,4065000,-712504427.949049,-712504427.949049,616865299.874474,616865299.874474,-31441406.9914164,-23789984.1338206,-32796917.7605775,-150870519.199812,172621120.206858,94659055.5199552,16445369.3956878,20909177.1825929,-46632400.3591916,267280175.726814,116409656.527001,633616568.144923,103501379.978836,43121026.3871171,-294704746.550109,44101070.4146065,33332618.6155448,-250603676.135503,-207482649.748385,84664298.5144906,-11377104.4446627,138523977.547277,119805105.452582,331616277.069687,323892306.275387,116409656.527001,4030000,3698000,-9940000,-2212000,-1956000,-2706000,-2576000,55227845.6774599,150719135.465978,-2563000,-7481000,-7481000,109000,-7372000,0,0.19646,0.03889,0.04107,0.545622890860921,0.438931716729984,-1.50729886038096,-0.898257211616936,-0.894864633397293,0.10973,0.10901,2.67164,8.79538034377627,0.06954,0.558568779803258,0.6337,1292.39041118793
"2","2011_Q3",7.86671875,"Down",107730000,-83324000,24406000,-22055000,-22055000,2351000,-2094000,-62000,-2032000,257000,278000.000000001,-768000,-489999.999999998,-490000,-513000,-513000,-295020213.974525,-295020213.974525,316279649.937237,316279649.937237,7508296.50429178,-5274992.06691028,-11817458.8802888,23492740.4000938,109260560.103429,85922027.7599776,16433684.6978439,19821088.5912964,-2301200.1795958,195182587.863407,218675328.263501,330776284.072462,65718689.989418,52334513.1935585,-149852373.275055,27331535.2073032,19857809.3077724,-122520838.067751,-70186324.8741927,86905149.2572453,-11377052.2223314,149486988.773638,65336052.7262911,290351138.534844,288861653.137693,218675328.263501,-490000,4789000,1740000,6039000,-3649000,-2134000,-2578000,25454851.0279786,1.8e+07,15422000,19327000,19327000,1416000,20743000,0,0.22655,0.02182,-0.00476000000000002,0.286801445430461,0.229495858364992,0.869305569809522,-0.314143605808468,-0.449037316698646,-0.0138400000000001,-0.01376,2.90719,7.75087517188814,0.06957,0.296359389901629,-5.02534,573.816775593964
"3","2011_Q4",7.30936507936508,"Down",102104000,-82669000,19435000,-15499000,-15499000,3936000,375000,-115000,490000,4311000,4311000,1499000,5810000,5810000,5883000,5883000,-53703737.9915082,-53703737.9915082,152733549.979079,152733549.979079,29216765.5014306,6089669.31102991,903847.039903746,134336246.800031,74762853.3678097,80244342.5866592,16425894.8992813,19017696.1970988,24507266.6068014,155007195.954469,289343442.7545,150053428.024154,45034896.6631393,58337504.3978528,-55284124.4250182,16828178.4024344,11439936.4359241,-38455946.0225838,19881558.3752691,89141383.0857484,-11377017.4074438,154747662.924546,35492017.5754304,268004046.178281,269461884.379231,289343442.7545,5810000,4561000,5400000,15771000,-4153000,-4153000,-2587000,8045569.13549197,-1.8e+07,-19503000,-7885000,-7885000,110000,-7775000,0,0.19035,0.03855,0.05762,0.12499714847682,0.0991986194549973,2.35999852326984,0.0627254647305106,-0.162672438899549,0.15831,0.15622,2.74765,7.18423505729605,0.06962,0.133129796633876,0.43974,167.301981864655
"4","2012_Q1",8.16274193548387,"Up",119408000,-93520000,25888000,-20080000,-17678000,5808000,-586000,5000,-591000,5222000,5201000,3987000,9188000,9843000,10065000,10065000,57445000,57445000,88036000,88036000,38557000,11923000,7294000,195961000,61511000,77272000,16422000,18423000,37971000,138783000,334744000,62151000,37152000,62151000,0,11449000,6955000,11449000,73600000,91269000,-11377000,155989000,23152000,259033000,261144000,334744000,9843000,-4587000,-7814000,-2558000,-5465000,-7185000,-2588000,0,0,-2657000,-12400000,-12400000,428000,-11972000,9.31322574615479e-10,0.2168,0.04864,0.08429,0.03854,0.03007,3.15298,0.28184,0,0.2702,0.25719,3.20558,6.9539,0.06948,0.04642,0.257130000000001,-9.89067
"5","2012_Q2",6.89301587301587,"Down",110804000,-90824000,19980000,-18562000,-18562000,1418000,39000,-4000,43000,1457000,1457000,-22000,1435000,1435000,1494000,1494000,84426000,84426000,83996000,83996000,40402000,13844000,9280000,222668000,61888000,76651000,16422000,17961000,42268000,138539000,361207000,37772000,37772000,64796000,2.7e+07,10052000,5279000,37052000,101848000,93184000,-11377000,154894000,21195000,257896000,259359000,361207000,1435000,4549000,517000,6501000,-4553000,-4553000,-2589000,-1681856.37849732,2.7e+07,24609000,26557000,26557000,424000,26981000,2.7e+07,0.18032,0.0128,0.01348,0.00576,0.00414,3.43645,0.39269,0.07475,0.04008,0.03982,2.97243,6.91831,0.06945,0.01377,1.73293,-40.49788
"6","2012_Q3",8.04380952380952,"Up",115891000,-94970000,20921000,-18278000,-18278000,2643000,-196000,-1000,-195000,2447000,2447000,-2221000,226000,226000,312000.000000002,312000.000000002,75548000,75548000,96092000,96092000,40577000,13638000,9029000,225855000,66988000,77355000,16422000,17533000,43400000,144343000,370198000,40712000,40712000,66624000,36500000,9594000,4793000,46094000,112718000,94770000,-11377000,152614000,20849000,256856000,257480000,370198000,226000,4457000,-9447000,-4764000,-4572000,-10925000,-2592000,0,9500000,6908000,-8781000,-8781000,-97000.0000000001,-8878000,36500000,0.18052,0.02281,0.00269,0.00121,0.00084,3.38999,0.43777,0.0986,0.00836000000000003,0.00832,3.10617,6.88439,0.06947,0.00957,8.30769,-14.77412
"7","2012_Q4",8.25096774193548,"Up",111999000,-92746000,19253000,-16839000,-16839000,2414000,-450000,165000,-615000,1964000,1964000,-1180000,784000,784000,809000,809000,76811000,76811000,86133000,86133000,43955000,12924000,8468000,219823000,69194000,79030000,16422000,17063000,45545000,148224000,368047000,41674000,41674000,68656000,39500000,8933000,4373000,48433000,117089000,95923000,-11377000,150832000,14993000,250371000,250958000,368047000,784000,4665000,4762000,10211000,-7483000,-7479000,-2591000,0,3e+06,409000,3141000,3141000,-1878000,1263000,39500000,0.1719,0.02155,0.00722,0.00322,0.0022,3.2018,0.46657,0.10732,0.02168,0.02155,3.00186,6.71058,0.06945,0.01136,3.20272,-15.45609
"8","2013_Q1",10.3601666666667,"Up",126406000,-103460000,22946000,-18021000,-16221000,4925000,607000,140000,467000,5532000,5532000,223000,5755000,5755000,5785000,5785000,86797000,86797000,98359000,98359000,43561000,11716000,7172000,240433000,77152000,86063000,16422000,16620000,37949000,163215000,403648000,79293000,54775000,79293000,4.8e+07,20798000,6866000,68798000,148091000,96840000,-11377000,154008000,15573000,255044000,255557000,403648000,5755000,3229000,3868000,12852000,-9092000,-9143000,-2628000,-4e+06,12500000,5974000,9683000,9683000,351000,10034000,4.8e+07,0.18153,0.03896,0.04577,0.02264,0.01433,3.03221,0.57948,0.11892,0.15398,0.15304,3.36464,6.78869,0.06995,0.02594,0.45428,-7.87756
"9","2013_Q2",12.93921875,"Up",118737000,-97271000,21466000,-17296000,-17296000,4170000,87000,46000,41000,4257000,4257000,-430000,3827000,3827000,3889000,3889000,85147000,85147000,94677000,94677000,47360000,12987000,9017000,240171000,81449000,83860000,16422000,16215000,51223000,165309000,405480000,54038000,54038000,89799000,56500000,8360000,3378000,64860000,154659000,97831000,-11377000,155304000,8624000,250382000,250821000,405480000,3827000,4901000,-2541000,6187000,-11415000,-11415000,-2592000,0,8500000,5908000,680000,680000,-2330000,-1650000,56500000,0.18079,0.03512,0.03275,0.01551,0.00959,2.67454,0.61661,0.13934,0.10401,0.10263,3.17548,6.69617,0.06932,0.02053,0.6665,-6.86978
"10","2013_Q3",18.8428125,"Up",129759000,-107466000,22293000,-15178000,-15178000,7115000,19411000,-53000,19464000,26526000,26526000,-3234000,23292000,23292000,23362000,23362000,76999000,76999000,107894000,107894000,50823000,12951000,8920000,248667000,89883000,83826000,17216000,17482000,49128000,173709000,422376000,56746000,56746000,89626000,4.6e+07,8758000,3322000,54758000,144384000,98587000,-11377000,176072000,14333000,277615000,277992000,422376000,23292000,4833000,-11627000,16498000,-12142000,-13576000,-2595000,-26500000,1.6e+07,-13095000,-10173000,-10173000,2025000,-8148000,4.6e+07,0.1718,0.05483,0.18004,0.08404,0.05531,2.7745,0.51938,0.10891,0.62443,0.61564,3.46824,7.42018,0.06936,0.07801,0.11108,-4.35685
