"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",18.8121875,"Up",351486000,-151685000,199801000,-118588000,-80152000,-38436000,81213000,-33650000,-34078000,428000,47563000,-18333000,29230000,21728000,21728000,-16075000,5653000,5653000,251410000,251410000,33439000,33439000,10133000,55266000,34246000,350248000,2305158000,446373000,140830000,195676000,83091000,2762462000,3112710000,181419000,23696000,17176000,136844000,64834000,246253000,2248707000,51439000,51439000,2300146000,2546399000,188155000,184589000,381722000,566311000,3112710000,21728000,38436000,2496000,7249000,69909000,-48014000,-56332000,-56332000,17693000,-50323000,-92190000,214024000,-544520000,109263000,128849000,128849000,128849000,119649000,2313541000,0.56845,0.23106,0.01608,0.00998,0.00182,1.42231,4.49647,0.74326,0.18823,0.18722,11.70372,6.14641,3.06973,0.03338,16.30815,17.23484,25.39164
"2","2016_Q4",19.1933333333333,"Up",347140000,-153423000,193717000,-118979000,-82739000,-36240000,74738000,-34929000,-35275000,346000,39809000,-1575000,38234000,33444000,33444000,-25172000,8272000,8272000,96329000,96329000,35117000,35117000,9421000,53050000,32030000,193917000,2304813000,733237000,136247000,195676000,376002000,3048724000,3242641000,167027000,26162000,7324000,131692000,49418000,216445000,2389414000,52282999.9999999,52282999.9999999,2441697000,2658142000,188856000,189986000,394513000,584499000,3242641000,33444000,36240000,9586000,-6202000,73068000,-31865000,-31873000,-31873000,-709000,-326740000,-18268000,122511000,-5652000,98591000,-155081000,-155081000,-155081000,110978000,2438832000,0.55804,0.2153,0.02383,0.01415,0.00255,0.89592,4.54773,0.75211,0.20034,0.19961,8.40736,4.60126,0.44243,0.00863,2.20841,21.10781,31.34286
"3","2017_Q1",19.3177419354839,"Up",417887000,-203578000,214309000,-131897000,-89332000,-42565000,82412000,-35286000,-35768000,527000,47126000,-9886000,37240000,41289000,41289000,-20901000,20388000,20388000,133776000,133776000,43547000,43547000,11956000,60562000,31467000,249841000,2601829000,663913000,149199000,195676000,74572000,3276314000,3526155000,199693000,30710000,15841000,153142000,49391000,249084000,2376238000,267481000,267481000,2643719000,2892803000,329662000,349748000,283604000,633352000,3526155000,41289000,42565000,14336000,9193000,107383000,-40103000,-42871000,-42871000,-2779000,-32448000,-17342000,-17517000,-252000,-35111000,39824000,39824000,39824000,124977000,2425629000,0.51284,0.19721,0.04879,0.03219,0.00578,1.00304,4.56745,0.6879,0.36832,0.36657,7.54936,6.31839,0.31329,0.01134,0.8506,18.3382,27.8097
"4","2017_Q2",19.8544444444444,"Up",425738000,-192077000,233661000,-139914000,-94661000,-45253000,93747000,-34615000,-34944000,415000,59132000,-3034000,56098000,45419000,45419000,-25519000,19900000,19900000,119418000,119418000,45812000,45812000,10857000,59652000,37523000,235739000,2611850000,658704000,144124000,195676000,74996000,3280741000,3516480000,212269000,28333000,5866000,174931000,48724000,260993000,2324224000,267669000,267669000,2591893000,2852886000,333312000,367601000,295993000,663594000,3516480000,45419000,45253000,8518000,-4271000,94919000,-40810000,-41333000,-41333000,-1143000,-41953000,-14020000,-25541000,-27537000,-67098000,-14132000,-14132000,-14132000,1.39e+08,2372948000,0.54884,0.2202,0.04674,0.02999,0.00566,0.90324,4.29914,0.67481,0.30293,0.30226,6.48082,5.59583,0.21342,0.01027,0.70452,16.21245,24.03842
"5","2017_Q3",19.748253968254,"Down",410143000,-191355000,218788000,-142021000,-95214000,-46807000,76767000,-33519000,-33853000,420000,43248000,-105232000,-61984000,-50171000,-50171000,24437000,-25734000,-25734000,125307000,125307000,41238000,41238000,11131000,68019000,36169000,245695000,2644459000,663909000,137964000,195676000,79973000,3318373000,3564068000,196307000,33549000,9062000,153696000,74485000,270792000,2427682000,284569000,284569000,2712251000,2983043000,334917000,335838000,245187000,581025000,3564068000,-50171000,46807000,11061000,366000,8063000,-60418000,-60522000,-60522000,-6870000,-90728000,-23009000,374142000,-263927000,88780000,6115000,6115000,6115000,123574000,2502167000,0.53344,0.18717,-0.06274,-0.04429,-0.00722,0.90732,5.1341,0.70205,-0.38226,-0.38309,6.09244,4.98868,0.34179,-0.00081,-0.89411,19.2343,30.962
"6","2017_Q4",23.9350793650794,"Up",405948000,-188658000,217290000,-141501000,-98840000,-42661000,75789000,-31009000,-31330000,407000,44780000,-20100000,24680000,22316000,22316000,-10531000,11785000,11785000,222427000,222427000,41825000,41825000,11460000,315088000,39408000,590800000,2667392000,659308000,132982000,195676000,78536000,3336858000,3927658000,181298000,21417000,4491000,155390000,280261000,461559000,2587246000,291658000,291658000,2878904000,3340463000,336320000,342007000,245188000,587195000,3927658000,22316000,42661000,24788000,-11187000,78578000,-65798000,-66157000,-66157000,-897000,-66695000,-15389000,369911000,-8424000,346816000,358699000,358699000,358699000,118450000,2867507000,0.53527,0.1867,0.02903,0.02007,0.003,1.28001,5.68885,0.73008,0.17311,0.0549099999999999,5.96298,5.02375,0.22605,0.00725,1.30581,22.33077,34.90058
"7","2018_Q1",28.2839344262295,"Up",400310000,-187165000,213145000,-135711000,-92215000,-43496000,77434000,-31024000,-31315000,390000,46410000,133115000,179525000,45969000,45969000,-16497000,29472000,29472000,231465000,231465000,48730000,48730000,12572000,48795000,40970000,341562000,2719293000,549133000,1.28e+08,195676000,92726000,3278559000,3620121000,215140000,21626000,10611000,182903000,32346000,247486000,2587728000,153195000,153195000,2740923000,2988409000,350120000,378731000,252981000,631712000,3620121000,45969000,43496000,7350000,11585000,108400000,-80356000,-80415000,-80415000,-1921000,-82277000,-12852000,-3974000,-261597000,-278214000,-252091000,-252091000,-252091000,120930000,2620074000,0.53245,0.19344,0.07362,0.04665,0.00814,1.38013,4.73065,0.72375,0.43026,0.25387,5.84411,5.52908,0.18763,0.01243,0.43607,19.752,30.84703
"8","2018_Q2",28.04640625,"Down",421039000,-187953000,233086000,-138273000,-95109000,-43164000,94813000,-30658000,-31111000,608000,64155000,28831000,92986000,82130000,82130000,-30950000,51180000,51180000,179192000,179192000,45377000,45377000,11637000,50162000,42402000,286368000,2814498000,573316000,124255000,195676000,129089000,3397519000,3683887000,228604000,20988000,15536000,192080000,37021000,265625000,2581730000,132560000,132560000,2714290000,2979915000,354071000,426618000,277354000,703972000,3683887000,82130000,43164000,-24209000,4962000,106047000,-137645000,-137728000,-137728000,519000,-137126000,-12401000,-3983000.00000003,-5312000,-21083000.0000001,-52162000,-52162000,-52162000,137977000,2618751000,0.5536,0.22519,0.12156,0.0727,0.01389,1.07809,4.233,0.71087,0.74392,0.43763,6.11993,6.20102,0.18025,0.0184,0.2423,17.68091,25.73022
"9","2018_Q3",27.8919047619048,"Down",416188000,-197050000,219138000,-144063000,-98071000,-45992000,75075000,-31165000,-31598000,499000,43910000,70037000,113947000,99102000,99102000,-16367000,82735000,82735000,108418000,108418000,43987000,43987000,12730000,47015000,43433000,212150000,2939200000,564203000,121826000,195676000,136777000,3512931000,3725081000,279727000,29758000,7690000,242279000,37062000,316789000,2575789000,35280000,35280000,2611069000,2927858000,358766000,506783000,290440000,797223000,3725081000,99102000,45992000,-59168000,-952000,84974000,-115515000,-119970000,-119970000,1087000,-114428000,-11918000,-8711000,-24310000,-41208000,-70662000,-70662000,-70662000,121067000,2612851000,0.52654,0.18039,0.19879,0.10378,0.02221,0.66969,3.67257,0.70142,1.19687,0.70714,6.02072,7.33129,0.17241,0.02747,0.14405,20.68634,33.35908
"10","2018_Q4",20.4380952380952,"Down",412332000,-202680000,209652000,-148595000,-104360000,-44235000,61057000,-33157000,-33590000,499000,27900000,-2210000.00000003,25690000,25067000,25067000,-10387000,14680000,14680000,110585000,110585000,52322000,52322000,12667000,68257000,64564000,243831000,3059725000,553309000,119398000,195676000,128881000,3622245000,3866076000,304439000,31848000,14866000,257725000,37079000,341518000,2674904000,35754000,35754000,2710658000,3052176000,361313000,516680000,297220000,813900000,3866076000,25067000,44235000,5900000,-5240000,69962000,-149760000,-149914000,-149914000,-3075000,-152835000,-11702000,96307000,-163999.999999985,85150999.9999999,2278000.00000001,2278000.00000001,2278000.00000001,105292000,2711983000,0.50845,0.14808,0.0356,0.01804,0.0038,0.71396,3.75006,0.70148,0.21198,0.12539,5.95399,7.46076,0.16897,0.00741,0.79714,24.70651,42.60606
