"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.7356451612903,"Down",38250000,-8130000,30120000,-27202000,-20943000,-6259000,2918000,325000,1000,324000,3243000,3243000,-559000,2684000,2684000,2684000,2684000,85742000,10757000,74985000,19915000,19915000,14988000,1357000,1357000,122002000,6472000,36535000,36506000,43007000,165009000,20189000,6306000,13883000,3100000,3100000,23289000,5675000,5344000,331000,5675000,28964000,412112000,-11719000,-262003000,-2345000,136045000,136045000,165009000,2684000,637000,2493000,1895000,7709000,-449000,9498000,9049000,-10408000,246000,0,-10408000,6350000,6350000,-90000,6260000,3555000,0,5560000,0.78745,0.07629,0.07017,0.01973,0.01627,2.07154,5.23861,0.2129,-1.29246970711411e-26,0.06809,0.06552,0.97039,3.45143,0.14106,0.01894,0.03923,-24.11871,-29.38382
"12","2013_Q1",14.9396666666667,"Down",43674000,-8826000,34848000,-30716000,-23894000,-6822000,4132000,7999.99999999994,-7000,15000,4140000,4140000,-398000,3742000,3742000,3742000,3742000,76707000,9451000,67256000,22946000,22946000,14930000,2022000,2022000,116605000,6549000,35439000,35410000,53394000,169999000,22858000,7696000,15162000,4198000,4198000,27056000,5863000,5554000,309000,5863000,32919000,415207000,-16129000,-258261000,-3737000,137080000,137080000,169999000,3742000,637000,3094000,85000,7558000,-764000,-3677000,-4441000,-4194000,197000,266000,-3928000,-811000.000000001,-811000.000000001,-495000,-1306000,4769000,-1.38777878078145e-17,4488000,0.79791,0.09461,0.08568,0.0273,0.02201,1.19936,4.30976,0.24014,0,0.0973,0.09366,1.1356,3.56432,0.1167,0.02618,0.0314,-16.0845,-18.56413
"13","2013_Q2",20.0971875,"Up",42670000,-8723000,33947000,-35254000,-27967000,-7287000,-1307000,-5000,16000,-21000,-1312000,-1312000,-411000,-1723000,-1723000,-1723000,-1723000,67452000,11727000,55725000,20983000,20983000,16513000,1737000,1737000,106685000,6479000,36711000,35932000,63778000,170463000,19099000,6270000,12829000,3993000,3993000,23092000,6066000,5781000,285000,6066000,29158000,421075000,-16554000,-259984000,-3232000,141305000,141305000,170463000,-1723000,652000,4369000,-3331000,-33000,-711000,2349000,888000,1931000,1931000,-426000,1505000,2360000,2360000,-84000,2276000,-655000,0,-4286000,0.79557,-0.03063,-0.04038,-0.01219,-0.01011,2.48752,4.62,0.20635,0,-0.04455,-0.04455,1.10321,3.65337,-0.11081,-0.01169,-0.02908,102.98015,51.60826
"14","2013_Q3",22.86078125,"Up",44345000,-9027000,35318000,-33920000,-26199000,-7721000,1398000,31000,25000,6000,1429000,1429000,-370000,1059000,1059000,1059000,1059000,71070000,10120000,60950000,21119000,21119000,15636000,2789000,2789000,110614000,6444000,38150000,37349000,70405000,181019000,19904000,6182000,13722000,4142000,4142000,24046000,6269000,6007000,262000,6269000,30315000,427589000,-16554000,-258925000,-1406000,150704000,150704000,181019000,1059000,670000,3355000,70999.9999999995,5155000,-525000,-10448000,-10973000,3387000,3387000,312000,3699000,-2119000,-2119000,512000,-1607000,2068000,2.22044604925031e-16,1984000,0.79644,0.03153,0.02388,0.00703,0.00585,1.87347,4.6001,0.20116,0,0.02697,0.02697,1.12941,3.83822,0.05053,0.00675,0.01264,-34.36654,-50.83691
"15","2013_Q4",24.7109375,"Up",46195000,-9458000,36737000,-32143000,-24364000,-7779000,4594000,57000,37000,20000,4651000,4651000,-258000,4393000,4393000,4393000,4393000,79576000,22632000,56944000,22958000,22958000,14819000,2376000,2376000,119729000,7022000,38830000,38029000,73636000,193365000,22081000,6066000,16015000,4354000,4354000,26435000,6473000,6234000,239000,6473000,32908000,432163000,-16554000,-254532000,-620000,160457000,160457000,193365000,4393000,541000,1974000,1541000,8449000,-1065000,2033000,968000,2909000,2909000,0,2909000,12326000,12326000,186000,12512000,5135000,0,5869000,0.79526,0.09945,0.0951,0.02738,0.02272,1.33599,4.52918,0.20509,1.65436122510606e-24,0.11095,0.09549,1.16669,4.05246,0.14823,0.02632,0.03516,-15.49679,-17.32172
"16","2014_Q1",27.6650819672131,"Up",50433000,-10114000,40319000,-36641000,-28721000,-7920000,3678000,84000,40000,44000,3762000,3762000,-140000,3622000,3622000,3622000,3622000,76579000,20916000,55663000,24357000,24357000,13948000,3082000,3082000,117966000,6889000,38791000,37990000,87441000,205407000,25645000,7746000,17899000,4766000,4766000,30411000,6643000,6415000,228000,6643000,37054000,436547000,-16554000,-250910000,-730000,168353000,168353000,205407000,3622000,645000,4439000,1189000,9895000,-460000,-12695000,-13155000,1133000,1133000,386000,1519000,-1741000.00000001,-1741000.00000001,25000,-1716000,4323000,3.5527136788005e-15,5192000,0.79946,0.07293,0.07182,0.02151,0.01763,1.43346,3.87906,0.2201,0,0.09101,0.08527,1.26719,4.23008,0.13046,0.0207,0.02967,-17.71432,-20.82083
"17","2014_Q2",23.2746031746032,"Down",48811000,-9689000,39122000,-40660000,-31598000,-9062000,-1538000,55000,44000,11000,-1483000,-1483000,-226000,-1709000,-1709000,-1709000,-1709000,87198000,34740000,52458000,22763000,22763000,13920000,3334000,3334000,127215000,6716000,38495000,37694000,78971000,206186000,23774000,6759000,17015000,5200000,5200000,28974000,6862000,6640000,222000,6862000,35836000,441675000,-17567000,-252619000,-1139000,170350000,170350000,206186000,-1709000,621000,4752000,-474000,3190000,-380000,11206000,10826000,820000,820000,-1013000,-193000,13823000,13823000,1000,13824000,-917000,0,-1545000,0.8015,-0.03151,-0.03501,-0.01003,-0.00828999999999999,0.90404,4.39066,0.21037,0,-0.04266,-0.04266,1.21839,4.25216,-0.03857,-0.00964,-0.00872,95.09051,56.69571
"18","2014_Q3",25.33,"Up",51938000,-9612000,42326000,-38148000,-29455000,-8693000,4178000,-3000,36000,-39000,4175000,4175000,-336000,3839000,3839000,3839000,3839000,95464000,17483000,77981000,23072000,23072000,13445000,3310000,3310000,135291000,7351000,56429000,36867000,80253000,215544000,21378000,7616000,13762000,5756000,5756000,27134000,12872000,6865000,6007000,12872000,40006000,447850000,-17567000,-248780000,-5965000,175538000,175538000,215544000,3839000,575000,4598000,-2300000,6712000,-1116000,-8236000,-25799000,1740000,1740000,397000,2137000,-16950000,-16950000,-307000,-17257000,4753000,-5.6843418860808e-14,1673000,0.81493,0.08044,0.07392,0.02187,0.01781,0.43579,4.98603,0.22791,0,0.09491,0.0871,1.284,4.33963,0.04136,0.02038,0.00888,-20.085,-22.84921
"19","2014_Q4",31.540625,"Up",62005000,-9838000,52167000,-38504000,-30139000,-8365000,13663000,38000,48000,-10000,13701000,13701000,-1017000,12684000,12684000,12684000,12684000,113424000,19478000,93946000,28373000,28373000,15444000,3331000,3331000,160572000,7583000,54636000,35327000,80201000,240773000,24810000,8249000,16561000,6595000,6595000,31405000,13650000,7089000,6561000,13650000,45055000,458313000,-17567000,-236096000,-8932000,195718000,195718000,240773000,12684000,6e+05,5199000,-3358000,15125000,-736000,-17491000,-18727000,6064000,6064000,0,6064000,2462000,2462000,-467000,1995000,14263000,0,11186000,0.84134,0.22035,0.20456,0.06481,0.05268,0.8819,5.11294,0.2302,-4.2351647362715e-22,0.31046,0.29577,1.51765,4.79043,0.27379,0.06058,0.05343,-7.95232000000001,-8.30153999999999
"20","2015_Q1",54.2791803278689,"Up",67557000,-10806000,56751000,-44388000,-34535000,-9853000,12363000,9000.00000000001,68000,-59000,12372000,12372000,86502000,98874000,98874000,98874000,98874000,131958000,22401000,109557000,31828000,31828000,16774000,4479000,4479000,185039000,9127000,130205000,31534000,153328000,338367000,32283000,10389000,21894000,7036000,7036000,39319000,7488000,795000,6693000,7488000,46807000,465459000,-19347000,-137222000,-17330000,291560000,291560000,338367000,98874000,974000,-83503000,1918000,18263000,-2956000,-11607000,-16163000,2303000,2303000,-788000,1515000,3615000,3615000,-692000,2923000,13337000,9.09494701772928e-13,-74203000,0.84005,0.183,1.46356,0.33912,0.29221,-0.75048,4.7061,0.16054,0,2.40219,2.22639,1.64133,7.08358,-1.80279,0.33063,-0.24813,-9.89413,-10.67362
"21","2015_Q2",66.4401587301587,"Up",73432000,-10868000,62564000,-47533000,-37323000,-10210000,15031000,116000,63000,53000,15147000,15147000,-6288000,8859000,8859000,8859000,8859000,154920000,40431000,114489000,34372000,34372000,21230000,33590000,4003000,244112000,10218000,96175000,32243000,107894000,352006000,28415000,8617000,19798000,7868000,7868000,36283000,7672000,813000,6859000,7672000,43955000,474948000,-22812000,-128363000,-15722000,308051000,308051000,352006000,8859000,663000,10785000,-9393000,10914000,-1863000,7602000,5739000,4589000,4589000,-3379000,1210000,17863000,17863000,167000,18030000,15694000,0,10726000,0.852,0.20469,0.12064,0.02876,0.02517,1.21075,6.728,0.14269,6.7762635780344e-21,0.21247,0.19948,1.76113,7.38802,0.25724,0.02806,0.03397,-9.87129,-10.3067
"22","2015_Q3",88.111875,"Up",76359000,-12144000,64215000,-51398000,-39829000,-11569000,12817000,149000,62000,87000,12966000,12966000,-5231000.00000001,7735000,7735000,7735000,7735000,175508000,54421000,121087000,37119000,37119000,23032000,29745000,4030000,265404000,11420000,96582000,32676000,108002000,373406000,27649000,8788000,18861000,6803000,6803000,34452000,7858000,824000,7034000,7858000,42310000,489887000,-23157000,-120628000,-15006000,331096000,331096000,373406000,7735000,689000,16161000,-6643000,17942000,-1556000,-5151000,-7457000,3382000,3382000,403000,3785000,14270000,14270000,-280000,13990000,13506000,7.27595761418343e-12,10538000,0.84096,0.16785,0.1013,0.02336,0.02071,1.36238,7.70359,0.12779,0,0.18317,0.17219,1.80826,7.84067,0.24955,0.02282,0.03109,-12.99482,-13.69338
"23","2015_Q4",84.864375,"Down",85795000,-12744000,73051000,-55608000,-41853000,-13755000,17443000,55000,84000,-29000,17498000,17498000,-6943000,10555000,10555000,10555000,10555000,196194000,53226000,142968000,36842000,36842000,25535000,23174000,4115000,281745000,15020000,94861000,31697000,109881000,391626000,30757000,8836000,21921000,6913000,6913000,37670000,8427000,799000,7628000,8427000,46097000,496415000,-23255000,-110073000,-17558000,345529000,345529000,391626000,10555000,862000,13113000,852000,25382000,-4514000,-21851000,-26365000,266000,266000,7000,273000,-710000,-710000,-485000,-1195000,18305000,0,21586000,0.85146,0.20331,0.12303,0.03055,0.02695,2.0451,7.47929,0.13341,0,0.24878,0.23482,2.02218,8.14408,0.50878,0.02982,0.06098,-10.71806,-11.24772
"24","2016_Q1",84.4129508196721,"Down",93957000,-14663000,79294000,-59481000,-45256000,-14225000,19813000,414000,186000,228000,20227000,20227000,-9229000,10998000,10998000,10998000,10998000,212053000,48231000,163822000,42821000,42821000,26740000,6778000,6778000,288392000,23184000,111355000,33003000,135539000,423931000,37763000,9381000,28382000,8778000,8778000,46541000,8615000,832000,7783000,8615000,55156000,509050000,-26660000,-99075000,-14540000,368775000,368775000,423931000,10998000,1063000,9859000,637000,22557000,-7691000,-21936000,-29627000,1534000,1534000,358000,1892000,-5178000,-5178000,183000,-4995000,20876000,1.16415321826935e-10,23051000,0.84394,0.21087,0.11705,0.02982,0.02594,2.09593,6.19651,0.14957,0,0.25899,0.24279,2.21258,8.68421,0.54282,0.02914,0.06108,-10.15774,-10.70272
"25","2016_Q2",99.49484375,"Up",102995000,-15070000,87925000,-66692000,-51032000,-15660000,21233000,192000,269000,-77000,21425000,21425000,-8515000,12910000,12910000,12910000,12910000,223174000,38274000,184900000,41280000,41280000,29093000,6741000,6741000,300288000,25950000,103074000,32272000,129024000,429312000,34629000,8372000,26257000,8590000,8590000,43219000,8766000,814000,7952000,8766000,51985000,521272000,-41691000,-86165000,-16089000,377327000,377327000,429312000,12910000,1406000,15033000,-2969000,26380000,-5099000,-20228000,-25327000,2770000,2770000,-13992000,-11222000,-10169000,-10169000,212000,-9957000,22639000,0,23086000,0.85368,0.20616,0.12535,0.03421,0.03007,1.78823,6.94806,0.13777,-8.67361737988404e-19,0.30156,0.28576,2.40581,8.81379,0.53925,0.03344,0.05979,-9.85794,-10.51071
"26","2016_Q3",119.78109375,"Up",102955000,-17309000,85646000,-71138000,-53086000,-18052000,14508000,228000,342000,-114000,14736000,14736000,-5861000,8875000,8875000,8875000,8875000,232945000,54709000,178236000,46607000,46607000,31491000,8827000,8827000,319870000,50207000,100817000,32582000,155028000,474898000,42079000,14066000,28013000,9103000,9103000,51922000,8574000,821000,7753000,24535000,76457000,537292000,-46266000,-77290000,-15295000,398441000,398441000,474898000,8875000,1552000,10501000,-3572000,17356000,-5354000,2678000,-2676000,2994000,2994000,-1216000,1695000,16375000,16375000,60000.0000000001,16435000,16060000,16701000,12995000,0.83188,0.14092,0.0862,0.02227,0.01869,1.46423,6.16059,0.19189,0.03517,0.20578,0.19908,2.38714,9.23835,0.30131,0.02095,0.03067,-13.46476,-14.90516
"27","2016_Q4",115.847142857143,"Down",114674000,-18987000,95687000,-70284000,-53935000,-16349000,25403000,423000,457000,-34000,25826000,25826000,-10394000,15432000,15432000,15432000,15432000,240709000,61069000,179640000,50178000,50178000,32053000,10479000,10479000,333419000,60909000,88396000,30562000,167545000,500964000,49097000,14558000,34539000,9004000,9004000,58871000,8963000,771000,8192000,24713000,83584000,547231000,-46556000,-61858000,-21437000,417380000,417380000,500964000,15432000,1530000,15256000,1907000,34125000,-13586000,-15371000,-29106000,2501000,2501000,674000,2994000,8013000,8013000,-1653000,6360000,26933000,16520000,25648000,0.83443,0.22152,0.13457,0.03697,0.0308,1.662,5.66355,0.20026,0.03298,0.35532,0.3447,2.64037,9.61019,0.59055,0.03485,0.05791,-8.32395,-8.8253
"28","2017_Q1",115.915322580645,"Up",124680000,-19261000,105419000,-76425000,-60100000,-16325000,28994000,362000,486000,-124000,29356000,29356000,-14457000,14899000,14899000,14899000,14899000,229948000,39040000,190908000,54055000,54055000,34931000,8024000,8024000,326958000,87777000,88536000,31045000,223456000,550414000,58323000,20620000,37703000,10495000,10495000,69617000,13187000,783000,12404000,28726000,98343000,566399000,-46763000,-46959000,-20606000,452071000,452071000,550414000,14899000,1714000,9085000,11557000,37255000,-26376000,-40098000,-69224000,2395000,2395000,8187000,10400000,-21569000,-21569000,-460000,-22029000,30708000,16338000,30346000,0.84552,0.23255,0.1195,0.03296,0.02707,2.03678,4.69653,0.21754,0.02968,0.34187,0.33782,2.86088,10.37312,0.69631,0.03094,0.06301,-6.95617,-7.36739
"29","2017_Q2",134.392857142857,"Up",132468000,-21862000,110606000,-77528000,-60597000,-16931000,33078000,714000,635000,79000,33792000,33792000,3582000,37374000,37374000,37374000,37374000,251411000,43970000,207441000,53557000,53557000,36926000,9021000,9021000,350915000,92804000,170829000,33199000,301302000,652217000,48479000,12784000,35695000,9697000,9697000,59005000,10843000,837000,10006000,26168000,85173000,580458000,-64567000,65661000,-14508000,567044000,567044000,652217000,37374000,2463000,5294000,-8837000,36294000,-9804000,-7004000,-17208000,3555000,3555000,-17805000,-14434000,4652000,4652000,278000,4930000,35541000,16154000,13318000,0.83496,0.24971,0.28214,0.06591,0.0573,0.35634,5.94721,0.15021,0.02477,0.85144,0.81946,3.01784,12.91819,0.30341,0.06291,0.02242,-6.61931,-7.11219
"30","2017_Q3",151.212380952381,"Up",132823000,-21627000,111196000,-79470000,-60080000,-19390000,31726000,758000,781000,-23000,32484000,32484000,-7981000,24503000,24503000,24503000,24503000,263197000,44536000,218661000,57327000,57327000,40632000,9014000,9014000,370170000,97697000,170832000,34332000,324483000,694653000,51923000,16667000,35256000,10584000,10584000,63358000,11299000,866000,10433000,26409000,89767000,592523000,-65999000,90164000,-11802000,604886000,604886000,694653000,24503000,2857000,18191000,-2394000,43157000,-7871000,-29514000,-43385000,1702000,1702000,-369000,1140000,911999.999999996,911999.999999996,-346000,566000,34583000,15961000,32299000,0.83717,0.23886,0.18448,0.04051,0.03527,1.31817,5.84251,0.1484,0.02298,0.55511,0.53619,3.00906,13.7035,0.73172,0.03876,0.05109,-7.14906,-7.79285
"31","2017_Q4",186.70619047619,"Up",154022000,-24994000,129028000,-84262000,-66556000,-17706000,44766000,888000,969000,-81000,45654000,45654000,-32208000,13446000,13446000,13446000,13446000,301253000,50502000,250751000,64862000,64862000,46891000,9192000,9192000,422198000,107977000,139942000,34814000,297404000,719602000,63556000,21991000,41565000,11797000,11797000,75353000,11767000,878000,10889000,11767000,87120000,606140000,-66622000,103610000,-10646000,632482000,632482000,719602000,13446000,2780000,43629000,-3159000,56696000,-26493000,-25221000,-51714000,2369000,2369000,-623000,1606000,6588000,6588000,-622000,5966000,47546000,0,50102000,0.83772,0.29065,0.0873,0.02126,0.01869,3.72616,5.60294,0.13774,0,0.30389,0.29314,3.48096,14.29435,1.13233,0.02087,0.07777,-6.33603,-6.7295
