"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",3.60607142857143,"Down",1747186,-2099066,-2099066,-351880,-100164,-100164,-452044,4428,-447616,-35223,-482839,-482839,-482839,-482839,178188,178188,263469,263469,330388,295008,35380,772045,90844,6975,2759973,2259154,260318,2857792,3629837,676080,454868,772248,1013909,549066,2462237,69923,2532160,10768311,-9777684,107050,1097677,1097677,3629837,-482839,123460,226352,-300009,-433036,-12010,-128949,556334,556334,-5651,-5651,26476,20825,-228420,842171,-505216,-0.2014,-0.27635,-0.43987,-0.13302,1.04634,0.31355,2.30684,0.23201,-0.15872,-0.15872,0.57434,0.36083,-0.16608,-0.24891,-0.26044,-2.90685,-1.88696
"2","2016_Q3",3.62454545454545,"Up",1525658,-1863342,-1863342,-337684,-207899,-207899,-545583,363788,-181795,7360,-174435,-174435,-174435,-174435,121130,121130,252898,252898,252627,221683,30944,626655,85710,6848,2663516,2139321,260318,2756074,3382729,622172,446731,739097,971598,702183,2332867,82478,2415345,10805515,-9952119,113988,967384,967384,3382729,-174435,124748,3951,-96621.0000000001,-142357,-839.000000000007,-113764,200084,200084,-56037,-56037,-1021,-57058,-212936,821575,-317756,-0.22134,-0.11433,-0.18032,-0.05157,1.82162999999999,0.26862,2.49678,0.24287,-0.05778,-0.05778,0.50535,0.32043,-0.10525,-0.09751,-0.17762,-3.28946,-2.07426
"3","2016_Q4",3.18222222222222,"Down",2606670,-2060137,-2060137,546533,-213048,-213048,333485,-77095,256390,-220275,36115,36115,36115,36115,1678671,1678671,540112,540112,375613,136961,238652,2594396,153108,6905,4393456,3796432,260318,4553469,7147865,1228196,545305,823733,1144314,797804,3196243,579610,3775853,13169214,-9916004,118802,3372012,3372012,7147865,36115,126999,370338,-36804,496648,-43243,689983,365454,365454,1552085,1552085,5456,1557541,673532,1403343,813760,0.20967,0.01385,0.01071,0.00505,22.53247,0.8117,1.11976,0.19633,0.0095,0.0095,0.68581,0.88717,0.2141,0.00756,0.17041,-0.40878,-0.50377
"4","2017_Q1",5.82666666666667,"Up",3018449,-4336286,-4336286,-1317837,-215024,-215024,-1532861,135248,-1397613,50113,-1347500,-1347500,-1347500,-1347500,2230422,2230422,552327,552327,100282,91577,8705,2883031,203660,6508,4427212,3690978,260318,4637380,7520411,1532100,1006739,1388217,1365277,1154015,4285594,742189,5027783,14172763,-11263504,-416631,2492628,2492628,7520411,-1347500,146992,855988,1209145,864625,-89826,-253242,100547,100547,711930,711930,-160179,551751,-1170845,2130406,-101639,-0.43659,-0.44642,-0.54059,-0.17918,0.0754300000000008,0.67273,2.01706,0.28328,-0.31959,-0.31959,0.71589,0.59118,-0.02411,-0.29148,-0.02199,0.0854199999999998,0.07589
"5","2017_Q2",7.55428571428571,"Up",3875201,-4634522,-4634522,-759321,-173843,-173843,-933164,138158,-795006,-47110,-842116,-842116,-842116,-842116,1829153,1829153,383601,383601,279468,60327,219141,2492222,235311,91,4322255,3581020,260318,4557657,7049879,1840598,1260058,1745234,1137977,985872,4723809,727644,5451453,14190882,-12105622,-486834,1598426,1598426,7049879,-842116,136499,46416,68543,-590658,-55325,-55286,257766,257766,-388178,-388178,-13091,-401269,-622822,2472878,-562494,-0.19594,-0.21731,-0.52684,-0.11945,0.66795,0.52759,3.41051,0.35077,-0.18203,-0.18203,0.83767,0.34552,-0.12159,-0.20684,-0.13816,-1.03356,-0.84776
"6","2017_Q3",6.89322033898305,"Down",4094423,-3767807,-3767807,326616,-90831,-90831,235785,-8034.99999999997,227750,-14345,213405,213405,213405,213405,2125833,2125833,462472,462472,89966.9999999999,79026,10941,2678272,283058,97,4289891,3470474,260318,4573046,7251318,1295939,804046,1977091,1284814,992077,4557844,819188,5377032,14219727,-11892217,-453224,1874286,1874286,7251318,213405,144605,108281,-535599,-69308,-62251,-105526,295856,295856,121022,121022,175658,296680,471221,2796279,-112284,0.07977,0.05212,0.11386,0.02943,-0.526150000000002,0.58762,2.86884,0.38562,0.04613,0.04613,0.88506,0.40515,-0.02427,0.04569,-0.02404,1.42278,2.0527
"7","2017_Q4",2.63526315789474,"Down",5121019,-4567315,-4567315,553704,-118639,-118639,435065,108564,543629,-271964,271665,271665,271665,271665,3183550,3183550,1076316,1076316,118780,113049,5731,4378646,277624,1,4197400,3358242,260318,4475025,8853671,2062900,1259279,2199857,1512662,1328675,5775419,879952,6655371,14228817,-11620552,-409965,2198300,2198300,8853671,271665,145154,-30085,420146,806880,-22975,-24238,109683,109683,892325,892325,165392,1057717,698858,3079809,1367993,0.10812,0.05305,0.12358,0.03068,5.03559,0.75815,3.02751,0.34786,0.05872,0.05872,1.10697,0.47519,0.29571,0.05147,0.25918,-0.14844,-0.18736
"8","2018_Q1",3.68928571428571,"Up",9774503,-7300336,-7300336,2474167,-123419,-123419,2350748,11689,2362437,-639505,1722932,1722932,1722932,1722932,6469858,6469858,1280320,1280320,100235,87692,12543,7850413,280111,1.00000000001455,4093971,3245748,260318,4374083,12224496,3161931,1606560,2094933,1958094,1735179,7214958,895488,8110446,14261997,-9897620,-250327,4114050,4114050,12224496,1722932,175008,114125,1199695,3211760,-40171,-40814.0000000001,-92680.0000000001,-92680.0000000001,3078266,3078266,208042,3286308,2649175,2990421,4448204,0.25312,0.17627,0.41879,0.14094,2.58176,1.08807,1.9714,0.24463,0.07446,0.07241,0.42245,0.17781,0.19225,0.24251,0.62611,-1.3134,-1.40631
"9","2018_Q2",6.99868852459016,"Up",8593867,-8136810,-8136810,457057,-213753,-213753,243304,770409,1013713,-245036,768677,768677,768677,768677,7190209,7190209,956586,908497,195302,173836,21466,8342097,429334,350000,3999008,3135754,260318,4778342,13120439,3308976,1566985,725310,3166578,2528826,7200864,953598,8154462,14409765,-9128943,-314845,4965977,4965977,13120439,768677,158357,-661833,1178830,1444031,-182858,-182798,-644221,-692260,568973,568973,151378,720351,615414,1678908,1856422,0.05318,0.08944,0.15479,0.05859,2.41509,1.15849,1.64207,0.12796,0.08289,0.08081,0.92673,0.53551,0.20019,0.11568,0.27938,-8.95544,-12.05824
"10","2018_Q3",3.8791935483871,"Down",8822659,-7882518,-7882518,940141,-1049517,-1049517,-109376,-5866146,-5975522,-512406,-6487928,-6487928,-6487928,-6487928,6785266,6785266,1359469,1143724,361483,78681,282802,8506218,439361,195000,13580900,12748334,260318,14215261,22721479,4292949,2297847,544959,13503762,1009035,18341670,903218,19244888,19506662,-15616871,-413200,3476591,3476591,22721479,-6487928,68079,6835851,-622788,-206786,-4259650,-4244053,6794887,4365874,-84965.0000000002,-84965.0000000002,-319978,-404943,1008220,1448177,-3361812,0.10656,-0.73537,-1.86618,-0.28554,0.51816,0.46376,5.53556,0.06374,-0.69436,-0.71257,0.94424,0.37208,-0.35979,-1.31741,-0.68263,-5.29358,-5.6769
