"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",210.4921875,"Down",-9659000,-4066000,-5593000,-8579000,4000,-8575000,-8575000,-8575000,-8575000,-8575000,-8575000,-5625440.27715326,3824317.34494865,1950712.62721886,1741667.39100679,-3632007.51000339,3659322.43209532,5991993.49321193,2359985.98320854,2483274.64299812,-1424489.04065774,3907763.68365586,5863253.43061811,22488064.540529,329370051.066552,-349498129.623873,-20128078.5573205,-20128078.5573205,2359985.98320854,-8575000,783000,-1206000,-8625000,-2440000,-2440000,-2440000,0,-0.112767146273221,-0.0584402206700877,-3.96300789067986,0.509373667736228,-1.27223510421076e-21,-15.43599,-15.43599,-39.8925636396831,-0.0711109818957425,7.81749275306274
"2","2011_Q1",185.691935483871,"Down",-6069000,-294000,-5775000,-7590000,1227000,-6363000,-6363000,-6363000,-7529000,-7529000,-7529000,58631000,58181000,875000,875000,60360000,1850000,3890000,64250000,3960000,848000,3112000,5305000,12523000,404607000,-352880000,51727000,51727000,64250000,-7529000,638000,5187000,-1353000,40631000,40631000,40631000,0,-0.14555,-0.11718,11.37795,0.2421,0,-13.55307,-13.55307,93.1146,-0.12773,7.72477
"3","2011_Q2",343.433333333333,"Up",-11987000,-4684000,-7303000,-2897000,302000,-2595000,-2595000,-2595000,-2595000,-2595000,-2595000,86963396.7590511,80945560.8850171,702345.790927048,772027.536331068,88770002.5033345,745559.18930156,2517668.83559602,91287671.3389305,4650658.45233396,1451579.68021925,3199078.77211471,4981082.18979396,7145561.81982366,442689232.977816,-358547123.458709,84142109.5191068,84142109.5191068,91287671.3389305,-2595000,-5218000,-1734000,-9229000,-15391000,-15391000,-15391000,0,-0.139565117908926,-0.126434093109971,18.13974346356,0.103858777421257,4.24078368070255e-22,-3.51118,-3.51118,134.615491213228,-0.134452172701419,8.15644574897909
"4","2011_Q3",266.1640625,"Down",-12061000,-4470000,-7591000,-10680000,7000.00000000006,-10673000,-10673000,-10673000,-10673000,-10673000,-10673000,90956000,82421000,1077000,1077000,93080000,221000,1747000,94827000,4904000,1139000,3765000,4904000,5121000,455854000,-366148000,89706000,89706000,94827000,-10673000,943000,2044000,-7418000,39631000,39631000,39631000,-7.88860905221012e-31,-0.11898,-0.11255,18.98042,0.05709,0,-14.37185,-14.37185,120.79465,-0.11869,8.51648
"5","2011_Q4",235.355555555556,"Down",-7913000,268000,-8181000,-10318000,23000,-10295000,-10295000,-9897000,-9344000,-9344000,-9344000,83011000,73296000,1351000,1351000,85342000,264000,1566000,86908000,5196000,829000,4367000,5196000,5436000,456964000,-375492000,81472000,81472000,86908000,-9344000,1126000,83000,-7902000,-9125000,-9125000,-9125000,0,-0.11469,-0.10752,16.42456,0.06672,0,-10.41572,-10.41572,90.81649,-0.11435,8.04526
"6","2012_Q1",293.65,"Up",-12004000,-3141000,-8863000,-12004000,66000,-11938000,-11938000,-11450000,-10682000,-10682000,-10682000,74440000,63745000,1266000,1266000,76848000,712000,1808000,78656000,5833000,1219000,4614000,5833000,6782000,458048000,-386174000,71874000,71874000,78656000,-10682000,1085000,836000,-8540000,-9551000.00000001,-9551000.00000001,-9551000.00000001,6.3108872417681e-30,-0.14862,-0.13581,13.1747,0.09436,0,-11.87071,-11.87071,79.87226,-0.14668,6.20127
"7","2012_Q2",224.922222222222,"Down",-12423000,-2588000,-9835000,-12423000,8000,-12415000,-12415000,-12034000,-11080000,-11080000,-11080000,63954000,55909000,1498000,1498000,66523000,198000,1088000,67611000,5608000,937000,4671000,5608000,5843000,459022000,-397254000,61768000,61768000,67611000,-11080000,927000,-567000,-10510000,-7836000,-7836000,-7836000,0,-0.17938,-0.16388,11.86216,0.0946,0,-12.34701,-12.34701,68.83122,-0.1787,5.14803
"8","2012_Q3",266.533333333333,"Up",-11637000,-2400000,-9237000,-11637000,53000,-11584000,-11584000,-11229000,-10381000,-10381000,-10381000,55929000,47319000,1223000,1223000,58165000,201000,980000,59145000,7194000,1462000,5732000,7194000,7456000,459324000,-407635000,51689000,51689000,59145000,-10381000,285999.999999999,1958000,-7934000,-8590000,-8590000,-8590000,0,-0.20084,-0.17552,8.08521,0.14425,-6.01853107621011e-36,-11.56667,-11.56667,57.59266,-0.19982,4.80614
"9","2012_Q4",294.564516129032,"Up",-12763000,-2999000,-9764000,-12763000,-47000,-12810000,-12810000,-6998000,5101000,5101000,5101000,47286000,38731000,22904000,1233000,71342000,186000,826000,72168000,11477000,1214000,10263000,11477000,12263000,460136000,-400231000,59905000,59905000,72168000,5101000,-18038000,4154000,-8600000,-8588000,-8588000,-8588000,0,0.08515,0.07068,6.21608,0.20471,0,5.68272,5.68272,66.73654,0.08405,3.70493
"10","2013_Q1",331.216666666667,"Up",-12909000,-2858000,-10051000,-12909000,-33000,-12942000,-12942000,-10669000,-10715000,-10715000,-10715000,56089000,48044000,726000,726000,56815000,452000,959000,57774000,9495000,1707000,7788000,9495000,10073000,460950000,-413249000,47701000,47701000,57774000,-10715000,811000.000000004,-315000,-10065000,9313000,9313000,9313000,-1.61558713389263e-27,-0.22463,-0.18546,5.98368,0.21117,0,-11.93653,-11.93653,53.13902,-0.22194,4.34495
