"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",27.2403278688525,"Up",89867000,-26617000,63250000,-66431000,-42789000,-24036000,-2161000,2555000,-3181000,-523000,-367000,-156000,-3704000,-3704000,-56643000,-60347000,-60347000,-60347000,-60347000,39213000,39213000,86635000,86635000,16060000,10006000,6054000,143888000,31446000,112537000,62706000,24461000,8351000,17019000,143983000,287871000,31440000,4880000,26560000,165791000,130122000,35669000,197463000,178000,27287000,9640000,17647000,27465000,224928000,232162000,-166499000,-2720000,62943000,62943000,287871000,-60347000,3852000,65585000,-10454000,-1364000,-3175000,0,402000,-2773000,27383000,1189000,1316000,-2148000,26424000,22287000,22287000,340000,22627000,671000,410000,43685000,0.70382,-0.0354,-0.67151,-0.95876,-0.20963,-0.7239,0.72868,3.57352,0.00142,-1.02732,-1.02732,1.52986,1.07152,0.74368,-0.66579,0.48196,-57.82861,12.19837
"2","2018_Q2",32.70578125,"Up",91731000,-29042000,62689000,-58419000,-35967000,-22703000,-1940000,2191000,4270000,884000,-16000,9e+05,5154000,5154000,-1234000,3919999.99999999,3919999.99999999,3919999.99999999,3919999.99999999,63196000,63196000,83350000,83350000,20046000,13148000,6898000,167643000,30501000,112678000,63771000,22813000,8824000,17270000,143179000,310822000,31010000,5650000,25360000,187375000,152663000,34712000,218679000,526000,24140000,9961000,14179000,24666000,243345000,232583000,-162579000,-2527000,67477000,67477000,310822000,3919999.99999999,3543000,-158000,19384000,26689000,-2037000,-1199000,23000,-3213000,-51000,242000,301999.99999997,-186000,5000,23481000,23481000,495000,23976000,7813000,820000,26394000,0.6834,0.04655,0.04273,0.0580899999999999,0.01261,6.73316,0.76662,3.60634,0.00264,0.0616000000000001,0.0541499999999995,1.44145,1.06033,0.41475,0.0424100000000001,0.28554,-7.98362,-14.60796
"3","2018_Q3",38.112380952381,"Up",95566000,-29456000,66110000,-63933000,-37595000,-24744000,-1986000,392000,2177000,131000,-45000,176000,2308000,2308000,-795000,1513000,1513000,1513000,1513000,199230000,199230000,73793000,73793000,20550000,13290000,7260000,295359000,30112000,112299000,63263000,24846000,8113000,16077000,142411000,437770000,32350000,5957000,26393000,177546000,147261000,30285000,210286000,690000,22730000,9256000,13474000,23420000,233706000,369586000,-161066000,-4456000,204064000,204064000,437770000,1513000,3982000,640000,4489000,10624000,-3831000,-5829000,15000,-9645000,-25000,136879000,136938000,-429000,136425000,137404000,137404000,-1372000,136032000,6159000,1080000,7612000,0.69177,0.02278,0.01583,0.00741,0.00346,5.03106,1.40456,1.14526,0.00247,0.02307,0.02062,1.45724,3.11168,0.11607,0.00664,0.0334,-32.17243,-91.01975
"4","2018_Q4",32.97,"Down",93871000,-27204000,66667000,-57699000,-36509000,-24301000,-1739000,4850000,8968000,939000,-31000,970000,9907000,9907000,-2600000,7307000,7307000,7307000,7307000,197413000,197413000,69046000,69046000,21990000,12149000,9841000,289683000,29679000,108651000,62905000,22329000,7837000,15580000,138330000,428013000,34342000,5592000,28750000,158044000,136991000,21053000,192786000,670000.000000002,22758000,9722000,13036000,23428000,216214000,370409000,-153759000,-4851000,211799000,211799000,428013000,7307000,3370000,-3166000,-4402000,3109000,4410000,-8922000,-38000,-4550000,-25000.0000000019,261000,261000,-152000,84000,-1357000,-1357000,-477000,-1834000,12338000,1070000,14946000,0.7102,0.09554,0.07784,0.0345,0.01707,2.04544,1.50261,1.02085,0.0025,0.10438,0.09526,1.341,3.02566,0.21351,0.03101,0.06343,-15.91368,-21.89373
"5","2019_Q1",33.6250819672131,"Up",115211000,-30271000,84940000,-75711000,-49957000,-25844000,-2074000,2164000,9229000,426000,-108000,534000,9655000,9655000,-6860000,2795000,2795000,2795000,2795000,35345000,35345000,96803000,96803000,19922000,15491000,4431000,154034000,30153000,299029000,210532000,69836000,1373000,17288000,329182000,483216000,40097000,8357000,31740000,87330000,59765000,27565000,127758000,31417000,34907000,6754000,28153000,66324000,194082000,379839000,-82005000,-8700000,289134000,289134000,483216000,2795000,3839000,1282000,-12108000,-4192000,-1314000,-187488000,-37237.5385708612,-188802000,31051000,267000,148000,-302000,31016000,-161978000,-161978000,-89000,-162067000,13068000,31748000,6506000,0.73726,0.08011,0.02426,0.00967,0.00578,2.32773,1.20567,0.67125,0.0657,0.03956,0.03629,1.63066,4.09231,0.09208,0.00786,0.01829,-0.27525,-0.38975
"6","2019_Q2",37.3866666666667,"Up",127859000,-32885000,94974000,-77207000,-46780000,-27516000,-3528000,617000,17767000,-660000,-270000,-390000,17107000,17107000,-4088000,13019000,13019000,13019000,13019000,39771000,39771000,88358000,88358000,24113000,15976000,8137000,155631000,33524000,329711000,210714000,68469000,1978000,48550000,363235000,518866000,35212000,6569000,28643000,107404000,66030000,41374000,143069000,15686000,56066000,6511000,49555000,71752000,214821000,381166000,-68986000,-8135000,304045000,304045000,518866000,13019000,5194000,968000,6134000,25315000,-4927000,-139883289.04995,1999.99999999997,-4925000.00000003,-16106000,458000,457999.999999996,-119000,-15767000,4623000,4623000,-176000,4446999.99999997,22961000,16139000,28256000,0.7428,0.13896,0.10182,0.04282,0.02509,2.17037,1.0878,0.70654,0.0311,0.18392,0.16969,1.80628,4.29527,0.39917,0.0346,0.0751,-1.02922,-1.33011
"7","2019_Q3",37.2675,"Down",106773000,-31023000,75750000,-78952000,-46072000,-29829000,-3600000,549000,-3202000,-85000,-590000,505000,-3287000,-3287000,167000,-3120000,-3120000,-3120000,-3120000,251828000,251828000,85758000,85758000,26777000,18262000,8515000,364363000,34050000,331307000,212087000,64874000,5901000,48445000,365357000,729720000,35617000,6462000,29155000,104978000,67587000,37391000,141067000,173157000,53303000,6219000,47084000,226460000,367527000,433909000,-64964000,-6752000,362193000,362193000,729720000,-3120000,5274000,2394000,2005000,6553000,-2084000,-709000,14000,-2779000,207239000,812000,812000,-140000,207911000,211685000,211685000,363000,212048000,2072000,173629000,1826000,0.70945,-0.02999,-0.02922,-0.00861,-0.00428,-0.58526,2.58291,1.01473,0.23794,-0.04371,-0.04035,1.49592,5.07444,0.02558,-0.0053,0.0031,-37.74083,24.42192
"8","2019_Q4",33.746875,"Down",100406000,-31741000,68665000,-79172000,-46496000,-29667000,-3545000,536000,-10507000,-2138000,-2726000,588000,-12645000,-12645000,-3294000,-15939000,-15939000,-15939000,-15939000,246937000,246937000,84062000,84062000,29949000,18398000,11551000,360948000,33720000,322032000,210500000,60956000,5870000,44706000,355752000,716700000,37125000,8286000,28839000,105694000,69377000,36317000,143256000,175624000,52127000,7666000,44461000,227751000,371007000,436204000,-80903000,-9608000,345693000,345693000,716700000,-15939000,5368000,5169000,3539000,-1863000,-1582000,0,0,-1582000,-215000,171000,171000,-140000,-184000.00000003,-3629000.00000003,-3629000.00000003,-1252000,-4881000.00000003,-5139000,176061000,111999.999999996,0.68387,-0.10465,-0.15875,-0.04611,-0.02224,-0.00702999999999998,2.5196,1.07323,0.24566,-0.22206,-0.26607,1.39886,4.81621,0.00156000000000001,-0.02777,2e-04,13.79179,6.7456
"9","2020_Q1",34.28,"Up",123877000,-36950000,86927000,-82778000,-48881000,-30498000,-3769000,370000,4149000,-1936000,-2785000,849000,2213000,2213000,-3715000,-1502000,-1502000,-1502000,-1502000,223117000,223117000,104984000,104984000,24356000,17092000,7264000,352457000,36297000,354391000,233683000,67075000,5791000,47842000,390688000,743145000,67864000,8585000,59279000,84572000,75431000,9141000,152866000,178238000,54982000,8136000,46846000,233220000,386086000,446640000,-82405000,-7176000,357059000,357059000,743145000,-1502000,5686000,5387000,-8183000,1388000,-1540000,-25011000,-2000,-26553000,1000,69000,69000,-114000,-44000,-25209000,-25209000,1407000,-23802000,9835000,178668000,3827000,0.70172,0.03349,-0.01212,-0.00421,-0.00202,-2.54794,2.30566,1.08129,0.24042,-0.02079,-0.02079,1.71487,4.94288,0.05298,-0.00254,0.00648,-4.51947,-10.71318
"10","2020_Q2",33.9833333333333,"Down",131463000,-34497000,96966000,-84861000,-50445000,-31467000,-3840000,891000,12105000,-1423000,-2813000,1390000,10682000,10682000,-4652000,6030000,6030000,6030000,6030000,247145000,247145000,87665000,87665000,22661000,16777000,5884000,357471000,35449000,341734000,229795000,61358000,5620000,44961000,377183000,734654000,33248000,5625000,27623000,116962000,72567000,44395000,150640000,180777000,44740000,7472000,37268000,225517000,376157000,449877000,-76763000,-14617000,358497000,358497000,734654000,6030000,5660000,168000,16178000,28036000,-2077000,-10045560.4272219,62000,-2015000,46198077.4666493,194000,194000,-118000,75999.9999999925,26097000,26097000,-2113000,23984000,17765000,181207000,36518000,0.73759,0.09208,0.04587,0.01682,0.00821,6.05605,2.37302,1.04926,0.24666,0.08303,0.07831,1.81021,4.93641,0.50284,0.01032,0.06248,-3.71168,-5.44717
